Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
0,-2.5273078,0,0,0,0,0,0,-0.61845736,0,0,0,0,-0.49270399,-1.3089132,0,0,0,0,0,0
1,-2.4847144,0,0,0,0,0,0,-0.60803432,0,0,0,0,-0.4844003,-1.2868537,0,0,0,0,0,0
2,-2.4421209,0,0,0,0,0,0,-0.59761127,0,0,0,0,-0.47609662,-1.2647942,0,0,0,0,0,0
3,-2.3995274,0,0,0,0,0,0,-0.58718823,0,0,0,0,-0.46779293,-1.2427347,0,0,0,0,0,0
4,-2.356934,0,0,0,0,0,0,-0.57676519,0,0,0,0,-0.45948925,-1.2206752,0,0,0,0,0,0
5,-2.3143405,0,0,0,0,0,0,-0.56634214,0,0,0,0,-0.45118556,-1.1986157,0,0,0,0,0,0
6,-2.271747,0,0,0,0,0,0,-0.5559191,0,0,0,0,-0.44288188,-1.1765562,0,0,0,0,0,0
7,-2.2291536,0,0,0,0,0,0,-0.54549605,0,0,0,0,-0.43457819,-1.1544967,0,0,0,0,0,0
8,-2.1865601,0,0,0,0,0,0,-0.53507301,0,0,0,0,-0.42627451,-1.1324372,0,0,0,0,0,0
9,-2.1439667,0,0,0,0,0,0,-0.52464997,0,0,0,0,-0.41797082,-1.1103777,0,0,0,0,0,0
10,-2.1013732,0,0,0,0,0,0,-0.51422692,0,0,0,0,-0.40966714,-1.0883182,0,0,0,0,0,0
11,-2.0587797,0,0,0,0,0,0,-0.50380388,0,0,0,0,-0.40136345,-1.0662587,0,0,0,0,0,0
12,-2.0161863,0,0,0,0,0,0,-0.49338084,0,0,0,0,-0.39305977,-1.0441992,0,0,0,0,0,0
13,-1.9735928,0,0,0,0,0,0,-0.48295779,0,0,0,0,-0.38475608,-1.0221397,0,0,0,0,0,0
14,-1.9309993,0,0,0,0,0,0,-0.47253475,0,0,0,0,-0.3764524,-1.0000802,0,0,0,0,0,0
15,-1.8884059,0,0,0,0,0,0,-0.4621117,0,0,0,0,-0.36814871,-0.97802069,0,0,0,0,0,0
16,-1.8458124,0,0,0,0,0,0,-0.45168866,0,0,0,0,-0.35984503,-0.9559612,0,0,0,0,0,0
