Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
61,-95.541892,0,0,0,0,0,-36.885406,-48.587842,0,0,0,0,0,0
62,-95.533394,0,0,0,0,0,-36.882126,-48.58352,0,0,0,0,0,0
63,-95.524896,0,0,0,0,0,-36.878845,-48.579199,0,0,0,0,0,0
64,-95.516398,0,0,0,0,0,-36.875564,-48.574877,0,0,0,0,0,0
65,-95.507901,0,0,0,0,0,-36.872284,-48.570556,0,0,0,0,0,0
66,-95.499403,0,0,0,0,0,-36.869003,-48.566234,0,0,0,0,0,0
67,-95.490905,0,0,0,0,0,-36.865722,-48.561913,0,0,0,0,0,0
68,-95.482408,0,0,0,0,0,-36.862442,-48.557591,0,0,0,0,0,0
69,-95.47391,0,0,0,0,0,-36.859161,-48.55327,0,0,0,0,0,0
70,-95.465412,0,0,0,0,0,-36.85588,-48.548948,0,0,0,0,0,0
71,-95.456915,0,0,0,0,0,-36.8526,-48.544627,0,0,0,0,0,0
72,-95.448417,0,0,0,0,0,-36.849319,-48.540305,0,0,0,0,0,0
73,-95.439919,0,0,0,0,0,-36.846038,-48.535984,0,0,0,0,0,0
74,-95.431422,0,0,0,0,0,-36.842758,-48.531662,0,0,0,0,0,0
75,-95.422924,0,0,0,0,0,-36.839477,-48.527341,0,0,0,0,0,0
76,-95.414426,0,0,0,0,0,-36.836196,-48.523019,0,0,0,0,0,0
77,-95.405929,0,0,0,0,0,-36.832916,-48.518698,0,0,0,0,0,0
78,-95.397431,0,0,0,0,0,-36.829635,-48.514376,0,0,0,0,0,0
79,-95.388933,0,0,0,0,0,-36.826355,-48.510055,0,0,0,0,0,0
80,-95.380435,0,0,0,0,0,-36.823074,-48.505733,0,0,0,0,0,0
81,-95.371938,0,0,0,0,0,-36.819793,-48.501412,0,0,0,0,0,0
82,-95.36344,0,0,0,0,0,-36.816513,-48.49709,0,0,0,0,0,0
83,-95.354942,0,0,0,0,0,-36.813232,-48.492769,0,0,0,0,0,0
84,-95.346445,0,0,0,0,0,-36.809951,-48.488447,0,0,0,0,0,0
85,-95.337947,0,0,0,0,0,-36.806671,-48.484126,0,0,0,0,0,0
86,-95.329449,0,0,0,0,0,-36.80339,-48.479804,0,0,0,0,0,0
87,-95.320952,0,0,0,0,0,-36.800109,-48.475483,0,0,0,0,0,0
88,-95.312454,0,0,0,0,0,-36.796829,-48.471161,0,0,0,0,0,0
89,-95.303956,0,0,0,0,0,-36.793548,-48.46684,0,0,0,0,0,0
90,-95.295459,0,0,0,0,0,-36.790267,-48.462518,0,0,0,0,0,0
91,-95.286961,0,0,0,0,0,-36.786987,-48.458197,0,0,0,0,0,0
92,-95.278463,0,0,0,0,0,-36.783706,-48.453875,0,0,0,0,0,0
93,-95.269966,0,0,0,0,0,-36.780425,-48.449554,0,0,0,0,0,0
94,-95.261468,0,0,0,0,0,-36.777145,-48.445232,0,0,0,0,0,0
95,-95.25297,0,0,0,0,0,-36.773864,-48.440911,0,0,0,0,0,0
96,-95.244472,0,0,0,0,0,-36.770583,-48.436589,0,0,0,0,0,0
97,-95.235975,0,0,0,0,0,-36.767303,-48.432268,0,0,0,0,0,0
98,-95.227477,0,0,0,0,0,-36.764022,-48.427946,0,0,0,0,0,0
99,-95.218979,0,0,0,0,0,-36.760741,-48.423625,0,0,0,0,0,0
100,-95.210482,0,0,0,0,0,-36.757461,-48.419303,0,0,0,0,0,0
101,-95.201984,0,0,0,0,0,-36.75418,-48.414982,0,0,0,0,0,0
102,-95.193486,0,0,0,0,0,-36.750899,-48.41066,0,0,0,0,0,0
103,-95.184989,0,0,0,0,0,-36.747619,-48.406339,0,0,0,0,0,0
104,-95.176491,0,0,0,0,0,-36.744338,-48.402017,0,0,0,0,0,0
105,-95.167993,0,0,0,0,0,-36.741057,-48.397696,0,0,0,0,0,0
106,-95.159496,0,0,0,0,0,-36.737777,-48.393374,0,0,0,0,0,0
107,-95.150998,0,0,0,0,0,-36.734496,-48.389053,0,0,0,0,0,0
108,-95.1425,0,0,0,0,0,-36.731215,-48.384731,0,0,0,0,0,0
109,-95.134003,0,0,0,0,0,-36.727935,-48.38041,0,0,0,0,0,0
110,-95.125505,0,0,0,0,0,-36.724654,-48.376088,0,0,0,0,0,0
111,-95.117007,0,0,0,0,0,-36.721373,-48.371767,0,0,0,0,0,0
112,-95.108509,0,0,0,0,0,-36.718093,-48.367445,0,0,0,0,0,0
113,-95.100012,0,0,0,0,0,-36.714812,-48.363124,0,0,0,0,0,0
114,-95.091514,0,0,0,0,0,-36.711531,-48.358802,0,0,0,0,0,0
115,-95.083016,0,0,0,0,0,-36.708251,-48.354481,0,0,0,0,0,0
116,-95.074519,0,0,0,0,0,-36.70497,-48.350159,0,0,0,0,0,0
117,-95.066021,0,0,0,0,0,-36.701689,-48.345838,0,0,0,0,0,0
118,-95.057523,0,0,0,0,0,-36.698409,-48.341516,0,0,0,0,0,0
119,-95.049026,0,0,0,0,0,-36.695128,-48.337195,0,0,0,0,0,0
120,-95.040528,0,0,0,0,0,-36.691847,-48.332873,0,0,0,0,0,0
121,-95.03203,0,0,0,0,0,-36.688567,-48.328552,0,0,0,0,0,0
122,-95.023533,0,0,0,0,0,-36.685286,-48.32423,0,0,0,0,0,0
123,-95.015035,0,0,0,0,0,-36.682005,-48.319909,0,0,0,0,0,0
124,-95.006537,0,0,0,0,0,-36.678725,-48.315587,0,0,0,0,0,0
125,-94.99804,0,0,0,0,0,-36.675444,-48.311266,0,0,0,0,0,0
126,-94.989542,0,0,0,0,0,-36.672163,-48.306944,0,0,0,0,0,0
127,-94.981044,0,0,0,0,0,-36.668883,-48.302623,0,0,0,0,0,0
128,-94.972546,0,0,0,0,0,-36.665602,-48.298301,0,0,0,0,0,0
129,-94.964049,0,0,0,0,0,-36.662321,-48.29398,0,0,0,0,0,0
130,-94.955551,0,0,0,0,0,-36.659041,-48.289658,0,0,0,0,0,0
131,-94.947053,0,0,0,0,0,-36.65576,-48.285337,0,0,0,0,0,0
132,-94.938556,0,0,0,0,0,-36.652479,-48.281015,0,0,0,0,0,0
133,-94.930058,0,0,0,0,0,-36.649199,-48.276694,0,0,0,0,0,0
134,-94.92156,0,0,0,0,0,-36.645918,-48.272372,0,0,0,0,0,0
135,-94.913063,0,0,0,0,0,-36.642637,-48.268051,0,0,0,0,0,0
136,-94.904565,0,0,0,0,0,-36.639357,-48.263729,0,0,0,0,0,0
137,-94.896067,0,0,0,0,0,-36.636076,-48.259407,0,0,0,0,0,0
138,-94.88757,0,0,0,0,0,-36.632795,-48.255086,0,0,0,0,0,0
139,-94.879072,0,0,0,0,0,-36.629515,-48.250764,0,0,0,0,0,0
140,-94.870574,0,0,0,0,0,-36.626234,-48.246443,0,0,0,0,0,0
141,-94.804125,0,0,0,0,0,-36.600581,-48.21265,0,0,0,0,0,0
142,-94.73767,0,0,0,0,0,-36.574925,-48.178855,0,0,0,0,0,0
143,-94.671215,0,0,0,0,0,-36.549269,-48.145059,0,0,0,0,0,0
144,-94.60476,0,0,0,0,0,-36.523613,-48.111263,0,0,0,0,0,0
145,-94.538306,0,0,0,0,0,-36.497957,-48.077468,0,0,0,0,0,0
146,-94.471851,0,0,0,0,0,-36.472301,-48.043672,0,0,0,0,0,0
147,-94.405396,0,0,0,0,0,-36.446645,-48.009876,0,0,0,0,0,0
148,-94.338941,0,0,0,0,0,-36.420989,-47.976081,0,0,0,0,0,0
149,-94.272486,0,0,0,0,0,-36.395333,-47.942285,0,0,0,0,0,0
150,-94.206031,0,0,0,0,0,-36.369677,-47.908489,0,0,0,0,0,0
151,-94.139576,0,0,0,0,0,-36.344021,-47.874694,0,0,0,0,0,0
152,-94.073121,0,0,0,0,0,-36.318365,-47.840898,0,0,0,0,0,0
153,-94.006666,0,0,0,0,0,-36.292709,-47.807102,0,0,0,0,0,0
154,-93.940211,0,0,0,0,0,-36.267053,-47.773307,0,0,0,0,0,0
155,-93.873756,0,0,0,0,0,-36.241397,-47.739511,0,0,0,0,0,0
156,-93.807301,0,0,0,0,0,-36.215741,-47.705715,0,0,0,0,0,0
157,-93.740846,0,0,0,0,0,-36.190085,-47.67192,0,0,0,0,0,0
158,-93.674391,0,0,0,0,0,-36.164429,-47.638124,0,0,0,0,0,0
159,-93.607936,0,0,0,0,0,-36.138773,-47.604328,0,0,0,0,0,0
160,-93.541481,0,0,0,0,0,-36.113118,-47.570533,0,0,0,0,0,0
161,-93.475026,0,0,0,0,0,-36.087462,-47.536737,0,0,0,0,0,0
162,-93.408571,0,0,0,0,0,-36.061806,-47.502941,0,0,0,0,0,0
163,-93.342117,0,0,0,0,0,-36.03615,-47.469146,0,0,0,0,0,0
164,-93.275662,0,0,0,0,0,-36.010494,-47.43535,0,0,0,0,0,0
165,-93.209207,0,0,0,0,0,-35.984838,-47.401554,0,0,0,0,0,0
166,-93.142752,0,0,0,0,0,-35.959182,-47.367759,0,0,0,0,0,0
167,-93.076297,0,0,0,0,0,-35.933526,-47.333963,0,0,0,0,0,0
168,-93.009842,0,0,0,0,0,-35.90787,-47.300167,0,0,0,0,0,0
169,-92.943387,0,0,0,0,0,-35.882214,-47.266372,0,0,0,0,0,0
170,-92.876932,0,0,0,0,0,-35.856558,-47.232576,0,0,0,0,0,0
171,-92.810477,0,0,0,0,0,-35.830902,-47.19878,0,0,0,0,0,0
172,-92.744022,0,0,0,0,0,-35.805246,-47.164985,0,0,0,0,0,0
173,-92.677567,0,0,0,0,0,-35.77959,-47.131189,0,0,0,0,0,0
174,-92.611112,0,0,0,0,0,-35.753934,-47.097393,0,0,0,0,0,0
175,-92.544657,0,0,0,0,0,-35.728278,-47.063598,0,0,0,0,0,0
176,-92.478202,0,0,0,0,0,-35.702622,-47.029802,0,0,0,0,0,0
177,-92.411747,0,0,0,0,0,-35.676966,-46.996006,0,0,0,0,0,0
178,-92.345292,0,0,0,0,0,-35.65131,-46.962211,0,0,0,0,0,0
179,-92.278837,0,0,0,0,0,-35.625655,-46.928415,0,0,0,0,0,0
180,-92.212382,0,0,0,0,0,-35.599999,-46.894619,0,0,0,0,0,0
181,-92.145928,0,0,0,0,0,-35.574343,-46.860824,0,0,0,0,0,0
182,-92.079473,0,0,0,0,0,-35.548687,-46.827028,0,0,0,0,0,0
183,-92.013018,0,0,0,0,0,-35.523031,-46.793232,0,0,0,0,0,0
