Time (ms),Stress at 0.00 mm (kPa),Stress at 0.24 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.66 mm (kPa),Stress at 0.86 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.46 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa)
0,-96.06025,-101.3145,-91.858229,-78.34818,-67.750184,-56.13529,-47.786063,-36.906091,-29.024821,-17.094946,0,0,0,0
1,-96.051753,-101.30554,-91.850103,-78.341249,-67.744191,-56.130324,-47.781835,-36.902826,-29.022253,-17.093434,0,0,0,0
2,-96.043255,-101.29657,-91.841977,-78.334319,-67.738197,-56.125358,-47.777608,-36.899561,-29.019685,-17.091922,0,0,0,0
3,-96.034757,-101.28761,-91.833851,-78.327388,-67.732204,-56.120392,-47.773381,-36.896296,-29.017118,-17.09041,0,0,0,0
4,-96.02626,-101.27865,-91.825725,-78.320457,-67.726211,-56.115427,-47.769154,-36.893032,-29.01455,-17.088897,0,0,0,0
5,-96.017762,-101.26969,-91.817599,-78.313526,-67.720217,-56.110461,-47.764926,-36.889767,-29.011983,-17.087385,0,0,0,0
6,-96.009264,-101.26072,-91.809473,-78.306595,-67.714224,-56.105495,-47.760699,-36.886502,-29.009415,-17.085873,0,0,0,0
7,-96.000767,-101.25176,-91.801347,-78.299664,-67.708231,-56.100529,-47.756472,-36.883237,-29.006847,-17.084361,0,0,0,0
8,-95.992269,-101.2428,-91.793221,-78.292734,-67.702237,-56.095563,-47.752245,-36.879972,-29.00428,-17.082848,0,0,0,0
9,-95.983771,-101.23384,-91.785095,-78.285803,-67.696244,-56.090597,-47.748017,-36.876708,-29.001712,-17.081336,0,0,0,0
10,-95.975274,-101.22487,-91.776969,-78.278872,-67.690251,-56.085632,-47.74379,-36.873443,-28.999145,-17.079824,0,0,0,0
11,-95.966776,-101.21591,-91.768843,-78.271941,-67.684258,-56.080666,-47.739563,-36.870178,-28.996577,-17.078312,0,0,0,0
12,-95.958278,-101.20695,-91.760717,-78.26501,-67.678264,-56.0757,-47.735336,-36.866913,-28.994009,-17.076799,0,0,0,0
13,-95.949781,-101.19799,-91.752591,-78.258079,-67.672271,-56.070734,-47.731108,-36.863648,-28.991442,-17.075287,0,0,0,0
14,-95.941283,-101.18902,-91.744465,-78.251149,-67.666278,-56.065768,-47.726881,-36.860384,-28.988874,-17.073775,0,0,0,0
15,-95.932785,-101.18006,-91.736339,-78.244218,-67.660284,-56.060802,-47.722654,-36.857119,-28.986307,-17.072263,0,0,0,0
16,-95.924287,-101.1711,-91.728213,-78.237287,-67.654291,-56.055836,-47.718427,-36.853854,-28.983739,-17.07075,0,0,0,0
17,-95.91579,-101.16214,-91.720087,-78.230356,-67.648298,-56.050871,-47.714199,-36.850589,-28.981171,-17.069238,0,0,0,0
18,-95.907292,-101.15317,-91.711961,-78.223425,-67.642304,-56.045905,-47.709972,-36.847324,-28.978604,-17.067726,0,0,0,0
19,-95.898794,-101.14421,-91.703835,-78.216494,-67.636311,-56.040939,-47.705745,-36.84406,-28.976036,-17.066214,0,0,0,0
20,-95.890297,-101.13525,-91.695709,-78.209564,-67.630318,-56.035973,-47.701518,-36.840795,-28.973469,-17.064701,0,0,0,0
21,-95.881799,-101.12629,-91.687583,-78.202633,-67.624324,-56.031007,-47.69729,-36.83753,-28.970901,-17.063189,0,0,0,0
22,-95.873301,-101.11732,-91.679457,-78.195702,-67.618331,-56.026041,-47.693063,-36.834265,-28.968333,-17.061677,0,0,0,0
23,-95.864804,-101.10836,-91.671331,-78.188771,-67.612338,-56.021076,-47.688836,-36.831001,-28.965766,-17.060165,0,0,0,0
24,-95.856306,-101.0994,-91.663205,-78.18184,-67.606344,-56.01611,-47.684609,-36.827736,-28.963198,-17.058652,0,0,0,0
25,-95.847808,-101.09044,-91.655079,-78.174909,-67.600351,-56.011144,-47.680381,-36.824471,-28.960631,-17.05714,0,0,0,0
26,-95.839311,-101.08148,-91.646953,-78.167978,-67.594358,-56.006178,-47.676154,-36.821206,-28.958063,-17.055628,0,0,0,0
27,-95.830813,-101.07251,-91.638827,-78.161048,-67.588364,-56.001212,-47.671927,-36.817941,-28.955495,-17.054116,0,0,0,0
28,-95.822315,-101.06355,-91.630701,-78.154117,-67.582371,-55.996246,-47.6677,-36.814677,-28.952928,-17.052603,0,0,0,0
29,-95.813818,-101.05459,-91.622575,-78.147186,-67.576378,-55.99128,-47.663472,-36.811412,-28.95036,-17.051091,0,0,0,0
30,-95.80532,-101.04563,-91.614449,-78.140255,-67.570384,-55.986315,-47.659245,-36.808147,-28.947793,-17.049579,0,0,0,0
31,-95.796822,-101.03666,-91.606323,-78.133324,-67.564391,-55.981349,-47.655018,-36.804882,-28.945225,-17.048067,0,0,0,0
32,-95.788324,-101.0277,-91.598198,-78.126393,-67.558398,-55.976383,-47.650791,-36.801617,-28.942658,-17.046554,0,0,0,0
33,-95.779827,-101.01874,-91.590072,-78.119463,-67.552404,-55.971417,-47.646563,-36.798353,-28.94009,-17.045042,0,0,0,0
34,-95.771329,-101.00978,-91.581946,-78.112532,-67.546411,-55.966451,-47.642336,-36.795088,-28.937522,-17.04353,0,0,0,0
35,-95.762831,-101.00081,-91.57382,-78.105601,-67.540418,-55.961485,-47.638109,-36.791823,-28.934955,-17.042017,0,0,0,0
36,-95.754334,-100.99185,-91.565694,-78.09867,-67.534424,-55.95652,-47.633882,-36.788558,-28.932387,-17.040505,0,0,0,0
37,-95.745836,-100.98289,-91.557568,-78.091739,-67.528431,-55.951554,-47.629654,-36.785294,-28.92982,-17.038993,0,0,0,0
38,-95.737338,-100.97393,-91.549442,-78.084808,-67.522438,-55.946588,-47.625427,-36.782029,-28.927252,-17.037481,0,0,0,0
39,-95.728841,-100.96496,-91.541316,-78.077878,-67.516445,-55.941622,-47.6212,-36.778764,-28.924684,-17.035968,0,0,0,0
40,-95.720343,-100.956,-91.53319,-78.070947,-67.510451,-55.936656,-47.616972,-36.775499,-28.922117,-17.034456,0,0,0,0
41,-95.711845,-100.94704,-91.525064,-78.064016,-67.504458,-55.93169,-47.612745,-36.772234,-28.919549,-17.032944,0,0,0,0
42,-95.703348,-100.93808,-91.516938,-78.057085,-67.498465,-55.926725,-47.608518,-36.76897,-28.916982,-17.031432,0,0,0,0
43,-95.69485,-100.92911,-91.508812,-78.050154,-67.492471,-55.921759,-47.604291,-36.765705,-28.914414,-17.029919,0,0,0,0
44,-95.686352,-100.92015,-91.500686,-78.043223,-67.486478,-55.916793,-47.600063,-36.76244,-28.911846,-17.028407,0,0,0,0
45,-95.677855,-100.91119,-91.49256,-78.036292,-67.480485,-55.911827,-47.595836,-36.759175,-28.909279,-17.026895,0,0,0,0
46,-95.669357,-100.90223,-91.484434,-78.029362,-67.474491,-55.906861,-47.591609,-36.75591,-28.906711,-17.025383,0,0,0,0
47,-95.660859,-100.89326,-91.476308,-78.022431,-67.468498,-55.901895,-47.587382,-36.752646,-28.904144,-17.02387,0,0,0,0
48,-95.652361,-100.8843,-91.468182,-78.0155,-67.462505,-55.896929,-47.583154,-36.749381,-28.901576,-17.022358,0,0,0,0
49,-95.643864,-100.87534,-91.460056,-78.008569,-67.456511,-55.891964,-47.578927,-36.746116,-28.899008,-17.020846,0,0,0,0
50,-95.635366,-100.86638,-91.45193,-78.001638,-67.450518,-55.886998,-47.5747,-36.742851,-28.896441,-17.019334,0,0,0,0
51,-95.626868,-100.85741,-91.443804,-77.994707,-67.444525,-55.882032,-47.570473,-36.739586,-28.893873,-17.017821,0,0,0,0
52,-95.618371,-100.84845,-91.435678,-77.987777,-67.438531,-55.877066,-47.566245,-36.736322,-28.891306,-17.016309,0,0,0,0
53,-95.609873,-100.83949,-91.427552,-77.980846,-67.432538,-55.8721,-47.562018,-36.733057,-28.888738,-17.014797,0,0,0,0
54,-95.601375,-100.83053,-91.419426,-77.973915,-67.426545,-55.867134,-47.557791,-36.729792,-28.88617,-17.013285,0,0,0,0
55,-95.592878,-100.82156,-91.4113,-77.966984,-67.420551,-55.862169,-47.553564,-36.726527,-28.883603,-17.011772,0,0,0,0
56,-95.58438,-100.8126,-91.403174,-77.960053,-67.414558,-55.857203,-47.549336,-36.723263,-28.881035,-17.01026,0,0,0,0
57,-95.575882,-100.80364,-91.395048,-77.953122,-67.408565,-55.852237,-47.545109,-36.719998,-28.878468,-17.008748,0,0,0,0
58,-95.567385,-100.79468,-91.386922,-77.946192,-67.402571,-55.847271,-47.540882,-36.716733,-28.8759,-17.007236,0,0,0,0
59,-95.558887,-100.78571,-91.378796,-77.939261,-67.396578,-55.842305,-47.536655,-36.713468,-28.873332,-17.005723,0,0,0,0
60,-95.550389,-100.77675,-91.37067,-77.93233,-67.390585,-55.837339,-47.532427,-36.710203,-28.870765,-17.004211,0,0,0,0
61,-95.541892,-100.76779,-91.362544,-77.925399,-67.384591,-55.832373,-47.5282,-36.706939,-28.868197,-17.002699,0,0,0,0
62,-95.533394,-100.75883,-91.354418,-77.918468,-67.378598,-55.827408,-47.523973,-36.703674,-28.86563,-17.001187,0,0,0,0
63,-95.524896,-100.74986,-91.346293,-77.911537,-67.372605,-55.822442,-47.519746,-36.700409,-28.863062,-16.999674,0,0,0,0
64,-95.516398,-100.7409,-91.338167,-77.904606,-67.366612,-55.817476,-47.515518,-36.697144,-28.860494,-16.998162,0,0,0,0
65,-95.507901,-100.73194,-91.330041,-77.897676,-67.360618,-55.81251,-47.511291,-36.693879,-28.857927,-16.99665,0,0,0,0
66,-95.499403,-100.72298,-91.321915,-77.890745,-67.354625,-55.807544,-47.507064,-36.690615,-28.855359,-16.995138,0,0,0,0
67,-95.490905,-100.71401,-91.313789,-77.883814,-67.348632,-55.802578,-47.502837,-36.68735,-28.852792,-16.993625,0,0,0,0
68,-95.482408,-100.70505,-91.305663,-77.876883,-67.342638,-55.797613,-47.498609,-36.684085,-28.850224,-16.992113,0,0,0,0
69,-95.47391,-100.69609,-91.297537,-77.869952,-67.336645,-55.792647,-47.494382,-36.68082,-28.847656,-16.990601,0,0,0,0
70,-95.465412,-100.68713,-91.289411,-77.863021,-67.330652,-55.787681,-47.490155,-36.677555,-28.845089,-16.989089,0,0,0,0
71,-95.456915,-100.67816,-91.281285,-77.856091,-67.324658,-55.782715,-47.485928,-36.674291,-28.842521,-16.987576,0,0,0,0
72,-95.448417,-100.6692,-91.273159,-77.84916,-67.318665,-55.777749,-47.4817,-36.671026,-28.839954,-16.986064,0,0,0,0
73,-95.439919,-100.66024,-91.265033,-77.842229,-67.312672,-55.772783,-47.477473,-36.667761,-28.837386,-16.984552,0,0,0,0
74,-95.431422,-100.65128,-91.256907,-77.835298,-67.306678,-55.767818,-47.473246,-36.664496,-28.834818,-16.98304,0,0,0,0
75,-95.422924,-100.64231,-91.248781,-77.828367,-67.300685,-55.762852,-47.469019,-36.661232,-28.832251,-16.981527,0,0,0,0
76,-95.414426,-100.63335,-91.240655,-77.821436,-67.294692,-55.757886,-47.464791,-36.657967,-28.829683,-16.980015,0,0,0,0
77,-95.405929,-100.62439,-91.232529,-77.814506,-67.288698,-55.75292,-47.460564,-36.654702,-28.827116,-16.978503,0,0,0,0
78,-95.397431,-100.61543,-91.224403,-77.807575,-67.282705,-55.747954,-47.456337,-36.651437,-28.824548,-16.976991,0,0,0,0
79,-95.388933,-100.60646,-91.216277,-77.800644,-67.276712,-55.742988,-47.45211,-36.648172,-28.821981,-16.975478,0,0,0,0
80,-95.380435,-100.5975,-91.208151,-77.793713,-67.270718,-55.738022,-47.447882,-36.644908,-28.819413,-16.973966,0,0,0,0
81,-95.371938,-100.58854,-91.200025,-77.786782,-67.264725,-55.733057,-47.443655,-36.641643,-28.816845,-16.972454,0,0,0,0
82,-95.36344,-100.57958,-91.191899,-77.779851,-67.258732,-55.728091,-47.439428,-36.638378,-28.814278,-16.970942,0,0,0,0
83,-95.354942,-100.57061,-91.183773,-77.77292,-67.252738,-55.723125,-47.435201,-36.635113,-28.81171,-16.969429,0,0,0,0
84,-95.346445,-100.56165,-91.175647,-77.76599,-67.246745,-55.718159,-47.430973,-36.631848,-28.809143,-16.967917,0,0,0,0
85,-95.337947,-100.55269,-91.167521,-77.759059,-67.240752,-55.713193,-47.426746,-36.628584,-28.806575,-16.966405,0,0,0,0
86,-95.329449,-100.54373,-91.159395,-77.752128,-67.234758,-55.708227,-47.422519,-36.625319,-28.804007,-16.964893,0,0,0,0
87,-95.320952,-100.53476,-91.151269,-77.745197,-67.228765,-55.703262,-47.418292,-36.622054,-28.80144,-16.96338,0,0,0,0
88,-95.312454,-100.5258,-91.143143,-77.738266,-67.222772,-55.698296,-47.414064,-36.618789,-28.798872,-16.961868,0,0,0,0
89,-95.303956,-100.51684,-91.135017,-77.731335,-67.216778,-55.69333,-47.409837,-36.615524,-28.796305,-16.960356,0,0,0,0
90,-95.295459,-100.50788,-91.126891,-77.724405,-67.210785,-55.688364,-47.40561,-36.61226,-28.793737,-16.958844,0,0,0,0
91,-95.286961,-100.49891,-91.118765,-77.717474,-67.204792,-55.683398,-47.401383,-36.608995,-28.791169,-16.957331,0,0,0,0
92,-95.278463,-100.48995,-91.110639,-77.710543,-67.198799,-55.678432,-47.397155,-36.60573,-28.788602,-16.955819,0,0,0,0
93,-95.269966,-100.48099,-91.102513,-77.703612,-67.192805,-55.673467,-47.392928,-36.602465,-28.786034,-16.954307,0,0,0,0
94,-95.261468,-100.47203,-91.094388,-77.696681,-67.186812,-55.668501,-47.388701,-36.599201,-28.783467,-16.952794,0,0,0,0
95,-95.25297,-100.46306,-91.086262,-77.68975,-67.180819,-55.663535,-47.384474,-36.595936,-28.780899,-16.951282,0,0,0,0
96,-95.244472,-100.4541,-91.078136,-77.68282,-67.174825,-55.658569,-47.380246,-36.592671,-28.778331,-16.94977,0,0,0,0
97,-95.235975,-100.44514,-91.07001,-77.675889,-67.168832,-55.653603,-47.376019,-36.589406,-28.775764,-16.948258,0,0,0,0
98,-95.227477,-100.43618,-91.061884,-77.668958,-67.162839,-55.648637,-47.371792,-36.586141,-28.773196,-16.946745,0,0,0,0
99,-95.218979,-100.42721,-91.053758,-77.662027,-67.156845,-55.643671,-47.367565,-36.582877,-28.770629,-16.945233,0,0,0,0
100,-95.210482,-100.41825,-91.045632,-77.655096,-67.150852,-55.638706,-47.363337,-36.579612,-28.768061,-16.943721,0,0,0,0
101,-95.201984,-100.40929,-91.037506,-77.648165,-67.144859,-55.63374,-47.35911,-36.576347,-28.765493,-16.942209,0,0,0,0
102,-95.193486,-100.40033,-91.02938,-77.641235,-67.138865,-55.628774,-47.354883,-36.573082,-28.762926,-16.940696,0,0,0,0
103,-95.184989,-100.39136,-91.021254,-77.634304,-67.132872,-55.623808,-47.350656,-36.569817,-28.760358,-16.939184,0,0,0,0
104,-95.176491,-100.3824,-91.013128,-77.627373,-67.126879,-55.618842,-47.346428,-36.566553,-28.757791,-16.937672,0,0,0,0
105,-95.167993,-100.37344,-91.005002,-77.620442,-67.120885,-55.613876,-47.342201,-36.563288,-28.755223,-16.93616,0,0,0,0
106,-95.159496,-100.36448,-90.996876,-77.613511,-67.114892,-55.608911,-47.337974,-36.560023,-28.752655,-16.934647,0,0,0,0
107,-95.150998,-100.35551,-90.98875,-77.60658,-67.108899,-55.603945,-47.333747,-36.556758,-28.750088,-16.933135,0,0,0,0
108,-95.1425,-100.34655,-90.980624,-77.599649,-67.102905,-55.598979,-47.329519,-36.553494,-28.74752,-16.931623,0,0,0,0
109,-95.134003,-100.33759,-90.972498,-77.592719,-67.096912,-55.594013,-47.325292,-36.550229,-28.744953,-16.930111,0,0,0,0
110,-95.125505,-100.32863,-90.964372,-77.585788,-67.090919,-55.589047,-47.321065,-36.546964,-28.742385,-16.928598,0,0,0,0
