Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
0,-78.291688,0,0,0,0,0,0,0,0,0,0,-2.6085735,-41.874107,-0.51791005,0,0,0,-3.9291655,0,0
1,-78.201142,0,0,0,0,0,0,0,0,0,0,-2.6055567,-41.825679,-0.51731108,0,0,0,-3.9246214,0,0
2,-78.110597,0,0,0,0,0,0,0,0,0,0,-2.6025398,-41.777251,-0.51671211,0,0,0,-3.9200772,0,0
3,-78.020051,0,0,0,0,0,0,0,0,0,0,-2.599523,-41.728823,-0.51611314,0,0,0,-3.9155331,0,0
4,-77.929506,0,0,0,0,0,0,0,0,0,0,-2.5965061,-41.680395,-0.51551417,0,0,0,-3.910989,0,0
5,-77.83896,0,0,0,0,0,0,0,0,0,0,-2.5934892,-41.631967,-0.5149152,0,0,0,-3.9064448,0,0
6,-77.748415,0,0,0,0,0,0,0,0,0,0,-2.5904724,-41.583539,-0.51431623,0,0,0,-3.9019007,0,0
7,-77.657869,0,0,0,0,0,0,0,0,0,0,-2.5874555,-41.535111,-0.51371726,0,0,0,-3.8973566,0,0
8,-77.567324,0,0,0,0,0,0,0,0,0,0,-2.5844387,-41.486683,-0.51311829,0,0,0,-3.8928124,0,0
9,-77.476779,0,0,0,0,0,0,0,0,0,0,-2.5814218,-41.438255,-0.51251932,0,0,0,-3.8882683,0,0
10,-77.386233,0,0,0,0,0,0,0,0,0,0,-2.578405,-41.389827,-0.51192035,0,0,0,-3.8837241,0,0
11,-77.295688,0,0,0,0,0,0,0,0,0,0,-2.5753881,-41.341399,-0.51132138,0,0,0,-3.87918,0,0
12,-77.205142,0,0,0,0,0,0,0,0,0,0,-2.5723713,-41.292971,-0.51072241,0,0,0,-3.8746359,0,0
13,-77.114597,0,0,0,0,0,0,0,0,0,0,-2.5693544,-41.244543,-0.51012344,0,0,0,-3.8700917,0,0
14,-77.024051,0,0,0,0,0,0,0,0,0,0,-2.5663376,-41.196115,-0.50952447,0,0,0,-3.8655476,0,0
15,-76.933506,0,0,0,0,0,0,0,0,0,0,-2.5633207,-41.147687,-0.5089255,0,0,0,-3.8610035,0,0
16,-76.84296,0,0,0,0,0,0,0,0,0,0,-2.5603039,-41.099259,-0.50832653,0,0,0,-3.8564593,0,0
17,-76.752415,0,0,0,0,0,0,0,0,0,0,-2.557287,-41.050831,-0.50772756,0,0,0,-3.8519152,0,0
18,-76.66187,0,0,0,0,0,0,0,0,0,0,-2.5542702,-41.002403,-0.50712859,0,0,0,-3.8473711,0,0
19,-76.571324,0,0,0,0,0,0,0,0,0,0,-2.5512533,-40.953975,-0.50652962,0,0,0,-3.8428269,0,0
20,-76.480779,0,0,0,0,0,0,0,0,0,0,-2.5482365,-40.905547,-0.50593065,0,0,0,-3.8382828,0,0
21,-76.390233,0,0,0,0,0,0,0,0,0,0,-2.5452196,-40.857119,-0.50533167,0,0,0,-3.8337387,0,0
22,-76.299688,0,0,0,0,0,0,0,0,0,0,-2.5422028,-40.808691,-0.5047327,0,0,0,-3.8291945,0,0
23,-76.209142,0,0,0,0,0,0,0,0,0,0,-2.5391859,-40.760263,-0.50413373,0,0,0,-3.8246504,0,0
24,-76.118597,0,0,0,0,0,0,0,0,0,0,-2.5361691,-40.711835,-0.50353476,0,0,0,-3.8201062,0,0
25,-76.028051,0,0,0,0,0,0,0,0,0,0,-2.5331522,-40.663407,-0.50293579,0,0,0,-3.8155621,0,0
26,-75.937506,0,0,0,0,0,0,0,0,0,0,-2.5301354,-40.614979,-0.50233682,0,0,0,-3.811018,0,0
27,-75.84696,0,0,0,0,0,0,0,0,0,0,-2.5271185,-40.566551,-0.50173785,0,0,0,-3.8064738,0,0
28,-75.756415,0,0,0,0,0,0,0,0,0,0,-2.5241016,-40.518123,-0.50113888,0,0,0,-3.8019297,0,0
29,-75.66587,0,0,0,0,0,0,0,0,0,0,-2.5210848,-40.469695,-0.50053991,0,0,0,-3.7973856,0,0
30,-75.575324,0,0,0,0,0,0,0,0,0,0,-2.5180679,-40.421267,-0.49994094,0,0,0,-3.7928414,0,0
31,-75.484779,0,0,0,0,0,0,0,0,0,0,-2.5150511,-40.372839,-0.49934197,0,0,0,-3.7882973,0,0
32,-75.394233,0,0,0,0,0,0,0,0,0,0,-2.5120342,-40.324411,-0.498743,0,0,0,-3.7837532,0,0
33,-75.303688,0,0,0,0,0,0,0,0,0,0,-2.5090174,-40.275983,-0.49814403,0,0,0,-3.779209,0,0
34,-75.213142,0,0,0,0,0,0,0,0,0,0,-2.5060005,-40.227555,-0.49754506,0,0,0,-3.7746649,0,0
35,-75.122597,0,0,0,0,0,0,0,0,0,0,-2.5029837,-40.179127,-0.49694609,0,0,0,-3.7701208,0,0
36,-75.032051,0,0,0,0,0,0,0,0,0,0,-2.4999668,-40.130699,-0.49634712,0,0,0,-3.7655766,0,0
37,-74.941506,0,0,0,0,0,0,0,0,0,0,-2.49695,-40.082271,-0.49574815,0,0,0,-3.7610325,0,0
38,-74.85096,0,0,0,0,0,0,0,0,0,0,-2.4939331,-40.033843,-0.49514918,0,0,0,-3.7564883,0,0
39,-74.760415,0,0,0,0,0,0,0,0,0,0,-2.4909163,-39.985415,-0.49455021,0,0,0,-3.7519442,0,0
40,-74.66987,0,0,0,0,0,0,0,0,0,0,-2.4878994,-39.936987,-0.49395124,0,0,0,-3.7474001,0,0
41,-74.579324,0,0,0,0,0,0,0,0,0,0,-2.4848826,-39.888559,-0.49335227,0,0,0,-3.7428559,0,0
42,-74.488779,0,0,0,0,0,0,0,0,0,0,-2.4818657,-39.840131,-0.4927533,0,0,0,-3.7383118,0,0
43,-74.398233,0,0,0,0,0,0,0,0,0,0,-2.4788489,-39.791703,-0.49215433,0,0,0,-3.7337677,0,0
44,-74.307688,0,0,0,0,0,0,0,0,0,0,-2.475832,-39.743275,-0.49155536,0,0,0,-3.7292235,0,0
45,-74.217142,0,0,0,0,0,0,0,0,0,0,-2.4728152,-39.694847,-0.49095639,0,0,0,-3.7246794,0,0
46,-74.126597,0,0,0,0,0,0,0,0,0,0,-2.4697983,-39.646419,-0.49035742,0,0,0,-3.7201353,0,0
47,-74.036051,0,0,0,0,0,0,0,0,0,0,-2.4667815,-39.597991,-0.48975845,0,0,0,-3.7155911,0,0
48,-73.945506,0,0,0,0,0,0,0,0,0,0,-2.4637646,-39.549563,-0.48915948,0,0,0,-3.711047,0,0
49,-73.854961,0,0,0,0,0,0,0,0,0,0,-2.4607477,-39.501135,-0.48856051,0,0,0,-3.7065028,0,0
50,-73.764415,0,0,0,0,0,0,0,0,0,0,-2.4577309,-39.452707,-0.48796153,0,0,0,-3.7019587,0,0
51,-73.67387,0,0,0,0,0,0,0,0,0,0,-2.454714,-39.404279,-0.48736256,0,0,0,-3.6974146,0,0
52,-73.583324,0,0,0,0,0,0,0,0,0,0,-2.4516972,-39.355851,-0.48676359,0,0,0,-3.6928704,0,0
53,-73.492779,0,0,0,0,0,0,0,0,0,0,-2.4486803,-39.307423,-0.48616462,0,0,0,-3.6883263,0,0
54,-73.402233,0,0,0,0,0,0,0,0,0,0,-2.4456635,-39.258995,-0.48556565,0,0,0,-3.6837822,0,0
55,-73.311688,0,0,0,0,0,0,0,0,0,0,-2.4426466,-39.210567,-0.48496668,0,0,0,-3.679238,0,0
56,-73.221142,0,0,0,0,0,0,0,0,0,0,-2.4396298,-39.162139,-0.48436771,0,0,0,-3.6746939,0,0
57,-73.130597,0,0,0,0,0,0,0,0,0,0,-2.4366129,-39.113711,-0.48376874,0,0,0,-3.6701498,0,0
58,-73.040051,0,0,0,0,0,0,0,0,0,0,-2.4335961,-39.065283,-0.48316977,0,0,0,-3.6656056,0,0
59,-72.949506,0,0,0,0,0,0,0,0,0,0,-2.4305792,-39.016855,-0.4825708,0,0,0,-3.6610615,0,0
60,-72.858961,0,0,0,0,0,0,0,0,0,0,-2.4275624,-38.968427,-0.48197183,0,0,0,-3.6565174,0,0
61,-72.768415,0,0,0,0,0,0,0,0,0,0,-2.4245455,-38.919999,-0.48137286,0,0,0,-3.6519732,0,0
62,-72.67787,0,0,0,0,0,0,0,0,0,0,-2.4215287,-38.871571,-0.48077389,0,0,0,-3.6474291,0,0
63,-72.587324,0,0,0,0,0,0,0,0,0,0,-2.4185118,-38.823143,-0.48017492,0,0,0,-3.6428849,0,0
64,-72.496779,0,0,0,0,0,0,0,0,0,0,-2.415495,-38.774715,-0.47957595,0,0,0,-3.6383408,0,0
65,-72.406233,0,0,0,0,0,0,0,0,0,0,-2.4124781,-38.726287,-0.47897698,0,0,0,-3.6337967,0,0
66,-72.315688,0,0,0,0,0,0,0,0,0,0,-2.4094613,-38.677859,-0.47837801,0,0,0,-3.6292525,0,0
67,-72.225142,0,0,0,0,0,0,0,0,0,0,-2.4064444,-38.629431,-0.47777904,0,0,0,-3.6247084,0,0
68,-72.134597,0,0,0,0,0,0,0,0,0,0,-2.4034276,-38.581003,-0.47718007,0,0,0,-3.6201643,0,0
69,-72.044052,0,0,0,0,0,0,0,0,0,0,-2.4004107,-38.532575,-0.4765811,0,0,0,-3.6156201,0,0
70,-71.953506,0,0,0,0,0,0,0,0,0,0,-2.3973938,-38.484147,-0.47598213,0,0,0,-3.611076,0,0
71,-71.862961,0,0,0,0,0,0,0,0,0,0,-2.394377,-38.435719,-0.47538316,0,0,0,-3.6065319,0,0
72,-71.772415,0,0,0,0,0,0,0,0,0,0,-2.3913601,-38.387291,-0.47478419,0,0,0,-3.6019877,0,0
73,-71.68187,0,0,0,0,0,0,0,0,0,0,-2.3883433,-38.338863,-0.47418522,0,0,0,-3.5974436,0,0
74,-71.591324,0,0,0,0,0,0,0,0,0,0,-2.3853264,-38.290435,-0.47358625,0,0,0,-3.5928995,0,0
75,-71.500779,0,0,0,0,0,0,0,0,0,0,-2.3823096,-38.242007,-0.47298728,0,0,0,-3.5883553,0,0
76,-71.410233,0,0,0,0,0,0,0,0,0,0,-2.3792927,-38.193579,-0.47238831,0,0,0,-3.5838112,0,0
77,-71.319688,0,0,0,0,0,0,0,0,0,0,-2.3762759,-38.145151,-0.47178934,0,0,0,-3.579267,0,0
78,-71.229142,0,0,0,0,0,0,0,0,0,0,-2.373259,-38.096723,-0.47119037,0,0,0,-3.5747229,0,0
79,-71.138597,0,0,0,0,0,0,0,0,0,0,-2.3702422,-38.048295,-0.47059139,0,0,0,-3.5701788,0,0
80,-71.048052,0,0,0,0,0,0,0,0,0,0,-2.3672253,-37.999867,-0.46999242,0,0,0,-3.5656346,0,0
81,-70.957506,0,0,0,0,0,0,0,0,0,0,-2.3642085,-37.951439,-0.46939345,0,0,0,-3.5610905,0,0
82,-70.866961,0,0,0,0,0,0,0,0,0,0,-2.3611916,-37.903011,-0.46879448,0,0,0,-3.5565464,0,0
83,-70.776415,0,0,0,0,0,0,0,0,0,0,-2.3581748,-37.854583,-0.46819551,0,0,0,-3.5520022,0,0
84,-70.68587,0,0,0,0,0,0,0,0,0,0,-2.3551579,-37.806155,-0.46759654,0,0,0,-3.5474581,0,0
85,-70.595324,0,0,0,0,0,0,0,0,0,0,-2.3521411,-37.757727,-0.46699757,0,0,0,-3.542914,0,0
