Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
0,-2.5273078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19879116,-0.66707171,-0.2272846,0,0,0,0,0,-0.099276633,-0.86322784,-1.8875227,-0.49038762,0,0,0,0,0,0,-0.046364631,-0.10714632,0,0,0,0,0,0,0,0,0,0,0
1,-2.4847144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19544087,-0.65582935,-0.2234541,0,0,0,0,0,-0.097603494,-0.84867961,-1.8557118,-0.48212297,0,0,0,0,0,0,-0.045583235,-0.10534056,0,0,0,0,0,0,0,0,0,0,0
2,-2.4421209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19209059,-0.644587,-0.21962361,0,0,0,0,0,-0.095930356,-0.83413138,-1.8239008,-0.47385832,0,0,0,0,0,0,-0.044801838,-0.10353479,0,0,0,0,0,0,0,0,0,0,0
3,-2.3995274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1887403,-0.63334464,-0.21579311,0,0,0,0,0,-0.094257218,-0.81958314,-1.7920898,-0.46559368,0,0,0,0,0,0,-0.044020441,-0.10172902,0,0,0,0,0,0,0,0,0,0,0
4,-2.356934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18539002,-0.62210229,-0.21196262,0,0,0,0,0,-0.092584079,-0.80503491,-1.7602788,-0.45732903,0,0,0,0,0,0,-0.043239044,-0.09992325,0,0,0,0,0,0,0,0,0,0,0
5,-2.3143405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18203973,-0.61085993,-0.20813213,0,0,0,0,0,-0.090910941,-0.79048668,-1.7284678,-0.44906438,0,0,0,0,0,0,-0.042457648,-0.098117482,0,0,0,0,0,0,0,0,0,0,0
6,-2.271747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17868944,-0.59961758,-0.20430163,0,0,0,0,0,-0.089237803,-0.77593845,-1.6966569,-0.44079974,0,0,0,0,0,0,-0.041676251,-0.096311713,0,0,0,0,0,0,0,0,0,0,0
7,-2.2291536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17533916,-0.58837522,-0.20047114,0,0,0,0,0,-0.087564665,-0.76139021,-1.6648459,-0.43253509,0,0,0,0,0,0,-0.040894854,-0.094505945,0,0,0,0,0,0,0,0,0,0,0
8,-2.1865601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17198887,-0.57713286,-0.19664064,0,0,0,0,0,-0.085891526,-0.74684198,-1.6330349,-0.42427044,0,0,0,0,0,0,-0.040113457,-0.092700176,0,0,0,0,0,0,0,0,0,0,0
9,-2.1439667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16863859,-0.56589051,-0.19281015,0,0,0,0,0,-0.084218388,-0.73229375,-1.6012239,-0.4160058,0,0,0,0,0,0,-0.03933206,-0.090894408,0,0,0,0,0,0,0,0,0,0,0
10,-2.1013732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1652883,-0.55464815,-0.18897966,0,0,0,0,0,-0.08254525,-0.71774552,-1.569413,-0.40774115,0,0,0,0,0,0,-0.038550664,-0.089088639,0,0,0,0,0,0,0,0,0,0,0
11,-2.0587797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16193801,-0.5434058,-0.18514916,0,0,0,0,0,-0.080872111,-0.70319728,-1.537602,-0.3994765,0,0,0,0,0,0,-0.037769267,-0.087282871,0,0,0,0,0,0,0,0,0,0,0
12,-2.0161863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15858773,-0.53216344,-0.18131867,0,0,0,0,0,-0.079198973,-0.68864905,-1.505791,-0.39121186,0,0,0,0,0,0,-0.03698787,-0.085477102,0,0,0,0,0,0,0,0,0,0,0
13,-1.9735928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15523744,-0.52092109,-0.17748817,0,0,0,0,0,-0.077525835,-0.67410082,-1.47398,-0.38294721,0,0,0,0,0,0,-0.036206473,-0.083671334,0,0,0,0,0,0,0,0,0,0,0
14,-1.9309993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15188716,-0.50967873,-0.17365768,0,0,0,0,0,-0.075852697,-0.65955259,-1.4421691,-0.37468256,0,0,0,0,0,0,-0.035425077,-0.081865565,0,0,0,0,0,0,0,0,0,0,0
15,-1.8884059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14853687,-0.49843637,-0.16982718,0,0,0,0,0,-0.074179558,-0.64500435,-1.4103581,-0.36641792,0,0,0,0,0,0,-0.03464368,-0.080059797,0,0,0,0,0,0,0,0,0,0,0
16,-1.8458124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14518659,-0.48719402,-0.16599669,0,0,0,0,0,-0.07250642,-0.63045612,-1.3785471,-0.35815327,0,0,0,0,0,0,-0.033862283,-0.078254028,0,0,0,0,0,0,0,0,0,0,0
