X coord (mm),Y coord (mm)
8.43014,4.23195
3.26729,0.200193
4.97637,0.107944
6.78317,0.0049161
8.48448,0.166281
1.76489,1.33492
3.18965,1.15424
4.93915,1.15443
6.72842,1.1735
8.47324,1.20411
10.2329,1.21301
11.9011,1.27296
13.2621,1.96419
0.548557,3.14238
1.41655,2.93945
3.16719,2.94695
4.88469,2.90853
6.68924,2.9413
8.39634,2.96338
10.1359,2.92532
11.9253,2.92757
13.6681,2.99428
0.363621,5.19407
1.49887,4.73999
3.13008,4.76198
4.91304,4.67608
6.73923,4.68586
8.45458,4.69988
10.1773,4.74275
11.9168,4.67775
13.6906,4.71184
0.204088,5.91604
1.44423,6.45264
3.21619,6.43258
4.88011,6.4181
6.74423,6.4771
8.3891,6.45934
10.1762,6.40678
11.9396,6.43745
13.7079,6.44155
2.01479,7.99739
3.23609,8.24997
5.00706,8.19478
6.61378,8.17412
8.48473,8.20118
10.2081,8.2208
11.929,8.02128
13.0679,7.72275
