Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa)
0,-3.6129982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10200046,-1.0452684,-1.022196,-0.01751669,0,0,0,0,0,0,-0.071860683,-0.53583815,-1.9610717,-2.5817773,-0.12691031,0,0,0,0,0,0,-0.013003349,-0.12868073,-0.34571969,-0.19989045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-3.6043817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10175721,-1.0427756,-1.0197582,-0.017474915,0,0,0,0,0,0,-0.071689305,-0.53456026,-1.9563948,-2.5756201,-0.12660765,0,0,0,0,0,0,-0.012972338,-0.12837384,-0.3448952,-0.19941374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-3.5957652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10151395,-1.0402828,-1.0173204,-0.01743314,0,0,0,0,0,0,-0.071517928,-0.53328236,-1.9517179,-2.5694629,-0.12630498,0,0,0,0,0,0,-0.012941326,-0.12806695,-0.34407071,-0.19893703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-3.5871487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10127069,-1.03779,-1.0148826,-0.017391365,0,0,0,0,0,0,-0.071346551,-0.53200446,-1.9470411,-2.5633057,-0.12600232,0,0,0,0,0,0,-0.012910315,-0.12776007,-0.34324622,-0.19846032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-3.5785322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10102744,-1.0352972,-1.0124448,-0.017349591,0,0,0,0,0,0,-0.071175173,-0.53072656,-1.9423642,-2.5571486,-0.12569966,0,0,0,0,0,0,-0.012879304,-0.12745318,-0.34242173,-0.19798361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-3.5699157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10078418,-1.0328043,-1.010007,-0.017307816,0,0,0,0,0,0,-0.071003796,-0.52944867,-1.9376873,-2.5509914,-0.12539699,0,0,0,0,0,0,-0.012848293,-0.1271463,-0.34159723,-0.1975069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-3.5612993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10054092,-1.0303115,-1.0075692,-0.017266041,0,0,0,0,0,0,-0.070832418,-0.52817077,-1.9330104,-2.5448342,-0.12509433,0,0,0,0,0,0,-0.012817282,-0.12683941,-0.34077274,-0.19703019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-3.5526828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10029767,-1.0278187,-1.0051315,-0.017224266,0,0,0,0,0,0,-0.070661041,-0.52689287,-1.9283336,-2.5386771,-0.12479167,0,0,0,0,0,0,-0.012786271,-0.12653253,-0.33994825,-0.19655348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-3.5440663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10005441,-1.0253259,-1.0026937,-0.017182491,0,0,0,0,0,0,-0.070489663,-0.52561498,-1.9236567,-2.5325199,-0.12448901,0,0,0,0,0,0,-0.01275526,-0.12622564,-0.33912376,-0.19607677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-3.5354498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.099811155,-1.0228331,-1.0002559,-0.017140717,0,0,0,0,0,0,-0.070318286,-0.52433708,-1.9189798,-2.5263627,-0.12418634,0,0,0,0,0,0,-0.012724249,-0.12591876,-0.33829927,-0.19560006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-3.5268333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.099567898,-1.0203403,-0.99781808,-0.017098942,0,0,0,0,0,0,-0.070146909,-0.52305918,-1.9143029,-2.5202056,-0.12388368,0,0,0,0,0,0,-0.012693237,-0.12561187,-0.33747477,-0.19512335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-3.5182168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.099324642,-1.0178474,-0.99538029,-0.017057167,0,0,0,0,0,0,-0.069975531,-0.52178128,-1.9096261,-2.5140484,-0.12358102,0,0,0,0,0,0,-0.012662226,-0.12530499,-0.33665028,-0.19464664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-3.5096004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.099081385,-1.0153546,-0.9929425,-0.017015392,0,0,0,0,0,0,-0.069804154,-0.52050339,-1.9049492,-2.5078912,-0.12327835,0,0,0,0,0,0,-0.012631215,-0.1249981,-0.33582579,-0.19416993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
