Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
21,-95.881799,0,0,0,0,0,0,0,0,-3.8178163,-1.6445767,0,0,0,0,0,-4.6543577,-46.227041,-45.906942,0,0,0,0,0,-0.10189723,-2.313354,0,0,0,0,0,0,0,0,0
22,-95.873301,0,0,0,0,0,0,0,0,-3.8174779,-1.6444309,0,0,0,0,0,-4.6539452,-46.222944,-45.902874,0,0,0,0,0,-0.1018882,-2.313149,0,0,0,0,0,0,0,0,0
23,-95.864804,0,0,0,0,0,0,0,0,-3.8171396,-1.6442852,0,0,0,0,0,-4.6535327,-46.218847,-45.898805,0,0,0,0,0,-0.10187917,-2.3129439,0,0,0,0,0,0,0,0,0
24,-95.856306,0,0,0,0,0,0,0,0,-3.8168012,-1.6441394,0,0,0,0,0,-4.6531202,-46.21475,-45.894736,0,0,0,0,0,-0.10187014,-2.3127389,0,0,0,0,0,0,0,0,0
25,-95.847808,0,0,0,0,0,0,0,0,-3.8164628,-1.6439936,0,0,0,0,0,-4.6527077,-46.210653,-45.890668,0,0,0,0,0,-0.10186111,-2.3125339,0,0,0,0,0,0,0,0,0
26,-95.839311,0,0,0,0,0,0,0,0,-3.8161245,-1.6438479,0,0,0,0,0,-4.6522952,-46.206556,-45.886599,0,0,0,0,0,-0.10185208,-2.3123289,0,0,0,0,0,0,0,0,0
27,-95.830813,0,0,0,0,0,0,0,0,-3.8157861,-1.6437021,0,0,0,0,0,-4.6518827,-46.202459,-45.882531,0,0,0,0,0,-0.10184305,-2.3121238,0,0,0,0,0,0,0,0,0
28,-95.822315,0,0,0,0,0,0,0,0,-3.8154478,-1.6435564,0,0,0,0,0,-4.6514702,-46.198362,-45.878462,0,0,0,0,0,-0.10183402,-2.3119188,0,0,0,0,0,0,0,0,0
29,-95.813818,0,0,0,0,0,0,0,0,-3.8151094,-1.6434106,0,0,0,0,0,-4.6510577,-46.194266,-45.874394,0,0,0,0,0,-0.10182498,-2.3117138,0,0,0,0,0,0,0,0,0
30,-95.80532,0,0,0,0,0,0,0,0,-3.814771,-1.6432649,0,0,0,0,0,-4.6506452,-46.190169,-45.870325,0,0,0,0,0,-0.10181595,-2.3115088,0,0,0,0,0,0,0,0,0
31,-95.796822,0,0,0,0,0,0,0,0,-3.8144327,-1.6431191,0,0,0,0,0,-4.6502327,-46.186072,-45.866256,0,0,0,0,0,-0.10180692,-2.3113037,0,0,0,0,0,0,0,0,0
32,-95.788324,0,0,0,0,0,0,0,0,-3.8140943,-1.6429734,0,0,0,0,0,-4.6498202,-46.181975,-45.862188,0,0,0,0,0,-0.10179789,-2.3110987,0,0,0,0,0,0,0,0,0
33,-95.779827,0,0,0,0,0,0,0,0,-3.8137559,-1.6428276,0,0,0,0,0,-4.6494077,-46.177878,-45.858119,0,0,0,0,0,-0.10178886,-2.3108937,0,0,0,0,0,0,0,0,0
34,-95.771329,0,0,0,0,0,0,0,0,-3.8134176,-1.6426819,0,0,0,0,0,-4.6489952,-46.173781,-45.854051,0,0,0,0,0,-0.10177983,-2.3106887,0,0,0,0,0,0,0,0,0
