VF 4.56 - 77 spikes (aligned):
Time (ms) | Firing Rate (Hz)
------------------------------
46.00 | 0.00
60.00 | 71.43
70.00 | 100.00
78.00 | 125.00
85.00 | 142.86
91.00 | 166.67
97.00 | 166.67
102.00 | 200.00
107.00 | 200.00
112.00 | 200.00
117.00 | 200.00
122.00 | 200.00
127.00 | 200.00
132.00 | 200.00
136.00 | 250.00
140.00 | 250.00
145.00 | 200.00
150.00 | 200.00
155.00 | 200.00
160.00 | 200.00
165.00 | 200.00
170.00 | 200.00
176.00 | 166.67
182.00 | 166.67
188.00 | 166.67
195.00 | 142.86
202.00 | 142.86
210.00 | 125.00
219.00 | 111.11
229.00 | 100.00
240.00 | 90.91
253.00 | 76.92
268.00 | 66.67
285.00 | 58.82
305.00 | 50.00
327.00 | 45.45
351.00 | 41.67
377.00 | 38.46
404.00 | 37.04
432.00 | 35.71
460.00 | 35.71
489.00 | 34.48
519.00 | 33.33
550.00 | 32.26
581.00 | 32.26
614.00 | 30.30
650.00 | 27.78
688.00 | 26.32
726.00 | 26.32
765.00 | 25.64
801.00 | 27.78
827.00 | 38.46
844.00 | 58.82
856.00 | 83.33
866.00 | 100.00
875.00 | 111.11
883.00 | 125.00
890.00 | 142.86
896.00 | 166.67
902.00 | 166.67
907.00 | 200.00
912.00 | 200.00
917.00 | 200.00
922.00 | 200.00
927.00 | 200.00
932.00 | 200.00
937.00 | 200.00
942.00 | 200.00
947.00 | 200.00
952.00 | 200.00
957.00 | 200.00
962.00 | 200.00
968.00 | 166.67
974.00 | 166.67
981.00 | 142.86
988.00 | 142.86
996.00 | 125.00
