VF 4.56 - 308 spikes:
Time (ms) | Firing Rate (Hz)
------------------------------
142.00 | 0.00
181.00 | 25.64
208.00 | 37.04
231.00 | 43.48
251.00 | 50.00
268.00 | 58.82
283.00 | 66.67
297.00 | 71.43
310.00 | 76.92
322.00 | 83.33
334.00 | 83.33
345.00 | 90.91
356.00 | 90.91
366.00 | 100.00
376.00 | 100.00
385.00 | 111.11
394.00 | 111.11
402.00 | 125.00
410.00 | 125.00
418.00 | 125.00
426.00 | 125.00
433.00 | 142.86
440.00 | 142.86
447.00 | 142.86
454.00 | 142.86
461.00 | 142.86
468.00 | 142.86
474.00 | 166.67
480.00 | 166.67
486.00 | 166.67
492.00 | 166.67
498.00 | 166.67
504.00 | 166.67
510.00 | 166.67
516.00 | 166.67
522.00 | 166.67
528.00 | 166.67
534.00 | 166.67
540.00 | 166.67
546.00 | 166.67
551.00 | 200.00
556.00 | 200.00
561.00 | 200.00
566.00 | 200.00
571.00 | 200.00
576.00 | 200.00
581.00 | 200.00
586.00 | 200.00
591.00 | 200.00
596.00 | 200.00
601.00 | 200.00
606.00 | 200.00
611.00 | 200.00
616.00 | 200.00
621.00 | 200.00
626.00 | 200.00
631.00 | 200.00
636.00 | 200.00
641.00 | 200.00
646.00 | 200.00
651.00 | 200.00
656.00 | 200.00
661.00 | 200.00
666.00 | 200.00
671.00 | 200.00
676.00 | 200.00
681.00 | 200.00
686.00 | 200.00
691.00 | 200.00
696.00 | 200.00
701.00 | 200.00
706.00 | 200.00
711.00 | 200.00
716.00 | 200.00
721.00 | 200.00
726.00 | 200.00
731.00 | 200.00
736.00 | 200.00
741.00 | 200.00
746.00 | 200.00
752.00 | 166.67
758.00 | 166.67
764.00 | 166.67
770.00 | 166.67
776.00 | 166.67
782.00 | 166.67
788.00 | 166.67
794.00 | 166.67
800.00 | 166.67
806.00 | 166.67
812.00 | 166.67
818.00 | 166.67
824.00 | 166.67
830.00 | 166.67
836.00 | 166.67
842.00 | 166.67
848.00 | 166.67
854.00 | 166.67
861.00 | 142.86
868.00 | 142.86
875.00 | 142.86
882.00 | 142.86
889.00 | 142.86
896.00 | 142.86
903.00 | 142.86
910.00 | 142.86
917.00 | 142.86
924.00 | 142.86
932.00 | 125.00
940.00 | 125.00
948.00 | 125.00
956.00 | 125.00
964.00 | 125.00
973.00 | 111.11
982.00 | 111.11
991.00 | 111.11
1000.00 | 111.11
1009.00 | 111.11
1019.00 | 100.00
1029.00 | 100.00
1039.00 | 100.00
1050.00 | 90.91
1061.00 | 90.91
1073.00 | 83.33
1085.00 | 83.33
1097.00 | 83.33
1110.00 | 76.92
1123.00 | 76.92
1137.00 | 71.43
1152.00 | 66.67
1168.00 | 62.50
1184.00 | 62.50
1201.00 | 58.82
1219.00 | 55.56
1239.00 | 50.00
1260.00 | 47.62
1283.00 | 43.48
1307.00 | 41.67
1334.00 | 37.04
1363.00 | 34.48
1395.00 | 31.25
1430.00 | 28.57
1468.00 | 26.32
1510.00 | 23.81
1555.00 | 22.22
1604.00 | 20.41
1655.00 | 19.61
1708.00 | 18.87
1763.00 | 18.18
1819.00 | 17.86
1876.00 | 17.54
1934.00 | 17.24
1992.00 | 17.24
2050.00 | 17.24
2107.00 | 17.54
2164.00 | 17.54
2219.00 | 18.18
2272.00 | 18.87
2324.00 | 19.23
2375.00 | 19.61
2426.00 | 19.61
2477.00 | 19.61
2528.00 | 19.61
2579.00 | 19.61
2630.00 | 19.61
2680.00 | 20.00
2730.00 | 20.00
2779.00 | 20.41
2828.00 | 20.41
2877.00 | 20.41
2926.00 | 20.41
2976.00 | 20.00
3028.00 | 19.23
3081.00 | 18.87
3136.00 | 18.18
3192.00 | 17.86
3248.00 | 17.86
3304.00 | 17.86
3359.00 | 18.18
3413.00 | 18.52
3467.00 | 18.52
3521.00 | 18.52
3575.00 | 18.52
3628.00 | 18.87
3681.00 | 18.87
3734.00 | 18.87
3786.00 | 19.23
3837.00 | 19.61
3885.00 | 20.83
3931.00 | 21.74
3974.00 | 23.26
4012.00 | 26.32
4046.00 | 29.41
4075.00 | 34.48
4101.00 | 38.46
4125.00 | 41.67
4147.00 | 45.45
4167.00 | 50.00
4184.00 | 58.82
4200.00 | 62.50
4215.00 | 66.67
4229.00 | 71.43
4242.00 | 76.92
4255.00 | 76.92
4267.00 | 83.33
4279.00 | 83.33
4290.00 | 90.91
4301.00 | 90.91
4311.00 | 100.00
4321.00 | 100.00
4331.00 | 100.00
4341.00 | 100.00
4350.00 | 111.11
4359.00 | 111.11
4368.00 | 111.11
4377.00 | 111.11
4386.00 | 111.11
4395.00 | 111.11
4404.00 | 111.11
4412.00 | 125.00
4420.00 | 125.00
4428.00 | 125.00
4435.00 | 142.86
4442.00 | 142.86
4449.00 | 142.86
4456.00 | 142.86
4463.00 | 142.86
4470.00 | 142.86
4476.00 | 166.67
4482.00 | 166.67
4488.00 | 166.67
4494.00 | 166.67
4500.00 | 166.67
4506.00 | 166.67
4512.00 | 166.67
4518.00 | 166.67
4524.00 | 166.67
4530.00 | 166.67
4536.00 | 166.67
4542.00 | 166.67
4548.00 | 166.67
4554.00 | 166.67
4560.00 | 166.67
4566.00 | 166.67
4572.00 | 166.67
4577.00 | 200.00
4582.00 | 200.00
4587.00 | 200.00
4592.00 | 200.00
4597.00 | 200.00
4602.00 | 200.00
4607.00 | 200.00
4612.00 | 200.00
4617.00 | 200.00
4622.00 | 200.00
4627.00 | 200.00
4632.00 | 200.00
4637.00 | 200.00
4642.00 | 200.00
4647.00 | 200.00
4652.00 | 200.00
4657.00 | 200.00
4662.00 | 200.00
4667.00 | 200.00
4672.00 | 200.00
4677.00 | 200.00
4682.00 | 200.00
4688.00 | 166.67
4694.00 | 166.67
4700.00 | 166.67
4706.00 | 166.67
4712.00 | 166.67
4718.00 | 166.67
4724.00 | 166.67
4730.00 | 166.67
4736.00 | 166.67
4742.00 | 166.67
4748.00 | 166.67
4754.00 | 166.67
4760.00 | 166.67
4766.00 | 166.67
4772.00 | 166.67
4778.00 | 166.67
4784.00 | 166.67
4791.00 | 142.86
4798.00 | 142.86
4805.00 | 142.86
4812.00 | 142.86
4819.00 | 142.86
4826.00 | 142.86
4833.00 | 142.86
4840.00 | 142.86
4847.00 | 142.86
4855.00 | 125.00
4863.00 | 125.00
4871.00 | 125.00
4879.00 | 125.00
4888.00 | 111.11
4897.00 | 111.11
4906.00 | 111.11
4915.00 | 111.11
4925.00 | 100.00
4935.00 | 100.00
4945.00 | 100.00
4956.00 | 90.91
4967.00 | 90.91
4979.00 | 83.33
4992.00 | 76.92
