VF 4.31 - 60 spikes (aligned):
Time (ms) | Firing Rate (Hz)
------------------------------
57.00 | 0.00
67.00 | 100.00
74.00 | 142.86
81.00 | 142.86
87.00 | 166.67
93.00 | 166.67
98.00 | 200.00
103.00 | 200.00
108.00 | 200.00
113.00 | 200.00
118.00 | 200.00
123.00 | 200.00
128.00 | 200.00
134.00 | 166.67
140.00 | 166.67
146.00 | 166.67
152.00 | 166.67
159.00 | 142.86
166.00 | 142.86
174.00 | 125.00
183.00 | 111.11
193.00 | 100.00
204.00 | 90.91
217.00 | 76.92
233.00 | 62.50
252.00 | 52.63
275.00 | 43.48
302.00 | 37.04
333.00 | 32.26
365.00 | 31.25
397.00 | 31.25
433.00 | 27.78
473.00 | 25.00
514.00 | 24.39
557.00 | 23.26
605.00 | 20.83
655.00 | 20.00
708.00 | 18.87
764.00 | 17.86
817.00 | 18.87
843.00 | 38.46
858.00 | 66.67
868.00 | 100.00
877.00 | 111.11
884.00 | 142.86
891.00 | 142.86
897.00 | 166.67
903.00 | 166.67
909.00 | 166.67
914.00 | 200.00
920.00 | 166.67
926.00 | 166.67
932.00 | 166.67
938.00 | 166.67
944.00 | 166.67
951.00 | 142.86
958.00 | 142.86
966.00 | 125.00
975.00 | 111.11
986.00 | 90.91
