VF 3.61 - 34 spikes (aligned):
Time (ms) | Firing Rate (Hz)
------------------------------
26.00 | 0.00
33.00 | 142.86
39.00 | 166.67
44.00 | 200.00
50.00 | 166.67
56.00 | 166.67
63.00 | 142.86
71.00 | 125.00
80.00 | 111.11
91.00 | 90.91
104.00 | 76.92
120.00 | 62.50
140.00 | 50.00
166.00 | 38.46
199.00 | 30.30
244.00 | 22.22
303.00 | 16.95
369.00 | 15.15
437.00 | 14.71
514.00 | 12.99
590.00 | 13.16
654.00 | 15.62
741.00 | 11.49
797.00 | 17.86
859.00 | 16.13
907.00 | 20.83
928.00 | 47.62
941.00 | 76.92
951.00 | 100.00
960.00 | 111.11
969.00 | 111.11
978.00 | 111.11
987.00 | 111.11
997.00 | 100.00
