VF 3.61 - 133 spikes:
Time (ms) | Firing Rate (Hz)
------------------------------
244.00 | 0.00
289.00 | 22.22
322.00 | 30.30
351.00 | 34.48
375.00 | 41.67
395.00 | 50.00
412.00 | 58.82
428.00 | 62.50
443.00 | 66.67
457.00 | 71.43
470.00 | 76.92
483.00 | 76.92
496.00 | 76.92
508.00 | 83.33
520.00 | 83.33
532.00 | 83.33
544.00 | 83.33
556.00 | 83.33
568.00 | 83.33
579.00 | 90.91
590.00 | 90.91
601.00 | 90.91
612.00 | 90.91
623.00 | 90.91
634.00 | 90.91
645.00 | 90.91
656.00 | 90.91
667.00 | 90.91
678.00 | 90.91
689.00 | 90.91
700.00 | 90.91
711.00 | 90.91
722.00 | 90.91
733.00 | 90.91
744.00 | 90.91
756.00 | 83.33
768.00 | 83.33
780.00 | 83.33
793.00 | 76.92
806.00 | 76.92
819.00 | 76.92
832.00 | 76.92
846.00 | 71.43
861.00 | 66.67
877.00 | 62.50
894.00 | 58.82
912.00 | 55.56
931.00 | 52.63
951.00 | 50.00
973.00 | 45.45
998.00 | 40.00
1026.00 | 35.71
1058.00 | 31.25
1094.00 | 27.78
1134.00 | 25.00
1178.00 | 22.73
1225.00 | 21.28
1275.00 | 20.00
1328.00 | 18.87
1384.00 | 17.86
1443.00 | 16.95
1506.00 | 15.87
1576.00 | 14.29
1661.00 | 11.76
1791.00 | 7.69
1948.00 | 6.37
2113.00 | 6.06
2242.00 | 7.75
2375.00 | 7.52
2508.00 | 7.52
2655.00 | 6.80
2784.00 | 7.75
2875.00 | 10.99
2948.00 | 13.70
3014.00 | 15.15
3078.00 | 15.62
3151.00 | 13.70
3264.00 | 8.85
3367.00 | 9.71
3433.00 | 15.15
3493.00 | 16.67
3551.00 | 17.24
3617.00 | 15.15
3707.00 | 11.11
3821.00 | 8.77
3889.00 | 14.71
3949.00 | 16.67
4005.00 | 17.86
4061.00 | 17.86
4120.00 | 16.95
4188.00 | 14.71
4252.00 | 15.62
4310.00 | 17.24
4353.00 | 23.26
4388.00 | 28.57
4418.00 | 33.33
4444.00 | 38.46
4466.00 | 45.45
4486.00 | 50.00
4504.00 | 55.56
4521.00 | 58.82
4538.00 | 58.82
4553.00 | 66.67
4568.00 | 66.67
4582.00 | 71.43
4596.00 | 71.43
4609.00 | 76.92
4622.00 | 76.92
4635.00 | 76.92
4647.00 | 83.33
4659.00 | 83.33
4671.00 | 83.33
4683.00 | 83.33
4695.00 | 83.33
4707.00 | 83.33
4719.00 | 83.33
4731.00 | 83.33
4743.00 | 83.33
4755.00 | 83.33
4767.00 | 83.33
4780.00 | 76.92
4793.00 | 76.92
4806.00 | 76.92
4819.00 | 76.92
4833.00 | 71.43
4847.00 | 71.43
4861.00 | 71.43
4876.00 | 66.67
4891.00 | 66.67
4907.00 | 62.50
4924.00 | 58.82
4942.00 | 55.56
4960.00 | 55.56
