VF 4.17 - 225 spikes:
Time (ms) | Firing Rate (Hz)
------------------------------
134.00 | 0.00
176.00 | 23.81
203.00 | 37.04
226.00 | 43.48
246.00 | 50.00
263.00 | 58.82
277.00 | 71.43
290.00 | 76.92
302.00 | 83.33
313.00 | 90.91
324.00 | 90.91
334.00 | 100.00
344.00 | 100.00
353.00 | 111.11
362.00 | 111.11
371.00 | 111.11
379.00 | 125.00
387.00 | 125.00
395.00 | 125.00
403.00 | 125.00
411.00 | 125.00
418.00 | 142.86
425.00 | 142.86
432.00 | 142.86
439.00 | 142.86
446.00 | 142.86
453.00 | 142.86
460.00 | 142.86
467.00 | 142.86
474.00 | 142.86
481.00 | 142.86
487.00 | 166.67
493.00 | 166.67
499.00 | 166.67
505.00 | 166.67
511.00 | 166.67
517.00 | 166.67
523.00 | 166.67
529.00 | 166.67
535.00 | 166.67
541.00 | 166.67
547.00 | 166.67
553.00 | 166.67
559.00 | 166.67
565.00 | 166.67
571.00 | 166.67
577.00 | 166.67
583.00 | 166.67
589.00 | 166.67
595.00 | 166.67
601.00 | 166.67
607.00 | 166.67
613.00 | 166.67
619.00 | 166.67
625.00 | 166.67
631.00 | 166.67
637.00 | 166.67
643.00 | 166.67
649.00 | 166.67
655.00 | 166.67
661.00 | 166.67
668.00 | 142.86
675.00 | 142.86
682.00 | 142.86
689.00 | 142.86
696.00 | 142.86
703.00 | 142.86
710.00 | 142.86
717.00 | 142.86
724.00 | 142.86
731.00 | 142.86
738.00 | 142.86
745.00 | 142.86
753.00 | 125.00
761.00 | 125.00
769.00 | 125.00
777.00 | 125.00
785.00 | 125.00
793.00 | 125.00
802.00 | 111.11
811.00 | 111.11
820.00 | 111.11
829.00 | 111.11
838.00 | 111.11
847.00 | 111.11
857.00 | 100.00
867.00 | 100.00
878.00 | 90.91
889.00 | 90.91
901.00 | 83.33
913.00 | 83.33
926.00 | 76.92
939.00 | 76.92
953.00 | 71.43
968.00 | 66.67
984.00 | 62.50
1001.00 | 58.82
1019.00 | 55.56
1038.00 | 52.63
1059.00 | 47.62
1082.00 | 43.48
1107.00 | 40.00
1134.00 | 37.04
1164.00 | 33.33
1197.00 | 30.30
1234.00 | 27.03
1274.00 | 25.00
1318.00 | 22.73
1366.00 | 20.83
1419.00 | 18.87
1478.00 | 16.95
1545.00 | 14.93
1622.00 | 12.99
1692.00 | 14.29
1756.00 | 15.62
1819.00 | 15.87
1882.00 | 15.87
1947.00 | 15.38
2016.00 | 14.49
2091.00 | 13.33
2171.00 | 12.50
2247.00 | 13.16
2319.00 | 13.89
2390.00 | 14.08
2463.00 | 13.70
2540.00 | 12.99
2620.00 | 12.50
2696.00 | 13.16
2769.00 | 13.70
2841.00 | 13.89
2911.00 | 14.29
2979.00 | 14.71
3048.00 | 14.49
3118.00 | 14.29
3189.00 | 14.08
3260.00 | 14.08
3331.00 | 14.08
3400.00 | 14.49
3468.00 | 14.71
3535.00 | 14.93
3605.00 | 14.29
3680.00 | 13.33
3761.00 | 12.35
3842.00 | 12.35
3918.00 | 13.16
3986.00 | 14.71
4046.00 | 16.67
4102.00 | 17.86
4157.00 | 18.18
4207.00 | 20.00
4250.00 | 23.26
4289.00 | 25.64
4321.00 | 31.25
4347.00 | 38.46
4370.00 | 43.48
4391.00 | 47.62
4410.00 | 52.63
4427.00 | 58.82
4443.00 | 62.50
4458.00 | 66.67
4472.00 | 71.43
4485.00 | 76.92
4498.00 | 76.92
4510.00 | 83.33
4522.00 | 83.33
4533.00 | 90.91
4544.00 | 90.91
4554.00 | 100.00
4564.00 | 100.00
4573.00 | 111.11
4582.00 | 111.11
4591.00 | 111.11
4600.00 | 111.11
4608.00 | 125.00
4616.00 | 125.00
4624.00 | 125.00
4632.00 | 125.00
4640.00 | 125.00
4648.00 | 125.00
4656.00 | 125.00
4663.00 | 142.86
4670.00 | 142.86
4677.00 | 142.86
4684.00 | 142.86
4691.00 | 142.86
4698.00 | 142.86
4705.00 | 142.86
4712.00 | 142.86
4719.00 | 142.86
4726.00 | 142.86
4733.00 | 142.86
4740.00 | 142.86
4747.00 | 142.86
4754.00 | 142.86
4761.00 | 142.86
4768.00 | 142.86
4775.00 | 142.86
4782.00 | 142.86
4789.00 | 142.86
4796.00 | 142.86
4803.00 | 142.86
4810.00 | 142.86
4817.00 | 142.86
4824.00 | 142.86
4831.00 | 142.86
4838.00 | 142.86
4845.00 | 142.86
4852.00 | 142.86
4859.00 | 142.86
4866.00 | 142.86
4874.00 | 125.00
4882.00 | 125.00
4890.00 | 125.00
4898.00 | 125.00
4906.00 | 125.00
4914.00 | 125.00
4922.00 | 125.00
4931.00 | 111.11
4940.00 | 111.11
4949.00 | 111.11
4958.00 | 111.11
4967.00 | 111.11
4977.00 | 100.00
4987.00 | 100.00
4997.00 | 100.00
