Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
0,-2.5273078,0,0,0,0,0,0,-0.24196034,0,0,0,0,-0.16565506,-0.84413642,0,0,0,0,0,0
1,-2.4847144,0,0,0,0,0,0,-0.23788251,0,0,0,0,-0.16286323,-0.82990994,0,0,0,0,0,0
2,-2.4421209,0,0,0,0,0,0,-0.23380468,0,0,0,0,-0.16007139,-0.81568346,0,0,0,0,0,0
3,-2.3995274,0,0,0,0,0,0,-0.22972685,0,0,0,0,-0.15727956,-0.80145698,0,0,0,0,0,0
4,-2.356934,0,0,0,0,0,0,-0.22564902,0,0,0,0,-0.15448773,-0.7872305,0,0,0,0,0,0
5,-2.3143405,0,0,0,0,0,0,-0.22157119,0,0,0,0,-0.15169589,-0.77300402,0,0,0,0,0,0
6,-2.271747,0,0,0,0,0,0,-0.21749336,0,0,0,0,-0.14890406,-0.75877754,0,0,0,0,0,0
7,-2.2291536,0,0,0,0,0,0,-0.21341553,0,0,0,0,-0.14611223,-0.74455106,0,0,0,0,0,0
8,-2.1865601,0,0,0,0,0,0,-0.20933771,0,0,0,0,-0.14332039,-0.73032458,0,0,0,0,0,0
9,-2.1439667,0,0,0,0,0,0,-0.20525988,0,0,0,0,-0.14052856,-0.71609811,0,0,0,0,0,0
10,-2.1013732,0,0,0,0,0,0,-0.20118205,0,0,0,0,-0.13773672,-0.70187163,0,0,0,0,0,0
11,-2.0587797,0,0,0,0,0,0,-0.19710422,0,0,0,0,-0.13494489,-0.68764515,0,0,0,0,0,0
12,-2.0161863,0,0,0,0,0,0,-0.19302639,0,0,0,0,-0.13215306,-0.67341867,0,0,0,0,0,0
13,-1.9735928,0,0,0,0,0,0,-0.18894856,0,0,0,0,-0.12936122,-0.65919219,0,0,0,0,0,0
14,-1.9309993,0,0,0,0,0,0,-0.18487073,0,0,0,0,-0.12656939,-0.64496571,0,0,0,0,0,0
