Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.46 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa)
0,-2.5273078,-2.267976,-2.0498232,-1.8157061,-1.5751653,-1.2761726,-1.0706421,-0.85155533,-0.64668853,-0.51789712,-0.36121516,-0.24993547,-0.15095555,-0.092129788,-0.032252027,-0.0015878811,0,0,0,0
1,-2.4847144,-2.2297532,-2.015277,-1.7851055,-1.5486186,-1.2546649,-1.0525982,-0.83720382,-0.6357897,-0.50916885,-0.3551275,-0.24572323,-0.14841145,-0.090577098,-0.031708474,-0.00156112,0,0,0,0
2,-2.4421209,-2.1915303,-1.9807307,-1.7545049,-1.5220719,-1.2331572,-1.0345544,-0.82285231,-0.62489087,-0.50044057,-0.34903983,-0.24151099,-0.14586735,-0.089024407,-0.031164921,-0.001534359,0,0,0,0
3,-2.3995274,-2.1533074,-1.9461844,-1.7239042,-1.4955252,-1.2116495,-1.0165105,-0.80850079,-0.61399204,-0.4917123,-0.34295217,-0.23729876,-0.14332326,-0.087471717,-0.030621368,-0.001507598,0,0,0,0
4,-2.356934,-2.1150846,-1.9116381,-1.6933036,-1.4689784,-1.1901418,-0.9984667,-0.79414928,-0.6030932,-0.48298403,-0.3368645,-0.23308652,-0.14077916,-0.085919026,-0.030077815,-0.001480837,0,0,0,0
5,-2.3143405,-2.0768617,-1.8770919,-1.662703,-1.4424317,-1.1686341,-0.98042285,-0.77979777,-0.59219437,-0.47425576,-0.33077683,-0.22887429,-0.13823506,-0.084366336,-0.029534263,-0.0014540759,0,0,0,0
6,-2.271747,-2.0386388,-1.8425456,-1.6321023,-1.415885,-1.1471263,-0.96237901,-0.76544626,-0.58129554,-0.46552748,-0.32468917,-0.22466205,-0.13569096,-0.082813646,-0.02899071,-0.0014273149,0,0,0,0
7,-2.2291536,-2.000416,-1.8079993,-1.6015017,-1.3893383,-1.1256186,-0.94433516,-0.75109474,-0.57039671,-0.45679921,-0.3186015,-0.22044981,-0.13314686,-0.081260955,-0.028447157,-0.0014005539,0,0,0,0
8,-2.1865601,-1.9621931,-1.773453,-1.5709011,-1.3627915,-1.1041109,-0.92629132,-0.73674323,-0.55949788,-0.44807094,-0.31251384,-0.21623758,-0.13060276,-0.079708265,-0.027903604,-0.0013737929,0,0,0,0
9,-2.1439667,-1.9239702,-1.7389068,-1.5403005,-1.3362448,-1.0826032,-0.90824747,-0.72239172,-0.54859904,-0.43934267,-0.30642617,-0.21202534,-0.12805867,-0.078155574,-0.027360051,-0.0013470318,0,0,0,0
