Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.46 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa)
10,-2.1013732,-1.8857474,-1.7043605,-1.5096998,-1.3096981,-1.0610955,-0.89020362,-0.70804021,-0.53770021,-0.4306144,-0.30033851,-0.20781311,-0.12551457,-0.076602884,-0.026816498,-0.0013202708,0,0,0,0
11,-2.0587797,-1.8475245,-1.6698142,-1.4790992,-1.2831514,-1.0395878,-0.87215978,-0.69368869,-0.52680138,-0.42188612,-0.29425084,-0.20360087,-0.12297047,-0.075050194,-0.026272945,-0.0012935098,0,0,0,0
12,-2.0161863,-1.8093016,-1.635268,-1.4484986,-1.2566046,-1.0180801,-0.85411593,-0.67933718,-0.51590255,-0.41315785,-0.28816318,-0.19938863,-0.12042637,-0.073497503,-0.025729392,-0.0012667488,0,0,0,0
13,-1.9735928,-1.7710788,-1.6007217,-1.4178979,-1.2300579,-0.99657235,-0.83607209,-0.66498567,-0.50500372,-0.40442958,-0.28207551,-0.1951764,-0.11788227,-0.071944813,-0.025185839,-0.0012399877,0,0,0,0
14,-1.9309993,-1.7328559,-1.5661754,-1.3872973,-1.2035112,-0.97506464,-0.81802824,-0.65063416,-0.49410488,-0.39570131,-0.27598785,-0.19096416,-0.11533817,-0.070392122,-0.024642287,-0.0012132267,0,0,0,0
15,-1.8884059,-1.694633,-1.5316291,-1.3566967,-1.1769645,-0.95355693,-0.7999844,-0.63628264,-0.48320605,-0.38697303,-0.26990018,-0.18675193,-0.11279408,-0.068839432,-0.024098734,-0.0011864657,0,0,0,0
16,-1.8458124,-1.6564102,-1.4970829,-1.326096,-1.1504177,-0.93204922,-0.78194055,-0.62193113,-0.47230722,-0.37824476,-0.26381252,-0.18253969,-0.11024998,-0.067286741,-0.023555181,-0.0011597046,0,0,0,0
17,-1.803219,-1.6181873,-1.4625366,-1.2954954,-1.123871,-0.91054151,-0.7638967,-0.60757962,-0.46140839,-0.36951649,-0.25772485,-0.17832746,-0.10770588,-0.065734051,-0.023011628,-0.0011329436,0,0,0,0
18,-1.7606255,-1.5799644,-1.4279903,-1.2648948,-1.0973243,-0.88903379,-0.74585286,-0.59322811,-0.45050956,-0.36078822,-0.25163719,-0.17411522,-0.10516178,-0.064181361,-0.022468075,-0.0011061826,0,0,0,0
19,-1.718032,-1.5417416,-1.393444,-1.2342942,-1.0707776,-0.86752608,-0.72780901,-0.5788766,-0.43961072,-0.35205994,-0.24554952,-0.16990298,-0.10261768,-0.06262867,-0.021924522,-0.0010794216,0,0,0,0
20,-1.6754386,-1.5035187,-1.3588978,-1.2036935,-1.0442308,-0.84601837,-0.70976517,-0.56452508,-0.42871189,-0.34333167,-0.23946185,-0.16569075,-0.10007358,-0.06107598,-0.021380969,-0.0010526605,0,0,0,0
21,-1.6328451,-1.4652958,-1.3243515,-1.1730929,-1.0176841,-0.82451066,-0.69172132,-0.55017357,-0.41781306,-0.3346034,-0.23337419,-0.16147851,-0.097529487,-0.059523289,-0.020837416,-0.0010258995,0,0,0,0
22,-1.5902517,-1.427073,-1.2898052,-1.1424923,-0.9911374,-0.80300294,-0.67367747,-0.53582206,-0.40691423,-0.32587513,-0.22728652,-0.15726628,-0.094985388,-0.057970599,-0.020293863,-0.00099913848,0,0,0,0
23,-1.5476582,-1.3888501,-1.2552589,-1.1118916,-0.96459067,-0.78149523,-0.65563363,-0.52147055,-0.3960154,-0.31714685,-0.22119886,-0.15305404,-0.09244129,-0.056417909,-0.01975031,-0.00097237746,0,0,0,0
24,-1.5050647,-1.3506272,-1.2207127,-1.081291,-0.93804395,-0.75998752,-0.63758978,-0.50711903,-0.38511656,-0.30841858,-0.21511119,-0.1488418,-0.089897192,-0.054865218,-0.019206758,-0.00094561643,0,0,0,0
25,-1.4624713,-1.3124044,-1.1861664,-1.0506904,-0.91149723,-0.73847981,-0.61954594,-0.49276752,-0.37421773,-0.29969031,-0.20902353,-0.14462957,-0.087353093,-0.053312528,-0.018663205,-0.00091885541,0,0,0,0
26,-1.4198778,-1.2741815,-1.1516201,-1.0200898,-0.8849505,-0.71697209,-0.60150209,-0.47841601,-0.3633189,-0.29096204,-0.20293586,-0.14041733,-0.084808995,-0.051759837,-0.018119652,-0.00089209438,0,0,0,0
27,-1.3772843,-1.2359586,-1.1170738,-0.98948913,-0.85840378,-0.69546438,-0.58345825,-0.4640645,-0.35242007,-0.28223376,-0.1968482,-0.1362051,-0.082264897,-0.050207147,-0.017576099,-0.00086533335,0,0,0,0
28,-1.3346909,-1.1977358,-1.0825276,-0.9588885,-0.83185705,-0.67395667,-0.5654144,-0.44971298,-0.34152124,-0.27350549,-0.19076053,-0.13199286,-0.079720799,-0.048654457,-0.017032546,-0.00083857233,0,0,0,0
29,-1.2920974,-1.1595129,-1.0479813,-0.92828787,-0.80531033,-0.65244896,-0.54737055,-0.43536147,-0.3306224,-0.26477722,-0.18467287,-0.12778062,-0.0771767,-0.047101766,-0.016488993,-0.0008118113,0,0,0,0
30,-1.249504,-1.12129,-1.013435,-0.89768724,-0.7787636,-0.63094125,-0.52932671,-0.42100996,-0.31972357,-0.25604895,-0.1785852,-0.12356839,-0.074632602,-0.045549076,-0.01594544,-0.00078505027,0,0,0,0
31,-1.2069049,-1.0830621,-0.97888419,-0.86708258,-0.75221338,-0.6094307,-0.51128048,-0.40665655,-0.3088233,-0.24731952,-0.17249673,-0.1193556,-0.072088168,-0.043996181,-0.015401816,-0.00075828572,0,0,0,0
32,-1.1087329,-0.99496374,-0.89925985,-0.7965524,-0.69102688,-0.55985842,-0.46969194,-0.37357832,-0.28370302,-0.22720207,-0.15846551,-0.10964698,-0.066224377,-0.040417446,-0.014149002,-0.00069660529,0,0,0,0
33,-1.0105609,-0.90686537,-0.81963552,-0.72602222,-0.62984039,-0.51028615,-0.42810339,-0.34050009,-0.25858273,-0.20708462,-0.1444343,-0.099938366,-0.060360585,-0.036838711,-0.012896188,-0.00063492485,0,0,0,0
34,-0.91238893,-0.81876699,-0.74001118,-0.65549204,-0.56865389,-0.46071387,-0.38651484,-0.30742186,-0.23346244,-0.18696717,-0.13040308,-0.09022975,-0.054496794,-0.033259977,-0.011643375,-0.00057324442,0,0,0,0
35,-0.81421695,-0.73066862,-0.66038684,-0.58496186,-0.5074674,-0.4111416,-0.3449263,-0.27434362,-0.20834216,-0.16684972,-0.11637186,-0.080521134,-0.048633002,-0.029681242,-0.010390561,-0.00051156399,0,0,0,0
36,-0.71604496,-0.64257025,-0.5807625,-0.51443168,-0.4462809,-0.36156932,-0.30333775,-0.24126539,-0.18322187,-0.14673227,-0.10234064,-0.070812518,-0.042769211,-0.026102507,-0.0091377478,-0.00044988356,0,0,0,0
37,-0.61787298,-0.55447187,-0.50113816,-0.4439015,-0.3850944,-0.31199705,-0.2617492,-0.20818716,-0.15810158,-0.12661482,-0.08830942,-0.061103902,-0.03690542,-0.022523773,-0.0078849343,-0.00038820313,0,0,0,0
38,-0.51970099,-0.4663735,-0.42151382,-0.37337133,-0.32390791,-0.26242477,-0.22016066,-0.17510892,-0.1329813,-0.10649737,-0.074278201,-0.051395287,-0.031041628,-0.018945038,-0.0066321207,-0.0003265227,0,0,0,0
39,-0.42152901,-0.37827513,-0.34188948,-0.30284115,-0.26272141,-0.2128525,-0.17857211,-0.14203069,-0.10786101,-0.086379925,-0.060246982,-0.041686671,-0.025177837,-0.015366303,-0.0053793071,-0.00026484227,0,0,0,0
40,-0.32335702,-0.29017675,-0.26226514,-0.23231097,-0.20153492,-0.16328022,-0.13698357,-0.10895246,-0.082740724,-0.066262475,-0.046215763,-0.031978055,-0.019314045,-0.011787569,-0.0041264936,-0.00020316184,0,0,0,0
41,-0.22518504,-0.20207838,-0.1826408,-0.16178079,-0.14034842,-0.11370795,-0.09539502,-0.075874224,-0.057620438,-0.046145025,-0.032184544,-0.022269439,-0.013450254,-0.0082088338,-0.00287368,-0.00014148141,0,0,0,0
42,-0.12701305,-0.11398001,-0.10301646,-0.09125061,-0.079161929,-0.064135671,-0.053806474,-0.042795992,-0.032500151,-0.026027576,-0.018153325,-0.012560823,-0.0075864624,-0.0046300992,-0.0016208665,-7.9800974e-05,0,0,0,0
43,-0.02884107,-0.025881634,-0.023392123,-0.020720431,-0.017975434,-0.014563396,-0.012217928,-0.0097177586,-0.0073798646,-0.0059101259,-0.0041221065,-0.0028522075,-0.0017226709,-0.0010513645,-0.00036805291,-1.8120543e-05,0,0,0,0
44,0.069330914,0.062216739,0.056232216,0.049809748,0.043211061,0.035008879,0.029370619,0.023360474,0.017740422,0.014207324,0.0099091124,0.0068564083,0.0041411205,0.0025273702,0.00088476065,4.3559888e-05,0,0,0,0
45,0.1675029,0.15031511,0.13585655,0.12033993,0.10439756,0.084581154,0.070959165,0.056438707,0.042860708,0.034324774,0.023940331,0.016565024,0.010004912,0.0061061049,0.0021375742,0.00010524032,0,0,0,0
46,0.26567488,0.23841349,0.21548089,0.19087011,0.16558405,0.13415343,0.11254771,0.08951694,0.067980995,0.054442223,0.03797155,0.02627364,0.015868703,0.0096848395,0.0033903878,0.00016692075,0,0,0,0
47,0.36384687,0.32651186,0.29510523,0.26140028,0.22677055,0.1837257,0.15413626,0.12259517,0.093101282,0.074559673,0.052002769,0.035982256,0.021732495,0.013263574,0.0046432013,0.00022860118,0,0,0,0
48,0.46201885,0.41461023,0.37472957,0.33193046,0.28795704,0.23329798,0.1957248,0.15567341,0.11822157,0.094677123,0.066033988,0.045690872,0.027596286,0.016842309,0.0058960149,0.00029028161,0,0,0,0
49,0.56019084,0.50270861,0.45435391,0.40246064,0.34914354,0.28287025,0.23731335,0.18875164,0.14334185,0.11479457,0.080065207,0.055399487,0.033460078,0.020421044,0.0071488284,0.00035196204,0,0,0,0
50,0.65836282,0.59080698,0.53397825,0.47299082,0.41033003,0.33244253,0.2789019,0.22182987,0.16846214,0.13491202,0.094096426,0.065108103,0.039323869,0.023999778,0.008401642,0.00041364247,0,0,0,0
51,0.7565348,0.67890535,0.61360259,0.543521,0.47151653,0.3820148,0.32049044,0.2549081,0.19358243,0.15502947,0.10812764,0.074816719,0.045187661,0.027578513,0.0096544556,0.00047532291,0,0,0,0
52,0.85470679,0.76700373,0.69322693,0.61405118,0.53270302,0.43158708,0.36207899,0.28798634,0.21870271,0.17514692,0.12215886,0.084525335,0.051051452,0.031157248,0.010907269,0.00053700334,0,0,0,0
53,0.95287877,0.8551021,0.77285127,0.68458136,0.59388952,0.48115935,0.40366753,0.32106457,0.243823,0.19526437,0.13619008,0.094233951,0.056915244,0.034735982,0.012160083,0.00059868377,0,0,0,0
54,1.0510508,0.94320047,0.85247561,0.75511154,0.65507601,0.53073163,0.44525608,0.3541428,0.26894329,0.21538182,0.1502213,0.10394257,0.062779035,0.038314717,0.013412896,0.0006603642,0,0,0,0
55,1.1492227,1.0312988,0.93209995,0.82564171,0.71626251,0.5803039,0.48684463,0.38722104,0.29406357,0.23549927,0.16425252,0.11365118,0.068642826,0.041893452,0.01466571,0.00072204463,0,0,0,0
56,1.2473947,1.1193972,1.0117243,0.89617189,0.777449,0.62987618,0.52843317,0.42029927,0.31918386,0.25561672,0.17828374,0.1233598,0.074506618,0.045472186,0.015918523,0.00078372506,0,0,0,0
57,1.3455667,1.2074956,1.0913486,0.96670207,0.8386355,0.67944845,0.57002172,0.4533775,0.34430415,0.27573417,0.19231496,0.13306841,0.080370409,0.049050921,0.017171337,0.00084540549,0,0,0,0
58,1.4437387,1.295594,1.170973,1.0372323,0.89982199,0.72902073,0.61161027,0.48645574,0.36942443,0.29585162,0.20634618,0.14277703,0.086234201,0.052629656,0.01842415,0.00090708592,0,0,0,0
59,1.5419107,1.3836923,1.2505973,1.1077624,0.96100849,0.778593,0.65319881,0.51953397,0.39454472,0.31596907,0.2203774,0.15248565,0.092097992,0.05620839,0.019676964,0.00096876635,0,0,0,0
60,1.6400827,1.4717907,1.3302216,1.1782926,1.022195,0.82816528,0.69478736,0.5526122,0.41966501,0.33608652,0.23440861,0.16219426,0.097961784,0.059787125,0.020929778,0.0010304468,0,0,0,0
61,1.7382546,1.5598891,1.409846,1.2488228,1.0833815,0.87773755,0.7363759,0.58569043,0.44478529,0.35620397,0.24843983,0.17190288,0.10382558,0.06336586,0.022182591,0.0010921272,0,0,0,0
62,1.8364266,1.6479875,1.4894703,1.319353,1.144568,0.92730983,0.77796445,0.61876867,0.46990558,0.37632142,0.26247105,0.18161149,0.10968937,0.066944594,0.023435405,0.0011538076,0,0,0,0
63,1.9345986,1.7360858,1.5690947,1.3898831,1.2057545,0.9768821,0.819553,0.6518469,0.49502587,0.39643887,0.27650227,0.19132011,0.11555316,0.070523329,0.024688218,0.0012154881,0,0,0,0
64,2.0327706,1.8241842,1.648719,1.4604133,1.266941,1.0264544,0.86114154,0.68492513,0.52014615,0.41655632,0.29053349,0.20102872,0.12141695,0.074102064,0.025941032,0.0012771685,0,0,0,0
65,2.1309426,1.9122826,1.7283433,1.5309435,1.3281275,1.0760267,0.90273009,0.71800337,0.54526644,0.43667377,0.30456471,0.21073734,0.12728074,0.077680798,0.027193845,0.0013388489,0,0,0,0
66,2.2291146,2.000381,1.8079677,1.6014737,1.389314,1.1255989,0.94431864,0.7510816,0.57038673,0.45679122,0.31859593,0.22044596,0.13314453,0.081259533,0.028446659,0.0014005294,0,0,0,0
67,2.3272866,2.0884793,1.887592,1.6720039,1.4505004,1.1751712,0.98590718,0.78415983,0.59550701,0.47690867,0.33262715,0.23015457,0.13900832,0.084838268,0.029699473,0.0014622098,0,0,0,0
68,2.4254585,2.1765777,1.9672164,1.742534,1.5116869,1.2247435,1.0274957,0.81723806,0.6206273,0.49702612,0.34665837,0.23986319,0.14487212,0.088417002,0.030952286,0.0015238902,0,0,0,0
69,2.5236305,2.2646761,2.0468407,1.8130642,1.5728734,1.2743158,1.0690843,0.8503163,0.64574759,0.51714357,0.36068959,0.2495718,0.15073591,0.091995737,0.0322051,0.0015855707,0,0,0,0
70,2.6218025,2.3527744,2.126465,1.8835944,1.6340599,1.323888,1.1106728,0.88339453,0.67086787,0.53726102,0.3747208,0.25928042,0.1565997,0.095574472,0.033457913,0.0016472511,0,0,0,0
71,2.7199745,2.4408728,2.2060894,1.9541246,1.6952464,1.3734603,1.1522614,0.91647276,0.69598816,0.55737847,0.38875202,0.26898904,0.16246349,0.099153206,0.034710727,0.0017089315,0,0,0,0
72,2.8181465,2.5289712,2.2857137,2.0246548,1.7564329,1.4230326,1.1938499,0.949551,0.72110844,0.57749592,0.40278324,0.27869765,0.16832728,0.10273194,0.03596354,0.001770612,0,0,0,0
73,2.9163185,2.6170696,2.3653381,2.0951849,1.8176194,1.4726049,1.2354385,0.98262923,0.74622873,0.59761337,0.41681446,0.28840627,0.17419107,0.10631068,0.037216354,0.0018322924,0,0,0,0
74,3.0144904,2.7051679,2.4449624,2.1657151,1.8788059,1.5221771,1.277027,1.0157075,0.77134902,0.61773082,0.43084568,0.29811488,0.18005486,0.10988941,0.038469167,0.0018939728,0,0,0,0
75,3.1126624,2.7932663,2.5245867,2.2362453,1.9399924,1.5717494,1.3186156,1.0487857,0.7964693,0.63784827,0.4448769,0.3078235,0.18591866,0.11346815,0.039721981,0.0019556533,0,0,0,0
76,3.2108344,2.8813647,2.6042111,2.3067755,2.0011789,1.6213217,1.3602041,1.0818639,0.82158959,0.65796572,0.45890812,0.31753211,0.19178245,0.11704688,0.040974795,0.0020173337,0,0,0,0
77,3.3090064,2.9694631,2.6838354,2.3773056,2.0623654,1.670894,1.4017926,1.1149422,0.84670988,0.67808317,0.47293934,0.32724073,0.19764624,0.12062561,0.042227608,0.0020790141,0,0,0,0
78,3.4071784,3.0575614,2.7634597,2.4478358,2.1235519,1.7204662,1.4433812,1.1480204,0.87183016,0.69820061,0.48697056,0.33694935,0.20351003,0.12420435,0.043480422,0.0021406945,0,0,0,0
79,3.5053504,3.1456598,2.8430841,2.518366,2.1847384,1.7700385,1.4849697,1.1810986,0.89695045,0.71831806,0.50100177,0.34665796,0.20937382,0.12778308,0.044733235,0.002202375,0,0,0,0
80,3.6035224,3.2337582,2.9227084,2.5888962,2.2459249,1.8196108,1.5265583,1.2141769,0.92207074,0.73843551,0.51503299,0.35636658,0.21523761,0.13136182,0.045986049,0.0022640554,0,0,0,0
81,3.7016943,3.3218566,3.0023328,2.6594264,2.3071114,1.8691831,1.5681468,1.2472551,0.94719102,0.75855296,0.52906421,0.36607519,0.2211014,0.13494055,0.047238862,0.0023257358,0,0,0,0
82,3.7998663,3.4099549,3.0819571,2.7299565,2.3682979,1.9187553,1.6097354,1.2803333,0.97231131,0.77867041,0.54309543,0.37578381,0.2269652,0.13851929,0.048491676,0.0023874163,0,0,0,0
83,3.8980383,3.4980533,3.1615814,2.8004867,2.4294844,1.9683276,1.6513239,1.3134116,0.9974316,0.79878786,0.55712665,0.38549243,0.23282899,0.14209802,0.049744489,0.0024490967,0,0,0,0
84,3.9962103,3.5861517,3.2412058,2.8710169,2.4906709,2.0178999,1.6929125,1.3464898,1.0225519,0.81890531,0.57115787,0.39520104,0.23869278,0.14567676,0.050997303,0.0025107771,0,0,0,0
85,4.0943823,3.67425,3.3208301,2.9415471,2.5518574,2.0674722,1.734501,1.379568,1.0476722,0.83902276,0.58518909,0.40490966,0.24455657,0.14925549,0.052250117,0.0025724576,0,0,0,0
86,4.1925543,3.7623484,3.4004545,3.0120773,2.6130439,2.1170444,1.7760896,1.4126463,1.0727925,0.85914021,0.59922031,0.41461827,0.25042036,0.15283423,0.05350293,0.002634138,0,0,0,0
87,4.2907262,3.8504468,3.4800788,3.0826074,2.6742304,2.1666167,1.8176781,1.4457245,1.0979127,0.87925766,0.61325153,0.42432689,0.25628415,0.15641296,0.054755744,0.0026958184,0,0,0,0
88,4.3888982,3.9385452,3.5597031,3.1531376,2.7354168,2.216189,1.8592667,1.4788027,1.123033,0.89937511,0.62728274,0.4340355,0.26214794,0.1599917,0.056008557,0.0027574989,0,0,0,0
89,4.4870702,4.0266435,3.6393275,3.2236678,2.7966033,2.2657613,1.9008552,1.511881,1.1481533,0.91949256,0.64131396,0.44374412,0.26801174,0.16357043,0.057261371,0.0028191793,0,0,0,0
90,4.5852422,4.1147419,3.7189518,3.294198,2.8577898,2.3153335,1.9424437,1.5449592,1.1732736,0.93961001,0.65534518,0.45345274,0.27387553,0.16714917,0.058514184,0.0028808597,0,0,0,0
91,4.6834142,4.2028403,3.7985762,3.3647282,2.9189763,2.3649058,1.9840323,1.5780374,1.1983939,0.95972746,0.6693764,0.46316135,0.27973932,0.1707279,0.059766998,0.0029425402,0,0,0,0
92,4.7815862,4.2909387,3.8782005,3.4352583,2.9801628,2.4144781,2.0256208,1.6111157,1.2235142,0.97984491,0.68340762,0.47286997,0.28560311,0.17430663,0.061019811,0.0030042206,0,0,0,0
93,4.8797581,4.379037,3.9578248,3.5057885,3.0413493,2.4640504,2.0672094,1.6441939,1.2486345,0.99996236,0.69743884,0.48257858,0.2914669,0.17788537,0.062272625,0.003065901,0,0,0,0
94,4.9779301,4.4671354,4.0374492,3.5763187,3.1025358,2.5136226,2.1087979,1.6772721,1.2737547,1.0200798,0.71147006,0.4922872,0.29733069,0.1814641,0.063525439,0.0031275814,0,0,0,0
95,5.0761021,4.5552338,4.1170735,3.6468489,3.1637223,2.5631949,2.1503865,1.7103504,1.298875,1.0401973,0.72550128,0.50199581,0.30319448,0.18504284,0.064778252,0.0031892619,0,0,0,0
96,5.1742741,4.6433322,4.1966979,3.717379,3.2249088,2.6127672,2.191975,1.7434286,1.3239953,1.0603147,0.7395325,0.51170443,0.30905828,0.18862157,0.066031066,0.0032509423,0,0,0,0
97,5.2724461,4.7314305,4.2763222,3.7879092,3.2860953,2.6623395,2.2335636,1.7765068,1.3491156,1.0804322,0.75356371,0.52141305,0.31492207,0.19220031,0.067283879,0.0033126227,0,0,0,0
98,5.3706181,4.8195289,4.3559465,3.8584394,3.3472818,2.7119117,2.2751521,1.8095851,1.3742359,1.1005496,0.76759493,0.53112166,0.32078586,0.19577904,0.068536693,0.0033743032,0,0,0,0
99,5.4687901,4.9076273,4.4355709,3.9289696,3.4084683,2.761484,2.3167407,1.8426633,1.3993562,1.1206671,0.78162615,0.54083028,0.32664965,0.19935778,0.069789506,0.0034359836,0,0,0,0
100,5.566962,4.9957256,4.5151952,3.9994998,3.4696548,2.8110563,2.3583292,1.8757415,1.4244765,1.1407845,0.79565737,0.55053889,0.33251344,0.20293651,0.07104232,0.003497664,0,0,0,0
101,5.665134,5.083824,4.5948195,4.0700299,3.5308413,2.8606286,2.3999178,1.9088198,1.4495968,1.160902,0.80968859,0.56024751,0.33837723,0.20651525,0.072295134,0.0035593445,0,0,0,0
102,5.763306,5.1719224,4.6744439,4.1405601,3.5920278,2.9102008,2.4415063,1.941898,1.474717,1.1810194,0.82371981,0.56995613,0.34424102,0.21009398,0.073547947,0.0036210249,0,0,0,0
103,5.861478,5.2600208,4.7540682,4.2110903,3.6532143,2.9597731,2.4830948,1.9749762,1.4998373,1.2011369,0.83775103,0.57966474,0.35010482,0.21367272,0.074800761,0.0036827053,0,0,0,0
104,5.95965,5.3481191,4.8336926,4.2816205,3.7144008,3.0093454,2.5246834,2.0080545,1.5249576,1.2212543,0.85178225,0.58937336,0.35596861,0.21725145,0.076053574,0.0037443858,0,0,0,0
105,6.057822,5.4362175,4.9133169,4.3521507,3.7755873,3.0589177,2.5662719,2.0411327,1.5500779,1.2413718,0.86581347,0.59908197,0.3618324,0.22083019,0.077306388,0.0038060662,0,0,0,0
106,6.1559939,5.5243159,4.9929412,4.4226808,3.8367738,3.1084899,2.6078605,2.0742109,1.5751982,1.2614892,0.87984468,0.60879059,0.36769619,0.22440892,0.078559201,0.0038677466,0,0,0,0
107,6.2541659,5.6124143,5.0725656,4.493211,3.8979603,3.1580622,2.649449,2.1072891,1.6003185,1.2816067,0.8938759,0.6184992,0.37355998,0.22798765,0.079812015,0.003929427,0,0,0,0
108,6.3523379,5.7005126,5.1521899,4.5637412,3.9591468,3.2076345,2.6910376,2.1403674,1.6254388,1.3017241,0.90790712,0.62820782,0.37942377,0.23156639,0.081064828,0.0039911075,0,0,0,0
109,6.4505099,5.788611,5.2318143,4.6342714,4.0203332,3.2572068,2.7326261,2.1734456,1.650559,1.3218416,0.92193834,0.63791644,0.38528756,0.23514512,0.082317642,0.0040527879,0,0,0,0
110,6.5486819,5.8767094,5.3114386,4.7048015,4.0815197,3.306779,2.7742147,2.2065238,1.6756793,1.341959,0.93596956,0.64762505,0.39115136,0.23872386,0.083570456,0.0041144683,0,0,0,0
111,6.6468539,5.9648078,5.3910629,4.7753317,4.1427062,3.3563513,2.8158032,2.2396021,1.7007996,1.3620765,0.95000078,0.65733367,0.39701515,0.24230259,0.084823269,0.0041761488,0,0,0,0
112,6.7450258,6.0529061,5.4706873,4.8458619,4.2038927,3.4059236,2.8573918,2.2726803,1.7259199,1.3821939,0.964032,0.66704228,0.40287894,0.24588133,0.086076083,0.0042378292,0,0,0,0
113,6.8431978,6.1410045,5.5503116,4.9163921,4.2650792,3.4554959,2.8989803,2.3057585,1.7510402,1.4023114,0.97806322,0.6767509,0.40874273,0.24946006,0.087328896,0.0042995096,0,0,0,0
114,6.9413698,6.2291029,5.629936,4.9869223,4.3262657,3.5050681,2.9405689,2.3388368,1.7761605,1.4224288,0.99209444,0.68645952,0.41460652,0.2530388,0.08858171,0.0043611901,0,0,0,0
115,7.0395418,6.3172012,5.7095603,5.0574524,4.3874522,3.5546404,2.9821574,2.371915,1.8012808,1.4425463,1.0061257,0.69616813,0.42047031,0.25661753,0.089834523,0.0044228705,0,0,0,0
116,7.1377138,6.4052996,5.7891846,5.1279826,4.4486387,3.6042127,3.0237459,2.4049932,1.8264011,1.4626637,1.0201569,0.70587675,0.4263341,0.26019627,0.091087337,0.0044845509,0,0,0,0
117,7.2358858,6.493398,5.868809,5.1985128,4.5098252,3.653785,3.0653345,2.4380715,1.8515213,1.4827812,1.0341881,0.71558536,0.4321979,0.263775,0.09234015,0.0045462314,0,0,0,0
