Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa)
10,-5.9278976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19085612,-0.2734741,-0.073213671,0,0,0,0,0,0,0,-0.35375628,-1.4876205,-5.9278976,-1.1163519,-0.10205228,0,0,0,0,0,0,-0.76748624,-1.8721002,-4.7708086,-1.2332368,-0.05607267,0,0,0,0,0,0,0,0,-0.9301407,-0.87982549,-0.22081267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-5.7804973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18611038,-0.26667403,-0.071393174,0,0,0,0,0,0,0,-0.34495994,-1.45063,-5.7804973,-1.0885932,-0.099514696,0,0,0,0,0,0,-0.74840229,-1.8255494,-4.65218,-1.2025718,-0.054678394,0,0,0,0,0,0,0,0,-0.90701226,-0.85794816,-0.21532205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-5.633097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18136464,-0.25987395,-0.069572678,0,0,0,0,0,0,0,-0.33616361,-1.4136396,-5.633097,-1.0608345,-0.096977113,0,0,0,0,0,0,-0.72931834,-1.7789987,-4.5335513,-1.1719067,-0.053284117,0,0,0,0,0,0,0,0,-0.88388383,-0.83607084,-0.20983143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-5.4856968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1766189,-0.25307387,-0.067752182,0,0,0,0,0,0,0,-0.32736727,-1.3766491,-5.4856968,-1.0330759,-0.094439529,0,0,0,0,0,0,-0.7102344,-1.7324479,-4.4149226,-1.1412416,-0.051889841,0,0,0,0,0,0,0,0,-0.86075539,-0.81419352,-0.20434081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-5.3382965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17187317,-0.24627379,-0.065931685,0,0,0,0,0,0,0,-0.31857094,-1.3396586,-5.3382965,-1.0053172,-0.091901946,0,0,0,0,0,0,-0.69115045,-1.6858971,-4.296294,-1.1105765,-0.050495565,0,0,0,0,0,0,0,0,-0.83762695,-0.7923162,-0.19885018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-5.1908962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16712743,-0.23947372,-0.064111189,0,0,0,0,0,0,0,-0.3097746,-1.3026682,-5.1908962,-0.97755851,-0.089364362,0,0,0,0,0,0,-0.6720665,-1.6393464,-4.1776653,-1.0799114,-0.049101288,0,0,0,0,0,0,0,0,-0.81449852,-0.77043888,-0.19335956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-5.0434959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16238169,-0.23267364,-0.062290693,0,0,0,0,0,0,0,-0.30097826,-1.2656777,-5.0434959,-0.94979983,-0.086826779,0,0,0,0,0,0,-0.65298255,-1.5927956,-4.0590367,-1.0492464,-0.047707012,0,0,0,0,0,0,0,0,-0.79137008,-0.74856155,-0.18786894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-4.8960956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15763595,-0.22587356,-0.060470196,0,0,0,0,0,0,0,-0.29218193,-1.2286873,-4.8960956,-0.92204116,-0.084289195,0,0,0,0,0,0,-0.6338986,-1.5462449,-3.940408,-1.0185813,-0.046312736,0,0,0,0,0,0,0,0,-0.76824165,-0.72668423,-0.18237831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-4.7486953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15289022,-0.21907349,-0.0586497,0,0,0,0,0,0,0,-0.28338559,-1.1916968,-4.7486953,-0.89428248,-0.081751612,0,0,0,0,0,0,-0.61481466,-1.4996941,-3.8217793,-0.98791619,-0.044918459,0,0,0,0,0,0,0,0,-0.74511321,-0.70480691,-0.17688769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-4.6012951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14814448,-0.21227341,-0.056829204,0,0,0,0,0,0,0,-0.27458926,-1.1547063,-4.6012951,-0.86652381,-0.079214028,0,0,0,0,0,0,-0.59573071,-1.4531434,-3.7031507,-0.95725111,-0.043524183,0,0,0,0,0,0,0,0,-0.72198477,-0.68292959,-0.17139707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
