X coord (mm),Y coord (mm)
10.7547,4.7759
4.39979,1.11442
4.39979,1.11442
7.72576,1.57901
8.20985,1.84057
9.40257,1.23796
10.6437,1.20076
11.9466,1.42576
13.3335,1.62474
14.4198,1.8833
3.54708,2.6364
4.8216,1.96932
5.97698,2.7662
7.02897,2.44861
8.33213,2.117
9.69975,2.06732
10.7439,2.30085
11.9642,2.24935
13.1399,2.20294
14.4967,2.14908
3.33203,3.4514
3.33203,3.4514
4.85,3.09753
6.1582,3.31656
7.03954,3.55124
8.42966,3.21643
9.52875,3.45175
10.804,3.39984
11.9711,3.33372
13.1933,3.53784
14.3074,3.48501
2.77152,4.91455
3.57793,4.57302
4.80903,4.50159
6.07781,4.72392
7.29511,4.63281
8.40764,4.57834
9.77569,4.53472
10.7547,4.7759
11.938,4.67759
13.1101,4.60044
14.5143,4.52734
2.32982,6.39336
3.66424,5.49607
4.90237,5.34215
5.78166,6.11089
7.47024,5.9849
8.62311,5.90827
9.66919,6.1189
10.9303,5.80151
12.079,5.71877
13.2709,5.90593
14.3859,5.84396
1.74586,7.34518
2.70558,6.95018
3.56201,6.87534
4.81228,7.06979
6.1897,6.93106
7.05716,6.8556
8.58737,7.00639
9.64063,6.92232
10.8749,7.12519
12.1133,7.04739
13.3003,6.97393
14.4153,6.9072
0.351644,9.05028
1.00857,8.33202
2.43789,8.19017
3.66643,8.36136
5.01003,8.22199
5.94093,8.11731
7.17573,8.28895
8.37326,8.17087
9.44846,8.08121
10.7314,8.27233
12.0092,8.16941
13.2162,8.07982
14.3128,8.28566
0.351644,9.05028
1.19442,9.25683
2.46698,9.4253
3.7066,9.59496
4.6074,9.48363
5.98875,9.31965
7.13731,9.50353
8.35484,9.37092
9.711,9.54954
10.7576,9.44821
12.0994,9.3154
13.2846,9.50017
14.4372,9.41526
