Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
0,-2.1244961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19627549,-0.54889027,-0.15239307,0,0,0,0,0,0,-0.099012052,-1.1706507,-1.7244318,-0.35583816,-0.0039067395,0,0,0,0,0,0,-0.065012144,-0.12938718,-0.011233154,0,0,0,0,0,0,0,0,0,0,0,-0.013415685,0,0,0,0,0,0
1,-2.1341161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19716426,-0.55137574,-0.15308313,0,0,0,0,0,0,-0.099460395,-1.1759516,-1.7322403,-0.35744946,-0.0039244299,0,0,0,0,0,0,-0.065306531,-0.12997306,-0.01128402,0,0,0,0,0,0,0,0,0,0,0,-0.013476434,0,0,0,0,0,0
2,-2.1437362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19805303,-0.55386121,-0.15377319,0,0,0,0,0,0,-0.099908739,-1.1812525,-1.7400489,-0.35906075,-0.0039421203,0,0,0,0,0,0,-0.065600917,-0.13055895,-0.011334886,0,0,0,0,0,0,0,0,0,0,0,-0.013537182,0,0,0,0,0,0
3,-2.1533563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1989418,-0.55634668,-0.15446325,0,0,0,0,0,0,-0.10035708,-1.1865534,-1.7478574,-0.36067205,-0.0039598107,0,0,0,0,0,0,-0.065895303,-0.13114484,-0.011385751,0,0,0,0,0,0,0,0,0,0,0,-0.013597931,0,0,0,0,0,0
4,-2.1629764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19983057,-0.55883215,-0.15515331,0,0,0,0,0,0,-0.10080543,-1.1918543,-1.7556659,-0.36228335,-0.0039775011,0,0,0,0,0,0,-0.066189689,-0.13173073,-0.011436617,0,0,0,0,0,0,0,0,0,0,0,-0.013658679,0,0,0,0,0,0
5,-2.1725965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20071934,-0.56131762,-0.15584338,0,0,0,0,0,0,-0.10125377,-1.1971552,-1.7634744,-0.36389464,-0.0039951915,0,0,0,0,0,0,-0.066484075,-0.13231661,-0.011487483,0,0,0,0,0,0,0,0,0,0,0,-0.013719428,0,0,0,0,0,0
6,-2.1822166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20160811,-0.56380309,-0.15653344,0,0,0,0,0,0,-0.10170211,-1.2024561,-1.771283,-0.36550594,-0.0040128819,0,0,0,0,0,0,-0.066778462,-0.1329025,-0.011538348,0,0,0,0,0,0,0,0,0,0,0,-0.013780176,0,0,0,0,0,0
7,-2.1918366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20249688,-0.56628856,-0.1572235,0,0,0,0,0,0,-0.10215046,-1.207757,-1.7790915,-0.36711724,-0.0040305722,0,0,0,0,0,0,-0.067072848,-0.13348839,-0.011589214,0,0,0,0,0,0,0,0,0,0,0,-0.013840925,0,0,0,0,0,0
8,-2.2014567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20338565,-0.56877403,-0.15791356,0,0,0,0,0,0,-0.1025988,-1.2130579,-1.7869,-0.36872853,-0.0040482626,0,0,0,0,0,0,-0.067367234,-0.13407428,-0.01164008,0,0,0,0,0,0,0,0,0,0,0,-0.013901673,0,0,0,0,0,0
9,-2.2110768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20427442,-0.5712595,-0.15860363,0,0,0,0,0,0,-0.10304714,-1.2183588,-1.7947085,-0.37033983,-0.004065953,0,0,0,0,0,0,-0.06766162,-0.13466016,-0.011690945,0,0,0,0,0,0,0,0,0,0,0,-0.013962422,0,0,0,0,0,0
