X coord (mm),Y coord (mm)
10.7547,4.7759
4.39979,1.11442
5.08378,1.67462
7.72576,1.57901
9.40257,1.23796
10.6437,1.20076
12.2683,1.41203
3.89278,2.57638
5.57269,2.78233
7.14311,2.72105
8.92277,2.64943
10.641,2.85763
12.4355,2.771
2.77152,4.91455
3.57793,4.57302
5.52272,4.45702
7.23669,4.36459
9.11055,4.55315
11.0062,4.48823
12.4844,4.37486
2.32982,6.39336
3.97366,6.84195
5.35445,6.1502
7.07976,6.29295
8.99065,6.16036
10.9058,6.30237
12.4081,6.22473
1.96493,8.24435
3.76874,8.0556
5.57432,7.86098
7.24139,7.9902
9.10219,8.10716
10.775,7.98325
12.6261,8.12021
1.86996,9.81514
3.7066,9.59496
5.40419,9.70205
7.39729,9.78962
8.96098,9.62408
10.6752,9.75502
12.6019,9.85508
