Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
17,-4.8960956,0,0,0,0,0,0,0,0,0,0,-0.014237479,0,0,0,0,0,-0.63105024,-1.9293472,-0.25977231,0,0,0,0,-0.78871226,-2.348954,-0.34757592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-4.7486953,0,0,0,0,0,0,0,0,0,0,-0.01380885,0,0,0,0,0,-0.61205204,-1.8712629,-0.25195169,0,0,0,0,-0.76496754,-2.2782371,-0.33711191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-4.6012951,0,0,0,0,0,0,0,0,0,0,-0.013380221,0,0,0,0,0,-0.59305385,-1.8131786,-0.24413107,0,0,0,0,-0.74122282,-2.2075203,-0.3266479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-4.4538948,0,0,0,0,0,0,0,0,0,0,-0.012951592,0,0,0,0,0,-0.57405565,-1.7550943,-0.23631044,0,0,0,0,-0.7174781,-2.1368034,-0.31618389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-4.3064945,0,0,0,0,0,0,0,0,0,0,-0.012522963,0,0,0,0,0,-0.55505745,-1.69701,-0.22848982,0,0,0,0,-0.69373339,-2.0660866,-0.30571989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-4.1590942,0,0,0,0,0,0,0,0,0,0,-0.012094334,0,0,0,0,0,-0.53605926,-1.6389257,-0.2206692,0,0,0,0,-0.66998867,-1.9953697,-0.29525588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-4.0116939,0,0,0,0,0,0,0,0,0,0,-0.011665705,0,0,0,0,0,-0.51706106,-1.5808413,-0.21284858,0,0,0,0,-0.64624395,-1.9246529,-0.28479187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-3.8642936,0,0,0,0,0,0,0,0,0,0,-0.011237076,0,0,0,0,0,-0.49806287,-1.522757,-0.20502796,0,0,0,0,-0.62249923,-1.853936,-0.27432786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-3.7168934,0,0,0,0,0,0,0,0,0,0,-0.010808447,0,0,0,0,0,-0.47906467,-1.4646727,-0.19720734,0,0,0,0,-0.59875451,-1.7832191,-0.26386385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-3.5694931,0,0,0,0,0,0,0,0,0,0,-0.010379818,0,0,0,0,0,-0.46006647,-1.4065884,-0.18938671,0,0,0,0,-0.5750098,-1.7125023,-0.25339984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-3.4220928,0,0,0,0,0,0,0,0,0,0,-0.0099511893,0,0,0,0,0,-0.44106828,-1.3485041,-0.18156609,0,0,0,0,-0.55126508,-1.6417854,-0.24293583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-3.2746925,0,0,0,0,0,0,0,0,0,0,-0.0095225603,0,0,0,0,0,-0.42207008,-1.2904198,-0.17374547,0,0,0,0,-0.52752036,-1.5710686,-0.23247182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-3.1272922,0,0,0,0,0,0,0,0,0,0,-0.0090939314,0,0,0,0,0,-0.40307189,-1.2323355,-0.16592485,0,0,0,0,-0.50377564,-1.5003517,-0.22200781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
