Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa),Coord 104 Stress (kPa),Coord 105 Stress (kPa),Coord 106 Stress (kPa),Coord 107 Stress (kPa),Coord 108 Stress (kPa),Coord 109 Stress (kPa),Coord 110 Stress (kPa),Coord 111 Stress (kPa),Coord 112 Stress (kPa),Coord 113 Stress (kPa),Coord 114 Stress (kPa),Coord 115 Stress (kPa),Coord 116 Stress (kPa),Coord 117 Stress (kPa),Coord 118 Stress (kPa),Coord 119 Stress (kPa),Coord 120 Stress (kPa),Coord 121 Stress (kPa),Coord 122 Stress (kPa),Coord 123 Stress (kPa)
0,-4.8936716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043238599,-0.25573717,-0.40438254,-0.22259254,-0.0058600994,0,0,0,0,-0.26669006,0,0,0,0,-0.057224284,-0.016751673,-0.80329026,-2.1961145,-1.2630477,-0.30097786,-0.0011319058,0,0,0,0,0,0,0,0,0,-0.4983974,-1.7556725,-4.3353683,-2.0539297,-0.48244545,-0.041739228,0,0,0,0,0,0,0,0,-0.28714489,-0.83381456,-0.50425186,-0.059754664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-4.8031262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042438574,-0.25100538,-0.39690043,-0.21847401,-0.0057516726,0,0,0,0,-0.26175561,0,0,0,0,-0.056165489,-0.016441724,-0.78842734,-2.1554808,-1.2396781,-0.295409,-0.0011109626,0,0,0,0,0,0,0,0,0,-0.48917577,-1.723188,-4.2551529,-2.0159268,-0.47351898,-0.040966945,0,0,0,0,0,0,0,0,-0.28183198,-0.81838685,-0.49492191,-0.05864905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-4.7125807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04163855,-0.24627358,-0.38941831,-0.21435548,-0.0056432457,0,0,0,0,-0.25682116,0,0,0,0,-0.055106693,-0.016131775,-0.77356441,-2.114847,-1.2163085,-0.28984014,-0.0010900195,0,0,0,0,0,0,0,0,0,-0.47995414,-1.6907036,-4.1749375,-1.9779238,-0.4645925,-0.040194663,0,0,0,0,0,0,0,0,-0.27651906,-0.80295915,-0.48559196,-0.057543436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-4.6220353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040838525,-0.24154179,-0.3819362,-0.21023695,-0.0055348189,0,0,0,0,-0.25188671,0,0,0,0,-0.054047897,-0.015821826,-0.75870148,-2.0742133,-1.1929389,-0.28427128,-0.0010690763,0,0,0,0,0,0,0,0,0,-0.47073251,-1.6582192,-4.0947221,-1.9399208,-0.45566602,-0.03942238,0,0,0,0,0,0,0,0,-0.27120615,-0.78753145,-0.47626201,-0.056437821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-4.5314898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400385,-0.23681,-0.37445409,-0.20611842,-0.0054263921,0,0,0,0,-0.24695227,0,0,0,0,-0.052989101,-0.015511877,-0.74383856,-2.0335796,-1.1695693,-0.27870241,-0.0010481332,0,0,0,0,0,0,0,0,0,-0.46151089,-1.6257347,-4.0145066,-1.9019179,-0.44673955,-0.038650098,0,0,0,0,0,0,0,0,-0.26589323,-0.77210374,-0.46693206,-0.055332207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-4.4409444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039238475,-0.23207821,-0.36697198,-0.20199988,-0.0053179652,0,0,0,0,-0.24201782,0,0,0,0,-0.051930306,-0.015201929,-0.72897563,-1.9929458,-1.1461996,-0.27313355,-0.00102719,0,0,0,0,0,0,0,0,0,-0.45228926,-1.5932503,-3.9342912,-1.8639149,-0.43781307,-0.037877815,0,0,0,0,0,0,0,0,-0.26058032,-0.75667604,-0.45760211,-0.054226593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-4.3503989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038438451,-0.22734642,-0.35948987,-0.19788135,-0.0052095384,0,0,0,0,-0.23708337,0,0,0,0,-0.05087151,-0.01489198,-0.71411271,-1.9523121,-1.12283,-0.26756469,-0.0010062469,0,0,0,0,0,0,0,0,0,-0.44306763,-1.5607659,-3.8540758,-1.825912,-0.4288866,-0.037105532,0,0,0,0,0,0,0,0,-0.2552674,-0.74124834,-0.44827216,-0.053120979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-4.2598535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037638426,-0.22261462,-0.35200775,-0.19376282,-0.0051011115,0,0,0,0,-0.23214892,0,0,0,0,-0.049812714,-0.014582031,-0.69924978,-1.9116783,-1.0994604,-0.26199583,-0.0009853037,0,0,0,0,0,0,0,0,0,-0.433846,-1.5282814,-3.7738604,-1.787909,-0.41996012,-0.03633325,0,0,0,0,0,0,0,0,-0.24995449,-0.72582063,-0.43894221,-0.052015365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-4.169308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036838401,-0.21788283,-0.34452564,-0.18964429,-0.0049926847,0,0,0,0,-0.22721447,0,0,0,0,-0.048753919,-0.014272082,-0.68438685,-1.8710446,-1.0760908,-0.25642697,-0.00096436055,0,0,0,0,0,0,0,0,0,-0.42462438,-1.495797,-3.693645,-1.7499061,-0.41103365,-0.035560967,0,0,0,0,0,0,0,0,-0.24464157,-0.71039293,-0.42961226,-0.05090975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-4.0787626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036038376,-0.21315104,-0.33704353,-0.18552576,-0.0048842579,0,0,0,0,-0.22228002,0,0,0,0,-0.047695123,-0.013962133,-0.66952393,-1.8304109,-1.0527212,-0.25085811,-0.00094341739,0,0,0,0,0,0,0,0,0,-0.41540275,-1.4633126,-3.6134296,-1.7119031,-0.40210717,-0.034788685,0,0,0,0,0,0,0,0,-0.23932866,-0.69496523,-0.42028231,-0.049804136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
