Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa)
0,-2.2518425,0,0,0,0,-0.0097009401,-0.0069270037,0,0,0,-0.074728731,-0.7444933,0,0,0,0
1,-2.1806789,0,0,0,0,-0.0093943673,-0.0067080938,0,0,0,-0.072367125,-0.72096554,0,0,0,0
2,-2.1095153,0,0,0,0,-0.0090877944,-0.006489184,0,0,0,-0.070005519,-0.69743778,0,0,0,0
3,-2.0383517,0,0,0,0,-0.0087812216,-0.0062702742,0,0,0,-0.067643912,-0.67391001,0,0,0,0
4,-1.9671881,0,0,0,0,-0.0084746487,-0.0060513643,0,0,0,-0.065282306,-0.65038225,0,0,0,0
5,-1.8960245,0,0,0,0,-0.0081680759,-0.0058324545,0,0,0,-0.0629207,-0.62685448,0,0,0,0
6,-1.824861,0,0,0,0,-0.007861503,-0.0056135446,0,0,0,-0.060559094,-0.60332672,0,0,0,0
7,-1.7536974,0,0,0,0,-0.0075549302,-0.0053946348,0,0,0,-0.058197488,-0.57979895,0,0,0,0
8,-1.6825338,0,0,0,0,-0.0072483573,-0.0051757249,0,0,0,-0.055835881,-0.55627119,0,0,0,0
9,-1.6113702,0,0,0,0,-0.0069417845,-0.0049568151,0,0,0,-0.053474275,-0.53274342,0,0,0,0
10,-1.5402066,0,0,0,0,-0.0066352116,-0.0047379053,0,0,0,-0.051112669,-0.50921566,0,0,0,0
11,-1.469043,0,0,0,0,-0.0063286388,-0.0045189954,0,0,0,-0.048751063,-0.48568789,0,0,0,0
12,-1.3978794,0,0,0,0,-0.0060220659,-0.0043000856,0,0,0,-0.046389457,-0.46216013,0,0,0,0
13,-1.3267158,0,0,0,0,-0.0057154931,-0.0040811757,0,0,0,-0.044027851,-0.43863236,0,0,0,0
14,-1.2555522,0,0,0,0,-0.0054089202,-0.0038622659,0,0,0,-0.041666244,-0.4151046,0,0,0,0
15,-1.1843886,0,0,0,0,-0.0051023473,-0.003643356,0,0,0,-0.039304638,-0.39157684,0,0,0,0
16,-1.113225,0,0,0,0,-0.0047957745,-0.0034244462,0,0,0,-0.036943032,-0.36804907,0,0,0,0
17,-1.0420614,0,0,0,0,-0.0044892016,-0.0032055364,0,0,0,-0.034581426,-0.34452131,0,0,0,0
18,-0.9708978,0,0,0,0,-0.0041826288,-0.0029866265,0,0,0,-0.03221982,-0.32099354,0,0,0,0
19,-0.8997342,0,0,0,0,-0.0038760559,-0.0027677167,0,0,0,-0.029858213,-0.29746578,0,0,0,0
20,-0.8285706,0,0,0,0,-0.0035694831,-0.0025488068,0,0,0,-0.027496607,-0.27393801,0,0,0,0
21,-0.75740701,0,0,0,0,-0.0032629102,-0.002329897,0,0,0,-0.025135001,-0.25041025,0,0,0,0
22,-0.68624341,0,0,0,0,-0.0029563374,-0.0021109871,0,0,0,-0.022773395,-0.22688248,0,0,0,0
23,-0.61507982,0,0,0,0,-0.0026497645,-0.0018920773,0,0,0,-0.020411789,-0.20335472,0,0,0,0
24,-0.54391622,0,0,0,0,-0.0023431917,-0.0016731675,0,0,0,-0.018050183,-0.17982695,0,0,0,0
25,-0.47275262,0,0,0,0,-0.0020366188,-0.0014542576,0,0,0,-0.015688576,-0.15629919,0,0,0,0
26,-0.40158903,0,0,0,0,-0.001730046,-0.0012353478,0,0,0,-0.01332697,-0.13277142,0,0,0,0
27,-0.33042543,0,0,0,0,-0.0014234731,-0.0010164379,0,0,0,-0.010965364,-0.10924366,0,0,0,0
28,-0.25926183,0,0,0,0,-0.0011169003,-0.00079752809,0,0,0,-0.0086037578,-0.085715896,0,0,0,0
29,-0.18809824,0,0,0,0,-0.00081032742,-0.00057861825,0,0,0,-0.0062421516,-0.062188131,0,0,0,0
30,-0.11693464,0,0,0,0,-0.00050375456,-0.00035970841,0,0,0,-0.0038805455,-0.038660366,0,0,0,0
31,-0.045771045,0,0,0,0,-0.00019718171,-0.00014079856,0,0,0,-0.0015189393,-0.015132602,0,0,0,0
32,0.025392552,0,0,0,0,0.00010939114,7.8111278e-05,0,0,0,0.0008426669,0.0083951628,0,0,0,0
33,0.096556148,0,0,0,0,0.00041596399,0.00029702112,0,0,0,0.0032042731,0.031922927,0,0,0,0
34,0.16771974,0,0,0,0,0.00072253685,0.00051593096,0,0,0,0.0055658793,0.055450692,0,0,0,0
35,0.23888334,0,0,0,0,0.0010291097,0.00073484081,0,0,0,0.0079274854,0.078978457,0,0,0,0
36,0.31004694,0,0,0,0,0.0013356825,0.00095375065,0,0,0,0.010289092,0.10250622,0,0,0,0
37,0.38121053,0,0,0,0,0.0016422554,0.0011726605,0,0,0,0.012650698,0.12603399,0,0,0,0
