Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa)
0,-96.06025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7398994,-28.07762,-27.457857,-0.47052695,0,0,0,0,0,0,-1.9302955,-14.39349,-52.677595,-69.350762,-3.4090186,0,0,0,0,0,0,-0.34929123,-3.4565749,-9.2865967,-5.3693846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-96.051753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.739657,-28.075136,-27.455428,-0.47048533,0,0,0,0,0,0,-1.9301248,-14.392216,-52.672935,-69.344627,-3.408717,0,0,0,0,0,0,-0.34926033,-3.4562691,-9.2857752,-5.3689096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-96.043255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7394146,-28.072653,-27.452999,-0.47044371,0,0,0,0,0,0,-1.929954,-14.390943,-52.668275,-69.338492,-3.4084155,0,0,0,0,0,0,-0.34922943,-3.4559633,-9.2849537,-5.3684346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-96.034757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7391722,-28.070169,-27.45057,-0.47040208,0,0,0,0,0,0,-1.9297833,-14.38967,-52.663615,-69.332357,-3.4081139,0,0,0,0,0,0,-0.34919853,-3.4556575,-9.2841322,-5.3679596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-96.02626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7389299,-28.067685,-27.448141,-0.47036046,0,0,0,0,0,0,-1.9296125,-14.388397,-52.658955,-69.326222,-3.4078123,0,0,0,0,0,0,-0.34916763,-3.4553518,-9.2833107,-5.3674847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-96.017762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7386875,-28.065201,-27.445712,-0.47031883,0,0,0,0,0,0,-1.9294418,-14.387123,-52.654295,-69.320087,-3.4075107,0,0,0,0,0,0,-0.34913673,-3.455046,-9.2824892,-5.3670097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-96.009264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7384451,-28.062717,-27.443283,-0.47027721,0,0,0,0,0,0,-1.929271,-14.38585,-52.649635,-69.313953,-3.4072092,0,0,0,0,0,0,-0.34910583,-3.4547402,-9.2816677,-5.3665347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-96.000767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7382027,-28.060233,-27.440854,-0.47023559,0,0,0,0,0,0,-1.9291002,-14.384577,-52.644975,-69.307818,-3.4069076,0,0,0,0,0,0,-0.34907493,-3.4544344,-9.2808462,-5.3660597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-95.992269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7379603,-28.05775,-27.438425,-0.47019396,0,0,0,0,0,0,-1.9289295,-14.383303,-52.640315,-69.301683,-3.406606,0,0,0,0,0,0,-0.34904403,-3.4541287,-9.2800246,-5.3655847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-95.983771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.737718,-28.055266,-27.435996,-0.47015234,0,0,0,0,0,0,-1.9287587,-14.38203,-52.635655,-69.295548,-3.4063045,0,0,0,0,0,0,-0.34901313,-3.4538229,-9.2792031,-5.3651097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
