X coord (mm),Y coord (mm)
8.45886,4.30653
2.24514,0.327093
3.39432,0.183322
4.59557,0.1547
5.72738,0.0166054
6.90655,-0.00916308
8.04313,0.0968781
9.22685,0.318778
2.08035,0.705781
3.30301,0.674091
4.48933,0.635881
5.7042,0.605093
6.8452,0.700625
8.03568,0.684431
9.30797,0.653358
10.4719,0.613504
11.5636,1.00341
12.4044,1.50461
1.08974,2.1929
2.075,1.86589
3.30914,1.82563
4.49314,1.77917
5.73456,1.84554
6.82323,1.83493
8.13339,1.80163
9.33715,1.87839
10.4243,1.83993
11.6468,1.8539
12.8446,1.84731
13.734,2.27951
0.592718,2.81306
0.862597,3.10836
2.08047,3.08009
3.21348,3.04863
4.53057,3.0458
5.64628,3.04769
6.86357,3.02861
8.07345,3.10709
9.3233,3.05282
10.5362,3.06278
11.6544,3.07289
12.8557,3.05644
14.0323,3.01723
1.04289,3.62582
2.02717,3.73405
3.2478,3.79836
4.51244,4.41255
5.81936,4.37946
6.92746,4.47521
8.14426,4.45202
9.30704,4.193
10.4904,4.23928
11.7246,4.22949
12.8473,4.22608
14.0684,4.26466
0.187723,5.49872
0.91121,5.42328
2.13656,5.41284
3.36319,5.47534
4.50305,5.43712
5.69895,5.39752
6.82757,5.45924
8.04707,5.4082
9.24778,5.44658
10.438,5.48406
11.6694,5.40806
12.9163,5.41399
14.0354,5.42401
0.204088,5.91604
1.26732,6.26073
2.1451,6.68114
3.1957,6.6462
4.53908,6.67344
5.61365,6.6295
6.86035,6.66669
8.13113,6.69671
9.22993,6.64494
10.5201,6.65503
11.7259,6.66688
12.8452,6.68341
13.8903,6.41207
2.08559,7.87629
3.25273,7.81217
4.54931,7.8321
5.7301,7.87376
6.86923,7.81476
8.05676,7.84931
9.32053,7.85794
10.5269,7.86138
11.6429,7.86945
12.8588,7.85816
13.2861,7.39011
2.05378,8.54529
3.22772,8.58292
4.68504,8.5733
5.60179,8.54392
6.73417,8.5853
7.9691,8.59798
9.14682,8.50939
10.3113,8.30597
11.4966,8.09605
