X coord (mm),Y coord (mm)
0.789892,5.3103
1.28973,5.54346
1.61885,5.69948
2.08872,5.93422
2.54563,5.95837
2.98834,5.98704
3.55342,5.99398
3.95999,6.02651
4.49781,6.03557
5.02467,6.04399
5.55958,5.95221
6.06602,5.96301
6.56323,5.9739
7.0517,5.9846
7.53252,5.99445
8.00655,6.00397
8.47549,6.01445
9.06049,6.00468
9.27578,5.86263
9.81008,5.56349
10.1111,5.40353
10.5959,5.11434
1.45551,5.62101
1.77648,5.77644
2.23699,6.01159
2.66311,6.24442
3.05465,6.4836
3.46481,6.51647
4.00845,6.52333
4.54835,6.52982
4.96565,6.45623
5.49524,6.46382
6.00767,6.47165
6.51486,6.48109
6.99593,6.48967
7.47785,6.50117
7.95481,6.50746
8.45008,6.31403
8.6986,6.16947
9.06049,6.00468
9.60018,5.69893
2.52083,6.16592
2.90866,6.50823
3.16214,6.66943
3.68575,6.78296
3.96653,6.73411
4.50573,6.74007
4.92787,6.6652
5.46537,6.67068
6.10886,6.65457
6.50122,6.58309
6.97943,6.59196
7.46251,6.60458
7.95481,6.50746
8.07621,6.48381
8.45008,6.31403
