Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa)
0,-2.2518425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015657106,-0.061079225,-0.2011396,-0.26220073,-0.05049779,0,0,0,0,0,0,0,-0.006247492,-0.19305209,-0.98927302,-1.526002,-0.68900699,-0.033376845,0,0,0,0,0,0,0,-0.074728731,-0.57267963,-1.0223586,-0.35713546,0,0,0,0,0,0,0,0,0,-0.0012111005,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.1806789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015162304,-0.059148976,-0.19478311,-0.25391456,-0.04890194,0,0,0,0,0,0,0,-0.0060500563,-0.18695118,-0.95800963,-1.4777767,-0.66723273,-0.032322057,0,0,0,0,0,0,0,-0.072367125,-0.55458159,-0.99004964,-0.34584913,0,0,0,0,0,0,0,0,0,-0.0011728268,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.1095153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014667502,-0.057218727,-0.18842661,-0.24562839,-0.047306089,0,0,0,0,0,0,0,-0.0058526207,-0.18085027,-0.92674625,-1.4295514,-0.64545846,-0.03126727,0,0,0,0,0,0,0,-0.070005519,-0.53648354,-0.95774067,-0.3345628,0,0,0,0,0,0,0,0,0,-0.0011345531,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.0383517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014172701,-0.055288477,-0.18207012,-0.23734222,-0.045710238,0,0,0,0,0,0,0,-0.005655185,-0.17474937,-0.89548286,-1.3813261,-0.6236842,-0.030212482,0,0,0,0,0,0,0,-0.067643912,-0.5183855,-0.9254317,-0.32327647,0,0,0,0,0,0,0,0,0,-0.0010962795,0,0,0,0,0,0,0,0,0,0,0,0
4,-1.9671881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013677899,-0.053358228,-0.17571363,-0.22905605,-0.044114388,0,0,0,0,0,0,0,-0.0054577494,-0.16864846,-0.86421947,-1.3331008,-0.60190993,-0.029157694,0,0,0,0,0,0,0,-0.065282306,-0.50028746,-0.89312273,-0.31199013,0,0,0,0,0,0,0,0,0,-0.0010580058,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.8960245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013183097,-0.051427979,-0.16935714,-0.22076988,-0.042518537,0,0,0,0,0,0,0,-0.0052603137,-0.16254755,-0.83295608,-1.2848755,-0.58013567,-0.028102906,0,0,0,0,0,0,0,-0.0629207,-0.48218942,-0.86081376,-0.3007038,0,0,0,0,0,0,0,0,0,-0.0010197321,0,0,0,0,0,0,0,0,0,0,0,0
6,-1.824861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012688295,-0.04949773,-0.16300065,-0.21248371,-0.040922686,0,0,0,0,0,0,0,-0.0050628781,-0.15644665,-0.8016927,-1.2366502,-0.5583614,-0.027048118,0,0,0,0,0,0,0,-0.060559094,-0.46409137,-0.82850478,-0.28941747,0,0,0,0,0,0,0,0,0,-0.00098145847,0,0,0,0,0,0,0,0,0,0,0,0
7,-1.7536974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012193493,-0.04756748,-0.15664416,-0.20419755,-0.039326836,0,0,0,0,0,0,0,-0.0048654424,-0.15034574,-0.77042931,-1.1884249,-0.53658714,-0.02599333,0,0,0,0,0,0,0,-0.058197488,-0.44599333,-0.79619581,-0.27813113,0,0,0,0,0,0,0,0,0,-0.00094318481,0,0,0,0,0,0,0,0,0,0,0,0
8,-1.6825338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011698691,-0.045637231,-0.15028767,-0.19591138,-0.037730985,0,0,0,0,0,0,0,-0.0046680068,-0.14424483,-0.73916592,-1.1401996,-0.51481287,-0.024938542,0,0,0,0,0,0,0,-0.055835881,-0.42789529,-0.76388684,-0.2668448,0,0,0,0,0,0,0,0,0,-0.00090491115,0,0,0,0,0,0,0,0,0,0,0,0
9,-1.6113702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011203889,-0.043706982,-0.14393118,-0.18762521,-0.036135134,0,0,0,0,0,0,0,-0.0044705711,-0.13814393,-0.70790253,-1.0919743,-0.49303861,-0.023883754,0,0,0,0,0,0,0,-0.053474275,-0.40979725,-0.73157787,-0.25555847,0,0,0,0,0,0,0,0,0,-0.00086663748,0,0,0,0,0,0,0,0,0,0,0,0
