Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa)
0,-2.214224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45092364,-1.104642,-1.0419474,-0.48542548,0,0,0,0,0,0,0,0,-0.25908466,-1.3989952,-2.1589661,-1.6917137,-0.69259637,0,0,0,0,0,0,0,-0.32950778,-0.75766154,-1.0354934,-0.89845332,-0.27973566,0,0,0,0,0,0,0,0,0,-0.086688446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.264252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46111178,-1.1296002,-1.0654891,-0.49639315,0,0,0,0,0,0,0,0,-0.2649384,-1.430604,-2.2077456,-1.7299361,-0.70824485,0,0,0,0,0,0,0,-0.33695266,-0.77478009,-1.0588893,-0.91875291,-0.28605599,0,0,0,0,0,0,0,0,0,-0.088647079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.3142801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47129992,-1.1545584,-1.0890308,-0.50736082,0,0,0,0,0,0,0,0,-0.27079214,-1.4622128,-2.2565251,-1.7681586,-0.72389332,0,0,0,0,0,0,0,-0.34439754,-0.79189865,-1.0822851,-0.93905251,-0.29237632,0,0,0,0,0,0,0,0,0,-0.090605712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.3643081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.48148806,-1.1795166,-1.1125725,-0.51832849,0,0,0,0,0,0,0,0,-0.27664588,-1.4938216,-2.3053047,-1.8063811,-0.7395418,0,0,0,0,0,0,0,-0.35184241,-0.8090172,-1.105681,-0.9593521,-0.29869665,0,0,0,0,0,0,0,0,0,-0.092564345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.4143361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4916762,-1.2044748,-1.1361142,-0.52929616,0,0,0,0,0,0,0,0,-0.28249962,-1.5254304,-2.3540842,-1.8446035,-0.75519028,0,0,0,0,0,0,0,-0.35928729,-0.82613576,-1.1290769,-0.9796517,-0.30501698,0,0,0,0,0,0,0,0,0,-0.094522978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.4643641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50186434,-1.229433,-1.1596559,-0.54026383,0,0,0,0,0,0,0,0,-0.28835337,-1.5570392,-2.4028637,-1.882826,-0.77083875,0,0,0,0,0,0,0,-0.36673217,-0.84325431,-1.1524727,-0.99995129,-0.31133731,0,0,0,0,0,0,0,0,0,-0.096481611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.5143922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51205248,-1.2543913,-1.1831976,-0.5512315,0,0,0,0,0,0,0,0,-0.29420711,-1.588648,-2.4516433,-1.9210485,-0.78648723,0,0,0,0,0,0,0,-0.37417705,-0.86037286,-1.1758686,-1.0202509,-0.31765764,0,0,0,0,0,0,0,0,0,-0.098440244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.5644202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.52224062,-1.2793495,-1.2067393,-0.56219918,0,0,0,0,0,0,0,0,-0.30006085,-1.6202568,-2.5004228,-1.9592709,-0.80213571,0,0,0,0,0,0,0,-0.38162192,-0.87749142,-1.1992645,-1.0405505,-0.32397797,0,0,0,0,0,0,0,0,0,-0.10039888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.6144482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53242876,-1.3043077,-1.2302809,-0.57316685,0,0,0,0,0,0,0,0,-0.30591459,-1.6518656,-2.5492023,-1.9974934,-0.81778418,0,0,0,0,0,0,0,-0.3890668,-0.89460997,-1.2226604,-1.0608501,-0.3302983,0,0,0,0,0,0,0,0,0,-0.10235751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.6644763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54261689,-1.3292659,-1.2538226,-0.58413452,0,0,0,0,0,0,0,0,-0.31176833,-1.6834744,-2.5979819,-2.0357159,-0.83343266,0,0,0,0,0,0,0,-0.39651168,-0.91172853,-1.2460562,-1.0811497,-0.33661863,0,0,0,0,0,0,0,0,0,-0.10431614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
