Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa),Coord 104 Stress (kPa),Coord 105 Stress (kPa),Coord 106 Stress (kPa),Coord 107 Stress (kPa),Coord 108 Stress (kPa),Coord 109 Stress (kPa),Coord 110 Stress (kPa),Coord 111 Stress (kPa),Coord 112 Stress (kPa),Coord 113 Stress (kPa),Coord 114 Stress (kPa),Coord 115 Stress (kPa),Coord 116 Stress (kPa),Coord 117 Stress (kPa),Coord 118 Stress (kPa),Coord 119 Stress (kPa)
10,-2.2206969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12978103,-0.55629667,-0.71440017,-0.26937091,-0.045786052,0,0,0,0,0,0,0,0,-0.12326488,-0.30583438,-2.2615979,-2.0310352,-0.5788098,-0.1099351,-0.0037542876,0,0,0,0,0,0,-0.055898598,-0.38125615,-0.82214646,-0.72774328,-0.31980552,-0.052643898,0,0,0,0,0,0,0,0,0,0,-0.075343829,-0.049380118,-0.0093508215,0,0,0,0,0,-0.027695234,0,0,0,0,0,0,0,0,0,0,0,-0.028931917,-0.0022028684,0,0,0,0,0,0,0,0,0,-0.0015724314,-0.023813708,0,0,0,0,0,0,0,0,0
11,-2.230317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13034324,-0.55870655,-0.71749496,-0.27053783,-0.045984398,0,0,0,0,0,0,0,0,-0.12379887,-0.30715926,-2.2713951,-2.0398337,-0.58131721,-0.11041134,-0.0037705512,0,0,0,0,0,0,-0.056140752,-0.38290775,-0.82570801,-0.73089587,-0.32119093,-0.052871952,0,0,0,0,0,0,0,0,0,0,-0.07567022,-0.049594033,-0.0093913294,0,0,0,0,0,-0.02781521,0,0,0,0,0,0,0,0,0,0,0,-0.02905725,-0.0022124112,0,0,0,0,0,0,0,0,0,-0.0015792432,-0.02391687,0,0,0,0,0,0,0,0,0
12,-2.2399371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13090546,-0.56111644,-0.72058975,-0.27170475,-0.046182744,0,0,0,0,0,0,0,0,-0.12433285,-0.30848414,-2.2811924,-2.0486321,-0.58382462,-0.11088758,-0.0037868148,0,0,0,0,0,0,-0.056382905,-0.38455936,-0.82926956,-0.73404847,-0.32257633,-0.053100006,0,0,0,0,0,0,0,0,0,0,-0.07599661,-0.049807949,-0.0094318373,0,0,0,0,0,-0.027935186,0,0,0,0,0,0,0,0,0,0,0,-0.029182584,-0.0022219541,0,0,0,0,0,0,0,0,0,-0.001586055,-0.024020031,0,0,0,0,0,0,0,0,0
13,-2.2495572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13146767,-0.56352632,-0.72368454,-0.27287167,-0.046381089,0,0,0,0,0,0,0,0,-0.12486684,-0.30980902,-2.2909897,-2.0574306,-0.58633203,-0.11136382,-0.0038030784,0,0,0,0,0,0,-0.056625059,-0.38621096,-0.8328311,-0.73720106,-0.32396173,-0.05332806,0,0,0,0,0,0,0,0,0,0,-0.076323,-0.050021864,-0.0094723451,0,0,0,0,0,-0.028055162,0,0,0,0,0,0,0,0,0,0,0,-0.029307917,-0.0022314969,0,0,0,0,0,0,0,0,0,-0.0015928668,-0.024123192,0,0,0,0,0,0,0,0,0
14,-2.2591772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13202988,-0.5659362,-0.72677933,-0.27403858,-0.046579435,0,0,0,0,0,0,0,0,-0.12540082,-0.31113389,-2.3007869,-2.0662291,-0.58883945,-0.11184006,-0.003819342,0,0,0,0,0,0,-0.056867212,-0.38786257,-0.83639265,-0.74035365,-0.32534713,-0.053556114,0,0,0,0,0,0,0,0,0,0,-0.076649391,-0.050235779,-0.009512853,0,0,0,0,0,-0.028175138,0,0,0,0,0,0,0,0,0,0,0,-0.02943325,-0.0022410398,0,0,0,0,0,0,0,0,0,-0.0015996786,-0.024226353,0,0,0,0,0,0,0,0,0
15,-2.2687973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1325921,-0.56834609,-0.72987412,-0.2752055,-0.046777781,0,0,0,0,0,0,0,0,-0.12593481,-0.31245877,-2.3105842,-2.0750275,-0.59134686,-0.1123163,-0.0038356056,0,0,0,0,0,0,-0.057109365,-0.38951418,-0.8399542,-0.74350624,-0.32673253,-0.053784168,0,0,0,0,0,0,0,0,0,0,-0.076975781,-0.050449694,-0.0095533609,0,0,0,0,0,-0.028295114,0,0,0,0,0,0,0,0,0,0,0,-0.029558584,-0.0022505826,0,0,0,0,0,0,0,0,0,-0.0016064903,-0.024329515,0,0,0,0,0,0,0,0,0
16,-2.2784174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13315431,-0.57075597,-0.73296891,-0.27637242,-0.046976127,0,0,0,0,0,0,0,0,-0.12646879,-0.31378365,-2.3203815,-2.083826,-0.59385427,-0.11279254,-0.0038518693,0,0,0,0,0,0,-0.057351519,-0.39116578,-0.84351575,-0.74665884,-0.32811793,-0.054012222,0,0,0,0,0,0,0,0,0,0,-0.077302172,-0.05066361,-0.0095938687,0,0,0,0,0,-0.02841509,0,0,0,0,0,0,0,0,0,0,0,-0.029683917,-0.0022601255,0,0,0,0,0,0,0,0,0,-0.0016133021,-0.024432676,0,0,0,0,0,0,0,0,0
17,-2.2880375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13371652,-0.57316585,-0.7360637,-0.27753934,-0.047174472,0,0,0,0,0,0,0,0,-0.12700278,-0.31510853,-2.3301787,-2.0926245,-0.59636168,-0.11326878,-0.0038681329,0,0,0,0,0,0,-0.057593672,-0.39281739,-0.8470773,-0.74981143,-0.32950333,-0.054240276,0,0,0,0,0,0,0,0,0,0,-0.077628562,-0.050877525,-0.0096343766,0,0,0,0,0,-0.028535066,0,0,0,0,0,0,0,0,0,0,0,-0.029809251,-0.0022696684,0,0,0,0,0,0,0,0,0,-0.0016201139,-0.024535837,0,0,0,0,0,0,0,0,0
18,-2.2976576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13427873,-0.57557574,-0.73915849,-0.27870625,-0.047372818,0,0,0,0,0,0,0,0,-0.12753676,-0.31643341,-2.339976,-2.1014229,-0.59886909,-0.11374502,-0.0038843965,0,0,0,0,0,0,-0.057835825,-0.39446899,-0.85063884,-0.75296402,-0.33088873,-0.05446833,0,0,0,0,0,0,0,0,0,0,-0.077954952,-0.05109144,-0.0096748845,0,0,0,0,0,-0.028655042,0,0,0,0,0,0,0,0,0,0,0,-0.029934584,-0.0022792112,0,0,0,0,0,0,0,0,0,-0.0016269257,-0.024638998,0,0,0,0,0,0,0,0,0
19,-2.3072777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13484095,-0.57798562,-0.74225328,-0.27987317,-0.047571164,0,0,0,0,0,0,0,0,-0.12807075,-0.31775828,-2.3497733,-2.1102214,-0.6013765,-0.11422126,-0.0039006601,0,0,0,0,0,0,-0.058077979,-0.3961206,-0.85420039,-0.75611661,-0.33227414,-0.054696384,0,0,0,0,0,0,0,0,0,0,-0.078281343,-0.051305355,-0.0097153923,0,0,0,0,0,-0.028775019,0,0,0,0,0,0,0,0,0,0,0,-0.030059917,-0.0022887541,0,0,0,0,0,0,0,0,0,-0.0016337375,-0.02474216,0,0,0,0,0,0,0,0,0
