Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa),Coord 104 Stress (kPa),Coord 105 Stress (kPa),Coord 106 Stress (kPa),Coord 107 Stress (kPa),Coord 108 Stress (kPa),Coord 109 Stress (kPa),Coord 110 Stress (kPa),Coord 111 Stress (kPa),Coord 112 Stress (kPa),Coord 113 Stress (kPa),Coord 114 Stress (kPa),Coord 115 Stress (kPa),Coord 116 Stress (kPa),Coord 117 Stress (kPa),Coord 118 Stress (kPa),Coord 119 Stress (kPa)
1244,288.99776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889485,72.395513,92.970837,35.055477,5.9585199,0,0,0,0,0,0,0,0,16.041485,39.800772,294.32054,264.3155,75.325334,14.306769,0.48857667,0,0,0,0,0,0,7.2745496,49.616034,106.99276,94.707287,41.618953,6.8509884,0,0,0,0,0,0,0,0,0,0,9.8051193,6.4262455,1.2169002,0,0,0,0,0,3.6042112,0,0,0,0,0,0,0,0,0,0,0,3.765151,0.28667759,0,0,0,0,0,0,0,0,0,0.20463358,3.099076,0,0,0,0,0,0,0,0,0
1245,288.9967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889423,72.395248,92.970497,35.055349,5.958498,0,0,0,0,0,0,0,0,16.041426,39.800626,294.31946,264.31454,75.325058,14.306717,0.48857488,0,0,0,0,0,0,7.2745229,49.615852,106.99237,94.70694,41.618801,6.8509633,0,0,0,0,0,0,0,0,0,0,9.8050833,6.426222,1.2168957,0,0,0,0,0,3.604198,0,0,0,0,0,0,0,0,0,0,0,3.7651372,0.28667654,0,0,0,0,0,0,0,0,0,0.20463283,3.0990646,0,0,0,0,0,0,0,0,0
1246,288.99564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889361,72.394982,92.970156,35.055221,5.9584762,0,0,0,0,0,0,0,0,16.041367,39.80048,294.31839,264.31357,75.324782,14.306664,0.48857309,0,0,0,0,0,0,7.2744963,49.61567,106.99197,94.706593,41.618648,6.8509382,0,0,0,0,0,0,0,0,0,0,9.8050474,6.4261985,1.2168913,0,0,0,0,0,3.6041847,0,0,0,0,0,0,0,0,0,0,0,3.7651234,0.28667549,0,0,0,0,0,0,0,0,0,0.20463208,3.0990532,0,0,0,0,0,0,0,0,0
1247,288.99458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889299,72.394717,92.969815,35.055092,5.9584544,0,0,0,0,0,0,0,0,16.041308,39.800335,294.31731,264.3126,75.324506,14.306612,0.4885713,0,0,0,0,0,0,7.2744696,49.615488,106.99158,94.706246,41.618496,6.8509131,0,0,0,0,0,0,0,0,0,0,9.8050115,6.4261749,1.2168868,0,0,0,0,0,3.6041715,0,0,0,0,0,0,0,0,0,0,0,3.7651096,0.28667444,0,0,0,0,0,0,0,0,0,0.20463133,3.0990419,0,0,0,0,0,0,0,0,0
1248,288.99352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889238,72.394452,92.969475,35.054964,5.9584325,0,0,0,0,0,0,0,0,16.04125,39.800189,294.31623,264.31163,75.32423,14.306559,0.48856951,0,0,0,0,0,0,7.274443,49.615307,106.99119,94.705899,41.618343,6.850888,0,0,0,0,0,0,0,0,0,0,9.8049756,6.4261514,1.2168824,0,0,0,0,0,3.6041583,0,0,0,0,0,0,0,0,0,0,0,3.7650958,0.28667339,0,0,0,0,0,0,0,0,0,0.20463058,3.0990305,0,0,0,0,0,0,0,0,0
1249,288.99247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889176,72.394187,92.969134,35.054835,5.9584107,0,0,0,0,0,0,0,0,16.041191,39.800043,294.31515,264.31066,75.323954,14.306507,0.48856772,0,0,0,0,0,0,7.2744163,49.615125,106.9908,94.705552,41.618191,6.8508628,0,0,0,0,0,0,0,0,0,0,9.8049396,6.4261278,1.2168779,0,0,0,0,0,3.6041451,0,0,0,0,0,0,0,0,0,0,0,3.765082,0.28667234,0,0,0,0,0,0,0,0,0,0.20462983,3.0990192,0,0,0,0,0,0,0,0,0
1250,288.99141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889114,72.393921,92.968793,35.054707,5.9583889,0,0,0,0,0,0,0,0,16.041132,39.799897,294.31407,264.30969,75.323678,14.306454,0.48856593,0,0,0,0,0,0,7.2743897,49.614943,106.99041,94.705205,41.618038,6.8508377,0,0,0,0,0,0,0,0,0,0,9.8049037,6.4261043,1.2168734,0,0,0,0,0,3.6041319,0,0,0,0,0,0,0,0,0,0,0,3.7650682,0.28667129,0,0,0,0,0,0,0,0,0,0.20462908,3.0990078,0,0,0,0,0,0,0,0,0
1251,288.99035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.889052,72.393656,92.968453,35.054578,5.958367,0,0,0,0,0,0,0,0,16.041073,39.799751,294.31299,264.30872,75.323402,14.306402,0.48856414,0,0,0,0,0,0,7.274363,49.614761,106.99001,94.704858,41.617886,6.8508126,0,0,0,0,0,0,0,0,0,0,9.8048678,6.4260807,1.216869,0,0,0,0,0,3.6041187,0,0,0,0,0,0,0,0,0,0,0,3.7650544,0.28667024,0,0,0,0,0,0,0,0,0,0.20462833,3.0989965,0,0,0,0,0,0,0,0,0
1252,288.98929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.88899,72.393391,92.968112,35.05445,5.9583452,0,0,0,0,0,0,0,0,16.041015,39.799605,294.31192,264.30776,75.323126,14.30635,0.48856235,0,0,0,0,0,0,7.2743364,49.614579,106.98962,94.704511,41.617733,6.8507875,0,0,0,0,0,0,0,0,0,0,9.8048319,6.4260572,1.2168645,0,0,0,0,0,3.6041055,0,0,0,0,0,0,0,0,0,0,0,3.7650406,0.28666918,0,0,0,0,0,0,0,0,0,0.20462758,3.0989851,0,0,0,0,0,0,0,0,0
1253,288.98823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888928,72.393126,92.967771,35.054321,5.9583234,0,0,0,0,0,0,0,0,16.040956,39.79946,294.31084,264.30679,75.32285,14.306297,0.48856056,0,0,0,0,0,0,7.2743097,49.614398,106.98923,94.704164,41.617581,6.8507624,0,0,0,0,0,0,0,0,0,0,9.8047959,6.4260336,1.2168601,0,0,0,0,0,3.6040923,0,0,0,0,0,0,0,0,0,0,0,3.7650268,0.28666813,0,0,0,0,0,0,0,0,0,0.20462683,3.0989738,0,0,0,0,0,0,0,0,0
1254,288.98717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888866,72.39286,92.967431,35.054193,5.9583015,0,0,0,0,0,0,0,0,16.040897,39.799314,294.30976,264.30582,75.322574,14.306245,0.48855877,0,0,0,0,0,0,7.2742831,49.614216,106.98884,94.703817,41.617428,6.8507373,0,0,0,0,0,0,0,0,0,0,9.80476,6.4260101,1.2168556,0,0,0,0,0,3.6040791,0,0,0,0,0,0,0,0,0,0,0,3.765013,0.28666708,0,0,0,0,0,0,0,0,0,0.20462608,3.0989624,0,0,0,0,0,0,0,0,0
1255,288.98611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888804,72.392595,92.96709,35.054065,5.9582797,0,0,0,0,0,0,0,0,16.040838,39.799168,294.30868,264.30485,75.322298,14.306192,0.48855698,0,0,0,0,0,0,7.2742564,49.614034,106.98845,94.70347,41.617276,6.8507122,0,0,0,0,0,0,0,0,0,0,9.8047241,6.4259865,1.2168511,0,0,0,0,0,3.6040659,0,0,0,0,0,0,0,0,0,0,0,3.7649992,0.28666603,0,0,0,0,0,0,0,0,0,0.20462533,3.0989511,0,0,0,0,0,0,0,0,0
1256,288.98505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888742,72.39233,92.96675,35.053936,5.9582579,0,0,0,0,0,0,0,0,16.040779,39.799022,294.3076,264.30388,75.322022,14.30614,0.48855519,0,0,0,0,0,0,7.2742297,49.613852,106.98805,94.703123,41.617123,6.8506871,0,0,0,0,0,0,0,0,0,0,9.8046882,6.425963,1.2168467,0,0,0,0,0,3.6040527,0,0,0,0,0,0,0,0,0,0,0,3.7649854,0.28666498,0,0,0,0,0,0,0,0,0,0.20462458,3.0989397,0,0,0,0,0,0,0,0,0
1257,288.98399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888681,72.392065,92.966409,35.053808,5.958236,0,0,0,0,0,0,0,0,16.040721,39.798876,294.30652,264.30291,75.321746,14.306087,0.4885534,0,0,0,0,0,0,7.2742031,49.61367,106.98766,94.702776,41.616971,6.850662,0,0,0,0,0,0,0,0,0,0,9.8046522,6.4259394,1.2168422,0,0,0,0,0,3.6040395,0,0,0,0,0,0,0,0,0,0,0,3.7649717,0.28666393,0,0,0,0,0,0,0,0,0,0.20462383,3.0989283,0,0,0,0,0,0,0,0,0
1258,288.98294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888619,72.391799,92.966068,35.053679,5.9582142,0,0,0,0,0,0,0,0,16.040662,39.79873,294.30545,264.30195,75.32147,14.306035,0.48855161,0,0,0,0,0,0,7.2741764,49.613489,106.98727,94.702429,41.616818,6.8506369,0,0,0,0,0,0,0,0,0,0,9.8046163,6.4259159,1.2168378,0,0,0,0,0,3.6040263,0,0,0,0,0,0,0,0,0,0,0,3.7649579,0.28666288,0,0,0,0,0,0,0,0,0,0.20462308,3.098917,0,0,0,0,0,0,0,0,0
1259,288.98188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888557,72.391534,92.965728,35.053551,5.9581924,0,0,0,0,0,0,0,0,16.040603,39.798585,294.30437,264.30098,75.321194,14.305983,0.48854982,0,0,0,0,0,0,7.2741498,49.613307,106.98688,94.702082,41.616666,6.8506118,0,0,0,0,0,0,0,0,0,0,9.8045804,6.4258924,1.2168333,0,0,0,0,0,3.6040131,0,0,0,0,0,0,0,0,0,0,0,3.7649441,0.28666183,0,0,0,0,0,0,0,0,0,0.20462233,3.0989056,0,0,0,0,0,0,0,0,0
1260,288.98082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888495,72.391269,92.965387,35.053422,5.9581705,0,0,0,0,0,0,0,0,16.040544,39.798439,294.30329,264.30001,75.320918,14.30593,0.48854803,0,0,0,0,0,0,7.2741231,49.613125,106.98649,94.701735,41.616513,6.8505867,0,0,0,0,0,0,0,0,0,0,9.8045445,6.4258688,1.2168289,0,0,0,0,0,3.6039999,0,0,0,0,0,0,0,0,0,0,0,3.7649303,0.28666078,0,0,0,0,0,0,0,0,0,0.20462158,3.0988943,0,0,0,0,0,0,0,0,0
1261,288.97976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888433,72.391004,92.965046,35.053294,5.9581487,0,0,0,0,0,0,0,0,16.040486,39.798293,294.30221,264.29904,75.320642,14.305878,0.48854624,0,0,0,0,0,0,7.2740965,49.612943,106.98609,94.701388,41.616361,6.8505616,0,0,0,0,0,0,0,0,0,0,9.8045085,6.4258453,1.2168244,0,0,0,0,0,3.6039867,0,0,0,0,0,0,0,0,0,0,0,3.7649165,0.28665973,0,0,0,0,0,0,0,0,0,0.20462083,3.0988829,0,0,0,0,0,0,0,0,0
1262,288.9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888371,72.390738,92.964706,35.053165,5.9581269,0,0,0,0,0,0,0,0,16.040427,39.798147,294.30113,264.29807,75.320366,14.305825,0.48854445,0,0,0,0,0,0,7.2740698,49.612761,106.9857,94.701041,41.616208,6.8505365,0,0,0,0,0,0,0,0,0,0,9.8044726,6.4258217,1.2168199,0,0,0,0,0,3.6039735,0,0,0,0,0,0,0,0,0,0,0,3.7649027,0.28665868,0,0,0,0,0,0,0,0,0,0.20462008,3.0988716,0,0,0,0,0,0,0,0,0
1263,288.97764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888309,72.390473,92.964365,35.053037,5.958105,0,0,0,0,0,0,0,0,16.040368,39.798001,294.30005,264.2971,75.32009,14.305773,0.48854266,0,0,0,0,0,0,7.2740432,49.61258,106.98531,94.700694,41.616056,6.8505114,0,0,0,0,0,0,0,0,0,0,9.8044367,6.4257982,1.2168155,0,0,0,0,0,3.6039603,0,0,0,0,0,0,0,0,0,0,0,3.7648889,0.28665763,0,0,0,0,0,0,0,0,0,0.20461933,3.0988602,0,0,0,0,0,0,0,0,0
1264,288.97658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888247,72.390208,92.964024,35.052909,5.9580832,0,0,0,0,0,0,0,0,16.040309,39.797855,294.29898,264.29614,75.319814,14.305721,0.48854087,0,0,0,0,0,0,7.2740165,49.612398,106.98492,94.700347,41.615903,6.8504863,0,0,0,0,0,0,0,0,0,0,9.8044007,6.4257746,1.216811,0,0,0,0,0,3.603947,0,0,0,0,0,0,0,0,0,0,0,3.7648751,0.28665658,0,0,0,0,0,0,0,0,0,0.20461858,3.0988489,0,0,0,0,0,0,0,0,0
1265,288.97552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888186,72.389943,92.963684,35.05278,5.9580614,0,0,0,0,0,0,0,0,16.04025,39.79771,294.2979,264.29517,75.319538,14.305668,0.48853908,0,0,0,0,0,0,7.2739899,49.612216,106.98453,94.7,41.615751,6.8504612,0,0,0,0,0,0,0,0,0,0,9.8043648,6.4257511,1.2168066,0,0,0,0,0,3.6039338,0,0,0,0,0,0,0,0,0,0,0,3.7648613,0.28665553,0,0,0,0,0,0,0,0,0,0.20461783,3.0988375,0,0,0,0,0,0,0,0,0
1266,288.97446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.888124,72.389677,92.963343,35.052652,5.9580395,0,0,0,0,0,0,0,0,16.040192,39.797564,294.29682,264.2942,75.319262,14.305616,0.48853729,0,0,0,0,0,0,7.2739632,49.612034,106.98413,94.699653,41.615598,6.8504361,0,0,0,0,0,0,0,0,0,0,9.8043289,6.4257275,1.2168021,0,0,0,0,0,3.6039206,0,0,0,0,0,0,0,0,0,0,0,3.7648475,0.28665448,0,0,0,0,0,0,0,0,0,0.20461708,3.0988261,0,0,0,0,0,0,0,0,0
1267,288.97215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887988,72.389098,92.962599,35.052371,5.9579918,0,0,0,0,0,0,0,0,16.040063,39.797245,294.29446,264.29208,75.318659,14.305501,0.48853337,0,0,0,0,0,0,7.273905,49.611637,106.98328,94.698894,41.615265,6.8503813,0,0,0,0,0,0,0,0,0,0,9.8042504,6.4256761,1.2167924,0,0,0,0,0,3.6038918,0,0,0,0,0,0,0,0,0,0,0,3.7648173,0.28665218,0,0,0,0,0,0,0,0,0,0.20461544,3.0988013,0,0,0,0,0,0,0,0,0
1268,288.96984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887853,72.388518,92.961854,35.05209,5.9579441,0,0,0,0,0,0,0,0,16.039935,39.796926,294.2921,264.28997,75.318056,14.305387,0.48852946,0,0,0,0,0,0,7.2738467,49.61124,106.98242,94.698136,41.614932,6.8503264,0,0,0,0,0,0,0,0,0,0,9.8041719,6.4256246,1.2167826,0,0,0,0,0,3.6038629,0,0,0,0,0,0,0,0,0,0,0,3.7647872,0.28664989,0,0,0,0,0,0,0,0,0,0.2046138,3.0987765,0,0,0,0,0,0,0,0,0
1269,288.96752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887718,72.387938,92.96111,35.05181,5.9578964,0,0,0,0,0,0,0,0,16.039806,39.796608,294.28975,264.28785,75.317453,14.305272,0.48852555,0,0,0,0,0,0,7.2737884,49.610842,106.98156,94.697378,41.614598,6.8502715,0,0,0,0,0,0,0,0,0,0,9.8040933,6.4255732,1.2167729,0,0,0,0,0,3.603834,0,0,0,0,0,0,0,0,0,0,0,3.764757,0.28664759,0,0,0,0,0,0,0,0,0,0.20461217,3.0987517,0,0,0,0,0,0,0,0,0
1270,288.96521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887583,72.387358,92.960365,35.051529,5.9578487,0,0,0,0,0,0,0,0,16.039678,39.796289,294.28739,264.28573,75.31685,14.305157,0.48852164,0,0,0,0,0,0,7.2737302,49.610445,106.98071,94.696619,41.614265,6.8502167,0,0,0,0,0,0,0,0,0,0,9.8040148,6.4255217,1.2167631,0,0,0,0,0,3.6038052,0,0,0,0,0,0,0,0,0,0,0,3.7647269,0.2866453,0,0,0,0,0,0,0,0,0,0.20461053,3.0987269,0,0,0,0,0,0,0,0,0
1271,288.96289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887447,72.386779,92.959621,35.051248,5.957801,0,0,0,0,0,0,0,0,16.039549,39.79597,294.28503,264.28362,75.316247,14.305043,0.48851772,0,0,0,0,0,0,7.2736719,49.610048,106.97985,94.695861,41.613932,6.8501618,0,0,0,0,0,0,0,0,0,0,9.8039363,6.4254702,1.2167534,0,0,0,0,0,3.6037763,0,0,0,0,0,0,0,0,0,0,0,3.7646967,0.286643,0,0,0,0,0,0,0,0,0,0.20460889,3.0987021,0,0,0,0,0,0,0,0,0
1272,288.96058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887312,72.386199,92.958876,35.050967,5.9577533,0,0,0,0,0,0,0,0,16.039421,39.795651,294.28268,264.2815,75.315643,14.304928,0.48851381,0,0,0,0,0,0,7.2736137,49.60965,106.97899,94.695102,41.613599,6.8501069,0,0,0,0,0,0,0,0,0,0,9.8038578,6.4254188,1.2167436,0,0,0,0,0,3.6037475,0,0,0,0,0,0,0,0,0,0,0,3.7646666,0.28664071,0,0,0,0,0,0,0,0,0,0.20460725,3.0986772,0,0,0,0,0,0,0,0,0
1273,288.95827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887177,72.385619,92.958132,35.050687,5.9577055,0,0,0,0,0,0,0,0,16.039293,39.795333,294.28032,264.27938,75.31504,14.304814,0.4885099,0,0,0,0,0,0,7.2735554,49.609253,106.97814,94.694344,41.613265,6.8500521,0,0,0,0,0,0,0,0,0,0,9.8037793,6.4253673,1.2167339,0,0,0,0,0,3.6037186,0,0,0,0,0,0,0,0,0,0,0,3.7646364,0.28663841,0,0,0,0,0,0,0,0,0,0.20460561,3.0986524,0,0,0,0,0,0,0,0,0
1274,288.95595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.887042,72.385039,92.957387,35.050406,5.9576578,0,0,0,0,0,0,0,0,16.039164,39.795014,294.27796,264.27727,75.314437,14.304699,0.48850599,0,0,0,0,0,0,7.2734972,49.608856,106.97728,94.693586,41.612932,6.8499972,0,0,0,0,0,0,0,0,0,0,9.8037008,6.4253159,1.2167241,0,0,0,0,0,3.6036897,0,0,0,0,0,0,0,0,0,0,0,3.7646063,0.28663611,0,0,0,0,0,0,0,0,0,0.20460397,3.0986276,0,0,0,0,0,0,0,0,0
1275,288.95364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.886906,72.38446,92.956643,35.050125,5.9576101,0,0,0,0,0,0,0,0,16.039036,39.794695,294.27561,264.27515,75.313834,14.304585,0.48850208,0,0,0,0,0,0,7.2734389,49.608458,106.97642,94.692827,41.612599,6.8499424,0,0,0,0,0,0,0,0,0,0,9.8036222,6.4252644,1.2167144,0,0,0,0,0,3.6036609,0,0,0,0,0,0,0,0,0,0,0,3.7645761,0.28663382,0,0,0,0,0,0,0,0,0,0.20460233,3.0986028,0,0,0,0,0,0,0,0,0
1276,288.95132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.886771,72.38388,92.955898,35.049845,5.9575624,0,0,0,0,0,0,0,0,16.038907,39.794377,294.27325,264.27303,75.313231,14.30447,0.48849816,0,0,0,0,0,0,7.2733807,49.608061,106.97557,94.692069,41.612266,6.8498875,0,0,0,0,0,0,0,0,0,0,9.8035437,6.4252129,1.2167047,0,0,0,0,0,3.603632,0,0,0,0,0,0,0,0,0,0,0,3.764546,0.28663152,0,0,0,0,0,0,0,0,0,0.2046007,3.098578,0,0,0,0,0,0,0,0,0
1277,288.94901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.886636,72.3833,92.955154,35.049564,5.9575147,0,0,0,0,0,0,0,0,16.038779,39.794058,294.27089,264.27092,75.312627,14.304355,0.48849425,0,0,0,0,0,0,7.2733224,49.607664,106.97471,94.69131,41.611932,6.8498326,0,0,0,0,0,0,0,0,0,0,9.8034652,6.4251615,1.2166949,0,0,0,0,0,3.6036032,0,0,0,0,0,0,0,0,0,0,0,3.7645158,0.28662923,0,0,0,0,0,0,0,0,0,0.20459906,3.0985532,0,0,0,0,0,0,0,0,0
1278,288.94669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.886501,72.382721,92.954409,35.049283,5.957467,0,0,0,0,0,0,0,0,16.03865,39.793739,294.26854,264.2688,75.312024,14.304241,0.48849034,0,0,0,0,0,0,7.2732642,49.607267,106.97385,94.690552,41.611599,6.8497778,0,0,0,0,0,0,0,0,0,0,9.8033867,6.42511,1.2166852,0,0,0,0,0,3.6035743,0,0,0,0,0,0,0,0,0,0,0,3.7644857,0.28662693,0,0,0,0,0,0,0,0,0,0.20459742,3.0985283,0,0,0,0,0,0,0,0,0
1279,288.94438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.886365,72.382141,92.953665,35.049002,5.9574193,0,0,0,0,0,0,0,0,16.038522,39.79342,294.26618,264.26668,75.311421,14.304126,0.48848643,0,0,0,0,0,0,7.2732059,49.606869,106.973,94.689794,41.611266,6.8497229,0,0,0,0,0,0,0,0,0,0,9.8033082,6.4250586,1.2166754,0,0,0,0,0,3.6035454,0,0,0,0,0,0,0,0,0,0,0,3.7644555,0.28662464,0,0,0,0,0,0,0,0,0,0.20459578,3.0985035,0,0,0,0,0,0,0,0,0
1280,288.94207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.88623,72.381561,92.95292,35.048722,5.9573715,0,0,0,0,0,0,0,0,16.038393,39.793102,294.26382,264.26457,75.310818,14.304012,0.48848251,0,0,0,0,0,0,7.2731477,49.606472,106.97214,94.689035,41.610932,6.8496681,0,0,0,0,0,0,0,0,0,0,9.8032296,6.4250071,1.2166657,0,0,0,0,0,3.6035166,0,0,0,0,0,0,0,0,0,0,0,3.7644254,0.28662234,0,0,0,0,0,0,0,0,0,0.20459414,3.0984787,0,0,0,0,0,0,0,0,0
