0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
9.999999747378751636e-05,1.735917794576380402e-05,1.187124212265189271e-07,9.987299919128417969e+00,2.914165961556136608e-04,8.083831635303795338e-04
1.999999949475750327e-04,3.097368607996031642e-05,2.374248424530378543e-07,1.980097007751464844e+01,5.840485100634396076e-04,3.218602621927857399e-03
3.000000142492353916e-04,4.574747072183527052e-05,3.561372636795567814e-07,2.961211776733398438e+01,8.768436964601278305e-04,7.230740971863269806e-03
5.000000237487256527e-04,7.610234752064570785e-05,5.935621061325946357e-07,4.929307937622070312e+01,1.462008920498192310e-03,2.004773169755935669e-02
8.999999845400452614e-04,1.367957738693803549e-04,1.068411847882089205e-06,8.857713317871093750e+01,2.634798409417271614e-03,6.476274877786636353e-02
1.700000022538006306e-03,2.578078128863126040e-04,2.018111217694240622e-06,1.668103790283203125e+02,4.990449640899896622e-03,2.298412024974822998e-01
3.299999982118606567e-03,5.064207362011075020e-04,3.917510184692218900e-06,3.227394714355468750e+02,9.730593301355838776e-03,8.574343919754028320e-01
5.700000096112489700e-03,8.970880880951881409e-04,6.766608294128673151e-06,5.555426635742187500e+02,1.690603420138359070e-02,2.525149822235107422e+00
9.300000034272670746e-03,1.474380376748740673e-03,1.104025523090967909e-05,8.978820190429687500e+02,2.787341549992561340e-02,6.590406894683837891e+00
1.649999991059303284e-02,2.604053355753421783e-03,1.958754910447169095e-05,1.560162841796875000e+03,5.048649013042449951e-02,1.978837203979492188e+01
2.649999968707561493e-02,4.138797055929899216e-03,3.145258597214706242e-05,2.438758544921875000e+03,8.315142244100570679e-02,4.812752151489257812e+01
3.649999946355819702e-02,5.572972353547811508e-03,4.266921314410865307e-05,3.233334228515625000e+03,1.151545196771621704e-01,8.469070434570312500e+01
4.650000110268592834e-02,7.027149666100740433e-03,5.388583667809143662e-05,4.012042724609375000e+03,1.478062272071838379e-01,1.298749389648437500e+02
5.649999901652336121e-02,8.486814796924591064e-03,6.486093479907140136e-05,4.769033691406250000e+03,1.801293194293975830e-01,1.816851043701171875e+02
6.650000065565109253e-02,9.939894080162048340e-03,7.542294042650610209e-05,5.500482910156250000e+03,2.114209234714508057e-01,2.381188354492187500e+02
7.649999856948852539e-02,1.147366221994161606e-02,8.598494605394080281e-05,6.249661132812500000e+03,2.426149696111679077e-01,3.014124145507812500e+02
8.649999648332595825e-02,1.301543228328227997e-02,9.607010724721476436e-05,6.980552734375000000e+03,2.723291814327239990e-01,3.678526306152343750e+02
9.650000184774398804e-02,1.467296946793794632e-02,1.059774949681013823e-04,7.727884277343750000e+03,3.011315762996673584e-01,4.397028503417968750e+02
1.064999997615814209e-01,1.646717824041843414e-02,1.158273298642598093e-04,8.505667968750000000e+03,3.293100893497467041e-01,5.186181640625000000e+02
1.164999976754188538e-01,1.823839172720909119e-02,1.250800996785983443e-04,9.258401367187500000e+03,3.556073307991027832e-01,5.991375122070312500e+02
1.264999955892562866e-01,2.012670971453189850e-02,1.343328767688944936e-04,1.004503515625000000e+04,3.815002441406250000e-01,6.880648803710937500e+02
1.365000009536743164e-01,2.205656655132770538e-02,1.432927674613893032e-04,1.083315820312500000e+04,4.063092172145843506e-01,7.821201171875000000e+02
1.465000063180923462e-01,2.400003187358379364e-02,1.518909266451373696e-04,1.161305761718750000e+04,4.298925101757049561e-01,8.801801757812500000e+02
1.564999967813491821e-01,2.605927363038063049e-02,1.604890712769702077e-04,1.242555957031250000e+04,4.530589878559112549e-01,9.876047363281250000e+02
1.665000021457672119e-01,2.809814363718032837e-02,1.685590395936742425e-04,1.320597656250000000e+04,4.746350944042205811e-01,1.095834228515625000e+03
1.764999926090240479e-01,3.021535836160182953e-02,1.765025663189589977e-04,1.400044921875000000e+04,4.955553710460662842e-01,1.211225341796875000e+03
1.842563301324844360e-01,3.192395344376564026e-02,1.826638472266495228e-04,1.463714843750000000e+04,5.115347504615783691e-01,1.308282958984375000e+03
