X coord (mm),Y coord (mm)
7.94645,6.44402
4.1894,0.12652
5.83181,0.0722299
6.66989,0.166057
7.95374,0.0411078
9.04935,0.095458
10.1427,0.269609
11.3698,0.367502
12.6611,0.468055
3.33751,0.969035
4.32591,0.751512
5.57433,0.710906
6.75129,0.654595
7.82755,0.698867
9.11954,0.685774
10.251,0.642795
11.5321,0.636123
12.7092,0.704065
13.8924,0.758821
14.689,1.38097
2.26838,2.01196
3.14178,1.82714
4.38649,1.89438
5.53567,1.83219
6.75259,1.88961
7.91501,1.83184
9.04383,1.88047
10.3523,1.8708
11.5102,1.94133
12.6548,1.8926
13.9152,1.85918
15.0648,1.89519
15.4135,2.18087
1.89353,3.08823
3.0481,3.11697
4.34941,3.07506
5.55114,3.1276
6.64831,3.04655
7.91427,3.10351
9.1141,3.05307
10.2955,3.11171
11.5239,3.0795
12.6675,3.1351
13.93,3.11302
15.0913,3.05699
15.8068,3.31525
1.12063,4.75482
1.88246,4.2729
3.05363,4.29176
4.31946,4.33336
5.54433,4.26898
6.65734,4.28635
7.90474,4.33134
9.10326,4.27534
10.2641,4.31712
11.4985,4.28285
12.7582,4.25915
13.9272,4.32053
15.0884,4.27207
16.0614,4.28995
0.362393,5.87593
0.932817,5.27765
1.84426,5.48266
3.12877,5.47104
4.33866,5.48208
5.52779,5.4947
6.75577,5.52342
7.87945,5.52285
9.11383,5.47105
10.2967,5.51889
11.4638,5.46669
12.6664,5.47441
13.9098,5.48615
15.1394,5.49823
16.2611,5.44376
0.0091781,6.61417
0.735634,6.74904
1.86433,6.62555
3.00821,6.71867
4.27191,6.72657
5.53841,6.73199
6.68041,6.63126
7.92933,6.73935
9.1007,6.71723
10.3333,6.69974
11.4802,6.66896
12.7218,6.66773
13.8809,6.65572
15.105,6.68013
16.2105,6.67711
2.51436,7.33519
3.09313,7.78378
4.32959,7.93216
5.51252,7.95131
6.69236,7.83201
7.8882,7.84201
9.0717,7.86452
10.3058,7.91945
11.5538,7.89756
12.7011,7.86865
13.9251,7.88246
15.1162,7.91163
15.7939,7.58961
3.79309,8.51345
4.36807,9.10145
5.47815,9.08568
6.71371,9.08874
7.93427,9.09186
9.12385,9.09693
10.3455,9.12438
11.4985,9.06109
12.7299,9.04764
13.9257,9.06226
14.8749,8.69437
4.76303,9.53083
5.66532,9.59296
6.8443,9.82874
7.90609,10.0315
9.11771,10.1549
10.218,10.1479
11.5267,9.99082
12.7175,9.85554
13.5806,9.52392
