Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa),Coord 104 Stress (kPa),Coord 105 Stress (kPa),Coord 106 Stress (kPa),Coord 107 Stress (kPa),Coord 108 Stress (kPa),Coord 109 Stress (kPa),Coord 110 Stress (kPa),Coord 111 Stress (kPa),Coord 112 Stress (kPa),Coord 113 Stress (kPa),Coord 114 Stress (kPa),Coord 115 Stress (kPa),Coord 116 Stress (kPa),Coord 117 Stress (kPa),Coord 118 Stress (kPa),Coord 119 Stress (kPa),Coord 120 Stress (kPa),Coord 121 Stress (kPa),Coord 122 Stress (kPa),Coord 123 Stress (kPa)
10,-77.386233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5544842,-13.230996,-17.417734,-12.1737,-1.3729642,0,0,0,0,-13.56814,0,0,0,0,-5.3884573,-2.578405,-26.292975,-48.073885,-34.495948,-14.589384,-0.51192035,0,0,0,0,0,0,0,0,0,-19.745207,-42.310022,-72.298922,-46.181451,-19.363558,-4.4590554,0,0,0,0,0,0,0,0,-14.183287,-26.887964,-19.884045,-5.5301806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-77.295688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5491552,-13.215515,-17.397355,-12.159456,-1.3713578,0,0,0,0,-13.552265,0,0,0,0,-5.3821526,-2.5753881,-26.262211,-48.017636,-34.455586,-14.572314,-0.51132138,0,0,0,0,0,0,0,0,0,-19.722104,-42.260517,-72.214329,-46.127416,-19.340902,-4.4538381,0,0,0,0,0,0,0,0,-14.166692,-26.856503,-19.860779,-5.52371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-77.205142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5438262,-13.200034,-17.376975,-12.145212,-1.3697513,0,0,0,0,-13.53639,0,0,0,0,-5.3758479,-2.5723713,-26.231447,-47.961387,-34.415224,-14.555243,-0.51072241,0,0,0,0,0,0,0,0,0,-19.699001,-42.211013,-72.129736,-46.073382,-19.318245,-4.4486208,0,0,0,0,0,0,0,0,-14.150097,-26.825043,-19.837514,-5.5172394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-77.114597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5384973,-13.184553,-17.356596,-12.130969,-1.3681449,0,0,0,0,-13.520514,0,0,0,0,-5.3695431,-2.5693544,-26.200683,-47.905139,-34.374862,-14.538173,-0.51012344,0,0,0,0,0,0,0,0,0,-19.675898,-42.161508,-72.045143,-46.019348,-19.295589,-4.4434035,0,0,0,0,0,0,0,0,-14.133502,-26.793583,-19.814249,-5.5107689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-77.024051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5331683,-13.169072,-17.336216,-12.116725,-1.3665385,0,0,0,0,-13.504639,0,0,0,0,-5.3632384,-2.5663376,-26.169919,-47.84889,-34.3345,-14.521103,-0.50952447,0,0,0,0,0,0,0,0,0,-19.652796,-42.112003,-71.96055,-45.965313,-19.272933,-4.4381862,0,0,0,0,0,0,0,0,-14.116906,-26.762123,-19.790984,-5.5042983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-76.933506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5278394,-13.153592,-17.315837,-12.102481,-1.3649321,0,0,0,0,-13.488764,0,0,0,0,-5.3569336,-2.5633207,-26.139155,-47.792641,-34.294139,-14.504033,-0.5089255,0,0,0,0,0,0,0,0,0,-19.629693,-42.062499,-71.875957,-45.911279,-19.250277,-4.4329689,0,0,0,0,0,0,0,0,-14.100311,-26.730663,-19.767718,-5.4978277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-76.84296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5225104,-13.138111,-17.295457,-12.088237,-1.3633256,0,0,0,0,-13.472888,0,0,0,0,-5.3506289,-2.5603039,-26.108391,-47.736393,-34.253777,-14.486962,-0.50832653,0,0,0,0,0,0,0,0,0,-19.60659,-42.012994,-71.791364,-45.857244,-19.22762,-4.4277516,0,0,0,0,0,0,0,0,-14.083716,-26.699203,-19.744453,-5.4913572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-76.752415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5171815,-13.12263,-17.275077,-12.073993,-1.3617192,0,0,0,0,-13.457013,0,0,0,0,-5.3443241,-2.557287,-26.077627,-47.680144,-34.213415,-14.469892,-0.50772756,0,0,0,0,0,0,0,0,0,-19.583487,-41.963489,-71.706771,-45.80321,-19.204964,-4.4225343,0,0,0,0,0,0,0,0,-14.067121,-26.667742,-19.721188,-5.4848866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-76.66187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5118525,-13.107149,-17.254698,-12.05975,-1.3601128,0,0,0,0,-13.441137,0,0,0,0,-5.3380194,-2.5542702,-26.046863,-47.623895,-34.173053,-14.452822,-0.50712859,0,0,0,0,0,0,0,0,0,-19.560384,-41.913985,-71.622178,-45.749175,-19.182308,-4.417317,0,0,0,0,0,0,0,0,-14.050526,-26.636282,-19.697923,-5.4784161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-76.571324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5065236,-13.091668,-17.234318,-12.045506,-1.3585063,0,0,0,0,-13.425262,0,0,0,0,-5.3317147,-2.5512533,-26.016099,-47.567647,-34.132691,-14.435752,-0.50652962,0,0,0,0,0,0,0,0,0,-19.537282,-41.86448,-71.537585,-45.695141,-19.159652,-4.4120997,0,0,0,0,0,0,0,0,-14.033931,-26.604822,-19.674657,-5.4719455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-76.480779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5011946,-13.076187,-17.213939,-12.031262,-1.3568999,0,0,0,0,-13.409387,0,0,0,0,-5.3254099,-2.5482365,-25.985335,-47.511398,-34.092329,-14.418681,-0.50593065,0,0,0,0,0,0,0,0,0,-19.514179,-41.814975,-71.452992,-45.641107,-19.136995,-4.4068824,0,0,0,0,0,0,0,0,-14.017336,-26.573362,-19.651392,-5.4654749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
