Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa)
10,-2.7145043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19553172,-0.87045862,-0.7896874,-0.22109715,0,0,0,0,0,0,0,0,-0.077645275,-1.2904442,-2.65943,-1.7711566,-0.39980286,0,0,0,0,0,0,0,-0.1159191,-0.46434162,-0.7815518,-0.61688574,-0.088231827,0,0,0,0,0,0,0,0,0,-0.012521247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-2.7645323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19913535,-0.88650108,-0.80424126,-0.22517195,0,0,0,0,0,0,0,0,-0.079076269,-1.3142269,-2.708443,-1.8037989,-0.40717118,0,0,0,0,0,0,0,-0.11805548,-0.47289938,-0.79595571,-0.62825488,-0.08985793,0,0,0,0,0,0,0,0,0,-0.012752012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.8145604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20273898,-0.90254354,-0.81879511,-0.22924675,0,0,0,0,0,0,0,0,-0.080507264,-1.3380097,-2.757456,-1.8364411,-0.41453951,0,0,0,0,0,0,0,-0.12019185,-0.48145715,-0.81035963,-0.63962402,-0.091484033,0,0,0,0,0,0,0,0,0,-0.012982777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-2.8645884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20634261,-0.918586,-0.83334897,-0.23332155,0,0,0,0,0,0,0,0,-0.081938258,-1.3617924,-2.8064691,-1.8690833,-0.42190783,0,0,0,0,0,0,0,-0.12232823,-0.49001492,-0.82476355,-0.65099316,-0.093110137,0,0,0,0,0,0,0,0,0,-0.013213542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-2.9146164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20994624,-0.93462846,-0.84790283,-0.23739634,0,0,0,0,0,0,0,0,-0.083369252,-1.3855752,-2.8554821,-1.9017255,-0.42927616,0,0,0,0,0,0,0,-0.12446461,-0.49857268,-0.83916747,-0.6623623,-0.09473624,0,0,0,0,0,0,0,0,0,-0.013444308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-2.9646444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21354987,-0.95067092,-0.86245668,-0.24147114,0,0,0,0,0,0,0,0,-0.084800246,-1.4093579,-2.9044951,-1.9343678,-0.43664448,0,0,0,0,0,0,0,-0.12660099,-0.50713045,-0.85357138,-0.67373144,-0.096362343,0,0,0,0,0,0,0,0,0,-0.013675073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-3.0146725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21715349,-0.96671338,-0.87701054,-0.24554594,0,0,0,0,0,0,0,0,-0.086231241,-1.4331407,-2.9535081,-1.96701,-0.44401281,0,0,0,0,0,0,0,-0.12873736,-0.51568822,-0.8679753,-0.68510058,-0.097988447,0,0,0,0,0,0,0,0,0,-0.013905838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-3.0647005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22075712,-0.98275584,-0.8915644,-0.24962074,0,0,0,0,0,0,0,0,-0.087662235,-1.4569234,-3.0025211,-1.9996522,-0.45138113,0,0,0,0,0,0,0,-0.13087374,-0.52424599,-0.88237922,-0.69646972,-0.09961455,0,0,0,0,0,0,0,0,0,-0.014136603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-3.1147285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22436075,-0.99879831,-0.90611825,-0.25369553,0,0,0,0,0,0,0,0,-0.089093229,-1.4807062,-3.0515341,-2.0322945,-0.45874946,0,0,0,0,0,0,0,-0.13301012,-0.53280375,-0.89678314,-0.70783886,-0.10124065,0,0,0,0,0,0,0,0,0,-0.014367369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-3.1647566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22796438,-1.0148408,-0.92067211,-0.25777033,0,0,0,0,0,0,0,0,-0.090524224,-1.5044889,-3.1005472,-2.0649367,-0.46611778,0,0,0,0,0,0,0,-0.13514649,-0.54136152,-0.91118706,-0.719208,-0.10286676,0,0,0,0,0,0,0,0,0,-0.014598134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
