X coord (mm),Y coord (mm)
10.2633,3.1592
1.92917,0.974823
3.74404,1.07802
5.63663,0.875635
7.28333,0.997279
9.09993,1.0826
10.6616,0.904563
12.5928,1.22586
2.17857,2.71813
3.93427,2.79997
5.4997,2.60897
7.08348,2.70667
8.86593,2.77746
10.7871,2.81829
12.5949,2.8625
1.9748,4.47092
3.72101,4.528
5.41845,4.57501
7.3379,4.59858
9.00675,4.38247
10.5932,4.4523
12.4159,4.48687
1.785,6.25907
3.55417,6.27058
5.699,6.21742
7.26418,6.26464
8.97339,6.29602
10.8608,6.31092
12.6215,6.34502
2.12902,7.99545
3.8864,7.989
5.60581,7.97847
7.15366,8.00391
8.88187,8.01669
10.8045,8.00665
12.5729,8.03437
2.13564,9.88988
3.81186,9.87448
5.45724,9.86377
7.36172,9.81554
9.1415,9.79762
10.7754,9.81675
12.5511,9.84546
