X coord (mm),Y coord (mm)
7.93266,4.6816
3.12932,0.375852
4.67392,0.217018
6.4929,-0.0145676
8.11785,0.167934
9.83755,0.47109
1.30794,1.3703
3.04982,1.21961
4.78379,1.17409
6.53713,1.23372
8.27175,1.19903
9.97759,1.27325
11.6824,1.35797
0.0370722,3.48657
1.24678,2.94639
3.06105,2.98047
4.80182,3.00646
6.45507,3.03085
8.23893,2.97545
10.0316,3.03296
11.7538,3.00645
12.9083,3.13122
0.131364,4.86396
1.30883,4.72251
2.97752,4.71595
4.684,4.70671
6.4835,4.7056
8.24246,4.78213
9.9495,4.76981
11.7578,4.69708
13.0777,4.68991
0.221096,5.82068
1.27549,6.46455
3.00378,6.47739
4.71702,6.49187
6.45697,6.49112
8.2495,6.49602
9.95949,6.45126
11.7182,6.46755
1.91151,7.63112
3.00929,8.04619
4.77841,8.03253
6.56312,7.91049
8.27597,7.79124
9.71845,7.37141
