Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa)
13,3.7666213,0,0.038224331,0.12043871,0.13981009,0.27896974,0.21434215,0,0,0.051954383,0.20482135,0.8137444,1.3133755,0.23778035,0,0,0.014407519,0.16733235,0.38522654,0.52380624,0.17674892,0,0,0,0,0.0020948418,0.078559466,0.030208406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4.1013259,0,0.041620972,0.13114098,0.15223371,0.30375919,0.23338874,0,0,0.056571086,0.22302192,0.8860543,1.430083,0.25890968,0,0,0.015687781,0.18220162,0.41945804,0.57035203,0.19245496,0,0,0,0,0.0022809909,0.085540316,0.032892746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4.4360306,0,0.045017614,0.14184325,0.16465734,0.32854864,0.25243533,0,0,0.061187789,0.24122249,0.9583642,1.5467905,0.28003901,0,0,0.016968043,0.19707089,0.45368954,0.61689782,0.20816099,0,0,0,0,0.00246714,0.092521165,0.035577086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4.7707352,0,0.048414255,0.15254552,0.17708096,0.35333808,0.27148193,0,0,0.065804492,0.25942306,1.0306741,1.6634979,0.30116834,0,0,0.018248306,0.21194016,0.48792105,0.66344361,0.22386702,0,0,0,0,0.0026532891,0.099502015,0.038261426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5.1054398,0,0.051810896,0.16324779,0.18950458,0.37812753,0.29052852,0,0,0.070421195,0.27762363,1.102984,1.7802054,0.32229767,0,0,0.019528568,0.22680943,0.52215255,0.7099894,0.23957306,0,0,0,0,0.0028394382,0.10648286,0.040945767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5.4401444,0,0.055207537,0.17395005,0.20192821,0.40291698,0.30957512,0,0,0.075037898,0.2958242,1.1752939,1.8969129,0.343427,0,0,0.02080883,0.2416787,0.55638405,0.7565352,0.25527909,0,0,0,0,0.0030255873,0.11346371,0.043630107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5.7748491,0,0.058604178,0.18465232,0.21435183,0.42770643,0.32862171,0,0,0.079654601,0.31402477,1.2476038,2.0136204,0.36455633,0,0,0.022089092,0.25654797,0.59061555,0.80308099,0.27098512,0,0,0,0,0.0032117364,0.12044456,0.046314447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6.1095537,0,0.062000819,0.19535459,0.22677545,0.45249588,0.34766831,0,0,0.084271304,0.33222534,1.3199137,2.1303278,0.38568565,0,0,0.023369355,0.27141724,0.62484705,0.84962678,0.28669116,0,0,0,0,0.0033978856,0.12742541,0.048998787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6.4442583,0,0.06539746,0.20605686,0.23919908,0.47728532,0.3667149,0,0,0.088888008,0.35042591,1.3922236,2.2470353,0.40681498,0,0,0.024649617,0.28628651,0.65907856,0.89617257,0.30239719,0,0,0,0,0.0035840347,0.13440626,0.051683127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6.7789629,0,0.068794101,0.21675913,0.2516227,0.50207477,0.38576149,0,0,0.093504711,0.36862648,1.4645335,2.3637428,0.42794431,0,0,0.025929879,0.30115578,0.69331006,0.94271836,0.31810323,0,0,0,0,0.0037701838,0.14138711,0.054367468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
