Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa)
1366,137.98147,0,1.4002601,4.4119941,5.1216199,10.219412,7.8519296,0,0,1.9032289,7.5031572,29.809647,48.11248,8.7105341,0,0,0.52778619,6.1298342,14.111885,19.188432,6.4747886,0,0,0,0,0.076739691,2.8778447,1.1066152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,137.97409,0,1.4001852,4.4117581,5.1213459,10.218866,7.8515096,0,0,1.903127,7.5027559,29.808052,48.109906,8.7100681,0,0,0.52775795,6.1295063,14.11113,19.187406,6.4744423,0,0,0,0,0.076735586,2.8776907,1.106556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,137.96671,0,1.4001103,4.4115221,5.1210719,10.218319,7.8510896,0,0,1.9030252,7.5023545,29.806458,48.107332,8.7096022,0,0,0.52772972,6.1291784,14.110375,19.186379,6.4740959,0,0,0,0,0.076731481,2.8775368,1.1064968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,137.95933,0,1.4000354,4.4112861,5.120798,10.217772,7.8506696,0,0,1.9029234,7.5019532,29.804863,48.104759,8.7091362,0,0,0.52770149,6.1288505,14.10962,19.185353,6.4737496,0,0,0,0,0.076727376,2.8773828,1.1064376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,137.95195,0,1.3999605,4.4110501,5.120524,10.217226,7.8502496,0,0,1.9028216,7.5015518,29.803269,48.102185,8.7086703,0,0,0.52767326,6.1285226,14.108865,19.184326,6.4734032,0,0,0,0,0.076723271,2.8772289,1.1063784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,137.94457,0,1.3998856,4.4108141,5.12025,10.216679,7.8498295,0,0,1.9027198,7.5011504,29.801674,48.099611,8.7082043,0,0,0.52764502,6.1281947,14.10811,19.1833,6.4730569,0,0,0,0,0.076719166,2.8770749,1.1063192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,137.93719,0,1.3998107,4.4105781,5.1199761,10.216132,7.8494095,0,0,1.902618,7.5007491,29.80008,48.097038,8.7077384,0,0,0.52761679,6.1278668,14.107356,19.182274,6.4727105,0,0,0,0,0.076715061,2.876921,1.10626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373,137.92981,0,1.3997358,4.410342,5.1197021,10.215586,7.8489895,0,0,1.9025162,7.5003477,29.798485,48.094464,8.7072725,0,0,0.52758856,6.1275389,14.106601,19.181247,6.4723642,0,0,0,0,0.076710956,2.8767671,1.1062008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,137.92243,0,1.3996609,4.410106,5.1194281,10.215039,7.8485695,0,0,1.9024144,7.4999464,29.79689,48.09189,8.7068065,0,0,0.52756033,6.127211,14.105846,19.180221,6.4720178,0,0,0,0,0.076706851,2.8766131,1.1061416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,137.91505,0,1.399586,4.40987,5.1191542,10.214492,7.8481495,0,0,1.9023126,7.499545,29.795296,48.089317,8.7063406,0,0,0.52753209,6.1268831,14.105091,19.179194,6.4716715,0,0,0,0,0.076702746,2.8764592,1.1060824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,137.90969,0,1.3995317,4.4096989,5.1189555,10.214096,7.8478449,0,0,1.9022388,7.4992539,29.794139,48.08745,8.7060027,0,0,0.52751162,6.1266453,14.104544,19.17845,6.4714203,0,0,0,0,0.076699769,2.8763475,1.1060395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,137.90434,0,1.3994774,4.4095277,5.1187568,10.2137,7.8475403,0,0,1.9021649,7.4989629,29.792983,48.085584,8.7056648,0,0,0.52749115,6.1264075,14.103996,19.177706,6.4711691,0,0,0,0,0.076696792,2.8762359,1.1059966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,137.89899,0,1.399423,4.4093566,5.1185581,10.213303,7.8472357,0,0,1.9020911,7.4986718,29.791827,48.083718,8.7053269,0,0,0.52747067,6.1261697,14.103449,19.176961,6.470918,0,0,0,0,0.076693816,2.8761243,1.1059537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379,137.89364,0,1.3993687,4.4091854,5.1183594,10.212907,7.8469311,0,0,1.9020173,7.4983808,29.79067,48.081851,8.704989,0,0,0.5274502,6.1259319,14.102901,19.176217,6.4706668,0,0,0,0,0.076690839,2.8760126,1.1059107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,137.88828,0,1.3993144,4.4090143,5.1181608,10.21251,7.8466265,0,0,1.9019434,7.4980897,29.789514,48.079985,8.7046511,0,0,0.52742972,6.1256941,14.102354,19.175472,6.4704156,0,0,0,0,0.076687862,2.875901,1.1058678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,137.88293,0,1.3992601,4.4088431,5.1179621,10.212114,7.8463219,0,0,1.9018696,7.4977986,29.788357,48.078118,8.7043132,0,0,0.52740925,6.1254563,14.101806,19.174728,6.4701645,0,0,0,0,0.076684885,2.8757893,1.1058249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382,137.87758,0,1.3992058,4.408672,5.1177634,10.211717,7.8460173,0,0,1.9017958,7.4975076,29.787201,48.076252,8.7039753,0,0,0.52738878,6.1252186,14.101259,19.173984,6.4699133,0,0,0,0,0.076681908,2.8756777,1.1057819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,137.87223,0,1.3991514,4.4085008,5.1175647,10.211321,7.8457127,0,0,1.9017219,7.4972165,29.786045,48.074386,8.7036374,0,0,0.5273683,6.1249808,14.100712,19.173239,6.4696621,0,0,0,0,0.076678931,2.8755661,1.105739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,137.86687,0,1.3990971,4.4083297,5.117366,10.210925,7.8454081,0,0,1.9016481,7.4969254,29.784888,48.072519,8.7032994,0,0,0.52734783,6.124743,14.100164,19.172495,6.4694109,0,0,0,0,0.076675954,2.8754544,1.1056961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,137.86152,0,1.3990428,4.4081585,5.1171674,10.210528,7.8451035,0,0,1.9015743,7.4966344,29.783732,48.070653,8.7029615,0,0,0.52732735,6.1245052,14.099617,19.171751,6.4691598,0,0,0,0,0.076672977,2.8753428,1.1056532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,137.85617,0,1.3989885,4.4079874,5.1169687,10.210132,7.8447989,0,0,1.9015005,7.4963433,29.782576,48.068786,8.7026236,0,0,0.52730688,6.1242674,14.099069,19.171006,6.4689086,0,0,0,0,0.07667,2.8752312,1.1056102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1387,137.85082,0,1.3989342,4.4078162,5.11677,10.209735,7.8444943,0,0,1.9014266,7.4960522,29.781419,48.06692,8.7022857,0,0,0.52728641,6.1240296,14.098522,19.170262,6.4686574,0,0,0,0,0.076667023,2.8751195,1.1055673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,137.84546,0,1.3988798,4.4076451,5.1165713,10.209339,7.8441898,0,0,1.9013528,7.4957612,29.780263,48.065054,8.7019478,0,0,0.52726593,6.1237918,14.097974,19.169518,6.4684063,0,0,0,0,0.076664046,2.8750079,1.1055244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,137.84011,0,1.3988255,4.4074739,5.1163727,10.208942,7.8438852,0,0,1.901279,7.4954701,29.779106,48.063187,8.7016099,0,0,0.52724546,6.123554,14.097427,19.168773,6.4681551,0,0,0,0,0.07666107,2.8748962,1.1054814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,137.83476,0,1.3987712,4.4073028,5.116174,10.208546,7.8435806,0,0,1.9012051,7.495179,29.77795,48.061321,8.701272,0,0,0.52722498,6.1233162,14.096879,19.168029,6.4679039,0,0,0,0,0.076658093,2.8747846,1.1054385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,137.8294,0,1.3987169,4.4071316,5.1159753,10.208149,7.843276,0,0,1.9011313,7.494888,29.776794,48.059455,8.7009341,0,0,0.52720451,6.1230784,14.096332,19.167284,6.4676527,0,0,0,0,0.076655116,2.874673,1.1053956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,137.82405,0,1.3986626,4.4069605,5.1157766,10.207753,7.8429714,0,0,1.9010575,7.4945969,29.775637,48.057588,8.7005962,0,0,0.52718404,6.1228407,14.095785,19.16654,6.4674016,0,0,0,0,0.076652139,2.8745613,1.1053527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393,137.8187,0,1.3986083,4.4067893,5.1155779,10.207357,7.8426668,0,0,1.9009836,7.4943058,29.774481,48.055722,8.7002583,0,0,0.52716356,6.1226029,14.095237,19.165796,6.4671504,0,0,0,0,0.076649162,2.8744497,1.1053097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,137.81335,0,1.3985539,4.4066182,5.1153793,10.20696,7.8423622,0,0,1.9009098,7.4940148,29.773324,48.053855,8.6999204,0,0,0.52714309,6.1223651,14.09469,19.165051,6.4668992,0,0,0,0,0.076646185,2.874338,1.1052668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,137.80799,0,1.3984996,4.406447,5.1151806,10.206564,7.8420576,0,0,1.900836,7.4937237,29.772168,48.051989,8.6995825,0,0,0.52712261,6.1221273,14.094142,19.164307,6.4666481,0,0,0,0,0.076643208,2.8742264,1.1052239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396,137.80264,0,1.3984453,4.4062759,5.1149819,10.206167,7.841753,0,0,1.9007621,7.4934327,29.771012,48.050123,8.6992446,0,0,0.52710214,6.1218895,14.093595,19.163563,6.4663969,0,0,0,0,0.076640231,2.8741148,1.1051809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,137.79729,0,1.398391,4.4061047,5.1147832,10.205771,7.8414484,0,0,1.9006883,7.4931416,29.769855,48.048256,8.6989067,0,0,0.52708167,6.1216517,14.093047,19.162818,6.4661457,0,0,0,0,0.076637254,2.8740031,1.105138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,137.79194,0,1.3983367,4.4059336,5.1145845,10.205374,7.8411438,0,0,1.9006145,7.4928505,29.768699,48.04639,8.6985688,0,0,0.52706119,6.1214139,14.0925,19.162074,6.4658945,0,0,0,0,0.076634277,2.8738915,1.1050951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1399,137.78658,0,1.3982823,4.4057624,5.1143859,10.204978,7.8408392,0,0,1.9005407,7.4925595,29.767543,48.044523,8.6982309,0,0,0.52704072,6.1211761,14.091953,19.16133,6.4656434,0,0,0,0,0.0766313,2.8737799,1.1050522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,137.78123,0,1.398228,4.4055912,5.1141872,10.204582,7.8405346,0,0,1.9004668,7.4922684,29.766386,48.042657,8.697893,0,0,0.52702024,6.1209383,14.091405,19.160585,6.4653922,0,0,0,0,0.076628324,2.8736682,1.1050092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,137.77588,0,1.3981737,4.4054201,5.1139885,10.204185,7.84023,0,0,1.900393,7.4919773,29.76523,48.040791,8.6975551,0,0,0.52699977,6.1207005,14.090858,19.159841,6.465141,0,0,0,0,0.076625347,2.8735566,1.1049663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,137.77053,0,1.3981194,4.4052489,5.1137898,10.203789,7.8399254,0,0,1.9003192,7.4916863,29.764073,48.038924,8.6972172,0,0,0.5269793,6.1204628,14.09031,19.159096,6.4648899,0,0,0,0,0.07662237,2.8734449,1.1049234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,137.76517,0,1.3980651,4.4050778,5.1135911,10.203392,7.8396208,0,0,1.9002453,7.4913952,29.762917,48.037058,8.6968793,0,0,0.52695882,6.120225,14.089763,19.158352,6.4646387,0,0,0,0,0.076619393,2.8733333,1.1048804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,137.75982,0,1.3980107,4.4049066,5.1133925,10.202996,7.8393162,0,0,1.9001715,7.4911041,29.761761,48.035191,8.6965414,0,0,0.52693835,6.1199872,14.089215,19.157608,6.4643875,0,0,0,0,0.076616416,2.8732217,1.1048375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,137.75447,0,1.3979564,4.4047355,5.1131938,10.202599,7.8390116,0,0,1.9000977,7.4908131,29.760604,48.033325,8.6962035,0,0,0.52691787,6.1197494,14.088668,19.156863,6.4641363,0,0,0,0,0.076613439,2.87311,1.1047946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,137.74912,0,1.3979021,4.4045643,5.1129951,10.202203,7.8387071,0,0,1.9000238,7.490522,29.759448,48.031459,8.6958656,0,0,0.5268974,6.1195116,14.088121,19.156119,6.4638852,0,0,0,0,0.076610462,2.8729984,1.1047517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,137.74376,0,1.3978478,4.4043932,5.1127964,10.201807,7.8384025,0,0,1.89995,7.4902309,29.758291,48.029592,8.6955277,0,0,0.52687693,6.1192738,14.087573,19.155375,6.463634,0,0,0,0,0.076607485,2.8728868,1.1047087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,137.73841,0,1.3977935,4.404222,5.1125977,10.20141,7.8380979,0,0,1.8998762,7.4899399,29.757135,48.027726,8.6951898,0,0,0.52685645,6.119036,14.087026,19.15463,6.4633828,0,0,0,0,0.076604508,2.8727751,1.1046658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,137.73306,0,1.3977391,4.4040509,5.1123991,10.201014,7.8377933,0,0,1.8998023,7.4896488,29.755979,48.025859,8.6948519,0,0,0.52683598,6.1187982,14.086478,19.153886,6.4631316,0,0,0,0,0.076601531,2.8726635,1.1046229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410,137.72771,0,1.3976848,4.4038797,5.1122004,10.200617,7.8374887,0,0,1.8997285,7.4893578,29.754822,48.023993,8.694514,0,0,0.5268155,6.1185604,14.085931,19.153142,6.4628805,0,0,0,0,0.076598554,2.8725518,1.10458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,137.72235,0,1.3976305,4.4037086,5.1120017,10.200221,7.8371841,0,0,1.8996547,7.4890667,29.753666,48.022127,8.6941761,0,0,0.52679503,6.1183226,14.085383,19.152397,6.4626293,0,0,0,0,0.076595578,2.8724402,1.104537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,137.717,0,1.3975762,4.4035374,5.111803,10.199824,7.8368795,0,0,1.8995809,7.4887756,29.75251,48.02026,8.6938382,0,0,0.52677456,6.1180848,14.084836,19.151653,6.4623781,0,0,0,0,0.076592601,2.8723286,1.1044941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,137.71165,0,1.3975219,4.4033663,5.1116043,10.199428,7.8365749,0,0,1.899507,7.4884846,29.751353,48.018394,8.6935003,0,0,0.52675408,6.1178471,14.084289,19.150908,6.462127,0,0,0,0,0.076589624,2.8722169,1.1044512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,137.70629,0,1.3974675,4.4031951,5.1114057,10.199031,7.8362703,0,0,1.8994332,7.4881935,29.750197,48.016527,8.6931624,0,0,0.52673361,6.1176093,14.083741,19.150164,6.4618758,0,0,0,0,0.076586647,2.8721053,1.1044082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,137.70094,0,1.3974132,4.403024,5.111207,10.198635,7.8359657,0,0,1.8993594,7.4879024,29.74904,48.014661,8.6928245,0,0,0.52671313,6.1173715,14.083194,19.14942,6.4616246,0,0,0,0,0.07658367,2.8719936,1.1043653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,137.69559,0,1.3973589,4.4028528,5.1110083,10.198239,7.8356611,0,0,1.8992855,7.4876114,29.747884,48.012795,8.6924866,0,0,0.52669266,6.1171337,14.082646,19.148675,6.4613734,0,0,0,0,0.076580693,2.871882,1.1043224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,137.69024,0,1.3973046,4.4026817,5.1108096,10.197842,7.8353565,0,0,1.8992117,7.4873203,29.746728,48.010928,8.6921487,0,0,0.52667219,6.1168959,14.082099,19.147931,6.4611223,0,0,0,0,0.076577716,2.8717704,1.1042795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,137.68488,0,1.3972503,4.4025105,5.110611,10.197446,7.8350519,0,0,1.8991379,7.4870292,29.745571,48.009062,8.6918108,0,0,0.52665171,6.1166581,14.081551,19.147187,6.4608711,0,0,0,0,0.076574739,2.8716587,1.1042365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,137.67953,0,1.3971959,4.4023394,5.1104123,10.197049,7.8347473,0,0,1.899064,7.4867382,29.744415,48.007196,8.6914729,0,0,0.52663124,6.1164203,14.081004,19.146442,6.4606199,0,0,0,0,0.076571762,2.8715471,1.1041936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,137.67418,0,1.3971416,4.4021682,5.1102136,10.196653,7.8344427,0,0,1.8989902,7.4864471,29.743258,48.005329,8.691135,0,0,0.52661076,6.1161825,14.080457,19.145698,6.4603688,0,0,0,0,0.076568785,2.8714355,1.1041507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,137.66883,0,1.3970873,4.4019971,5.1100149,10.196256,7.8341381,0,0,1.8989164,7.486156,29.742102,48.003463,8.6907971,0,0,0.52659029,6.1159447,14.079909,19.144954,6.4601176,0,0,0,0,0.076565808,2.8713238,1.1041077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422,137.66347,0,1.397033,4.4018259,5.1098162,10.19586,7.8338335,0,0,1.8988426,7.485865,29.740946,48.001596,8.6904592,0,0,0.52656981,6.1157069,14.079362,19.144209,6.4598664,0,0,0,0,0.076562832,2.8712122,1.1040648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,137.65812,0,1.3969787,4.4016548,5.1096176,10.195464,7.8335289,0,0,1.8987687,7.4855739,29.739789,47.99973,8.6901213,0,0,0.52654934,6.1154692,14.078814,19.143465,6.4596152,0,0,0,0,0.076559855,2.8711005,1.1040219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,137.65277,0,1.3969244,4.4014836,5.1094189,10.195067,7.8332244,0,0,1.8986949,7.4852828,29.738633,47.997864,8.6897834,0,0,0.52652887,6.1152314,14.078267,19.14272,6.4593641,0,0,0,0,0.076556878,2.8709889,1.103979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,137.64742,0,1.39687,4.4013125,5.1092202,10.194671,7.8329198,0,0,1.8986211,7.4849918,29.737477,47.995997,8.6894455,0,0,0.52650839,6.1149936,14.077719,19.141976,6.4591129,0,0,0,0,0.076553901,2.8708773,1.103936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1426,137.64206,0,1.3968157,4.4011413,5.1090215,10.194274,7.8326152,0,0,1.8985472,7.4847007,29.73632,47.994131,8.6891076,0,0,0.52648792,6.1147558,14.077172,19.141232,6.4588617,0,0,0,0,0.076550924,2.8707656,1.1038931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,137.63671,0,1.3967614,4.4009702,5.1088228,10.193878,7.8323106,0,0,1.8984734,7.4844097,29.735164,47.992264,8.6887697,0,0,0.52646744,6.114518,14.076625,19.140487,6.4586106,0,0,0,0,0.076547947,2.870654,1.1038502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428,137.63136,0,1.3967071,4.400799,5.1086242,10.193481,7.832006,0,0,1.8983996,7.4841186,29.734007,47.990398,8.6884318,0,0,0.52644697,6.1142802,14.076077,19.139743,6.4583594,0,0,0,0,0.07654497,2.8705424,1.1038072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,137.62601,0,1.3966528,4.4006279,5.1084255,10.193085,7.8317014,0,0,1.8983257,7.4838275,29.732851,47.988532,8.6880939,0,0,0.5264265,6.1140424,14.07553,19.138999,6.4581082,0,0,0,0,0.076541993,2.8704307,1.1037643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,137.62065,0,1.3965984,4.4004567,5.1082268,10.192689,7.8313968,0,0,1.8982519,7.4835365,29.731695,47.986665,8.687756,0,0,0.52640602,6.1138046,14.074982,19.138254,6.457857,0,0,0,0,0.076539016,2.8703191,1.1037214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,137.6153,0,1.3965441,4.4002856,5.1080281,10.192292,7.8310922,0,0,1.8981781,7.4832454,29.730538,47.984799,8.6874181,0,0,0.52638555,6.1135668,14.074435,19.13751,6.4576059,0,0,0,0,0.076536039,2.8702074,1.1036785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432,137.60995,0,1.3964898,4.4001144,5.1078294,10.191896,7.8307876,0,0,1.8981042,7.4829543,29.729382,47.982932,8.6870802,0,0,0.52636507,6.113329,14.073887,19.136766,6.4573547,0,0,0,0,0.076533062,2.8700958,1.1036355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433,137.60459,0,1.3964355,4.3999433,5.1076308,10.191499,7.830483,0,0,1.8980304,7.4826633,29.728225,47.981066,8.6867423,0,0,0.5263446,6.1130913,14.07334,19.136021,6.4571035,0,0,0,0,0.076530086,2.8699842,1.1035926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,137.59924,0,1.3963812,4.3997721,5.1074321,10.191103,7.8301784,0,0,1.8979566,7.4823722,29.727069,47.9792,8.6864044,0,0,0.52632413,6.1128535,14.072792,19.135277,6.4568524,0,0,0,0,0.076527109,2.8698725,1.1035497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,137.59389,0,1.3963268,4.399601,5.1072334,10.190706,7.8298738,0,0,1.8978828,7.4820811,29.725913,47.977333,8.6860665,0,0,0.52630365,6.1126157,14.072245,19.134532,6.4566012,0,0,0,0,0.076524132,2.8697609,1.1035067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,137.58854,0,1.3962725,4.3994298,5.1070347,10.19031,7.8295692,0,0,1.8978089,7.4817901,29.724756,47.975467,8.6857286,0,0,0.52628318,6.1123779,14.071698,19.133788,6.45635,0,0,0,0,0.076521155,2.8696492,1.1034638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1437,137.58318,0,1.3962182,4.3992586,5.106836,10.189913,7.8292646,0,0,1.8977351,7.481499,29.7236,47.9736,8.6853907,0,0,0.5262627,6.1121401,14.07115,19.133044,6.4560988,0,0,0,0,0.076518178,2.8695376,1.1034209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,137.57783,0,1.3961639,4.3990875,5.1066374,10.189517,7.82896,0,0,1.8976613,7.4812079,29.722444,47.971734,8.6850528,0,0,0.52624223,6.1119023,14.070603,19.132299,6.4558477,0,0,0,0,0.076515201,2.869426,1.103378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,137.57248,0,1.3961096,4.3989163,5.1064387,10.189121,7.8286554,0,0,1.8975874,7.4809169,29.721287,47.969868,8.6847149,0,0,0.52622176,6.1116645,14.070055,19.131555,6.4555965,0,0,0,0,0.076512224,2.8693143,1.103335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,137.56713,0,1.3960552,4.3987452,5.10624,10.188724,7.8283508,0,0,1.8975136,7.4806258,29.720131,47.968001,8.684377,0,0,0.52620128,6.1114267,14.069508,19.130811,6.4553453,0,0,0,0,0.076509247,2.8692027,1.1032921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,137.56177,0,1.3960009,4.398574,5.1060413,10.188328,7.8280463,0,0,1.8974398,7.4803347,29.718974,47.966135,8.6840391,0,0,0.52618081,6.1111889,14.06896,19.130066,6.4550942,0,0,0,0,0.07650627,2.8690911,1.1032492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442,137.55642,0,1.3959466,4.3984029,5.1058426,10.187931,7.8277417,0,0,1.8973659,7.4800437,29.717818,47.964268,8.6837012,0,0,0.52616033,6.1109511,14.068413,19.129322,6.454843,0,0,0,0,0.076503293,2.8689794,1.1032063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,137.55107,0,1.3958923,4.3982317,5.105644,10.187535,7.8274371,0,0,1.8972921,7.4797526,29.716662,47.962402,8.6833633,0,0,0.52613986,6.1107134,14.067866,19.128578,6.4545918,0,0,0,0,0.076500316,2.8688678,1.1031633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,137.54572,0,1.395838,4.3980606,5.1054453,10.187138,7.8271325,0,0,1.8972183,7.4794616,29.715505,47.960536,8.6830254,0,0,0.52611939,6.1104756,14.067318,19.127833,6.4543406,0,0,0,0,0.07649734,2.8687561,1.1031204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445,137.54036,0,1.3957836,4.3978894,5.1052466,10.186742,7.8268279,0,0,1.8971444,7.4791705,29.714349,47.958669,8.6826875,0,0,0.52609891,6.1102378,14.066771,19.127089,6.4540895,0,0,0,0,0.076494363,2.8686445,1.1030775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1446,137.53501,0,1.3957293,4.3977183,5.1050479,10.186346,7.8265233,0,0,1.8970706,7.4788794,29.713192,47.956803,8.6823496,0,0,0.52607844,6.11,14.066223,19.126344,6.4538383,0,0,0,0,0.076491386,2.8685329,1.1030345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447,137.52966,0,1.395675,4.3975471,5.1048492,10.185949,7.8262187,0,0,1.8969968,7.4785884,29.712036,47.954937,8.6820117,0,0,0.52605796,6.1097622,14.065676,19.1256,6.4535871,0,0,0,0,0.076488409,2.8684212,1.1029916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448,137.52431,0,1.3956207,4.397376,5.1046506,10.185553,7.8259141,0,0,1.896923,7.4782973,29.71088,47.95307,8.6816738,0,0,0.52603749,6.1095244,14.065128,19.124856,6.4533359,0,0,0,0,0.076485432,2.8683096,1.1029487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,137.51895,0,1.3955664,4.3972048,5.1044519,10.185156,7.8256095,0,0,1.8968491,7.4780062,29.709723,47.951204,8.6813358,0,0,0.52601702,6.1092866,14.064581,19.124111,6.4530848,0,0,0,0,0.076482455,2.8681979,1.1029058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,137.5136,0,1.3955121,4.3970337,5.1042532,10.18476,7.8253049,0,0,1.8967753,7.4777152,29.708567,47.949337,8.6809979,0,0,0.52599654,6.1090488,14.064034,19.123367,6.4528336,0,0,0,0,0.076479478,2.8680863,1.1028628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451,137.50825,0,1.3954577,4.3968625,5.1040545,10.184363,7.8250003,0,0,1.8967015,7.4774241,29.707411,47.947471,8.68066,0,0,0.52597607,6.108811,14.063486,19.122623,6.4525824,0,0,0,0,0.076476501,2.8679747,1.1028199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
