Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
11,-3.8976717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044944661,-0.45135082,-0.5666009,-0.12003129,0,0,0,0,0,0,0,0,-1.1077135,-3.4696644,-0.60589636,-0.01177926,0,0,0,0,0,0,-0.21922117,-0.0039275155,0,0,0,0,0,0,0,0,0
12,-3.8071262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043900567,-0.44086565,-0.55343839,-0.11724288,0,0,0,0,0,0,0,0,-1.0819806,-3.3890618,-0.59182099,-0.01150562,0,0,0,0,0,0,-0.21412852,-0.0038362768,0,0,0,0,0,0,0,0,0
13,-3.7165808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042856474,-0.43038047,-0.54027589,-0.11445448,0,0,0,0,0,0,0,0,-1.0562477,-3.3084592,-0.57774562,-0.01123198,0,0,0,0,0,0,-0.20903587,-0.0037450381,0,0,0,0,0,0,0,0,0
14,-3.6260353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04181238,-0.4198953,-0.52711338,-0.11166607,0,0,0,0,0,0,0,0,-1.0305148,-3.2278567,-0.56367026,-0.01095834,0,0,0,0,0,0,-0.20394321,-0.0036537993,0,0,0,0,0,0,0,0,0
15,-3.5354899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040768286,-0.40941013,-0.51395087,-0.10887767,0,0,0,0,0,0,0,0,-1.0047818,-3.1472541,-0.54959489,-0.010684701,0,0,0,0,0,0,-0.19885056,-0.0035625606,0,0,0,0,0,0,0,0,0
16,-3.4449444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039724192,-0.39892495,-0.50078836,-0.10608926,0,0,0,0,0,0,0,0,-0.97904894,-3.0666516,-0.53551952,-0.010411061,0,0,0,0,0,0,-0.19375791,-0.0034713218,0,0,0,0,0,0,0,0,0
17,-3.354399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038680099,-0.38843978,-0.48762585,-0.10330086,0,0,0,0,0,0,0,0,-0.95331604,-2.986049,-0.52144415,-0.010137421,0,0,0,0,0,0,-0.18866526,-0.0033800831,0,0,0,0,0,0,0,0,0
18,-3.2638535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037636005,-0.37795461,-0.47446335,-0.10051245,0,0,0,0,0,0,0,0,-0.92758313,-2.9054464,-0.50736879,-0.0098637809,0,0,0,0,0,0,-0.18357261,-0.0032888443,0,0,0,0,0,0,0,0,0
19,-3.1733081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036591911,-0.36746943,-0.46130084,-0.097724047,0,0,0,0,0,0,0,0,-0.90185023,-2.8248439,-0.49329342,-0.009590141,0,0,0,0,0,0,-0.17847996,-0.0031976056,0,0,0,0,0,0,0,0,0
20,-3.0827626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035547817,-0.35698426,-0.44813833,-0.094935642,0,0,0,0,0,0,0,0,-0.87611732,-2.7442413,-0.47921805,-0.0093165012,0,0,0,0,0,0,-0.17338731,-0.0031063669,0,0,0,0,0,0,0,0,0
