Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa)
0,-32.801621,0,0,0,0,-1.2619121,-1.0310223,0,0,0,-4.2956943,-17.063074,0,0,0,0
1,-32.730458,0,0,0,0,-1.2591744,-1.0287855,0,0,0,-4.2863748,-17.026056,0,0,0,0
2,-32.659294,0,0,0,0,-1.2564366,-1.0265487,0,0,0,-4.2770552,-16.989037,0,0,0,0
3,-32.58813,0,0,0,0,-1.2536989,-1.0243118,0,0,0,-4.2677356,-16.952019,0,0,0,0
4,-32.516967,0,0,0,0,-1.2509611,-1.022075,0,0,0,-4.258416,-16.915,0,0,0,0
5,-32.445803,0,0,0,0,-1.2482234,-1.0198382,0,0,0,-4.2490965,-16.877981,0,0,0,0
6,-32.37464,0,0,0,0,-1.2454857,-1.0176014,0,0,0,-4.2397769,-16.840963,0,0,0,0
7,-32.303476,0,0,0,0,-1.2427479,-1.0153646,0,0,0,-4.2304573,-16.803944,0,0,0,0
8,-32.232312,0,0,0,0,-1.2400102,-1.0131278,0,0,0,-4.2211378,-16.766926,0,0,0,0
9,-32.161149,0,0,0,0,-1.2372725,-1.0108909,0,0,0,-4.2118182,-16.729907,0,0,0,0
10,-32.089985,0,0,0,0,-1.2345347,-1.0086541,0,0,0,-4.2024986,-16.692888,0,0,0,0
11,-32.018822,0,0,0,0,-1.231797,-1.0064173,0,0,0,-4.193179,-16.65587,0,0,0,0
12,-31.947658,0,0,0,0,-1.2290592,-1.0041805,0,0,0,-4.1838595,-16.618851,0,0,0,0
13,-31.876494,0,0,0,0,-1.2263215,-1.0019437,0,0,0,-4.1745399,-16.581833,0,0,0,0
14,-31.805331,0,0,0,0,-1.2235838,-0.99970685,0,0,0,-4.1652203,-16.544814,0,0,0,0
15,-31.734167,0,0,0,0,-1.220846,-0.99747003,0,0,0,-4.1559008,-16.507796,0,0,0,0
16,-31.663004,0,0,0,0,-1.2181083,-0.99523321,0,0,0,-4.1465812,-16.470777,0,0,0,0
17,-31.59184,0,0,0,0,-1.2153706,-0.99299639,0,0,0,-4.1372616,-16.433758,0,0,0,0
18,-31.520676,0,0,0,0,-1.2126328,-0.99075957,0,0,0,-4.127942,-16.39674,0,0,0,0
19,-31.449513,0,0,0,0,-1.2098951,-0.98852276,0,0,0,-4.1186225,-16.359721,0,0,0,0
20,-31.378349,0,0,0,0,-1.2071574,-0.98628594,0,0,0,-4.1093029,-16.322703,0,0,0,0
21,-31.307186,0,0,0,0,-1.2044196,-0.98404912,0,0,0,-4.0999833,-16.285684,0,0,0,0
22,-31.236022,0,0,0,0,-1.2016819,-0.9818123,0,0,0,-4.0906638,-16.248665,0,0,0,0
23,-31.164858,0,0,0,0,-1.1989441,-0.97957548,0,0,0,-4.0813442,-16.211647,0,0,0,0
24,-31.093695,0,0,0,0,-1.1962064,-0.97733867,0,0,0,-4.0720246,-16.174628,0,0,0,0
25,-31.022531,0,0,0,0,-1.1934687,-0.97510185,0,0,0,-4.062705,-16.13761,0,0,0,0
26,-30.951368,0,0,0,0,-1.1907309,-0.97286503,0,0,0,-4.0533855,-16.100591,0,0,0,0
27,-30.880204,0,0,0,0,-1.1879932,-0.97062821,0,0,0,-4.0440659,-16.063572,0,0,0,0
28,-30.80904,0,0,0,0,-1.1852555,-0.96839139,0,0,0,-4.0347463,-16.026554,0,0,0,0
29,-30.737877,0,0,0,0,-1.1825177,-0.96615458,0,0,0,-4.0254268,-15.989535,0,0,0,0
30,-30.666713,0,0,0,0,-1.17978,-0.96391776,0,0,0,-4.0161072,-15.952517,0,0,0,0
31,-30.59555,0,0,0,0,-1.1770423,-0.96168094,0,0,0,-4.0067876,-15.915498,0,0,0,0
32,-30.524386,0,0,0,0,-1.1743045,-0.95944412,0,0,0,-3.997468,-15.87848,0,0,0,0
33,-30.453222,0,0,0,0,-1.1715668,-0.9572073,0,0,0,-3.9881485,-15.841461,0,0,0,0
34,-30.382059,0,0,0,0,-1.168829,-0.95497049,0,0,0,-3.9788289,-15.804442,0,0,0,0
35,-30.310895,0,0,0,0,-1.1660913,-0.95273367,0,0,0,-3.9695093,-15.767424,0,0,0,0
