Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
0,-78.291688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.90279368,-9.0661863,-11.38119,-2.4110425,0,0,0,0,0,0,0,-1.7199605,-24.952702,-69.694398,-12.170509,-0.23660745,0,0,0,0,0,0,-4.4034481,-0.078891155,0,0,0,0,0,0,0,0,0
1,-78.201142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.90174959,-9.0557011,-11.368027,-2.4082541,0,0,0,0,0,0,0,-1.7179713,-24.923844,-69.613795,-12.156434,-0.23633381,0,0,0,0,0,0,-4.3983555,-0.078799916,0,0,0,0,0,0,0,0,0
2,-78.110597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9007055,-9.0452159,-11.354865,-2.4054657,0,0,0,0,0,0,0,-1.7159822,-24.894986,-69.533192,-12.142358,-0.23606017,0,0,0,0,0,0,-4.3932628,-0.078708678,0,0,0,0,0,0,0,0,0
3,-78.020051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8996614,-9.0347308,-11.341702,-2.4026773,0,0,0,0,0,0,0,-1.713993,-24.866128,-69.45259,-12.128283,-0.23578653,0,0,0,0,0,0,-4.3881702,-0.078617439,0,0,0,0,0,0,0,0,0
4,-77.929506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89861731,-9.0242456,-11.32854,-2.3998889,0,0,0,0,0,0,0,-1.7120039,-24.837269,-69.371987,-12.114208,-0.23551289,0,0,0,0,0,0,-4.3830775,-0.0785262,0,0,0,0,0,0,0,0,0
5,-77.83896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89757322,-9.0137604,-11.315377,-2.3971005,0,0,0,0,0,0,0,-1.7100147,-24.808411,-69.291385,-12.100132,-0.23523925,0,0,0,0,0,0,-4.3779849,-0.078434961,0,0,0,0,0,0,0,0,0
6,-77.748415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89652912,-9.0032753,-11.302215,-2.3943121,0,0,0,0,0,0,0,-1.7080255,-24.779553,-69.210782,-12.086057,-0.23496561,0,0,0,0,0,0,-4.3728922,-0.078343723,0,0,0,0,0,0,0,0,0
7,-77.657869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89548503,-8.9927901,-11.289052,-2.3915236,0,0,0,0,0,0,0,-1.7060364,-24.750695,-69.13018,-12.071981,-0.23469197,0,0,0,0,0,0,-4.3677996,-0.078252484,0,0,0,0,0,0,0,0,0
8,-77.567324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89444093,-8.9823049,-11.27589,-2.3887352,0,0,0,0,0,0,0,-1.7040472,-24.721837,-69.049577,-12.057906,-0.23441833,0,0,0,0,0,0,-4.3627069,-0.078161245,0,0,0,0,0,0,0,0,0
9,-77.476779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89339684,-8.9718197,-11.262727,-2.3859468,0,0,0,0,0,0,0,-1.7020581,-24.692979,-68.968974,-12.043831,-0.23414469,0,0,0,0,0,0,-4.3576143,-0.078070006,0,0,0,0,0,0,0,0,0
