Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa)
1448,385.59829,0,0,0,0,0,0,0,0,7.5223288,82.040308,126.882,21.076053,0,0,0,0,45.640645,305.07816,400.76546,33.972375,0,0,0,0,27.203614,124.75466,70.331601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,385.59266,0,0,0,0,0,0,0,0,7.522219,82.039111,126.88015,21.075745,0,0,0,0,45.639979,305.07371,400.75961,33.97188,0,0,0,0,27.203217,124.75284,70.330575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,385.58704,0,0,0,0,0,0,0,0,7.5221093,82.037914,126.8783,21.075438,0,0,0,0,45.639313,305.06926,400.75377,33.971384,0,0,0,0,27.20282,124.75102,70.329549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451,385.58142,0,0,0,0,0,0,0,0,7.5219996,82.036718,126.87645,21.07513,0,0,0,0,45.638648,305.06481,400.74792,33.970889,0,0,0,0,27.202423,124.7492,70.328523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,385.57579,0,0,0,0,0,0,0,0,7.5218899,82.035521,126.8746,21.074823,0,0,0,0,45.637982,305.06036,400.74208,33.970393,0,0,0,0,27.202026,124.74738,70.327497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,385.57017,0,0,0,0,0,0,0,0,7.5217801,82.034324,126.87275,21.074516,0,0,0,0,45.637316,305.05591,400.73623,33.969898,0,0,0,0,27.20163,124.74556,70.326471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454,385.56454,0,0,0,0,0,0,0,0,7.5216704,82.033128,126.8709,21.074208,0,0,0,0,45.63665,305.05146,400.73039,33.969402,0,0,0,0,27.201233,124.74374,70.325445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1455,385.55892,0,0,0,0,0,0,0,0,7.5215607,82.031931,126.86905,21.073901,0,0,0,0,45.635985,305.04701,400.72454,33.968907,0,0,0,0,27.200836,124.74192,70.32442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,385.55329,0,0,0,0,0,0,0,0,7.521451,82.030734,126.8672,21.073593,0,0,0,0,45.635319,305.04256,400.7187,33.968411,0,0,0,0,27.200439,124.7401,70.323394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,385.54767,0,0,0,0,0,0,0,0,7.5213412,82.029538,126.86534,21.073286,0,0,0,0,45.634653,305.03812,400.71285,33.967915,0,0,0,0,27.200042,124.73828,70.322368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,385.54204,0,0,0,0,0,0,0,0,7.5212315,82.028341,126.86349,21.072978,0,0,0,0,45.633987,305.03367,400.707,33.96742,0,0,0,0,27.199646,124.73646,70.321342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1459,385.53642,0,0,0,0,0,0,0,0,7.5211218,82.027144,126.86164,21.072671,0,0,0,0,45.633322,305.02922,400.70116,33.966924,0,0,0,0,27.199249,124.73465,70.320316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,385.5308,0,0,0,0,0,0,0,0,7.5210121,82.025948,126.85979,21.072364,0,0,0,0,45.632656,305.02477,400.69531,33.966429,0,0,0,0,27.198852,124.73283,70.31929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,385.52517,0,0,0,0,0,0,0,0,7.5209024,82.024751,126.85794,21.072056,0,0,0,0,45.63199,305.02032,400.68947,33.965933,0,0,0,0,27.198455,124.73101,70.318264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,385.51955,0,0,0,0,0,0,0,0,7.5207926,82.023554,126.85609,21.071749,0,0,0,0,45.631325,305.01587,400.68362,33.965438,0,0,0,0,27.198058,124.72919,70.317238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,385.51392,0,0,0,0,0,0,0,0,7.5206829,82.022358,126.85424,21.071441,0,0,0,0,45.630659,305.01142,400.67778,33.964942,0,0,0,0,27.197662,124.72737,70.316213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464,385.5083,0,0,0,0,0,0,0,0,7.5205732,82.021161,126.85239,21.071134,0,0,0,0,45.629993,305.00697,400.67193,33.964447,0,0,0,0,27.197265,124.72555,70.315187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465,385.50267,0,0,0,0,0,0,0,0,7.5204635,82.019964,126.85054,21.070826,0,0,0,0,45.629327,305.00252,400.66608,33.963951,0,0,0,0,27.196868,124.72373,70.314161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466,385.49705,0,0,0,0,0,0,0,0,7.5203537,82.018768,126.84869,21.070519,0,0,0,0,45.628662,304.99807,400.66024,33.963456,0,0,0,0,27.196471,124.72191,70.313135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467,385.49142,0,0,0,0,0,0,0,0,7.520244,82.017571,126.84684,21.070212,0,0,0,0,45.627996,304.99362,400.65439,33.96296,0,0,0,0,27.196074,124.72009,70.312109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1468,385.4858,0,0,0,0,0,0,0,0,7.5201343,82.016374,126.84499,21.069904,0,0,0,0,45.62733,304.98917,400.64855,33.962465,0,0,0,0,27.195678,124.71827,70.311083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1469,385.48018,0,0,0,0,0,0,0,0,7.5200246,82.015178,126.84314,21.069597,0,0,0,0,45.626664,304.98472,400.6427,33.961969,0,0,0,0,27.195281,124.71645,70.310057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470,385.47455,0,0,0,0,0,0,0,0,7.5199149,82.013981,126.84129,21.069289,0,0,0,0,45.625999,304.98027,400.63686,33.961474,0,0,0,0,27.194884,124.71463,70.309031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471,385.46893,0,0,0,0,0,0,0,0,7.5198051,82.012784,126.83943,21.068982,0,0,0,0,45.625333,304.97582,400.63101,33.960978,0,0,0,0,27.194487,124.71281,70.308006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,385.4633,0,0,0,0,0,0,0,0,7.5196954,82.011588,126.83758,21.068675,0,0,0,0,45.624667,304.97137,400.62516,33.960483,0,0,0,0,27.19409,124.71099,70.30698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473,385.45768,0,0,0,0,0,0,0,0,7.5195857,82.010391,126.83573,21.068367,0,0,0,0,45.624002,304.96692,400.61932,33.959987,0,0,0,0,27.193694,124.70917,70.305954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,385.45205,0,0,0,0,0,0,0,0,7.519476,82.009194,126.83388,21.06806,0,0,0,0,45.623336,304.96247,400.61347,33.959491,0,0,0,0,27.193297,124.70735,70.304928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,385.44643,0,0,0,0,0,0,0,0,7.5193662,82.007998,126.83203,21.067752,0,0,0,0,45.62267,304.95802,400.60763,33.958996,0,0,0,0,27.1929,124.70553,70.303902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,385.4408,0,0,0,0,0,0,0,0,7.5192565,82.006801,126.83018,21.067445,0,0,0,0,45.622004,304.95357,400.60178,33.9585,0,0,0,0,27.192503,124.70371,70.302876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,385.43518,0,0,0,0,0,0,0,0,7.5191468,82.005604,126.82833,21.067137,0,0,0,0,45.621339,304.94912,400.59594,33.958005,0,0,0,0,27.192106,124.70189,70.30185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,385.42956,0,0,0,0,0,0,0,0,7.5190371,82.004408,126.82648,21.06683,0,0,0,0,45.620673,304.94467,400.59009,33.957509,0,0,0,0,27.19171,124.70007,70.300824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479,385.42393,0,0,0,0,0,0,0,0,7.5189273,82.003211,126.82463,21.066523,0,0,0,0,45.620007,304.94022,400.58424,33.957014,0,0,0,0,27.191313,124.69825,70.299799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,385.41831,0,0,0,0,0,0,0,0,7.5188176,82.002014,126.82278,21.066215,0,0,0,0,45.619341,304.93577,400.5784,33.956518,0,0,0,0,27.190916,124.69643,70.298773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,385.41268,0,0,0,0,0,0,0,0,7.5187079,82.000818,126.82093,21.065908,0,0,0,0,45.618676,304.93132,400.57255,33.956023,0,0,0,0,27.190519,124.69461,70.297747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,385.40706,0,0,0,0,0,0,0,0,7.5185982,81.999621,126.81908,21.0656,0,0,0,0,45.61801,304.92687,400.56671,33.955527,0,0,0,0,27.190122,124.69279,70.296721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,385.40143,0,0,0,0,0,0,0,0,7.5184885,81.998424,126.81723,21.065293,0,0,0,0,45.617344,304.92242,400.56086,33.955032,0,0,0,0,27.189726,124.69097,70.295695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,385.39581,0,0,0,0,0,0,0,0,7.5183787,81.997228,126.81538,21.064985,0,0,0,0,45.616679,304.91797,400.55502,33.954536,0,0,0,0,27.189329,124.68915,70.294669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1485,385.39018,0,0,0,0,0,0,0,0,7.518269,81.996031,126.81352,21.064678,0,0,0,0,45.616013,304.91352,400.54917,33.954041,0,0,0,0,27.188932,124.68733,70.293643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486,385.38373,0,0,0,0,0,0,0,0,7.5181432,81.994659,126.8114,21.064326,0,0,0,0,45.615249,304.90841,400.54247,33.953472,0,0,0,0,27.188477,124.68525,70.292467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1487,385.37728,0,0,0,0,0,0,0,0,7.5180174,81.993286,126.80928,21.063973,0,0,0,0,45.614486,304.90331,400.53576,33.952904,0,0,0,0,27.188022,124.68316,70.29129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,385.37083,0,0,0,0,0,0,0,0,7.5178915,81.991914,126.80716,21.06362,0,0,0,0,45.613722,304.89821,400.52906,33.952336,0,0,0,0,27.187567,124.68107,70.290114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1489,385.36438,0,0,0,0,0,0,0,0,7.5177657,81.990542,126.80503,21.063268,0,0,0,0,45.612959,304.8931,400.52236,33.951768,0,0,0,0,27.187112,124.67899,70.288937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,385.35793,0,0,0,0,0,0,0,0,7.5176399,81.989169,126.80291,21.062915,0,0,0,0,45.612196,304.888,400.51565,33.951199,0,0,0,0,27.186657,124.6769,70.287761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491,385.35148,0,0,0,0,0,0,0,0,7.517514,81.987797,126.80079,21.062563,0,0,0,0,45.611432,304.8829,400.50895,33.950631,0,0,0,0,27.186202,124.67481,70.286585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,385.34503,0,0,0,0,0,0,0,0,7.5173882,81.986425,126.79867,21.06221,0,0,0,0,45.610669,304.87779,400.50224,33.950063,0,0,0,0,27.185747,124.67273,70.285408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1493,385.33858,0,0,0,0,0,0,0,0,7.5172624,81.985052,126.79655,21.061858,0,0,0,0,45.609905,304.87269,400.49554,33.949495,0,0,0,0,27.185292,124.67064,70.284232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,385.33213,0,0,0,0,0,0,0,0,7.5171366,81.98368,126.79442,21.061505,0,0,0,0,45.609142,304.86759,400.48884,33.948926,0,0,0,0,27.184837,124.66855,70.283055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,385.32568,0,0,0,0,0,0,0,0,7.5170107,81.982308,126.7923,21.061153,0,0,0,0,45.608378,304.86248,400.48213,33.948358,0,0,0,0,27.184382,124.66646,70.281879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1496,385.31923,0,0,0,0,0,0,0,0,7.5168849,81.980936,126.79018,21.0608,0,0,0,0,45.607615,304.85738,400.47543,33.94779,0,0,0,0,27.183927,124.66438,70.280702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,385.31278,0,0,0,0,0,0,0,0,7.5167591,81.979563,126.78806,21.060448,0,0,0,0,45.606851,304.85228,400.46873,33.947221,0,0,0,0,27.183471,124.66229,70.279526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,385.30633,0,0,0,0,0,0,0,0,7.5166332,81.978191,126.78593,21.060095,0,0,0,0,45.606088,304.84718,400.46202,33.946653,0,0,0,0,27.183016,124.6602,70.278349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,385.29988,0,0,0,0,0,0,0,0,7.5165074,81.976819,126.78381,21.059742,0,0,0,0,45.605325,304.84207,400.45532,33.946085,0,0,0,0,27.182561,124.65812,70.277173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,385.29343,0,0,0,0,0,0,0,0,7.5163816,81.975446,126.78169,21.05939,0,0,0,0,45.604561,304.83697,400.44861,33.945517,0,0,0,0,27.182106,124.65603,70.275996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,385.28698,0,0,0,0,0,0,0,0,7.5162558,81.974074,126.77957,21.059037,0,0,0,0,45.603798,304.83187,400.44191,33.944948,0,0,0,0,27.181651,124.65394,70.27482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,385.28053,0,0,0,0,0,0,0,0,7.5161299,81.972702,126.77744,21.058685,0,0,0,0,45.603034,304.82676,400.43521,33.94438,0,0,0,0,27.181196,124.65186,70.273643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,385.27408,0,0,0,0,0,0,0,0,7.5160041,81.971329,126.77532,21.058332,0,0,0,0,45.602271,304.82166,400.4285,33.943812,0,0,0,0,27.180741,124.64977,70.272467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,385.26763,0,0,0,0,0,0,0,0,7.5158783,81.969957,126.7732,21.05798,0,0,0,0,45.601507,304.81656,400.4218,33.943244,0,0,0,0,27.180286,124.64768,70.271291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,385.26118,0,0,0,0,0,0,0,0,7.5157524,81.968585,126.77108,21.057627,0,0,0,0,45.600744,304.81145,400.4151,33.942675,0,0,0,0,27.179831,124.6456,70.270114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,385.25473,0,0,0,0,0,0,0,0,7.5156266,81.967212,126.76895,21.057275,0,0,0,0,45.59998,304.80635,400.40839,33.942107,0,0,0,0,27.179376,124.64351,70.268938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,385.24828,0,0,0,0,0,0,0,0,7.5155008,81.96584,126.76683,21.056922,0,0,0,0,45.599217,304.80125,400.40169,33.941539,0,0,0,0,27.178921,124.64142,70.267761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,385.24183,0,0,0,0,0,0,0,0,7.515375,81.964468,126.76471,21.056569,0,0,0,0,45.598454,304.79614,400.39498,33.94097,0,0,0,0,27.178466,124.63934,70.266585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1509,385.23538,0,0,0,0,0,0,0,0,7.5152491,81.963095,126.76259,21.056217,0,0,0,0,45.59769,304.79104,400.38828,33.940402,0,0,0,0,27.178011,124.63725,70.265408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,385.22893,0,0,0,0,0,0,0,0,7.5151233,81.961723,126.76046,21.055864,0,0,0,0,45.596927,304.78594,400.38158,33.939834,0,0,0,0,27.177556,124.63516,70.264232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,385.22248,0,0,0,0,0,0,0,0,7.5149975,81.960351,126.75834,21.055512,0,0,0,0,45.596163,304.78083,400.37487,33.939266,0,0,0,0,27.177101,124.63308,70.263055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,385.21603,0,0,0,0,0,0,0,0,7.5148716,81.958978,126.75622,21.055159,0,0,0,0,45.5954,304.77573,400.36817,33.938697,0,0,0,0,27.176646,124.63099,70.261879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,385.20958,0,0,0,0,0,0,0,0,7.5147458,81.957606,126.7541,21.054807,0,0,0,0,45.594636,304.77063,400.36147,33.938129,0,0,0,0,27.176191,124.6289,70.260702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,385.20313,0,0,0,0,0,0,0,0,7.51462,81.956234,126.75197,21.054454,0,0,0,0,45.593873,304.76553,400.35476,33.937561,0,0,0,0,27.175736,124.62682,70.259526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1515,385.19668,0,0,0,0,0,0,0,0,7.5144942,81.954862,126.74985,21.054102,0,0,0,0,45.593109,304.76042,400.34806,33.936993,0,0,0,0,27.175281,124.62473,70.258349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1516,385.19023,0,0,0,0,0,0,0,0,7.5143683,81.953489,126.74773,21.053749,0,0,0,0,45.592346,304.75532,400.34135,33.936424,0,0,0,0,27.174826,124.62264,70.257173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1517,385.18378,0,0,0,0,0,0,0,0,7.5142425,81.952117,126.74561,21.053397,0,0,0,0,45.591582,304.75022,400.33465,33.935856,0,0,0,0,27.174371,124.62055,70.255997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1518,385.17733,0,0,0,0,0,0,0,0,7.5141167,81.950745,126.74349,21.053044,0,0,0,0,45.590819,304.74511,400.32795,33.935288,0,0,0,0,27.173916,124.61847,70.25482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,385.17088,0,0,0,0,0,0,0,0,7.5139908,81.949372,126.74136,21.052691,0,0,0,0,45.590056,304.74001,400.32124,33.93472,0,0,0,0,27.173461,124.61638,70.253644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,385.16443,0,0,0,0,0,0,0,0,7.513865,81.948,126.73924,21.052339,0,0,0,0,45.589292,304.73491,400.31454,33.934151,0,0,0,0,27.173005,124.61429,70.252467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521,385.15798,0,0,0,0,0,0,0,0,7.5137392,81.946628,126.73712,21.051986,0,0,0,0,45.588529,304.7298,400.30784,33.933583,0,0,0,0,27.17255,124.61221,70.251291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,385.15153,0,0,0,0,0,0,0,0,7.5136134,81.945255,126.735,21.051634,0,0,0,0,45.587765,304.7247,400.30113,33.933015,0,0,0,0,27.172095,124.61012,70.250114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523,385.14508,0,0,0,0,0,0,0,0,7.5134875,81.943883,126.73287,21.051281,0,0,0,0,45.587002,304.7196,400.29443,33.932446,0,0,0,0,27.17164,124.60803,70.248938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1524,385.13863,0,0,0,0,0,0,0,0,7.5133617,81.942511,126.73075,21.050929,0,0,0,0,45.586238,304.71449,400.28772,33.931878,0,0,0,0,27.171185,124.60595,70.247761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1525,385.13218,0,0,0,0,0,0,0,0,7.5132359,81.941138,126.72863,21.050576,0,0,0,0,45.585475,304.70939,400.28102,33.93131,0,0,0,0,27.17073,124.60386,70.246585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1526,385.12573,0,0,0,0,0,0,0,0,7.51311,81.939766,126.72651,21.050224,0,0,0,0,45.584711,304.70429,400.27432,33.930742,0,0,0,0,27.170275,124.60177,70.245408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1527,385.11928,0,0,0,0,0,0,0,0,7.5129842,81.938394,126.72438,21.049871,0,0,0,0,45.583948,304.69918,400.26761,33.930173,0,0,0,0,27.16982,124.59969,70.244232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1528,385.11283,0,0,0,0,0,0,0,0,7.5128584,81.937021,126.72226,21.049519,0,0,0,0,45.583185,304.69408,400.26091,33.929605,0,0,0,0,27.169365,124.5976,70.243056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,385.10638,0,0,0,0,0,0,0,0,7.5127326,81.935649,126.72014,21.049166,0,0,0,0,45.582421,304.68898,400.25421,33.929037,0,0,0,0,27.16891,124.59551,70.241879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,385.09993,0,0,0,0,0,0,0,0,7.5126067,81.934277,126.71802,21.048813,0,0,0,0,45.581658,304.68387,400.2475,33.928469,0,0,0,0,27.168455,124.59343,70.240703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,385.09348,0,0,0,0,0,0,0,0,7.5124809,81.932904,126.71589,21.048461,0,0,0,0,45.580894,304.67877,400.2408,33.9279,0,0,0,0,27.168,124.59134,70.239526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,385.08703,0,0,0,0,0,0,0,0,7.5123551,81.931532,126.71377,21.048108,0,0,0,0,45.580131,304.67367,400.23409,33.927332,0,0,0,0,27.167545,124.58925,70.23835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,385.08058,0,0,0,0,0,0,0,0,7.5122292,81.93016,126.71165,21.047756,0,0,0,0,45.579367,304.66857,400.22739,33.926764,0,0,0,0,27.16709,124.58717,70.237173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,385.07413,0,0,0,0,0,0,0,0,7.5121034,81.928788,126.70953,21.047403,0,0,0,0,45.578604,304.66346,400.22069,33.926196,0,0,0,0,27.166635,124.58508,70.235997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1535,385.06768,0,0,0,0,0,0,0,0,7.5119776,81.927415,126.7074,21.047051,0,0,0,0,45.57784,304.65836,400.21398,33.925627,0,0,0,0,27.16618,124.58299,70.23482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536,385.06123,0,0,0,0,0,0,0,0,7.5118518,81.926043,126.70528,21.046698,0,0,0,0,45.577077,304.65326,400.20728,33.925059,0,0,0,0,27.165725,124.58091,70.233644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,385.05478,0,0,0,0,0,0,0,0,7.5117259,81.924671,126.70316,21.046346,0,0,0,0,45.576314,304.64815,400.20058,33.924491,0,0,0,0,27.16527,124.57882,70.232467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,385.04833,0,0,0,0,0,0,0,0,7.5116001,81.923298,126.70104,21.045993,0,0,0,0,45.57555,304.64305,400.19387,33.923922,0,0,0,0,27.164815,124.57673,70.231291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,385.04188,0,0,0,0,0,0,0,0,7.5114743,81.921926,126.69891,21.045641,0,0,0,0,45.574787,304.63795,400.18717,33.923354,0,0,0,0,27.16436,124.57464,70.230114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,385.03543,0,0,0,0,0,0,0,0,7.5113484,81.920554,126.69679,21.045288,0,0,0,0,45.574023,304.63284,400.18046,33.922786,0,0,0,0,27.163905,124.57256,70.228938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541,385.02898,0,0,0,0,0,0,0,0,7.5112226,81.919181,126.69467,21.044935,0,0,0,0,45.57326,304.62774,400.17376,33.922218,0,0,0,0,27.16345,124.57047,70.227762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,385.02253,0,0,0,0,0,0,0,0,7.5110968,81.917809,126.69255,21.044583,0,0,0,0,45.572496,304.62264,400.16706,33.921649,0,0,0,0,27.162995,124.56838,70.226585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1543,385.01608,0,0,0,0,0,0,0,0,7.510971,81.916437,126.69043,21.04423,0,0,0,0,45.571733,304.61753,400.16035,33.921081,0,0,0,0,27.162539,124.5663,70.225409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544,385.00963,0,0,0,0,0,0,0,0,7.5108451,81.915064,126.6883,21.043878,0,0,0,0,45.570969,304.61243,400.15365,33.920513,0,0,0,0,27.162084,124.56421,70.224232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1545,385.00318,0,0,0,0,0,0,0,0,7.5107193,81.913692,126.68618,21.043525,0,0,0,0,45.570206,304.60733,400.14695,33.919945,0,0,0,0,27.161629,124.56212,70.223056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,384.99673,0,0,0,0,0,0,0,0,7.5105935,81.91232,126.68406,21.043173,0,0,0,0,45.569443,304.60222,400.14024,33.919376,0,0,0,0,27.161174,124.56004,70.221879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,384.99028,0,0,0,0,0,0,0,0,7.5104676,81.910947,126.68194,21.04282,0,0,0,0,45.568679,304.59712,400.13354,33.918808,0,0,0,0,27.160719,124.55795,70.220703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,384.98383,0,0,0,0,0,0,0,0,7.5103418,81.909575,126.67981,21.042468,0,0,0,0,45.567916,304.59202,400.12683,33.91824,0,0,0,0,27.160264,124.55586,70.219526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
