Time (ms),Stress at 0.00 mm (kPa),Stress at 0.22 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.62 mm (kPa),Stress at 0.81 mm (kPa),Stress at 1.02 mm (kPa),Stress at 1.23 mm (kPa),Stress at 1.42 mm (kPa),Stress at 1.62 mm (kPa),Stress at 1.82 mm (kPa),Stress at 2.02 mm (kPa),Stress at 2.23 mm (kPa),Stress at 2.42 mm (kPa),Stress at 2.62 mm (kPa),Stress at 2.83 mm (kPa),Stress at 3.02 mm (kPa),Stress at 3.22 mm (kPa),Stress at 3.42 mm (kPa),Stress at 3.63 mm (kPa)
0,-2.1244961,-1.8073597,-1.5059391,-1.3728289,-1.1116993,-0.88366662,-0.66392412,-0.54317117,-0.38072488,-0.30463157,-0.18449898,-0.14924544,-0.078990165,-0.060401487,-0.010797597,0,0,0,0
1,-2.1341161,-1.8155438,-1.5127582,-1.3790453,-1.1167333,-0.88766801,-0.66693048,-0.54563075,-0.38244886,-0.30601099,-0.18533442,-0.14992125,-0.079347846,-0.060674996,-0.010846491,0,0,0,0
2,-2.1437362,-1.8237278,-1.5195774,-1.3852617,-1.1217672,-0.89166941,-0.66993684,-0.54809032,-0.38417285,-0.30739041,-0.18616986,-0.15059705,-0.079705527,-0.060948504,-0.010895384,0,0,0,0
3,-2.1533563,-1.8319118,-1.5263965,-1.3914781,-1.1268012,-0.8956708,-0.6729432,-0.55054989,-0.38589684,-0.30876984,-0.18700531,-0.15127286,-0.080063208,-0.061222012,-0.010944278,0,0,0,0
4,-2.1629764,-1.8400959,-1.5332157,-1.3976945,-1.1318352,-0.8996722,-0.67594957,-0.55300946,-0.38762083,-0.31014926,-0.18784075,-0.15194867,-0.080420889,-0.061495521,-0.010993171,0,0,0,0
5,-2.1725965,-1.8482799,-1.5400348,-1.4039109,-1.1368691,-0.90367359,-0.67895593,-0.55546904,-0.38934482,-0.31152869,-0.18867619,-0.15262448,-0.08077857,-0.061769029,-0.011042064,0,0,0,0
6,-2.1822166,-1.856464,-1.546854,-1.4101273,-1.1419031,-0.90767499,-0.68196229,-0.55792861,-0.3910688,-0.31290811,-0.18951164,-0.15330029,-0.081136252,-0.062042537,-0.011090958,0,0,0,0
7,-2.1918366,-1.864648,-1.5536731,-1.4163437,-1.1469371,-0.91167638,-0.68496866,-0.56038818,-0.39279279,-0.31428754,-0.19034708,-0.1539761,-0.081493933,-0.062316046,-0.011139851,0,0,0,0
8,-2.2014567,-1.872832,-1.5604923,-1.4225601,-1.151971,-0.91567778,-0.68797502,-0.56284776,-0.39451678,-0.31566696,-0.19118252,-0.15465191,-0.081851614,-0.062589554,-0.011188744,0,0,0,0
9,-2.2110768,-1.8810161,-1.5673115,-1.4287765,-1.157005,-0.91967917,-0.69098138,-0.56530733,-0.39624077,-0.31704638,-0.19201796,-0.15532772,-0.082209295,-0.062863062,-0.011237638,0,0,0,0
10,-2.2206969,-1.8892001,-1.5741306,-1.4349929,-1.1620389,-0.92368057,-0.69398775,-0.5677669,-0.39796476,-0.31842581,-0.19285341,-0.15600353,-0.082566976,-0.063136571,-0.011286531,0,0,0,0
11,-2.230317,-1.8973841,-1.5809498,-1.4412093,-1.1670729,-0.92768196,-0.69699411,-0.57022647,-0.39968874,-0.31980523,-0.19368885,-0.15667934,-0.082924657,-0.063410079,-0.011335425,0,0,0,0
12,-2.2399371,-1.9055682,-1.5877689,-1.4474257,-1.1721069,-0.93168335,-0.70000047,-0.57268605,-0.40141273,-0.32118466,-0.19452429,-0.15735515,-0.083282338,-0.063683587,-0.011384318,0,0,0,0
13,-2.2495572,-1.9137522,-1.5945881,-1.4536421,-1.1771408,-0.93568475,-0.70300683,-0.57514562,-0.40313672,-0.32256408,-0.19535974,-0.15803095,-0.083640019,-0.063957096,-0.011433211,0,0,0,0
14,-2.2591772,-1.9219363,-1.6014072,-1.4598585,-1.1821748,-0.93968614,-0.7060132,-0.57760519,-0.40486071,-0.32394351,-0.19619518,-0.15870676,-0.0839977,-0.064230604,-0.011482105,0,0,0,0
15,-2.2687973,-1.9301203,-1.6082264,-1.4660749,-1.1872088,-0.94368754,-0.70901956,-0.58006476,-0.40658469,-0.32532293,-0.19703062,-0.15938257,-0.084355381,-0.064504113,-0.011530998,0,0,0,0
16,-2.2784174,-1.9383043,-1.6150455,-1.4722914,-1.1922427,-0.94768893,-0.71202592,-0.58252434,-0.40830868,-0.32670236,-0.19786607,-0.16005838,-0.084713063,-0.064777621,-0.011579892,0,0,0,0
17,-2.2880375,-1.9464884,-1.6218647,-1.4785078,-1.1972767,-0.95169033,-0.71503229,-0.58498391,-0.41003267,-0.32808178,-0.19870151,-0.16073419,-0.085070744,-0.065051129,-0.011628785,0,0,0,0
18,-2.2976576,-1.9546724,-1.6286838,-1.4847242,-1.2023107,-0.95569172,-0.71803865,-0.58744348,-0.41175666,-0.3294612,-0.19953695,-0.16141,-0.085428425,-0.065324638,-0.011677678,0,0,0,0
19,-2.3072777,-1.9628564,-1.635503,-1.4909406,-1.2073446,-0.95969312,-0.72104501,-0.58990306,-0.41348065,-0.33084063,-0.2003724,-0.16208581,-0.085786106,-0.065598146,-0.011726572,0,0,0,0
20,-2.3168977,-1.9710405,-1.6423221,-1.497157,-1.2123786,-0.96369451,-0.72405138,-0.59236263,-0.41520463,-0.33222005,-0.20120784,-0.16276162,-0.086143787,-0.065871654,-0.011775465,0,0,0,0
21,-2.3265178,-1.9792245,-1.6491413,-1.5033734,-1.2174126,-0.96769591,-0.72705774,-0.5948222,-0.41692862,-0.33359948,-0.20204328,-0.16343743,-0.086501468,-0.066145163,-0.011824358,0,0,0,0
22,-2.3361379,-1.9874085,-1.6559604,-1.5095898,-1.2224465,-0.9716973,-0.7300641,-0.59728177,-0.41865261,-0.3349789,-0.20287873,-0.16411324,-0.086859149,-0.066418671,-0.011873252,0,0,0,0
23,-2.345758,-1.9955926,-1.6627796,-1.5158062,-1.2274805,-0.9756987,-0.73307046,-0.59974135,-0.4203766,-0.33635833,-0.20371417,-0.16478905,-0.08721683,-0.066692179,-0.011922145,0,0,0,0
24,-2.3553781,-2.0037766,-1.6695987,-1.5220226,-1.2325145,-0.97970009,-0.73607683,-0.60220092,-0.42210059,-0.33773775,-0.20454961,-0.16546485,-0.087574511,-0.066965688,-0.011971039,0,0,0,0
25,-2.3649982,-2.0119607,-1.6764179,-1.528239,-1.2375484,-0.98370149,-0.73908319,-0.60466049,-0.42382457,-0.33911717,-0.20538506,-0.16614066,-0.087932192,-0.067239196,-0.012019932,0,0,0,0
26,-2.3746183,-2.0201447,-1.683237,-1.5344554,-1.2425824,-0.98770288,-0.74208955,-0.60712007,-0.42554856,-0.3404966,-0.2062205,-0.16681647,-0.088289873,-0.067512704,-0.012068825,0,0,0,0
27,-2.3842383,-2.0283287,-1.6900562,-1.5406718,-1.2476164,-0.99170428,-0.74509592,-0.60957964,-0.42727255,-0.34187602,-0.20705594,-0.16749228,-0.088647555,-0.067786213,-0.012117719,0,0,0,0
28,-2.3938584,-2.0365128,-1.6968753,-1.5468882,-1.2526503,-0.99570567,-0.74810228,-0.61203921,-0.42899654,-0.34325545,-0.20789139,-0.16816809,-0.089005236,-0.068059721,-0.012166612,0,0,0,0
29,-2.4034785,-2.0446968,-1.7036945,-1.5531046,-1.2576843,-0.99970707,-0.75110864,-0.61449878,-0.43072053,-0.34463487,-0.20872683,-0.1688439,-0.089362917,-0.06833323,-0.012215505,0,0,0,0
30,-2.4130986,-2.0528808,-1.7105136,-1.559321,-1.2627183,-1.0037085,-0.754115,-0.61695836,-0.43244451,-0.3460143,-0.20956227,-0.16951971,-0.089720598,-0.068606738,-0.012264399,0,0,0,0
31,-2.4227187,-2.0610649,-1.7173328,-1.5655374,-1.2677522,-1.0077099,-0.75712137,-0.61941793,-0.4341685,-0.34739372,-0.21039772,-0.17019552,-0.090078279,-0.068880246,-0.012313292,0,0,0,0
32,-2.4323388,-2.0692489,-1.7241519,-1.5717539,-1.2727862,-1.0117113,-0.76012773,-0.6218775,-0.43589249,-0.34877314,-0.21123316,-0.17087133,-0.09043596,-0.069153755,-0.012362186,0,0,0,0
33,-2.4419589,-2.077433,-1.7309711,-1.5779703,-1.2778202,-1.0157126,-0.76313409,-0.62433708,-0.43761648,-0.35015257,-0.2120686,-0.17154714,-0.090793641,-0.069427263,-0.012411079,0,0,0,0
34,-2.4515789,-2.085617,-1.7377903,-1.5841867,-1.2828541,-1.019714,-0.76614046,-0.62679665,-0.43934047,-0.35153199,-0.21290404,-0.17222295,-0.091151322,-0.069700771,-0.012459972,0,0,0,0
35,-2.461199,-2.093801,-1.7446094,-1.5904031,-1.2878881,-1.0237154,-0.76914682,-0.62925622,-0.44106445,-0.35291142,-0.21373949,-0.17289875,-0.091509003,-0.06997428,-0.012508866,0,0,0,0
36,-2.4708191,-2.1019851,-1.7514286,-1.5966195,-1.2929221,-1.0277168,-0.77215318,-0.63171579,-0.44278844,-0.35429084,-0.21457493,-0.17357456,-0.091866684,-0.070247788,-0.012557759,0,0,0,0
37,-2.4804392,-2.1101691,-1.7582477,-1.6028359,-1.297956,-1.0317182,-0.77515955,-0.63417537,-0.44451243,-0.35567027,-0.21541037,-0.17425037,-0.092224366,-0.070521296,-0.012606653,0,0,0,0
38,-2.4900593,-2.1183531,-1.7650669,-1.6090523,-1.30299,-1.0357196,-0.77816591,-0.63663494,-0.44623642,-0.35704969,-0.21624582,-0.17492618,-0.092582047,-0.070794805,-0.012655546,0,0,0,0
39,-2.4996794,-2.1265372,-1.771886,-1.6152687,-1.308024,-1.039721,-0.78117227,-0.63909451,-0.44796041,-0.35842911,-0.21708126,-0.17560199,-0.092939728,-0.071068313,-0.012704439,0,0,0,0
40,-2.5092994,-2.1347212,-1.7787052,-1.6214851,-1.3130579,-1.0437224,-0.78417863,-0.64155408,-0.44968439,-0.35980854,-0.2179167,-0.1762778,-0.093297409,-0.071341821,-0.012753333,0,0,0,0
41,-2.5189195,-2.1429052,-1.7855243,-1.6277015,-1.3180919,-1.0477238,-0.787185,-0.64401366,-0.45140838,-0.36118796,-0.21875215,-0.17695361,-0.09365509,-0.07161533,-0.012802226,0,0,0,0
42,-2.5285396,-2.1510893,-1.7923435,-1.6339179,-1.3231259,-1.0517252,-0.79019136,-0.64647323,-0.45313237,-0.36256739,-0.21958759,-0.17762942,-0.094012771,-0.071888838,-0.012851119,0,0,0,0
43,-2.5381597,-2.1592733,-1.7991626,-1.6401343,-1.3281598,-1.0557266,-0.79319772,-0.6489328,-0.45485636,-0.36394681,-0.22042303,-0.17830523,-0.094370452,-0.072162347,-0.012900013,0,0,0,0
44,-2.5477798,-2.1674574,-1.8059818,-1.6463507,-1.3331938,-1.059728,-0.79620409,-0.65139238,-0.45658034,-0.36532624,-0.22125848,-0.17898104,-0.094728133,-0.072435855,-0.012948906,0,0,0,0
45,-2.5573999,-2.1756414,-1.8128009,-1.6525671,-1.3382278,-1.0637294,-0.79921045,-0.65385195,-0.45830433,-0.36670566,-0.22209392,-0.17965685,-0.095085814,-0.072709363,-0.0129978,0,0,0,0
46,-2.56702,-2.1838254,-1.8196201,-1.6587835,-1.3432617,-1.0677308,-0.80221681,-0.65631152,-0.46002832,-0.36808508,-0.22292936,-0.18033265,-0.095443495,-0.072982872,-0.013046693,0,0,0,0
47,-2.57664,-2.1920095,-1.8264392,-1.6649999,-1.3482957,-1.0717322,-0.80522317,-0.65877109,-0.46175231,-0.36946451,-0.22376481,-0.18100846,-0.095801177,-0.07325638,-0.013095586,0,0,0,0
48,-2.5862601,-2.2001935,-1.8332584,-1.6712163,-1.3533297,-1.0757336,-0.80822954,-0.66123067,-0.4634763,-0.37084393,-0.22460025,-0.18168427,-0.096158858,-0.073529888,-0.01314448,0,0,0,0
49,-2.5958802,-2.2083775,-1.8400775,-1.6774328,-1.3583636,-1.079735,-0.8112359,-0.66369024,-0.46520028,-0.37222336,-0.22543569,-0.18236008,-0.096516539,-0.073803397,-0.013193373,0,0,0,0
50,-2.6055003,-2.2165616,-1.8468967,-1.6836492,-1.3633976,-1.0837364,-0.81424226,-0.66614981,-0.46692427,-0.37360278,-0.22627114,-0.18303589,-0.09687422,-0.074076905,-0.013242267,0,0,0,0
51,-2.6151204,-2.2247456,-1.8537158,-1.6898656,-1.3684316,-1.0877378,-0.81724863,-0.66860939,-0.46864826,-0.37498221,-0.22710658,-0.1837117,-0.097231901,-0.074350413,-0.01329116,0,0,0,0
52,-2.6247405,-2.2329297,-1.860535,-1.696082,-1.3734655,-1.0917392,-0.82025499,-0.67106896,-0.47037225,-0.37636163,-0.22794202,-0.18438751,-0.097589582,-0.074623922,-0.013340053,0,0,0,0
53,-2.6343605,-2.2411137,-1.8673541,-1.7022984,-1.3784995,-1.0957405,-0.82326135,-0.67352853,-0.47209624,-0.37774105,-0.22877747,-0.18506332,-0.097947263,-0.07489743,-0.013388947,0,0,0,0
54,-2.6439806,-2.2492977,-1.8741733,-1.7085148,-1.3835335,-1.0997419,-0.82626772,-0.6759881,-0.47382022,-0.37912048,-0.22961291,-0.18573913,-0.098304944,-0.075170938,-0.01343784,0,0,0,0
55,-2.6536007,-2.2574818,-1.8809924,-1.7147312,-1.3885674,-1.1037433,-0.82927408,-0.67844768,-0.47554421,-0.3804999,-0.23044835,-0.18641494,-0.098662625,-0.075444447,-0.013486733,0,0,0,0
56,-2.6632208,-2.2656658,-1.8878116,-1.7209476,-1.3936014,-1.1077447,-0.83228044,-0.68090725,-0.4772682,-0.38187933,-0.2312838,-0.18709075,-0.099020306,-0.075717955,-0.013535627,0,0,0,0
57,-2.6728409,-2.2738498,-1.8946307,-1.727164,-1.3986354,-1.1117461,-0.8352868,-0.68336682,-0.47899219,-0.38325875,-0.23211924,-0.18776655,-0.099377987,-0.075991464,-0.01358452,0,0,0,0
58,-2.682461,-2.2820339,-1.9014499,-1.7333804,-1.4036693,-1.1157475,-0.83829317,-0.68582639,-0.48071618,-0.38463818,-0.23295468,-0.18844236,-0.099735669,-0.076264972,-0.013633414,0,0,0,0
59,-2.6920811,-2.2902179,-1.9082691,-1.7395968,-1.4087033,-1.1197489,-0.84129953,-0.68828597,-0.48244016,-0.3860176,-0.23379012,-0.18911817,-0.10009335,-0.07653848,-0.013682307,0,0,0,0
60,-2.7017011,-2.2984019,-1.9150882,-1.7458132,-1.4137373,-1.1237503,-0.84430589,-0.69074554,-0.48416415,-0.38739702,-0.23462557,-0.18979398,-0.10045103,-0.076811989,-0.0137312,0,0,0,0
61,-2.7113212,-2.306586,-1.9219074,-1.7520296,-1.4187712,-1.1277517,-0.84731226,-0.69320511,-0.48588814,-0.38877645,-0.23546101,-0.19046979,-0.10080871,-0.077085497,-0.013780094,0,0,0,0
62,-2.7209413,-2.31477,-1.9287265,-1.758246,-1.4238052,-1.1317531,-0.85031862,-0.69566469,-0.48761213,-0.39015587,-0.23629645,-0.1911456,-0.10116639,-0.077359005,-0.013828987,0,0,0,0
63,-2.7305614,-2.3229541,-1.9355457,-1.7644624,-1.4288392,-1.1357545,-0.85332498,-0.69812426,-0.48933612,-0.3915353,-0.2371319,-0.19182141,-0.10152407,-0.077632514,-0.013877881,0,0,0,0
64,-2.7401815,-2.3311381,-1.9423648,-1.7706788,-1.4338731,-1.1397559,-0.85633135,-0.70058383,-0.4910601,-0.39291472,-0.23796734,-0.19249722,-0.10188176,-0.077906022,-0.013926774,0,0,0,0
65,-2.7498016,-2.3393221,-1.949184,-1.7768952,-1.4389071,-1.1437573,-0.85933771,-0.7030434,-0.49278409,-0.39429415,-0.23880278,-0.19317303,-0.10223944,-0.07817953,-0.013975667,0,0,0,0
66,-2.7594216,-2.3475062,-1.9560031,-1.7831117,-1.4439411,-1.1477587,-0.86234407,-0.70550298,-0.49450808,-0.39567357,-0.23963823,-0.19384884,-0.10259712,-0.078453039,-0.014024561,0,0,0,0
67,-2.7690417,-2.3556902,-1.9628223,-1.7893281,-1.448975,-1.1517601,-0.86535043,-0.70796255,-0.49623207,-0.39705299,-0.24047367,-0.19452465,-0.1029548,-0.078726547,-0.014073454,0,0,0,0
68,-2.7786618,-2.3638742,-1.9696414,-1.7955445,-1.454009,-1.1557615,-0.8683568,-0.71042212,-0.49795606,-0.39843242,-0.24130911,-0.19520045,-0.10331248,-0.079000055,-0.014122347,0,0,0,0
69,-2.7882819,-2.3720583,-1.9764606,-1.8017609,-1.459043,-1.1597629,-0.87136316,-0.7128817,-0.49968004,-0.39981184,-0.24214456,-0.19587626,-0.10367016,-0.079273564,-0.014171241,0,0,0,0
70,-2.797902,-2.3802423,-1.9832797,-1.8079773,-1.4640769,-1.1637643,-0.87436952,-0.71534127,-0.50140403,-0.40119127,-0.24298,-0.19655207,-0.10402784,-0.079547072,-0.014220134,0,0,0,0
71,-2.8075221,-2.3884263,-1.9900989,-1.8141937,-1.4691109,-1.1677657,-0.87737589,-0.71780084,-0.50312802,-0.40257069,-0.24381544,-0.19722788,-0.10438552,-0.07982058,-0.014269028,0,0,0,0
72,-2.8171422,-2.3966104,-1.996918,-1.8204101,-1.4741449,-1.171767,-0.88038225,-0.72026041,-0.50485201,-0.40395012,-0.24465089,-0.19790369,-0.1047432,-0.080094089,-0.014317921,0,0,0,0
73,-2.8267622,-2.4047944,-2.0037372,-1.8266265,-1.4791788,-1.1757684,-0.88338861,-0.72271999,-0.50657599,-0.40532954,-0.24548633,-0.1985795,-0.10510089,-0.080367597,-0.014366814,0,0,0,0
74,-2.8363823,-2.4129785,-2.0105563,-1.8328429,-1.4842128,-1.1797698,-0.88639497,-0.72517956,-0.50829998,-0.40670896,-0.24632177,-0.19925531,-0.10545857,-0.080641106,-0.014415708,0,0,0,0
75,-2.8460024,-2.4211625,-2.0173755,-1.8390593,-1.4892468,-1.1837712,-0.88940134,-0.72763913,-0.51002397,-0.40808839,-0.24715722,-0.19993112,-0.10581625,-0.080914614,-0.014464601,0,0,0,0
76,-2.8556225,-2.4293465,-2.0241946,-1.8452757,-1.4942807,-1.1877726,-0.8924077,-0.73009871,-0.51174796,-0.40946781,-0.24799266,-0.20060693,-0.10617393,-0.081188122,-0.014513495,0,0,0,0
77,-2.8652426,-2.4375306,-2.0310138,-1.8514921,-1.4993147,-1.191774,-0.89541406,-0.73255828,-0.51347195,-0.41084724,-0.2488281,-0.20128274,-0.10653161,-0.081461631,-0.014562388,0,0,0,0
78,-2.8748627,-2.4457146,-2.0378329,-1.8577085,-1.5043487,-1.1957754,-0.89842043,-0.73501785,-0.51519593,-0.41222666,-0.24966355,-0.20195855,-0.10688929,-0.081735139,-0.014611281,0,0,0,0
79,-2.8844827,-2.4538986,-2.0446521,-1.8639249,-1.5093826,-1.1997768,-0.90142679,-0.73747742,-0.51691992,-0.41360609,-0.25049899,-0.20263435,-0.10724697,-0.082008647,-0.014660175,0,0,0,0
80,-2.8941028,-2.4620827,-2.0514712,-1.8701413,-1.5144166,-1.2037782,-0.90443315,-0.739937,-0.51864391,-0.41498551,-0.25133443,-0.20331016,-0.10760465,-0.082282156,-0.014709068,0,0,0,0
81,-2.9037229,-2.4702667,-2.0582904,-1.8763577,-1.5194505,-1.2077796,-0.90743952,-0.74239657,-0.5203679,-0.41636493,-0.25216988,-0.20398597,-0.10796233,-0.082555664,-0.014757961,0,0,0,0
82,-2.913343,-2.4784508,-2.0651096,-1.8825741,-1.5244845,-1.211781,-0.91044588,-0.74485614,-0.52209189,-0.41774436,-0.25300532,-0.20466178,-0.10832001,-0.082829172,-0.014806855,0,0,0,0
83,-2.9229631,-2.4866348,-2.0719287,-1.8887906,-1.5295185,-1.2157824,-0.91345224,-0.74731571,-0.52381587,-0.41912378,-0.25384076,-0.20533759,-0.1086777,-0.083102681,-0.014855748,0,0,0,0
84,-2.9325832,-2.4948188,-2.0787479,-1.895007,-1.5345524,-1.2197838,-0.9164586,-0.74977529,-0.52553986,-0.42050321,-0.2546762,-0.2060134,-0.10903538,-0.083376189,-0.014904642,0,0,0,0
85,-2.9422033,-2.5030029,-2.085567,-1.9012234,-1.5395864,-1.2237852,-0.91946497,-0.75223486,-0.52726385,-0.42188263,-0.25551165,-0.20668921,-0.10939306,-0.083649697,-0.014953535,0,0,0,0
86,-2.9518233,-2.5111869,-2.0923862,-1.9074398,-1.5446204,-1.2277866,-0.92247133,-0.75469443,-0.52898784,-0.42326206,-0.25634709,-0.20736502,-0.10975074,-0.083923206,-0.015002428,0,0,0,0
87,-2.9614434,-2.5193709,-2.0992053,-1.9136562,-1.5496543,-1.231788,-0.92547769,-0.75715401,-0.53071183,-0.42464148,-0.25718253,-0.20804083,-0.11010842,-0.084196714,-0.015051322,0,0,0,0
88,-2.9710635,-2.527555,-2.1060245,-1.9198726,-1.5546883,-1.2357894,-0.92848406,-0.75961358,-0.53243581,-0.4260209,-0.25801798,-0.20871664,-0.1104661,-0.084470223,-0.015100215,0,0,0,0
89,-2.9806836,-2.535739,-2.1128436,-1.926089,-1.5597223,-1.2397908,-0.93149042,-0.76207315,-0.5341598,-0.42740033,-0.25885342,-0.20939245,-0.11082378,-0.084743731,-0.015149109,0,0,0,0
90,-2.9903037,-2.543923,-2.1196628,-1.9323054,-1.5647562,-1.2437922,-0.93449678,-0.76453272,-0.53588379,-0.42877975,-0.25968886,-0.21006825,-0.11118146,-0.085017239,-0.015198002,0,0,0,0
91,-2.9999238,-2.5521071,-2.1264819,-1.9385218,-1.5697902,-1.2477936,-0.93750315,-0.7669923,-0.53760778,-0.43015918,-0.26052431,-0.21074406,-0.11153914,-0.085290748,-0.015246895,0,0,0,0
92,-3.0095438,-2.5602911,-2.1333011,-1.9447382,-1.5748242,-1.2517949,-0.94050951,-0.76945187,-0.53933177,-0.4315386,-0.26135975,-0.21141987,-0.11189683,-0.085564256,-0.015295789,0,0,0,0
93,-3.0191639,-2.5684752,-2.1401202,-1.9509546,-1.5798581,-1.2557963,-0.94351587,-0.77191144,-0.54105575,-0.43291803,-0.26219519,-0.21209568,-0.11225451,-0.085837764,-0.015344682,0,0,0,0
94,-3.028784,-2.5766592,-2.1469394,-1.957171,-1.5848921,-1.2597977,-0.94652223,-0.77437102,-0.54277974,-0.43429745,-0.26303064,-0.21277149,-0.11261219,-0.086111273,-0.015393575,0,0,0,0
95,-3.0384041,-2.5848432,-2.1537585,-1.9633874,-1.5899261,-1.2637991,-0.9495286,-0.77683059,-0.54450373,-0.43567687,-0.26386608,-0.2134473,-0.11296987,-0.086384781,-0.015442469,0,0,0,0
96,-3.0480242,-2.5930273,-2.1605777,-1.9696038,-1.59496,-1.2678005,-0.95253496,-0.77929016,-0.54622772,-0.4370563,-0.26470152,-0.21412311,-0.11332755,-0.086658289,-0.015491362,0,0,0,0
97,-3.0576443,-2.6012113,-2.1673968,-1.9758202,-1.599994,-1.2718019,-0.95554132,-0.78174973,-0.54795171,-0.43843572,-0.26553697,-0.21479892,-0.11368523,-0.086931798,-0.015540256,0,0,0,0
98,-3.0672644,-2.6093953,-2.174216,-1.9820366,-1.605028,-1.2758033,-0.95854769,-0.78420931,-0.54967569,-0.43981515,-0.26637241,-0.21547473,-0.11404291,-0.087205306,-0.015589149,0,0,0,0
99,-3.0768844,-2.6175794,-2.1810351,-1.9882531,-1.6100619,-1.2798047,-0.96155405,-0.78666888,-0.55139968,-0.44119457,-0.26720785,-0.21615054,-0.11440059,-0.087478814,-0.015638042,0,0,0,0
100,-3.0865045,-2.6257634,-2.1878543,-1.9944695,-1.6150959,-1.2838061,-0.96456041,-0.78912845,-0.55312367,-0.442574,-0.2680433,-0.21682635,-0.11475827,-0.087752323,-0.015686936,0,0,0,0
101,-3.0961246,-2.6339475,-2.1946734,-2.0006859,-1.6201299,-1.2878075,-0.96756677,-0.79158803,-0.55484766,-0.44395342,-0.26887874,-0.21750215,-0.11511596,-0.088025831,-0.015735829,0,0,0,0
102,-3.1057447,-2.6421315,-2.2014926,-2.0069023,-1.6251638,-1.2918089,-0.97057314,-0.7940476,-0.55657164,-0.44533284,-0.26971418,-0.21817796,-0.11547364,-0.08829934,-0.015784723,0,0,0,0
103,-3.1153648,-2.6503155,-2.2083117,-2.0131187,-1.6301978,-1.2958103,-0.9735795,-0.79650717,-0.55829563,-0.44671227,-0.27054963,-0.21885377,-0.11583132,-0.088572848,-0.015833616,0,0,0,0
104,-3.1249849,-2.6584996,-2.2151309,-2.0193351,-1.6352318,-1.2998117,-0.97658586,-0.79896674,-0.56001962,-0.44809169,-0.27138507,-0.21952958,-0.116189,-0.088846356,-0.015882509,0,0,0,0
105,-3.1346049,-2.6666836,-2.22195,-2.0255515,-1.6402657,-1.3038131,-0.97959223,-0.80142632,-0.56174361,-0.44947112,-0.27222051,-0.22020539,-0.11654668,-0.089119865,-0.015931403,0,0,0,0
106,-3.144225,-2.6748676,-2.2287692,-2.0317679,-1.6452997,-1.3078145,-0.98259859,-0.80388589,-0.5634676,-0.45085054,-0.27305596,-0.2208812,-0.11690436,-0.089393373,-0.015980296,0,0,0,0
107,-3.1538451,-2.6830517,-2.2355884,-2.0379843,-1.6503337,-1.3118159,-0.98560495,-0.80634546,-0.56519158,-0.45222997,-0.2738914,-0.22155701,-0.11726204,-0.089666881,-0.016029189,0,0,0,0
108,-3.1634652,-2.6912357,-2.2424075,-2.0442007,-1.6553676,-1.3158173,-0.98861132,-0.80880503,-0.56691557,-0.45360939,-0.27472684,-0.22223282,-0.11761972,-0.08994039,-0.016078083,0,0,0,0
109,-3.1730853,-2.6994197,-2.2492267,-2.0504171,-1.6604016,-1.3198187,-0.99161768,-0.81126461,-0.56863956,-0.45498881,-0.27556228,-0.22290863,-0.1179774,-0.090213898,-0.016126976,0,0,0,0
110,-3.1827054,-2.7076038,-2.2560458,-2.0566335,-1.6654356,-1.3238201,-0.99462404,-0.81372418,-0.57036355,-0.45636824,-0.27639773,-0.22358444,-0.11833509,-0.090487406,-0.01617587,0,0,0,0
111,-3.1923255,-2.7157878,-2.262865,-2.0628499,-1.6704695,-1.3278215,-0.9976304,-0.81618375,-0.57208754,-0.45774766,-0.27723317,-0.22426025,-0.11869277,-0.090760915,-0.016224763,0,0,0,0
112,-3.2019455,-2.7239719,-2.2696841,-2.0690663,-1.6755035,-1.3318228,-1.0006368,-0.81864333,-0.57381152,-0.45912709,-0.27806861,-0.22493605,-0.11905045,-0.091034423,-0.016273656,0,0,0,0
113,-3.2115656,-2.7321559,-2.2765033,-2.0752827,-1.6805375,-1.3358242,-1.0036431,-0.8211029,-0.57553551,-0.46050651,-0.27890406,-0.22561186,-0.11940813,-0.091307931,-0.01632255,0,0,0,0
114,-3.2211857,-2.7403399,-2.2833224,-2.0814991,-1.6855714,-1.3398256,-1.0066495,-0.82356247,-0.5772595,-0.46188594,-0.2797395,-0.22628767,-0.11976581,-0.09158144,-0.016371443,0,0,0,0
115,-3.2308058,-2.748524,-2.2901416,-2.0877155,-1.6906054,-1.343827,-1.0096559,-0.82602204,-0.57898349,-0.46326536,-0.28057494,-0.22696348,-0.12012349,-0.091854948,-0.016420337,0,0,0,0
116,-3.2404259,-2.756708,-2.2969607,-2.093932,-1.6956394,-1.3478284,-1.0126622,-0.82848162,-0.58070748,-0.46464478,-0.28141039,-0.22763929,-0.12048117,-0.092128457,-0.01646923,0,0,0,0
117,-3.250046,-2.764892,-2.3037799,-2.1001484,-1.7006733,-1.3518298,-1.0156686,-0.83094119,-0.58243146,-0.46602421,-0.28224583,-0.2283151,-0.12083885,-0.092401965,-0.016518123,0,0,0,0
118,-3.2596661,-2.7730761,-2.310599,-2.1063648,-1.7057073,-1.3558312,-1.0186749,-0.83340076,-0.58415545,-0.46740363,-0.28308127,-0.22899091,-0.12119653,-0.092675473,-0.016567017,0,0,0,0
