Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa)
36,-2.4708191,0,0,0,0,-0.12068307,-0.016034673,0,0,0,-0.91474671,-0.17164184,0,0,0,0,0,0,-0.016913427
37,-2.4804392,0,0,0,0,-0.12115295,-0.016097104,0,0,0,-0.91830826,-0.17231013,0,0,0,0,0,0,-0.016979279
38,-2.4900593,0,0,0,0,-0.12162282,-0.016159534,0,0,0,-0.9218698,-0.17297841,0,0,0,0,0,0,-0.017045132
39,-2.4996794,0,0,0,0,-0.1220927,-0.016221965,0,0,0,-0.92543135,-0.1736467,0,0,0,0,0,0,-0.017110984
40,-2.5092994,0,0,0,0,-0.12256258,-0.016284396,0,0,0,-0.9289929,-0.17431498,0,0,0,0,0,0,-0.017176836
41,-2.5189195,0,0,0,0,-0.12303245,-0.016346826,0,0,0,-0.93255445,-0.17498327,0,0,0,0,0,0,-0.017242688
42,-2.5285396,0,0,0,0,-0.12350233,-0.016409257,0,0,0,-0.936116,-0.17565155,0,0,0,0,0,0,-0.01730854
43,-2.5381597,0,0,0,0,-0.12397221,-0.016471688,0,0,0,-0.93967754,-0.17631983,0,0,0,0,0,0,-0.017374392
44,-2.5477798,0,0,0,0,-0.12444209,-0.016534119,0,0,0,-0.94323909,-0.17698812,0,0,0,0,0,0,-0.017440244
45,-2.5573999,0,0,0,0,-0.12491196,-0.016596549,0,0,0,-0.94680064,-0.1776564,0,0,0,0,0,0,-0.017506096
46,-2.56702,0,0,0,0,-0.12538184,-0.01665898,0,0,0,-0.95036219,-0.17832469,0,0,0,0,0,0,-0.017571948
47,-2.57664,0,0,0,0,-0.12585172,-0.016721411,0,0,0,-0.95392374,-0.17899297,0,0,0,0,0,0,-0.0176378
48,-2.5862601,0,0,0,0,-0.12632159,-0.016783841,0,0,0,-0.95748528,-0.17966125,0,0,0,0,0,0,-0.017703652
49,-2.5958802,0,0,0,0,-0.12679147,-0.016846272,0,0,0,-0.96104683,-0.18032954,0,0,0,0,0,0,-0.017769505
50,-2.6055003,0,0,0,0,-0.12726135,-0.016908703,0,0,0,-0.96460838,-0.18099782,0,0,0,0,0,0,-0.017835357
51,-2.6151204,0,0,0,0,-0.12773123,-0.016971133,0,0,0,-0.96816993,-0.18166611,0,0,0,0,0,0,-0.017901209
52,-2.6247405,0,0,0,0,-0.1282011,-0.017033564,0,0,0,-0.97173148,-0.18233439,0,0,0,0,0,0,-0.017967061
53,-2.6343605,0,0,0,0,-0.12867098,-0.017095995,0,0,0,-0.97529302,-0.18300267,0,0,0,0,0,0,-0.018032913
54,-2.6439806,0,0,0,0,-0.12914086,-0.017158425,0,0,0,-0.97885457,-0.18367096,0,0,0,0,0,0,-0.018098765
55,-2.6536007,0,0,0,0,-0.12961073,-0.017220856,0,0,0,-0.98241612,-0.18433924,0,0,0,0,0,0,-0.018164617
56,-2.6632208,0,0,0,0,-0.13008061,-0.017283287,0,0,0,-0.98597767,-0.18500753,0,0,0,0,0,0,-0.018230469
57,-2.6728409,0,0,0,0,-0.13055049,-0.017345717,0,0,0,-0.98953922,-0.18567581,0,0,0,0,0,0,-0.018296321
58,-2.682461,0,0,0,0,-0.13102037,-0.017408148,0,0,0,-0.99310076,-0.18634409,0,0,0,0,0,0,-0.018362173
59,-2.6920811,0,0,0,0,-0.13149024,-0.017470579,0,0,0,-0.99666231,-0.18701238,0,0,0,0,0,0,-0.018428025
60,-2.7017011,0,0,0,0,-0.13196012,-0.017533009,0,0,0,-1.0002239,-0.18768066,0,0,0,0,0,0,-0.018493878
61,-2.7113212,0,0,0,0,-0.13243,-0.01759544,0,0,0,-1.0037854,-0.18834895,0,0,0,0,0,0,-0.01855973
62,-2.7209413,0,0,0,0,-0.13289987,-0.017657871,0,0,0,-1.007347,-0.18901723,0,0,0,0,0,0,-0.018625582
63,-2.7305614,0,0,0,0,-0.13336975,-0.017720301,0,0,0,-1.0109085,-0.18968551,0,0,0,0,0,0,-0.018691434
64,-2.7401815,0,0,0,0,-0.13383963,-0.017782732,0,0,0,-1.0144701,-0.1903538,0,0,0,0,0,0,-0.018757286
65,-2.7498016,0,0,0,0,-0.1343095,-0.017845163,0,0,0,-1.0180316,-0.19102208,0,0,0,0,0,0,-0.018823138
66,-2.7594216,0,0,0,0,-0.13477938,-0.017907593,0,0,0,-1.0215931,-0.19169037,0,0,0,0,0,0,-0.01888899
67,-2.7690417,0,0,0,0,-0.13524926,-0.017970024,0,0,0,-1.0251547,-0.19235865,0,0,0,0,0,0,-0.018954842
68,-2.7786618,0,0,0,0,-0.13571914,-0.018032455,0,0,0,-1.0287162,-0.19302694,0,0,0,0,0,0,-0.019020694
69,-2.7882819,0,0,0,0,-0.13618901,-0.018094885,0,0,0,-1.0322778,-0.19369522,0,0,0,0,0,0,-0.019086546
70,-2.797902,0,0,0,0,-0.13665889,-0.018157316,0,0,0,-1.0358393,-0.1943635,0,0,0,0,0,0,-0.019152398
71,-2.8075221,0,0,0,0,-0.13712877,-0.018219747,0,0,0,-1.0394009,-0.19503179,0,0,0,0,0,0,-0.019218251
72,-2.8171422,0,0,0,0,-0.13759864,-0.018282178,0,0,0,-1.0429624,-0.19570007,0,0,0,0,0,0,-0.019284103
