Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
0,-78.291688,0,0,0,0,0,0,0,0,0,0,-0.2680026,-27.376408,-0.01810886,0,0,0,-0.53043774,0,0
1,-78.201142,0,0,0,0,0,0,0,0,0,0,-0.26769265,-27.344747,-0.018087917,0,0,0,-0.52982428,0,0
2,-78.110597,0,0,0,0,0,0,0,0,0,0,-0.2673827,-27.313086,-0.018066974,0,0,0,-0.52921082,0,0
3,-78.020051,0,0,0,0,0,0,0,0,0,0,-0.26707275,-27.281425,-0.01804603,0,0,0,-0.52859736,0,0
4,-77.929506,0,0,0,0,0,0,0,0,0,0,-0.26676281,-27.249763,-0.018025087,0,0,0,-0.5279839,0,0
5,-77.83896,0,0,0,0,0,0,0,0,0,0,-0.26645286,-27.218102,-0.018004144,0,0,0,-0.52737044,0,0
6,-77.748415,0,0,0,0,0,0,0,0,0,0,-0.26614291,-27.186441,-0.017983201,0,0,0,-0.52675698,0,0
7,-77.657869,0,0,0,0,0,0,0,0,0,0,-0.26583296,-27.15478,-0.017962258,0,0,0,-0.52614352,0,0
8,-77.567324,0,0,0,0,0,0,0,0,0,0,-0.26552301,-27.123119,-0.017941315,0,0,0,-0.52553007,0,0
9,-77.476779,0,0,0,0,0,0,0,0,0,0,-0.26521306,-27.091457,-0.017920371,0,0,0,-0.52491661,0,0
10,-77.386233,0,0,0,0,0,0,0,0,0,0,-0.26490311,-27.059796,-0.017899428,0,0,0,-0.52430315,0,0
11,-77.295688,0,0,0,0,0,0,0,0,0,0,-0.26459316,-27.028135,-0.017878485,0,0,0,-0.52368969,0,0
12,-77.205142,0,0,0,0,0,0,0,0,0,0,-0.26428321,-26.996474,-0.017857542,0,0,0,-0.52307623,0,0
13,-77.114597,0,0,0,0,0,0,0,0,0,0,-0.26397327,-26.964813,-0.017836599,0,0,0,-0.52246277,0,0
14,-77.024051,0,0,0,0,0,0,0,0,0,0,-0.26366332,-26.933151,-0.017815656,0,0,0,-0.52184931,0,0
15,-76.933506,0,0,0,0,0,0,0,0,0,0,-0.26335337,-26.90149,-0.017794713,0,0,0,-0.52123585,0,0
16,-76.84296,0,0,0,0,0,0,0,0,0,0,-0.26304342,-26.869829,-0.017773769,0,0,0,-0.52062239,0,0
17,-76.752415,0,0,0,0,0,0,0,0,0,0,-0.26273347,-26.838168,-0.017752826,0,0,0,-0.52000894,0,0
18,-76.66187,0,0,0,0,0,0,0,0,0,0,-0.26242352,-26.806507,-0.017731883,0,0,0,-0.51939548,0,0
19,-76.571324,0,0,0,0,0,0,0,0,0,0,-0.26211357,-26.774845,-0.01771094,0,0,0,-0.51878202,0,0
20,-76.480779,0,0,0,0,0,0,0,0,0,0,-0.26180362,-26.743184,-0.017689997,0,0,0,-0.51816856,0,0
21,-76.390233,0,0,0,0,0,0,0,0,0,0,-0.26149368,-26.711523,-0.017669054,0,0,0,-0.5175551,0,0
22,-76.299688,0,0,0,0,0,0,0,0,0,0,-0.26118373,-26.679862,-0.01764811,0,0,0,-0.51694164,0,0
23,-76.209142,0,0,0,0,0,0,0,0,0,0,-0.26087378,-26.648201,-0.017627167,0,0,0,-0.51632818,0,0
24,-76.118597,0,0,0,0,0,0,0,0,0,0,-0.26056383,-26.616539,-0.017606224,0,0,0,-0.51571472,0,0
25,-76.028051,0,0,0,0,0,0,0,0,0,0,-0.26025388,-26.584878,-0.017585281,0,0,0,-0.51510127,0,0
26,-75.937506,0,0,0,0,0,0,0,0,0,0,-0.25994393,-26.553217,-0.017564338,0,0,0,-0.51448781,0,0
27,-75.84696,0,0,0,0,0,0,0,0,0,0,-0.25963398,-26.521556,-0.017543395,0,0,0,-0.51387435,0,0
28,-75.756415,0,0,0,0,0,0,0,0,0,0,-0.25932403,-26.489894,-0.017522452,0,0,0,-0.51326089,0,0
29,-75.66587,0,0,0,0,0,0,0,0,0,0,-0.25901408,-26.458233,-0.017501508,0,0,0,-0.51264743,0,0
30,-75.575324,0,0,0,0,0,0,0,0,0,0,-0.25870414,-26.426572,-0.017480565,0,0,0,-0.51203397,0,0
31,-75.484779,0,0,0,0,0,0,0,0,0,0,-0.25839419,-26.394911,-0.017459622,0,0,0,-0.51142051,0,0
32,-75.394233,0,0,0,0,0,0,0,0,0,0,-0.25808424,-26.36325,-0.017438679,0,0,0,-0.51080705,0,0
33,-75.303688,0,0,0,0,0,0,0,0,0,0,-0.25777429,-26.331588,-0.017417736,0,0,0,-0.5101936,0,0
34,-75.213142,0,0,0,0,0,0,0,0,0,0,-0.25746434,-26.299927,-0.017396793,0,0,0,-0.50958014,0,0
35,-75.122597,0,0,0,0,0,0,0,0,0,0,-0.25715439,-26.268266,-0.017375849,0,0,0,-0.50896668,0,0
36,-75.032051,0,0,0,0,0,0,0,0,0,0,-0.25684444,-26.236605,-0.017354906,0,0,0,-0.50835322,0,0
37,-74.941506,0,0,0,0,0,0,0,0,0,0,-0.25653449,-26.204944,-0.017333963,0,0,0,-0.50773976,0,0
38,-74.85096,0,0,0,0,0,0,0,0,0,0,-0.25622455,-26.173282,-0.01731302,0,0,0,-0.5071263,0,0
39,-74.760415,0,0,0,0,0,0,0,0,0,0,-0.2559146,-26.141621,-0.017292077,0,0,0,-0.50651284,0,0
40,-74.66987,0,0,0,0,0,0,0,0,0,0,-0.25560465,-26.10996,-0.017271134,0,0,0,-0.50589938,0,0
41,-74.579324,0,0,0,0,0,0,0,0,0,0,-0.2552947,-26.078299,-0.017250191,0,0,0,-0.50528593,0,0
42,-74.488779,0,0,0,0,0,0,0,0,0,0,-0.25498475,-26.046638,-0.017229247,0,0,0,-0.50467247,0,0
43,-74.398233,0,0,0,0,0,0,0,0,0,0,-0.2546748,-26.014976,-0.017208304,0,0,0,-0.50405901,0,0
44,-74.307688,0,0,0,0,0,0,0,0,0,0,-0.25436485,-25.983315,-0.017187361,0,0,0,-0.50344555,0,0
45,-74.217142,0,0,0,0,0,0,0,0,0,0,-0.2540549,-25.951654,-0.017166418,0,0,0,-0.50283209,0,0
46,-74.126597,0,0,0,0,0,0,0,0,0,0,-0.25374495,-25.919993,-0.017145475,0,0,0,-0.50221863,0,0
