Time (ms),Stress at 0.00 mm (kPa),Stress at 0.25 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.06 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa)
0,-78.291688,-74.496502,-66.160164,-55.076644,-44.358706,-34.079626,-24.844345,-19.330553,-13.89888,-8.9983557,-5.7620151,-3.1572361,-1.1434866,0,0,0,0,0,0,0
1,-78.201142,-74.410345,-66.083649,-55.012947,-44.307404,-34.040212,-24.815613,-19.308197,-13.882805,-8.987949,-5.7553512,-3.1535847,-1.1421641,0,0,0,0,0,0,0
2,-78.110597,-74.324189,-66.007133,-54.94925,-44.256103,-34.000798,-24.78688,-19.285841,-13.866731,-8.9775423,-5.7486874,-3.1499334,-1.1408417,0,0,0,0,0,0,0
3,-78.020051,-74.238033,-65.930618,-54.885553,-44.204801,-33.961385,-24.758147,-19.263485,-13.850657,-8.9671355,-5.7420235,-3.146282,-1.1395192,0,0,0,0,0,0,0
4,-77.929506,-74.151877,-65.854103,-54.821856,-44.1535,-33.921971,-24.729414,-19.241128,-13.834583,-8.9567288,-5.7353596,-3.1426306,-1.1381967,0,0,0,0,0,0,0
5,-77.83896,-74.06572,-65.777588,-54.758159,-44.102198,-33.882558,-24.700681,-19.218772,-13.818508,-8.9463221,-5.7286958,-3.1389792,-1.1368743,0,0,0,0,0,0,0
6,-77.748415,-73.979564,-65.701073,-54.694462,-44.050897,-33.843144,-24.671948,-19.196416,-13.802434,-8.9359153,-5.7220319,-3.1353278,-1.1355518,0,0,0,0,0,0,0
7,-77.657869,-73.893408,-65.624557,-54.630765,-43.999595,-33.803731,-24.643216,-19.17406,-13.78636,-8.9255086,-5.7153681,-3.1316764,-1.1342294,0,0,0,0,0,0,0
8,-77.567324,-73.807251,-65.548042,-54.567068,-43.948294,-33.764317,-24.614483,-19.151704,-13.770286,-8.9151019,-5.7087042,-3.128025,-1.1329069,0,0,0,0,0,0,0
9,-77.476779,-73.721095,-65.471527,-54.503371,-43.896992,-33.724903,-24.58575,-19.129348,-13.754211,-8.9046952,-5.7020404,-3.1243736,-1.1315844,0,0,0,0,0,0,0
10,-77.386233,-73.634939,-65.395012,-54.439674,-43.845691,-33.68549,-24.557017,-19.106992,-13.738137,-8.8942884,-5.6953765,-3.1207222,-1.130262,0,0,0,0,0,0,0
11,-77.295688,-73.548783,-65.318497,-54.375978,-43.794389,-33.646076,-24.528284,-19.084636,-13.722063,-8.8838817,-5.6887127,-3.1170709,-1.1289395,0,0,0,0,0,0,0
12,-77.205142,-73.462626,-65.241982,-54.312281,-43.743088,-33.606663,-24.499551,-19.06228,-13.705989,-8.873475,-5.6820488,-3.1134195,-1.1276171,0,0,0,0,0,0,0
13,-77.114597,-73.37647,-65.165466,-54.248584,-43.691787,-33.567249,-24.470818,-19.039924,-13.689914,-8.8630683,-5.675385,-3.1097681,-1.1262946,0,0,0,0,0,0,0
14,-77.024051,-73.290314,-65.088951,-54.184887,-43.640485,-33.527836,-24.442086,-19.017568,-13.67384,-8.8526615,-5.6687211,-3.1061167,-1.1249722,0,0,0,0,0,0,0
15,-76.933506,-73.204158,-65.012436,-54.12119,-43.589184,-33.488422,-24.413353,-18.995212,-13.657766,-8.8422548,-5.6620573,-3.1024653,-1.1236497,0,0,0,0,0,0,0
16,-76.84296,-73.118001,-64.935921,-54.057493,-43.537882,-33.449008,-24.38462,-18.972856,-13.641692,-8.8318481,-5.6553934,-3.0988139,-1.1223272,0,0,0,0,0,0,0
17,-76.752415,-73.031845,-64.859406,-53.993796,-43.486581,-33.409595,-24.355887,-18.9505,-13.625617,-8.8214414,-5.6487296,-3.0951625,-1.1210048,0,0,0,0,0,0,0
18,-76.66187,-72.945689,-64.782891,-53.930099,-43.435279,-33.370181,-24.327154,-18.928144,-13.609543,-8.8110346,-5.6420657,-3.0915111,-1.1196823,0,0,0,0,0,0,0
19,-76.571324,-72.859533,-64.706375,-53.866402,-43.383978,-33.330768,-24.298421,-18.905788,-13.593469,-8.8006279,-5.6354019,-3.0878598,-1.1183599,0,0,0,0,0,0,0
20,-76.480779,-72.773376,-64.62986,-53.802705,-43.332676,-33.291354,-24.269689,-18.883432,-13.577395,-8.7902212,-5.628738,-3.0842084,-1.1170374,0,0,0,0,0,0,0
21,-76.390233,-72.68722,-64.553345,-53.739008,-43.281375,-33.251941,-24.240956,-18.861075,-13.56132,-8.7798145,-5.6220742,-3.080557,-1.1157149,0,0,0,0,0,0,0
22,-76.299688,-72.601064,-64.47683,-53.675311,-43.230073,-33.212527,-24.212223,-18.838719,-13.545246,-8.7694077,-5.6154103,-3.0769056,-1.1143925,0,0,0,0,0,0,0
23,-76.209142,-72.514907,-64.400315,-53.611614,-43.178772,-33.173113,-24.18349,-18.816363,-13.529172,-8.759001,-5.6087465,-3.0732542,-1.11307,0,0,0,0,0,0,0
24,-76.118597,-72.428751,-64.3238,-53.547918,-43.12747,-33.1337,-24.154757,-18.794007,-13.513098,-8.7485943,-5.6020826,-3.0696028,-1.1117476,0,0,0,0,0,0,0
25,-76.028051,-72.342595,-64.247284,-53.484221,-43.076169,-33.094286,-24.126024,-18.771651,-13.497023,-8.7381875,-5.5954187,-3.0659514,-1.1104251,0,0,0,0,0,0,0
26,-75.937506,-72.256439,-64.170769,-53.420524,-43.024867,-33.054873,-24.097292,-18.749295,-13.480949,-8.7277808,-5.5887549,-3.0623,-1.1091027,0,0,0,0,0,0,0
27,-75.84696,-72.170282,-64.094254,-53.356827,-42.973566,-33.015459,-24.068559,-18.726939,-13.464875,-8.7173741,-5.582091,-3.0586486,-1.1077802,0,0,0,0,0,0,0
28,-75.756415,-72.084126,-64.017739,-53.29313,-42.922264,-32.976046,-24.039826,-18.704583,-13.448801,-8.7069674,-5.5754272,-3.0549973,-1.1064577,0,0,0,0,0,0,0
29,-75.66587,-71.99797,-63.941224,-53.229433,-42.870963,-32.936632,-24.011093,-18.682227,-13.432726,-8.6965606,-5.5687633,-3.0513459,-1.1051353,0,0,0,0,0,0,0
30,-75.575324,-71.911814,-63.864709,-53.165736,-42.819661,-32.897218,-23.98236,-18.659871,-13.416652,-8.6861539,-5.5620995,-3.0476945,-1.1038128,0,0,0,0,0,0,0
31,-75.484779,-71.825657,-63.788193,-53.102039,-42.76836,-32.857805,-23.953627,-18.637515,-13.400578,-8.6757472,-5.5554356,-3.0440431,-1.1024904,0,0,0,0,0,0,0
32,-75.394233,-71.739501,-63.711678,-53.038342,-42.717058,-32.818391,-23.924895,-18.615159,-13.384503,-8.6653405,-5.5487718,-3.0403917,-1.1011679,0,0,0,0,0,0,0
33,-75.303688,-71.653345,-63.635163,-52.974645,-42.665757,-32.778978,-23.896162,-18.592803,-13.368429,-8.6549337,-5.5421079,-3.0367403,-1.0998454,0,0,0,0,0,0,0
34,-75.213142,-71.567189,-63.558648,-52.910948,-42.614456,-32.739564,-23.867429,-18.570447,-13.352355,-8.644527,-5.5354441,-3.0330889,-1.098523,0,0,0,0,0,0,0
35,-75.122597,-71.481032,-63.482133,-52.847251,-42.563154,-32.700151,-23.838696,-18.548091,-13.336281,-8.6341203,-5.5287802,-3.0294375,-1.0972005,0,0,0,0,0,0,0
36,-75.032051,-71.394876,-63.405618,-52.783554,-42.511853,-32.660737,-23.809963,-18.525735,-13.320206,-8.6237136,-5.5221164,-3.0257861,-1.0958781,0,0,0,0,0,0,0
37,-74.941506,-71.30872,-63.329102,-52.719858,-42.460551,-32.621323,-23.78123,-18.503379,-13.304132,-8.6133068,-5.5154525,-3.0221348,-1.0945556,0,0,0,0,0,0,0
38,-74.85096,-71.222564,-63.252587,-52.656161,-42.40925,-32.58191,-23.752498,-18.481022,-13.288058,-8.6029001,-5.5087887,-3.0184834,-1.0932331,0,0,0,0,0,0,0
39,-74.760415,-71.136407,-63.176072,-52.592464,-42.357948,-32.542496,-23.723765,-18.458666,-13.271984,-8.5924934,-5.5021248,-3.014832,-1.0919107,0,0,0,0,0,0,0
40,-74.66987,-71.050251,-63.099557,-52.528767,-42.306647,-32.503083,-23.695032,-18.43631,-13.255909,-8.5820867,-5.495461,-3.0111806,-1.0905882,0,0,0,0,0,0,0
41,-74.579324,-70.964095,-63.023042,-52.46507,-42.255345,-32.463669,-23.666299,-18.413954,-13.239835,-8.5716799,-5.4887971,-3.0075292,-1.0892658,0,0,0,0,0,0,0
42,-74.488779,-70.877938,-62.946527,-52.401373,-42.204044,-32.424256,-23.637566,-18.391598,-13.223761,-8.5612732,-5.4821333,-3.0038778,-1.0879433,0,0,0,0,0,0,0
