Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
0,0.227486,15.39818,-14.94321
5.005005,0.2441938,15.45129,-14.96291
10.01001,0.2609015,15.50449,-14.98269
15.01502,0.2776093,15.55778,-15.00256
20.02002,0.2943171,15.61115,-15.02251
25.02503,0.3110248,15.6646,-15.04255
30.03003,0.3277326,15.71813,-15.06267
35.03504,0.3444404,15.77175,-15.08287
40.04004,0.3611481,15.82545,-15.10315
45.04505,0.3778559,15.87923,-15.12352
50.05005,0.3945637,15.93309,-15.14396
55.05506,0.4112714,15.98703,-15.16448
60.06006,0.4279792,16.04104,-15.18509
65.06507,0.444687,16.09514,-15.20577
70.07007,0.4613947,16.14932,-15.22653
75.07508,0.4781025,16.20357,-15.24736
80.08008,0.4948103,16.2579,-15.26828
85.08509,0.511518,16.3123,-15.28926
90.09009,0.5282258,16.36678,-15.31033
95.0951,0.5449336,16.42134,-15.33147
100.1001,0.5616413,16.47597,-15.35269
105.1051,0.5783491,16.53067,-15.37397
110.1101,0.5950569,16.58545,-15.39534
115.1151,0.6117646,16.6403,-15.41677
120.1201,0.6284724,16.69523,-15.43828
125.1251,0.6485372,16.75231,-15.45523
130.1301,0.799528,16.89346,-15.29441
135.1351,0.9505188,17.03993,-15.13889
140.1401,1.104215,17.19933,-14.9909
145.1451,1.455572,17.57004,-14.6589
150.1502,1.828436,17.92934,-14.27247
155.1552,2.201299,18.28894,-13.88634
160.1602,2.574163,18.64886,-13.50053
165.1652,2.947027,19.00908,-13.11503
170.1702,3.319891,19.36962,-12.72984
175.1752,3.692754,19.73047,-12.34496
180.1802,4.065618,20.09163,-11.96039
185.1852,4.438482,20.4531,-11.57614
190.1902,4.811345,20.81489,-11.1922
195.1952,5.184209,21.17699,-10.80857
200.2002,5.557073,21.53941,-10.42526
205.2052,5.929937,21.90214,-10.04227
210.2102,6.3028,22.26519,-9.659587
215.2152,6.675664,22.62855,-9.277225
220.2202,7.048528,22.99224,-8.895181
