Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
0,0.08854613,3.539172,-3.36208
5.005005,0.6633719,4.047666,-2.720922
10.01001,1.238198,4.55779,-2.081394
15.01502,1.813023,5.069641,-1.443594
20.02002,2.387849,5.583323,-0.8076244
25.02503,2.962675,6.098941,-0.173591
30.03003,3.537501,6.616608,0.4583939
35.03504,4.112327,7.136439,1.088214
40.04004,4.687152,7.658555,1.71575
45.04505,5.261978,8.18308,2.340876
50.05005,5.836804,8.710139,2.963468
55.05506,6.41163,9.239862,3.583397
60.06006,6.986455,9.772378,4.200533
65.06507,7.561281,10.30782,4.814746
70.07007,8.136107,10.8463,5.425911
75.07508,8.710933,11.38796,6.033902
80.08008,9.285758,11.93292,6.6386
85.08509,9.860584,12.48128,7.239893
90.09009,10.43541,13.03314,7.837677
95.0951,11.01024,13.58861,8.431857
100.1001,11.58506,14.14777,9.022353
105.1051,12.15989,14.71068,9.609096
110.1101,12.73471,15.27739,10.19203
115.1151,13.30954,15.84795,10.77113
120.1201,13.88436,16.42237,11.34636
125.1251,14.46664,17.01523,11.91804
130.1301,15.33941,18.20909,12.46972
135.1351,16.21217,19.44958,12.97477
140.1401,17.09231,20.71632,13.4683
145.1451,18.46478,22.10137,14.82818
150.1502,19.88629,23.55455,16.21802
155.1552,21.30779,25.01005,17.60554
160.1602,22.7293,26.46779,18.99081
165.1652,24.15081,27.92773,20.37389
170.1702,25.57232,29.38978,21.75485
175.1752,26.99382,30.8539,23.13375
180.1802,28.41533,32.32,24.51067
185.1852,29.83684,33.78802,25.88566
190.1902,31.25835,35.25789,27.2588
195.1952,32.67986,36.72955,28.63016
200.2002,34.10136,38.20294,29.99979
205.2052,35.52287,39.67798,31.36776
210.2102,36.94438,41.15461,32.73415
215.2152,38.36589,42.63278,34.09899
220.2202,39.78739,44.11242,35.46237
225.2252,41.2089,45.59347,36.82433
230.2302,42.63041,47.07588,38.18494
235.2352,44.11852,48.68788,39.54917
240.2402,45.8099,50.71121,40.90859
245.2452,47.50128,52.76112,42.24144
250.2503,49.21923,54.84207,43.59639
255.2553,51.44211,57.11385,45.77038
260.2603,53.66499,59.38673,47.94326
265.2653,55.88788,61.6607,50.11505
270.2703,58.11076,63.93574,52.28578
275.2753,60.33364,66.2118,54.45548
280.2803,62.55652,68.48886,56.62418
285.2853,64.7794,70.7669,58.79191
290.2903,67.00228,73.04588,60.95869
295.2953,69.22517,75.32579,63.12454
300.3003,71.44805,77.6066,65.2895
305.3053,73.67093,79.88827,67.45359
310.3103,75.89381,82.1708,69.61683
315.3153,78.11669,84.45414,71.77924
320.3203,80.33958,86.73829,73.94086
325.3253,82.56246,89.02321,76.1017
330.3303,84.78534,91.30889,78.26179
335.3353,87.00822,93.5953,80.42114
340.3403,89.2311,95.88243,82.57978
345.3453,91.45398,98.17024,84.73773
350.3504,93.67687,100.4587,86.895
355.3554,95.89975,102.7479,89.05163
360.3604,98.23638,105.2513,91.22149
365.3654,100.8778,108.3651,93.39048
370.3704,103.5192,111.5302,95.50811
375.3754,106.2202,114.7578,97.68254
380.3804,109.6567,118.2556,101.0579
385.3854,113.0933,121.7534,104.4331
390.3904,116.5298,125.2514,107.8082
395.3954,119.9664,128.7496,111.1831
400.4004,123.4029,132.2479,114.5578
405.4054,126.8394,135.7464,117.9324
410.4104,130.276,139.245,121.3069
415.4154,133.7125,142.7438,124.6813
420.4204,137.1491,146.2427,128.0555
425.4254,140.5856,149.7417,131.4295
430.4304,144.0221,153.2408,134.8034
435.4354,147.4587,156.7401,138.1773
440.4404,150.8952,160.2395,141.5509
445.4454,154.3317,163.739,144.9245
450.4505,157.7683,167.2386,148.2979
455.4555,161.2048,170.7384,151.6713
460.4605,164.6414,174.2383,155.0445
465.4655,168.0779,177.7383,158.4176
470.4705,171.4574,181.1155,161.7993
475.4755,174.7785,184.3704,165.1865
480.4805,178.0995,187.6302,168.5688
485.4855,181.4274,190.8755,171.9793
490.4905,184.7715,194.0789,175.464
495.4955,188.1155,197.2863,178.9447
500.5005,191.4596,200.498,182.4212
505.5055,194.8036,203.714,185.8933
510.5105,198.1477,206.9347,189.3608
515.5155,201.4918,210.1601,192.8234
520.5205,204.8358,213.3905,196.2811
525.5255,208.1799,216.6262,199.7336
530.5305,211.524,219.8672,203.1807
535.5355,214.868,223.1138,206.6222
540.5405,218.2121,226.3662,210.058
545.5455,221.5562,229.6246,213.4877
550.5506,224.9002,232.8892,216.9112
555.5556,228.2443,236.1602,220.3283
560.5606,231.5883,239.4378,223.7389
565.5656,234.9324,242.722,227.1428
570.5706,238.2765,246.0132,230.5398
575.5756,241.6205,249.3113,233.9298
