Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
680.6807,194.9988,212.0267,177.9709
685.6857,196.8214,213.436,180.2067
690.6907,198.3325,214.6315,182.0334
695.6957,199.6484,215.8196,183.4772
700.7007,200.9644,217.0079,184.9209
705.7057,202.2803,218.1963,186.3643
710.7107,203.5963,219.385,187.8076
715.7157,204.9123,220.5738,189.2507
720.7207,206.2282,221.7629,190.6936
725.7257,207.5442,222.9521,192.1362
730.7307,208.8601,224.1415,193.5787
735.7357,210.1761,225.3312,195.021
740.7407,211.4921,226.5211,196.463
745.7457,212.808,227.7112,197.9049
750.7508,214.124,228.9015,199.3465
755.7558,215.4399,230.092,200.7878
760.7608,216.7559,231.2828,202.229
765.7658,218.0719,232.4739,203.6698
770.7708,219.2443,233.4589,205.0296
775.7758,220.4097,234.4375,206.3818
780.7808,221.5751,235.4199,207.7302
785.7858,222.7404,236.4064,209.0745
790.7908,223.9058,237.3971,210.4146
795.7958,225.0712,238.3921,211.7504
800.8008,225.8707,239.1802,212.5612
805.8058,226.5542,239.9046,213.2038
810.8108,227.2377,240.6321,213.8433
815.8158,227.9212,241.3627,214.4797
820.8208,228.6047,242.0964,215.1131
825.8258,229.2882,242.833,215.7435
830.8308,229.9717,243.5726,216.3709
835.8358,230.6553,244.3151,216.9955
840.8408,231.3388,245.0605,217.6171
845.8458,232.0223,245.8087,218.2359
850.8509,232.7058,246.5597,218.8518
855.8559,233.3893,247.3136,219.465
860.8609,234.0728,248.0701,220.0755
865.8659,234.7563,248.8293,220.6833
870.8709,235.4398,249.5912,221.2885
875.8759,236.0904,250.3005,221.8802
880.8809,236.5856,250.752,222.4191
885.8859,237.0807,251.2053,222.9562
890.8909,237.5759,251.6602,223.4916
895.8959,238.0711,252.117,224.0252
900.9009,238.5662,252.5755,224.557
905.9059,239.0614,253.0358,225.0871
910.9109,239.3536,253.354,225.3531
915.9159,239.615,253.6939,225.5361
920.9209,239.8764,254.0339,225.7189
925.9259,240.1378,254.3741,225.9016
930.9309,240.3992,254.7144,226.0841
935.9359,240.6607,255.0549,226.2664
940.9409,240.9221,255.3955,226.4487
945.9459,241.1835,255.7363,226.6307
950.951,241.4449,256.0772,226.8126
955.956,241.7063,256.4183,226.9944
960.961,241.9678,256.7594,227.1761
965.966,242.2292,257.1008,227.3576
970.971,242.4906,257.4422,227.539
975.976,242.752,257.7838,227.7202
980.981,243.0134,258.1255,227.9014
985.986,243.257,258.4382,228.0758
990.991,243.4277,258.6326,228.2228
995.996,243.5984,258.8279,228.3689
1001.001,243.7691,259.0243,228.5139
1006.006,243.9398,259.2217,228.6579
1011.011,244.1105,259.4202,228.8009
1016.016,244.281,259.6192,228.9428
1021.021,244.3724,259.7005,229.0444
1026.026,244.4639,259.7818,229.146
1031.031,244.5553,259.8632,229.2475
1036.036,244.6468,259.9446,229.3489
1041.041,244.7382,260.0261,229.4503
1046.046,244.8297,260.1077,229.5516
1051.051,244.9211,260.1894,229.6529
1056.056,245.0126,260.2711,229.7541
1061.061,245.104,260.3529,229.8552
1066.066,245.1955,260.4347,229.9563
1071.071,245.2869,260.5166,230.0573
1076.076,245.3784,260.5986,230.1582
1081.081,245.4699,260.6806,230.2591
1086.086,245.5613,260.7628,230.3599
1091.091,245.6528,260.8449,230.4606
1096.096,245.7356,260.9145,230.5567
1101.101,245.8065,260.9666,230.6464
1106.106,245.8774,261.0191,230.7357
1111.111,245.9483,261.0719,230.8247
1116.116,246.0192,261.1251,230.9134
1121.121,246.0901,261.1786,231.0017
1126.126,246.1627,261.2309,231.0946
1131.131,246.2412,261.2785,231.2039
1136.136,246.3197,261.3265,231.3129
1141.141,246.3972,261.3723,231.422
1146.146,246.4391,261.3307,231.5475
1151.151,246.481,261.2892,231.6729
1156.156,246.523,261.2477,231.7982
1161.161,246.5649,261.2063,231.9235
1166.166,246.6068,261.1649,232.0487
1171.171,246.6487,261.1236,232.1739
1176.176,246.6907,261.0824,232.299
1181.181,246.7326,261.0412,232.424
1186.186,246.7745,261.0001,232.549
1191.191,246.8165,260.959,232.6739
1196.196,246.8584,260.918,232.7988
1201.201,246.9003,260.8771,232.9236
1206.206,246.9345,260.8259,233.0432
1211.211,246.9589,260.7617,233.1561
1216.216,246.9833,260.6979,233.2687
1221.221,247.0077,260.6344,233.3809
1226.226,247.0321,260.5712,233.4929
1231.231,247.0565,260.5084,233.6045
1236.236,247.0807,260.446,233.7153
1241.241,247.1044,260.3844,233.8243
1246.246,247.1281,260.3231,233.933
1251.251,247.1488,260.2546,234.043
1256.256,247.1605,260.1634,234.1576
1261.261,247.1723,260.0724,234.2721
1266.266,247.184,259.9817,234.3863
1271.271,247.1958,259.8912,234.5003
1276.276,247.2075,259.801,234.614
1281.281,247.2193,259.711,234.7275
1286.286,247.231,259.6212,234.8408
1291.291,247.2427,259.5318,234.9537
1296.296,247.2545,259.4426,235.0664
1301.301,247.2662,259.3536,235.1789
1306.306,247.278,259.265,235.291
1311.311,247.2897,259.1766,235.4029
1316.316,247.2823,259.0668,235.4978
1321.321,247.2651,258.947,235.5833
1326.326,247.248,258.8283,235.6676
1331.331,247.2308,258.7109,235.7507
1336.336,247.2136,258.5947,235.8326
1341.341,247.1964,258.4798,235.9131
1346.346,247.1705,258.3723,235.9686
1351.351,247.1346,258.273,235.9962
1356.356,247.0987,258.1746,236.0228
1361.361,247.0638,258.0799,236.0476
1366.366,247.0299,257.9893,236.0706
1371.371,246.9961,257.8997,236.0925
1376.376,246.9623,257.8113,236.1133
1381.381,246.9285,257.7239,236.133
1386.386,246.8947,257.6377,236.1516
1391.391,246.8608,257.5527,236.169
1396.396,246.827,257.4688,236.1852
1401.401,246.7932,257.3861,236.2003
1406.406,246.7594,257.3047,236.2141
1411.411,246.7256,257.2244,236.2267
1416.416,246.6917,257.1454,236.2381
1421.421,246.6579,257.0676,236.2482
1426.426,246.6182,256.987,236.2493
1431.431,246.5776,256.9075,236.2478
1436.436,246.5371,256.8295,236.2447
1441.441,246.4966,256.7532,236.2399
1446.446,246.4561,256.6786,236.2336
1451.451,246.4155,256.6056,236.2255
1456.456,246.375,256.5342,236.2158
1461.461,246.3345,256.4646,236.2044
1466.466,246.294,256.3967,236.1913
1471.471,246.2578,256.3464,236.1692
1476.476,246.2261,256.3144,236.1379
1481.481,246.1944,256.2841,236.1048
1486.486,246.1627,256.2556,236.0699
1491.491,246.131,256.2289,236.0332
1496.496,246.0993,256.204,235.9947
1501.502,246.0676,256.1809,235.9544
1506.507,246.0359,256.1595,235.9124
1511.512,246.0042,256.1399,235.8686
1516.517,245.9726,256.1221,235.823
1521.522,245.9409,256.1061,235.7757
1526.527,245.9092,256.0917,235.7266
1531.532,245.8775,256.0792,235.6757
1536.537,245.8632,256.071,235.6554
1541.542,245.8507,256.0641,235.6373
1546.547,245.8382,256.0582,235.6183
1551.552,245.8258,256.0532,235.5983
1556.557,245.8133,256.0492,235.5774
1561.562,245.8008,256.0461,235.5556
1566.567,245.7884,256.0439,235.5328
1571.572,245.7759,256.0427,235.5091
1576.577,245.7634,256.0424,235.4844
1581.582,245.7531,256.0499,235.4563
1586.587,245.7436,256.0609,235.4263
1591.592,245.7341,256.0728,235.3954
1596.597,245.7246,256.0857,235.3636
1601.602,245.7151,256.0994,235.3309
1606.607,245.7057,256.1141,235.2973
1611.612,245.6962,256.1296,235.2627
1616.617,245.6867,256.1461,235.2273
1621.622,245.6772,256.1634,235.191
1626.627,245.6677,256.1816,235.1539
1631.632,245.6582,256.2006,235.1159
1636.637,245.6488,256.2205,235.077
1641.642,245.6425,256.2407,235.0443
1646.647,245.6583,256.2577,235.059
1651.652,245.6741,256.2749,235.0734
1656.657,245.69,256.2924,235.0875
1661.662,245.7058,256.3101,235.1014
1666.667,245.7216,256.3282,235.115
1671.672,245.7374,256.3465,235.1282
1676.677,245.7532,256.3652,235.1412
1681.682,245.769,256.3841,235.154
1686.687,245.7848,256.4033,235.1664
1691.692,245.7908,256.4196,235.1619
1696.697,245.7932,256.4349,235.1515
1701.702,245.7956,256.4503,235.1409
1706.707,245.7871,256.4336,235.1405
1711.712,245.7747,256.4057,235.1436
1716.717,245.7623,256.378,235.1466
1721.722,245.7498,256.3503,235.1494
1726.727,245.7374,256.3228,235.1521
1731.732,245.725,256.2954,235.1547
1736.737,245.7126,256.2681,235.1571
1741.742,245.7002,256.2409,235.1595
1746.747,245.6878,256.2139,235.1617
1751.752,245.6786,256.1859,235.1713
1756.757,245.6755,256.1562,235.1948
1761.762,245.6724,256.1265,235.2183
1766.767,245.6693,256.0969,235.2416
1771.772,245.6662,256.0673,235.265
1776.777,245.663,256.0378,235.2883
1781.782,245.6599,256.0083,235.3115
1786.787,245.6568,255.9789,235.3347
1791.792,245.6537,255.9495,235.3579
1796.797,245.6506,255.9202,235.381
1801.802,245.6234,255.8807,235.3662
1806.807,245.5953,255.8408,235.3497
1811.812,245.5671,255.801,235.3333
1816.817,245.539,255.7612,235.3167
1821.822,245.5108,255.7215,235.3001
1826.827,245.4827,255.6819,235.2834
1831.832,245.4545,255.6424,235.2667
1836.837,245.4264,255.6029,235.2499
1841.842,245.3983,255.5635,235.233
1846.847,245.3701,255.5241,235.2161
1851.852,245.342,255.4848,235.1991
1856.857,245.3139,255.4456,235.1821
1861.862,245.289,255.4055,235.1726
1866.867,245.2698,255.3638,235.1758
1871.872,245.2506,255.3223,235.1788
1876.877,245.2313,255.281,235.1817
1881.882,245.2121,255.2398,235.1844
1886.887,245.1929,255.1987,235.187
1891.892,245.1736,255.1578,235.1895
1896.897,245.1544,255.117,235.1918
1901.902,245.1352,255.0764,235.1939
1906.907,245.1159,255.0359,235.196
1911.912,245.0716,254.9883,235.1549
1916.917,245.0267,254.9412,235.1123
1921.922,244.9819,254.8948,235.0689
1926.927,244.937,254.8492,235.0249
1931.932,244.8922,254.8044,234.98
1936.937,244.8474,254.7603,234.9345
1941.942,244.8025,254.7169,234.8882
1946.947,244.7577,254.6742,234.8411
1951.952,244.7128,254.6323,234.7934
1956.957,244.668,254.5911,234.7449
1961.962,244.6231,254.5507,234.6956
1966.967,244.5783,254.5109,234.6457
1971.972,244.5374,254.4934,234.5814
1976.977,244.4992,254.4912,234.5072
1981.982,244.461,254.4896,234.4324
1986.987,244.4228,254.4885,234.357
1991.992,244.3846,254.4881,234.281
1996.997,244.3463,254.4882,234.2045
2002.002,244.3081,254.4889,234.1274
2007.007,244.2699,254.4902,234.0497
2012.012,244.2317,254.492,233.9714
2017.017,244.1935,254.4943,233.8927
2022.022,244.1553,254.4972,233.8133
2027.027,244.1171,254.5007,233.7335
2032.032,244.0788,254.5047,233.6529
2037.037,244.0278,254.5099,233.5456
2042.042,243.9768,254.5161,233.4375
2047.047,243.9258,254.523,233.3285
2052.052,243.8747,254.5308,233.2187
2057.057,243.8237,254.5394,233.108
2062.062,243.7727,254.5489,232.9966
2067.067,243.7217,254.5591,232.8844
2072.072,243.6707,254.57,232.7714
2077.077,243.6197,254.5817,232.6577
2082.082,243.5866,254.6471,232.5262
2087.087,243.5576,254.725,232.3903
2092.092,243.5286,254.8035,232.2538
2097.097,243.4911,254.8803,232.102
2102.102,243.4484,254.9559,231.9408
2107.107,243.4056,255.0319,231.7794
2112.112,243.3629,255.108,231.6177
2117.117,243.3201,255.1845,231.4558
2122.122,243.2774,255.2612,231.2936
2127.127,243.2347,255.3382,231.1312
2132.132,243.1919,255.4153,230.9685
2137.137,243.1492,255.4928,230.8055
2142.142,243.1065,255.5704,230.6427
2147.147,243.0643,255.6481,230.4804
2152.152,243.022,255.7261,230.318
2157.157,242.9798,255.8042,230.1554
2162.162,242.9375,255.8825,229.9926
2167.167,242.8953,255.961,229.8296
2172.172,242.8531,256.0398,229.6664
2177.177,242.8108,256.1186,229.503
2182.182,242.7686,256.1977,229.3394
2187.187,242.7263,256.2768,229.1757
2192.192,242.6829,256.3529,229.0129
2197.197,242.6395,256.4292,228.8499
2202.202,242.5961,256.5056,228.6867
2207.207,242.5439,256.5782,228.5095
2212.212,242.4866,256.6487,228.3245
2217.217,242.4294,256.7192,228.1395
2222.222,242.3721,256.7897,227.9545
2227.227,242.3149,256.8603,227.7695
2232.232,242.2576,256.9309,227.5844
2237.237,242.2004,257.0015,227.3993
2242.242,242.1431,257.0721,227.2141
2247.247,242.0859,257.1428,227.029
2252.252,242.0343,257.2114,226.8572
2257.257,241.9896,257.2775,226.7017
2262.262,241.9449,257.3436,226.5462
2267.267,241.9002,257.4097,226.3907
2272.272,241.8555,257.4758,226.2352
2277.277,241.8108,257.5419,226.0796
2282.282,241.7661,257.608,225.9241
2287.287,241.7214,257.6741,225.7686
2292.292,241.6767,257.7402,225.6131
2297.297,241.631,257.8034,225.4585
2302.302,241.5694,257.8207,225.3182
2307.307,241.5079,257.838,225.1778
2312.312,241.4464,257.8554,225.0374
2317.317,241.3796,257.8702,224.8889
2322.322,241.3119,257.8846,224.7391
2327.327,241.2442,257.8991,224.5893
2332.332,241.1765,257.9135,224.4394
2337.337,241.1088,257.9279,224.2896
2342.342,241.0411,257.9424,224.1398
2347.347,240.9734,257.9568,223.99
2352.352,240.9057,257.9712,223.8402
2357.357,240.838,257.9857,223.6903
2362.362,240.7771,257.9976,223.5566
2367.367,240.7239,258.0068,223.4409
2372.372,240.6706,258.016,223.3252
2377.377,240.6174,258.0252,223.2095
2382.382,240.5641,258.0345,223.0937
2387.387,240.5109,258.0438,222.9779
2392.392,240.4576,258.0531,222.8621
2397.397,240.4043,258.0625,222.7462
2402.402,240.3511,258.0718,222.6303
2407.407,240.2926,258.066,222.5192
2412.412,240.2206,258.021,222.4202
2417.417,240.1486,257.9761,222.3212
2422.422,240.0775,257.9315,222.2235
2427.427,240.0156,257.891,222.1401
2432.432,239.9536,257.8505,222.0568
2437.437,239.8917,257.81,221.9734
2442.442,239.8298,257.7695,221.89
2447.447,239.7678,257.729,221.8066
2452.452,239.7059,257.6885,221.7233
2457.457,239.6439,257.648,221.6399
2462.462,239.582,257.6075,221.5565
2467.467,239.52,257.567,221.4731
2472.472,239.4581,257.5265,221.3897
2477.477,239.3962,257.486,221.3063
2482.482,239.3342,257.4455,221.2229
2487.487,239.2787,257.4027,221.1547
2492.492,239.2297,257.3577,221.1017
2497.497,239.1807,257.3127,221.0487
2502.503,239.1317,257.2677,220.9957
2507.508,239.0827,257.2226,220.9427
2512.513,239.0337,257.1776,220.8897
2517.518,238.9806,257.121,220.8403
2522.523,238.9184,257.0374,220.7993
2527.528,238.8561,256.9539,220.7583
2532.533,238.7979,256.8722,220.7236
2537.538,238.7735,256.8053,220.7417
2542.543,238.7491,256.7387,220.7595
2547.548,238.7247,256.6723,220.7771
2552.553,238.7003,256.6061,220.7944
2557.558,238.6759,256.5402,220.8116
2562.563,238.6515,256.4745,220.8284
2567.568,238.6271,256.409,220.8451
2572.573,238.6026,256.3438,220.8615
2577.578,238.5782,256.2788,220.8777
2582.583,238.5538,256.2141,220.8936
2587.588,238.5294,256.1496,220.9093
2592.593,238.505,256.0853,220.9247
2597.598,238.4982,256.0141,220.9822
2602.603,238.4982,255.9402,221.0562
2607.608,238.4982,255.8663,221.1301
2612.613,238.4982,255.7925,221.2039
2617.618,238.4983,255.7188,221.2777
2622.623,238.4983,255.6451,221.3514
2627.628,238.504,255.5879,221.4201
2632.633,238.5148,255.5456,221.4841
2637.638,238.5257,255.5033,221.5482
2642.643,238.5449,255.4656,221.6242
2647.648,238.5812,255.4377,221.7246
2652.653,238.6174,255.4102,221.8247
2657.658,238.6537,255.383,221.9244
2662.663,238.69,255.3562,222.0237
2667.668,238.7262,255.3297,222.1227
2672.673,238.7625,255.3036,222.2214
2677.678,238.7987,255.2778,222.3196
2682.683,238.835,255.2525,222.4175
2687.688,238.8713,255.2275,222.515
2692.693,238.9075,255.2029,222.6122
2697.698,238.9438,255.1786,222.7089
2702.703,238.98,255.1548,222.8053
