Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
0,-5.65279,-1.816444,-9.489135
5.005005,-5.70517,-1.872923,-9.537417
10.01001,-5.75755,-1.929316,-9.585785
15.01502,-5.80993,-1.985621,-9.634239
20.02002,-5.86231,-2.04184,-9.682781
25.02503,-5.91469,-2.097971,-9.73141
30.03003,-5.967071,-2.154015,-9.780127
35.03504,-6.019451,-2.20997,-9.828931
40.04004,-6.071831,-2.265838,-9.877824
45.04505,-6.124211,-2.321617,-9.926805
50.05005,-6.176591,-2.377308,-9.975874
55.05506,-6.228971,-2.43291,-10.02503
60.06006,-6.281351,-2.488423,-10.07428
65.06507,-6.333732,-2.543847,-10.12362
70.07007,-6.386112,-2.599181,-10.17304
75.07508,-6.438492,-2.654425,-10.22256
80.08008,-6.490872,-2.70958,-10.27216
85.08509,-6.543252,-2.764644,-10.32186
90.09009,-6.595632,-2.819619,-10.37165
95.0951,-6.648012,-2.874502,-10.42152
100.1001,-6.700392,-2.929295,-10.47149
105.1051,-6.752773,-2.983998,-10.52155
110.1101,-6.805153,-3.038609,-10.5717
115.1151,-6.857533,-3.093129,-10.62194
120.1201,-6.909913,-3.147558,-10.67227
125.1251,-6.961686,-3.200561,-10.72281
130.1301,-6.989793,-3.201265,-10.77832
135.1351,-7.0179,-3.201612,-10.83419
140.1401,-7.046006,-3.201612,-10.8904
145.1451,-7.06695,-3.197355,-10.93655
150.1502,-7.086408,-3.192166,-10.98065
155.1552,-7.105867,-3.186881,-11.02485
160.1602,-7.125325,-3.1815,-11.06915
165.1652,-7.144783,-3.176027,-11.11354
170.1702,-7.164241,-3.170462,-11.15802
175.1752,-7.183699,-3.164807,-11.20259
180.1802,-7.203157,-3.159064,-11.24725
185.1852,-7.222615,-3.153235,-11.292
190.1902,-7.242074,-3.147321,-11.33683
195.1952,-7.261532,-3.141324,-11.38174
200.2002,-7.28099,-3.135245,-11.42674
205.2052,-7.300448,-3.129085,-11.47181
210.2102,-7.319906,-3.122847,-11.51697
215.2152,-7.339364,-3.116532,-11.5622
220.2202,-7.358822,-3.110141,-11.6075
225.2252,-7.378281,-3.103675,-11.65289
230.2302,-7.397739,-3.097136,-11.69834
235.2352,-7.352176,-2.96298,-11.74137
240.2402,-7.108187,-2.433906,-11.78247
245.2452,-6.864198,-1.896941,-11.83146
250.2503,-6.616437,-1.352775,-11.8801
255.2553,-6.297008,-0.7938173,-11.8002
260.2603,-5.977579,-0.2346355,-11.72052
265.2653,-5.658151,0.3247437,-11.64105
270.2703,-5.338722,0.8842976,-11.56174
275.2753,-5.019293,1.444007,-11.48259
280.2803,-4.699864,2.003854,-11.40358
285.2853,-4.380436,2.563826,-11.3247
290.2903,-4.061007,3.123909,-11.24592
295.2953,-3.741578,3.684093,-11.16725
300.3003,-3.422149,4.244368,-11.08867
305.3053,-3.10272,4.804726,-11.01017
310.3103,-2.783292,5.36516,-10.93174
315.3153,-2.463863,5.925663,-10.85339
320.3203,-2.144434,6.486229,-10.7751
325.3253,-1.825005,7.046853,-10.69686
330.3303,-1.505576,7.607531,-10.61868
335.3353,-1.186148,8.168258,-10.54055
340.3403,-0.8667189,8.72903,-10.46247
345.3453,-0.4004712,9.544253,-10.3452
350.3504,0.4651032,11.06137,-10.13116
355.3554,1.330678,12.59206,-9.930702
360.3604,2.261146,14.12528,-9.602991
365.3654,3.36547,15.6388,-8.907864
370.3704,4.469795,17.15245,-8.212863
375.3754,5.574119,18.66621,-7.517975
380.3804,6.678444,20.18008,-6.823192
385.3854,7.782768,21.69404,-6.128503
390.3904,8.887093,23.20809,-5.433901
395.3954,9.991418,24.72221,-4.739377
400.4004,11.09574,26.23641,-4.044927
405.4054,12.20007,27.75068,-3.350544
410.4104,13.30439,29.26501,-2.656223
415.4154,14.40872,30.77939,-1.961959
420.4204,15.51304,32.29383,-1.267748
425.4254,16.61736,33.80832,-0.573586
430.4304,17.72169,35.32285,0.1205298
435.4354,18.82601,36.83742,0.814603
440.4404,19.93034,38.35204,1.508636
445.4454,21.03466,39.86669,2.202632
450.4505,22.13899,41.38138,2.896594
455.4555,23.54753,43.31993,3.775131
460.4605,25.27196,45.70917,4.834747
465.4655,26.99639,48.11154,5.881249
470.4705,28.82866,50.50438,7.152947
475.4755,30.92017,52.84992,8.990417
480.4805,33.01167,55.19575,10.8276
485.4855,35.10318,57.54186,12.6645
490.4905,37.19468,59.88823,14.50113
495.4955,39.28619,62.23487,16.3375
500.5005,41.37769,64.58177,18.17362
505.5055,43.4692,66.9289,20.00949
510.5105,45.5607,69.27628,21.84512
515.5155,47.6522,71.62388,23.68053
520.5205,49.74371,73.9717,25.51571
525.5255,51.83521,76.31974,27.35068
530.5305,53.92672,78.66799,29.18545
535.5355,56.01822,81.01644,31.02001
540.5405,58.10973,83.36508,32.85437
545.5455,60.20123,85.71392,34.68855
550.5506,62.29274,88.06294,36.52254
555.5556,64.38424,90.41213,38.35635
560.5606,66.47575,92.7615,40.18999
565.5656,68.74465,95.13879,42.35051
570.5706,71.18224,97.55104,44.81344
575.5756,73.61982,99.97457,47.26508
580.5806,76.38739,102.8339,49.94088
585.5856,79.46499,106.0949,52.83508
590.5906,82.54259,109.356,55.72917
595.5956,85.62018,112.6172,58.62315
600.6006,88.69778,115.8785,61.51702
605.6056,91.77538,119.14,64.41078
610.6106,94.85298,122.4015,67.30444
615.6156,97.93058,125.6632,70.198
620.6206,101.0082,128.9249,73.09145
625.6256,104.0858,132.1867,75.98481
630.6306,107.1634,135.4487,78.87807
635.6356,110.241,138.7107,81.77124
640.6406,113.3186,141.9728,84.66432
645.6456,116.3962,145.235,87.5573
650.6507,119.4738,148.4973,90.45019
655.6557,122.5514,151.7597,93.343
660.6607,125.629,155.0222,96.23572
665.6657,128.7066,158.2847,99.12836
670.6707,131.7842,161.5474,102.0209
675.6757,134.9179,164.8212,105.0146
680.6807,138.0719,168.0992,108.0445
685.6857,141.2259,171.3775,111.0743
690.6907,144.341,174.4135,114.2685
695.6957,147.402,177.2444,117.5597
700.7007,150.463,180.0753,120.8507
705.7057,153.524,182.9063,124.1418
710.7107,156.5851,185.7373,127.4328
715.7157,159.6461,188.5683,130.7238
720.7207,162.7071,191.3994,134.0148
725.7257,165.7681,194.2305,137.3057
730.7307,168.8291,197.0616,140.5966
735.7357,171.8901,199.8928,143.8874
740.7407,174.9511,202.724,147.1782
745.7457,178.0121,205.5553,150.469
750.7508,181.0731,208.3866,153.7597
755.7558,184.1341,211.2179,157.0504
760.7608,187.1952,214.0493,160.341
765.7658,190.2562,216.8807,163.6316
770.7708,193.3172,219.7121,166.9222
775.7758,196.3782,222.5437,170.2127
780.7808,199.4392,225.3752,173.5032
785.7858,202.2489,228.1471,176.3506
790.7908,205.047,230.9237,179.1703
795.7958,207.8452,233.7078,181.9826
800.8008,210.0657,235.3723,184.759
805.8058,212.1031,236.6807,187.5255
810.8108,214.1406,237.9892,190.292
815.8158,216.1781,239.2978,193.0584
820.8208,218.2156,240.6064,195.8247
825.8258,220.2531,241.9152,198.5909
830.8308,222.2905,243.224,201.357
835.8358,224.328,244.533,204.123
840.8408,226.3655,245.8421,206.8889
845.8458,228.403,247.1513,209.6547
850.8509,230.4404,248.4607,212.4202
855.8559,232.4779,249.7702,215.1856
860.8609,234.5154,251.08,217.9508
865.8659,236.5529,252.39,220.7158
870.8709,238.5904,253.7002,223.4805
875.8759,240.6278,255.0108,226.2449
880.8809,242.6653,256.3217,229.0089
885.8859,244.7028,257.633,231.7726
890.8909,246.7403,258.9448,234.5357
895.8959,248.4202,260.1768,236.6635
900.9009,250.0921,261.4374,238.7467
905.9059,251.764,262.7323,240.7956
910.9109,253.0587,264.0249,242.0926
915.9159,254.3462,265.317,243.3755
920.9209,255.6338,266.6092,244.6583
925.9259,256.9213,267.9014,245.9411
930.9309,258.2088,269.1936,247.2239
935.9359,259.4963,270.4859,248.5067
940.9409,260.661,271.4147,249.9073
945.9459,261.7396,272.0885,251.3907
950.951,262.8181,272.7623,252.874
955.956,263.8967,273.4361,254.3573
960.961,264.9752,274.1099,255.8406
965.966,266.0538,274.7837,257.3238
970.971,267.1323,275.4576,258.8071
975.976,268.2109,276.1315,260.2903
980.981,269.2895,276.8054,261.7735
985.986,270.368,277.4793,263.2567
990.991,271.4466,278.1533,264.7399
995.996,272.5251,278.8273,266.223
1001.001,273.5498,279.5001,267.5995
1006.006,274.3591,280.1883,268.5299
1011.011,275.1684,280.9115,269.4253
1016.016,275.9768,281.6709,270.2827
1021.021,276.5093,282.3237,270.6949
1026.026,277.0417,282.977,271.1065
1031.031,277.5742,283.6309,271.5175
1036.036,278.1067,284.2853,271.9281
1041.041,278.6392,284.9402,272.3382
1046.046,279.1717,285.5955,272.7478
1051.051,279.5661,285.847,273.2851
1056.056,279.9279,286.0034,273.8525
1061.061,280.2898,286.1598,274.4198
1066.066,280.6517,286.3163,274.9872
1071.071,281.0136,286.4727,275.5545
1076.076,281.3755,286.6292,276.1218
1081.081,281.7374,286.7858,276.689
1086.086,282.0993,286.9423,277.2562
1091.091,282.4612,287.0989,277.8234
1096.096,282.823,287.2555,278.3906
1101.101,283.1849,287.4122,278.9577
1106.106,283.5468,287.5689,279.5247
1111.111,283.8533,287.7446,279.962
