Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.46 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.25 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.85 mm (kPa)
0,-2.5273078,-2.3683524,-2.2289129,-2.0724811,-1.9030883,-1.6772929,-1.5095581,-1.3158033,-1.1155277,-0.97635859,-0.78654367,-0.63060874,-0.46598583,-0.34650005,-0.18458545,0,0,0,0,0,0,0,0,0,0
1,-2.4847144,-2.3284379,-2.1913484,-2.037553,-1.871015,-1.649025,-1.4841171,-1.2936277,-1.0967274,-0.95990374,-0.77328782,-0.61998091,-0.45813243,-0.34066038,-0.18147458,0,0,0,0,0,0,0,0,0,0
2,-2.4421209,-2.2885234,-2.1537839,-2.0026249,-1.8389417,-1.6207571,-1.4586761,-1.2714521,-1.077927,-0.94344888,-0.76003196,-0.60935307,-0.45027903,-0.33482071,-0.1783637,0,0,0,0,0,0,0,0,0,0
3,-2.3995274,-2.2486088,-2.1162194,-1.9676967,-1.8068684,-1.5924892,-1.4332351,-1.2492765,-1.0591267,-0.92699402,-0.74677611,-0.59872524,-0.44242564,-0.32898105,-0.17525283,0,0,0,0,0,0,0,0,0,0
4,-2.356934,-2.2086943,-2.0786548,-1.9327686,-1.7747951,-1.5642213,-1.407794,-1.2271008,-1.0403264,-0.91053916,-0.73352026,-0.5880974,-0.43457224,-0.32314138,-0.17214196,0,0,0,0,0,0,0,0,0,0
5,-2.3143405,-2.1687797,-2.0410903,-1.8978405,-1.7427218,-1.5359533,-1.382353,-1.2049252,-1.0215261,-0.8940843,-0.72026441,-0.57746957,-0.42671885,-0.31730171,-0.16903109,0,0,0,0,0,0,0,0,0,0
6,-2.271747,-2.1288652,-2.0035258,-1.8629123,-1.7106485,-1.5076854,-1.356912,-1.1827496,-1.0027258,-0.87762944,-0.70700856,-0.56684174,-0.41886545,-0.31146204,-0.16592021,0,0,0,0,0,0,0,0,0,0
7,-2.2291536,-2.0889507,-1.9659613,-1.8279842,-1.6785752,-1.4794175,-1.3314709,-1.160574,-0.98392547,-0.86117458,-0.6937527,-0.5562139,-0.41101205,-0.30562238,-0.16280934,0,0,0,0,0,0,0,0,0,0
8,-2.1865601,-2.0490361,-1.9283967,-1.7930561,-1.6465019,-1.4511496,-1.3060299,-1.1383984,-0.96512515,-0.84471973,-0.68049685,-0.54558607,-0.40315866,-0.29978271,-0.15969847,0,0,0,0,0,0,0,0,0,0
9,-2.1439667,-2.0091216,-1.8908322,-1.7581279,-1.6144286,-1.4228817,-1.2805889,-1.1162227,-0.94632484,-0.82826487,-0.667241,-0.53495823,-0.39530526,-0.29394304,-0.15658759,0,0,0,0,0,0,0,0,0,0
10,-2.1013732,-1.969207,-1.8532677,-1.7231998,-1.5823553,-1.3946138,-1.2551479,-1.0940471,-0.92752452,-0.81181001,-0.65398515,-0.5243304,-0.38745187,-0.28810338,-0.15347672,0,0,0,0,0,0,0,0,0,0
11,-2.0587797,-1.9292925,-1.8157032,-1.6882717,-1.5502819,-1.3663459,-1.2297068,-1.0718715,-0.90872421,-0.79535515,-0.6407293,-0.51370256,-0.37959847,-0.28226371,-0.15036585,0,0,0,0,0,0,0,0,0,0
12,-2.0161863,-1.889378,-1.7781386,-1.6533435,-1.5182086,-1.338078,-1.2042658,-1.0496959,-0.88992389,-0.77890029,-0.62747345,-0.50307473,-0.37174507,-0.27642404,-0.14725498,0,0,0,0,0,0,0,0,0,0
13,-1.9735928,-1.8494634,-1.7405741,-1.6184154,-1.4861353,-1.3098101,-1.1788248,-1.0275203,-0.87112357,-0.76244543,-0.61421759,-0.49244689,-0.36389168,-0.27058437,-0.1441441,0,0,0,0,0,0,0,0,0,0
14,-1.9309993,-1.8095489,-1.7030096,-1.5834873,-1.454062,-1.2815422,-1.1533838,-1.0053446,-0.85232326,-0.74599058,-0.60096174,-0.48181906,-0.35603828,-0.26474471,-0.14103323,0,0,0,0,0,0,0,0,0,0
15,-1.8884059,-1.7696343,-1.6654451,-1.5485591,-1.4219887,-1.2532742,-1.1279427,-0.98316902,-0.83352294,-0.72953572,-0.58770589,-0.47119122,-0.34818488,-0.25890504,-0.13792236,0,0,0,0,0,0,0,0,0,0
16,-1.8458124,-1.7297198,-1.6278805,-1.513631,-1.3899154,-1.2250063,-1.1025017,-0.9609934,-0.81472262,-0.71308086,-0.57445004,-0.46056339,-0.34033149,-0.25306537,-0.13481148,0,0,0,0,0,0,0,0,0,0
17,-1.803219,-1.6898053,-1.590316,-1.4787029,-1.3578421,-1.1967384,-1.0770607,-0.93881778,-0.79592231,-0.696626,-0.56119419,-0.44993556,-0.33247809,-0.24722571,-0.13170061,0,0,0,0,0,0,0,0,0,0
18,-1.7606255,-1.6498907,-1.5527515,-1.4437747,-1.3257688,-1.1684705,-1.0516196,-0.91664216,-0.77712199,-0.68017114,-0.54793834,-0.43930772,-0.3246247,-0.24138604,-0.12858974,0,0,0,0,0,0,0,0,0,0
19,-1.718032,-1.6099762,-1.515187,-1.4088466,-1.2936955,-1.1402026,-1.0261786,-0.89446654,-0.75832168,-0.66371628,-0.53468248,-0.42867989,-0.3167713,-0.23554637,-0.12547887,0,0,0,0,0,0,0,0,0,0
20,-1.6754386,-1.5700616,-1.4776224,-1.3739185,-1.2616222,-1.1119347,-1.0007376,-0.87229092,-0.73952136,-0.64726142,-0.52142663,-0.41805205,-0.3089179,-0.2297067,-0.12236799,0,0,0,0,0,0,0,0,0,0
21,-1.6328451,-1.5301471,-1.4400579,-1.3389903,-1.2295489,-1.0836668,-0.97529656,-0.8501153,-0.72072104,-0.63080657,-0.50817078,-0.40742422,-0.30106451,-0.22386704,-0.11925712,0,0,0,0,0,0,0,0,0,0
22,-1.5902517,-1.4902326,-1.4024934,-1.3040622,-1.1974756,-1.0553989,-0.94985554,-0.82793968,-0.70192073,-0.61435171,-0.49491493,-0.39679638,-0.29321111,-0.21802737,-0.11614625,0,0,0,0,0,0,0,0,0,0
23,-1.5476582,-1.450318,-1.3649289,-1.2691341,-1.1654023,-1.027131,-0.92441451,-0.80576406,-0.68312041,-0.59789685,-0.48165908,-0.38616855,-0.28535772,-0.2121877,-0.11303537,0,0,0,0,0,0,0,0,0,0
24,-1.5050647,-1.4104035,-1.3273643,-1.2342059,-1.133329,-0.99886305,-0.89897348,-0.78358844,-0.6643201,-0.58144199,-0.46840323,-0.37554071,-0.27750432,-0.20634804,-0.1099245,0,0,0,0,0,0,0,0,0,0
25,-1.4624713,-1.3704889,-1.2897998,-1.1992778,-1.1012556,-0.97059514,-0.87353246,-0.76141282,-0.64551978,-0.56498713,-0.45514737,-0.36491288,-0.26965092,-0.20050837,-0.10681363,0,0,0,0,0,0,0,0,0,0
26,-1.4198778,-1.3305744,-1.2522353,-1.1643497,-1.0691823,-0.94232723,-0.84809143,-0.7392372,-0.62671946,-0.54853227,-0.44189152,-0.35428504,-0.26179753,-0.1946687,-0.10370276,0,0,0,0,0,0,0,0,0,0
27,-1.3772843,-1.2906599,-1.2146708,-1.1294215,-1.037109,-0.91405932,-0.8226504,-0.71706158,-0.60791915,-0.53207742,-0.42863567,-0.34365721,-0.25394413,-0.18882903,-0.10059188,0,0,0,0,0,0,0,0,0,0
28,-1.3346909,-1.2507453,-1.1771062,-1.0944934,-1.0050357,-0.88579141,-0.79720937,-0.69488596,-0.58911883,-0.51562256,-0.41537982,-0.33302938,-0.24609073,-0.18298937,-0.09748101,0,0,0,0,0,0,0,0,0,0
