Time (ms),Stress at 0.00 mm (kPa),Stress at 0.33 mm (kPa),Stress at 0.54 mm (kPa),Stress at 0.68 mm (kPa),Stress at 0.89 mm (kPa),Stress at 1.12 mm (kPa),Stress at 1.32 mm (kPa),Stress at 1.52 mm (kPa),Stress at 1.70 mm (kPa),Stress at 1.89 mm (kPa),Stress at 2.11 mm (kPa),Stress at 2.31 mm (kPa),Stress at 2.52 mm (kPa),Stress at 2.70 mm (kPa),Stress at 2.90 mm (kPa),Stress at 3.10 mm (kPa),Stress at 3.30 mm (kPa),Stress at 3.49 mm (kPa),Stress at 3.68 mm (kPa),Stress at 3.90 mm (kPa),Stress at 4.10 mm (kPa),Stress at 4.32 mm (kPa),Stress at 4.51 mm (kPa),Stress at 4.71 mm (kPa),Stress at 4.90 mm (kPa)
16,-5.5736145,-4.3593558,-3.676536,-3.0197397,-2.477729,-1.9851256,-1.4750458,-1.2277765,-1.0075175,-0.85054322,-0.67122392,-0.61095113,-0.4759615,-0.39421055,-0.38643032,-0.34638868,-0.28094006,-0.22669548,-0.21924181,-0.22383502,-0.18394104,-0.1653565,-0.11995059,-0.098300638,-0.060515498
17,-5.9219654,-4.6318156,-3.9063195,-3.2084735,-2.6325871,-2.1091959,-1.5672362,-1.3045125,-1.0704874,-0.90370217,-0.71317542,-0.64913558,-0.50570909,-0.41884871,-0.41058222,-0.36803797,-0.29849882,-0.24086395,-0.23294442,-0.23782471,-0.19543735,-0.17569128,-0.1274475,-0.10444443,-0.064297716
18,-6.2703163,-4.9042753,-4.136103,-3.3972072,-2.7874451,-2.2332663,-1.6594265,-1.3812485,-1.1334572,-0.95686112,-0.75512691,-0.68732002,-0.53545669,-0.44348687,-0.43473411,-0.38968726,-0.31605757,-0.25503242,-0.24664704,-0.2518144,-0.20693367,-0.18602606,-0.13494441,-0.11058822,-0.068079935
19,-6.6186672,-5.176735,-4.3658865,-3.585941,-2.9423032,-2.3573366,-1.7516169,-1.4579846,-1.1964271,-1.0100201,-0.79707841,-0.72550447,-0.56520428,-0.46812503,-0.45888601,-0.41133655,-0.33361633,-0.26920089,-0.26034965,-0.26580409,-0.21842998,-0.19636084,-0.14244132,-0.11673201,-0.071862153
20,-6.9670181,-5.4491948,-4.5956701,-3.7746747,-3.0971613,-2.481407,-1.8438073,-1.5347206,-1.2593969,-1.063179,-0.8390299,-0.76368892,-0.59495187,-0.49276319,-0.4830379,-0.43298584,-0.35117508,-0.28336935,-0.27405226,-0.27979378,-0.2299263,-0.20669562,-0.14993823,-0.1228758,-0.075644372
21,-7.315369,-5.7216545,-4.8254536,-3.9634084,-3.2520193,-2.6054773,-1.9359976,-1.6114566,-1.3223667,-1.116338,-0.8809814,-0.80187336,-0.62469947,-0.51740135,-0.5071898,-0.45463514,-0.36873383,-0.29753782,-0.28775488,-0.29378346,-0.24142261,-0.2170304,-0.15743515,-0.12901959,-0.079426591
22,-7.66372,-5.9941143,-5.0552371,-4.1521422,-3.4068774,-2.7295477,-2.028188,-1.6881927,-1.3853366,-1.1694969,-0.92293289,-0.84005781,-0.65444706,-0.54203951,-0.53134169,-0.47628443,-0.38629259,-0.31170629,-0.30145749,-0.30777315,-0.25291892,-0.22736518,-0.16493206,-0.13516338,-0.083208809
23,-8.0120709,-6.266574,-5.2850206,-4.3408759,-3.5617355,-2.853618,-2.1203784,-1.7649287,-1.4483064,-1.2226559,-0.96488439,-0.87824225,-0.68419466,-0.56667767,-0.55549359,-0.49793372,-0.40385134,-0.32587476,-0.3151601,-0.32176284,-0.26441524,-0.23769997,-0.17242897,-0.14130717,-0.086991028
24,-8.3604218,-6.5390337,-5.5148041,-4.5296096,-3.7165935,-2.9776884,-2.2125687,-1.8416647,-1.5112763,-1.2758148,-1.0068359,-0.9164267,-0.71394225,-0.59131582,-0.57964548,-0.51958301,-0.4214101,-0.34004322,-0.32886272,-0.33575253,-0.27591155,-0.24803475,-0.17992588,-0.14745096,-0.090773246
25,-8.7087727,-6.8114935,-5.7445876,-4.7183434,-3.8714516,-3.1017587,-2.3047591,-1.9184007,-1.5742461,-1.3289738,-1.0487874,-0.95461115,-0.74368984,-0.61595398,-0.60379738,-0.5412323,-0.43896885,-0.35421169,-0.34256533,-0.34974222,-0.28740787,-0.25836953,-0.18742279,-0.15359475,-0.094555465
