X coord (mm),Y coord (mm)
10.049,3.34139
3.26892,1.31198
5.53033,1.06912
7.32594,0.881912
8.62779,1.30566
10.9317,1.31866
12.296,1.14617
2.41832,2.86304
3.58971,3.57434
5.33045,2.79553
7.24521,2.85144
8.87879,2.66513
10.7937,2.70668
12.567,2.74813
1.75519,4.67465
3.84061,4.39107
5.51209,4.44366
7.38685,4.47133
9.08925,4.52409
10.6577,4.59212
12.4393,4.63183
1.91477,5.81645
3.69019,6.12171
5.40219,6.13773
7.32233,6.13087
8.99912,6.1712
10.8653,6.18922
12.5973,6.22885
1.83221,7.91576
3.58959,7.90931
5.65965,8.135
7.22909,7.86315
8.91308,7.88612
10.8207,7.8791
12.5557,7.9159
1.83883,9.81018
3.98051,9.69742
5.58198,9.70291
7.06491,9.73585
8.84468,9.71792
10.8114,9.67892
12.548,9.72076
