Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
11,-77.295688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3371867,-21.30169,-24.415852,-9.6223734,0,0,0,0,0,0,0,-7.8572463,-39.104779,-72.423249,-25.418185,-2.3898813,0,0,0,0,0,0,-13.811315,-1.2364492,0,0,0,0,0,0,0,0,0
12,-77.205142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3309346,-21.276737,-24.387251,-9.6111015,0,0,0,0,0,0,0,-7.8480422,-39.058971,-72.338412,-25.388409,-2.3870818,0,0,0,0,0,0,-13.795136,-1.2350008,0,0,0,0,0,0,0,0,0
13,-77.114597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3246825,-21.251784,-24.35865,-9.5998297,0,0,0,0,0,0,0,-7.8388381,-39.013163,-72.253574,-25.358634,-2.3842822,0,0,0,0,0,0,-13.778957,-1.2335524,0,0,0,0,0,0,0,0,0
14,-77.024051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3184305,-21.226831,-24.330049,-9.5885579,0,0,0,0,0,0,0,-7.829634,-38.967355,-72.168736,-25.328859,-2.3814827,0,0,0,0,0,0,-13.762778,-1.232104,0,0,0,0,0,0,0,0,0
15,-76.933506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3121784,-21.201878,-24.301447,-9.5772861,0,0,0,0,0,0,0,-7.8204299,-38.921547,-72.083898,-25.299084,-2.3786831,0,0,0,0,0,0,-13.746599,-1.2306556,0,0,0,0,0,0,0,0,0
16,-76.84296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3059263,-21.176925,-24.272846,-9.5660143,0,0,0,0,0,0,0,-7.8112258,-38.875739,-71.999061,-25.269308,-2.3758836,0,0,0,0,0,0,-13.730421,-1.2292072,0,0,0,0,0,0,0,0,0
17,-76.752415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2996743,-21.151972,-24.244245,-9.5547425,0,0,0,0,0,0,0,-7.8020217,-38.829931,-71.914223,-25.239533,-2.373084,0,0,0,0,0,0,-13.714242,-1.2277588,0,0,0,0,0,0,0,0,0
18,-76.66187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2934222,-21.127018,-24.215644,-9.5434707,0,0,0,0,0,0,0,-7.7928176,-38.784123,-71.829385,-25.209758,-2.3702845,0,0,0,0,0,0,-13.698063,-1.2263104,0,0,0,0,0,0,0,0,0
19,-76.571324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2871701,-21.102065,-24.187043,-9.5321989,0,0,0,0,0,0,0,-7.7836135,-38.738315,-71.744547,-25.179982,-2.3674849,0,0,0,0,0,0,-13.681884,-1.224862,0,0,0,0,0,0,0,0,0
20,-76.480779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2809181,-21.077112,-24.158442,-9.5209271,0,0,0,0,0,0,0,-7.7744093,-38.692507,-71.659709,-25.150207,-2.3646854,0,0,0,0,0,0,-13.665705,-1.2234136,0,0,0,0,0,0,0,0,0
21,-76.390233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.274666,-21.052159,-24.129841,-9.5096553,0,0,0,0,0,0,0,-7.7652052,-38.646699,-71.574872,-25.120432,-2.3618859,0,0,0,0,0,0,-13.649527,-1.2219652,0,0,0,0,0,0,0,0,0
22,-76.299688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2684139,-21.027206,-24.10124,-9.4983835,0,0,0,0,0,0,0,-7.7560011,-38.600891,-71.490034,-25.090657,-2.3590863,0,0,0,0,0,0,-13.633348,-1.2205168,0,0,0,0,0,0,0,0,0
23,-76.209142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2621618,-21.002253,-24.072638,-9.4871117,0,0,0,0,0,0,0,-7.746797,-38.555083,-71.405196,-25.060881,-2.3562868,0,0,0,0,0,0,-13.617169,-1.2190684,0,0,0,0,0,0,0,0,0
24,-76.118597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2559098,-20.977299,-24.044037,-9.4758398,0,0,0,0,0,0,0,-7.7375929,-38.509275,-71.320358,-25.031106,-2.3534872,0,0,0,0,0,0,-13.60099,-1.21762,0,0,0,0,0,0,0,0,0
25,-76.028051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2496577,-20.952346,-24.015436,-9.464568,0,0,0,0,0,0,0,-7.7283888,-38.463467,-71.23552,-25.001331,-2.3506877,0,0,0,0,0,0,-13.584811,-1.2161716,0,0,0,0,0,0,0,0,0
26,-75.937506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2434056,-20.927393,-23.986835,-9.4532962,0,0,0,0,0,0,0,-7.7191847,-38.417659,-71.150683,-24.971555,-2.3478881,0,0,0,0,0,0,-13.568633,-1.2147232,0,0,0,0,0,0,0,0,0
27,-75.84696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2371536,-20.90244,-23.958234,-9.4420244,0,0,0,0,0,0,0,-7.7099806,-38.371851,-71.065845,-24.94178,-2.3450886,0,0,0,0,0,0,-13.552454,-1.2132748,0,0,0,0,0,0,0,0,0
28,-75.756415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2309015,-20.877487,-23.929633,-9.4307526,0,0,0,0,0,0,0,-7.7007765,-38.326043,-70.981007,-24.912005,-2.342289,0,0,0,0,0,0,-13.536275,-1.2118264,0,0,0,0,0,0,0,0,0
29,-75.66587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2246494,-20.852534,-23.901032,-9.4194808,0,0,0,0,0,0,0,-7.6915724,-38.280235,-70.896169,-24.88223,-2.3394895,0,0,0,0,0,0,-13.520096,-1.210378,0,0,0,0,0,0,0,0,0
30,-75.575324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2183974,-20.827581,-23.87243,-9.408209,0,0,0,0,0,0,0,-7.6823683,-38.234427,-70.811331,-24.852454,-2.3366899,0,0,0,0,0,0,-13.503917,-1.2089296,0,0,0,0,0,0,0,0,0
31,-75.484779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2121453,-20.802627,-23.843829,-9.3969372,0,0,0,0,0,0,0,-7.6731642,-38.188619,-70.726494,-24.822679,-2.3338904,0,0,0,0,0,0,-13.487739,-1.2074812,0,0,0,0,0,0,0,0,0
32,-75.394233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2058932,-20.777674,-23.815228,-9.3856654,0,0,0,0,0,0,0,-7.66396,-38.142811,-70.641656,-24.792904,-2.3310908,0,0,0,0,0,0,-13.47156,-1.2060329,0,0,0,0,0,0,0,0,0
33,-75.303688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1996412,-20.752721,-23.786627,-9.3743936,0,0,0,0,0,0,0,-7.6547559,-38.097003,-70.556818,-24.763129,-2.3282913,0,0,0,0,0,0,-13.455381,-1.2045845,0,0,0,0,0,0,0,0,0
34,-75.213142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1933891,-20.727768,-23.758026,-9.3631218,0,0,0,0,0,0,0,-7.6455518,-38.051195,-70.47198,-24.733353,-2.3254917,0,0,0,0,0,0,-13.439202,-1.2031361,0,0,0,0,0,0,0,0,0
35,-75.122597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.187137,-20.702815,-23.729425,-9.35185,0,0,0,0,0,0,0,-7.6363477,-38.005387,-70.387142,-24.703578,-2.3226922,0,0,0,0,0,0,-13.423023,-1.2016877,0,0,0,0,0,0,0,0,0
