Time (ms),Stress at 0.00 mm (kPa),Stress at 0.25 mm (kPa),Stress at 0.46 mm (kPa),Stress at 0.64 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.46 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa)
0,-2.214224,-1.8948707,-1.7172561,-1.5250964,-1.2720751,-1.0310533,-0.83854273,-0.63762552,-0.47119384,-0.32012933,-0.21499716,-0.15068048
1,-2.264252,-1.9376833,-1.7560557,-1.5595543,-1.3008163,-1.0543488,-0.85748871,-0.65203199,-0.48183996,-0.32736231,-0.21985479,-0.15408494
2,-2.3142801,-1.9804959,-1.7948552,-1.5940122,-1.3295575,-1.0776444,-0.87643469,-0.66643846,-0.49248608,-0.33459529,-0.22471242,-0.15748941
3,-2.3643081,-2.0233085,-1.8336548,-1.6284702,-1.3582987,-1.1009399,-0.89538067,-0.68084493,-0.50313221,-0.34182827,-0.22957005,-0.16089387
4,-2.4143361,-2.0661211,-1.8724544,-1.6629281,-1.3870398,-1.1242355,-0.91432664,-0.6952514,-0.51377833,-0.34906125,-0.23442768,-0.16429834
5,-2.4643641,-2.1089336,-1.911254,-1.697386,-1.415781,-1.147531,-0.93327262,-0.70965786,-0.52442445,-0.35629423,-0.23928531,-0.1677028
6,-2.5143922,-2.1517462,-1.9500535,-1.7318439,-1.4445222,-1.1708266,-0.9522186,-0.72406433,-0.53507057,-0.36352721,-0.24414294,-0.17110727
7,-2.5644202,-2.1945588,-1.9888531,-1.7663019,-1.4732634,-1.1941221,-0.97116458,-0.7384708,-0.5457167,-0.37076019,-0.24900058,-0.17451173
8,-2.6144482,-2.2373714,-2.0276527,-1.8007598,-1.5020046,-1.2174177,-0.99011056,-0.75287727,-0.55636282,-0.37799317,-0.25385821,-0.1779162
9,-2.6644763,-2.280184,-2.0664522,-1.8352177,-1.5307458,-1.2407132,-1.0090565,-0.76728374,-0.56700894,-0.38522616,-0.25871584,-0.18132066
10,-2.7145043,-2.3229966,-2.1052518,-1.8696756,-1.5594869,-1.2640088,-1.0280025,-0.78169021,-0.57765506,-0.39245914,-0.26357347,-0.18472513
11,-2.7645323,-2.3658091,-2.1440514,-1.9041336,-1.5882281,-1.2873043,-1.0469485,-0.79609668,-0.58830119,-0.39969212,-0.2684311,-0.18812959
12,-2.8145604,-2.4086217,-2.1828509,-1.9385915,-1.6169693,-1.3105999,-1.0658945,-0.81050315,-0.59894731,-0.4069251,-0.27328873,-0.19153406
13,-2.8645884,-2.4514343,-2.2216505,-1.9730494,-1.6457105,-1.3338954,-1.0848405,-0.82490961,-0.60959343,-0.41415808,-0.27814636,-0.19493852
14,-2.9146164,-2.4942469,-2.2604501,-2.0075073,-1.6744517,-1.357191,-1.1037864,-0.83931608,-0.62023955,-0.42139106,-0.283004,-0.19834298
15,-2.9646444,-2.5370595,-2.2992497,-2.0419653,-1.7031928,-1.3804865,-1.1227324,-0.85372255,-0.63088567,-0.42862404,-0.28786163,-0.20174745
16,-3.0146725,-2.5798721,-2.3380492,-2.0764232,-1.731934,-1.4037821,-1.1416784,-0.86812902,-0.6415318,-0.43585702,-0.29271926,-0.20515191
17,-3.0647005,-2.6226846,-2.3768488,-2.1108811,-1.7606752,-1.4270776,-1.1606244,-0.88253549,-0.65217792,-0.44309,-0.29757689,-0.20855638
18,-3.1147285,-2.6654972,-2.4156484,-2.1453391,-1.7894164,-1.4503732,-1.1795703,-0.89694196,-0.66282404,-0.45032298,-0.30243452,-0.21196084
19,-3.1647566,-2.7083098,-2.4544479,-2.179797,-1.8181576,-1.4736687,-1.1985163,-0.91134843,-0.67347016,-0.45755596,-0.30729215,-0.21536531
20,-3.2147846,-2.7511224,-2.4932475,-2.2142549,-1.8468987,-1.4969643,-1.2174623,-0.92575489,-0.68411629,-0.46478894,-0.31214978,-0.21876977
21,-3.2648126,-2.793935,-2.5320471,-2.2487128,-1.8756399,-1.5202598,-1.2364083,-0.94016136,-0.69476241,-0.47202193,-0.31700742,-0.22217424
22,-3.3148407,-2.8367476,-2.5708467,-2.2831708,-1.9043811,-1.5435554,-1.2553543,-0.95456783,-0.70540853,-0.47925491,-0.32186505,-0.2255787
23,-3.3648687,-2.8795601,-2.6096462,-2.3176287,-1.9331223,-1.5668509,-1.2743002,-0.9689743,-0.71605465,-0.48648789,-0.32672268,-0.22898317
24,-3.4148967,-2.9223727,-2.6484458,-2.3520866,-1.9618635,-1.5901465,-1.2932462,-0.98338077,-0.72670078,-0.49372087,-0.33158031,-0.23238763
25,-3.4649247,-2.9651853,-2.6872454,-2.3865445,-1.9906046,-1.613442,-1.3121922,-0.99778724,-0.7373469,-0.50095385,-0.33643794,-0.2357921
26,-3.5149528,-3.0079979,-2.7260449,-2.4210025,-2.0193458,-1.6367376,-1.3311382,-1.0121937,-0.74799302,-0.50818683,-0.34129557,-0.23919656
27,-3.5649808,-3.0508105,-2.7648445,-2.4554604,-2.048087,-1.6600331,-1.3500842,-1.0266002,-0.75863914,-0.51541981,-0.3461532,-0.24260103
28,-3.6150088,-3.0936231,-2.8036441,-2.4899183,-2.0768282,-1.6833286,-1.3690301,-1.0410066,-0.76928526,-0.52265279,-0.35101084,-0.24600549
29,-3.6650369,-3.1364356,-2.8424436,-2.5243762,-2.1055694,-1.7066242,-1.3879761,-1.0554131,-0.77993139,-0.52988577,-0.35586847,-0.24940996
30,-3.7150649,-3.1792482,-2.8812432,-2.5588342,-2.1343106,-1.7299197,-1.4069221,-1.0698196,-0.79057751,-0.53711875,-0.3607261,-0.25281442
31,-3.7650929,-3.2220608,-2.9200428,-2.5932921,-2.1630517,-1.7532153,-1.4258681,-1.0842261,-0.80122363,-0.54435173,-0.36558373,-0.25621889
32,-3.7833415,-3.2376774,-2.9341956,-2.6058612,-2.1735356,-1.7617127,-1.4327789,-1.0894811,-0.80510698,-0.54699008,-0.36735563,-0.25746072
33,-3.8015857,-3.2532903,-2.948345,-2.6184273,-2.1840169,-1.7702082,-1.4396881,-1.0947348,-0.80898941,-0.54962781,-0.36912711,-0.25870226
34,-3.8198299,-3.2689032,-2.9624944,-2.6309934,-2.1944982,-1.7787036,-1.4465974,-1.0999885,-0.81287183,-0.55226553,-0.37089859,-0.2599438
35,-3.8380741,-3.2845161,-2.9766438,-2.6435595,-2.2049795,-1.787199,-1.4535066,-1.1052423,-0.81675426,-0.55490325,-0.37267007,-0.26118534
36,-3.8563183,-3.3001289,-2.9907932,-2.6561256,-2.2154609,-1.7956944,-1.4604158,-1.110496,-0.82063668,-0.55754097,-0.37444155,-0.26242688
37,-3.8745625,-3.3157418,-3.0049426,-2.6686917,-2.2259422,-1.8041898,-1.467325,-1.1157498,-0.8245191,-0.56017869,-0.37621303,-0.26366842
38,-3.8928067,-3.3313547,-3.0190921,-2.6812578,-2.2364235,-1.8126852,-1.4742342,-1.1210035,-0.82840153,-0.56281641,-0.37798451,-0.26490995
39,-3.9110509,-3.3469676,-3.0332415,-2.6938239,-2.2469048,-1.8211806,-1.4811434,-1.1262573,-0.83228395,-0.56545413,-0.37975599,-0.26615149
40,-3.9292951,-3.3625804,-3.0473909,-2.70639,-2.2573861,-1.829676,-1.4880526,-1.131511,-0.83616638,-0.56809185,-0.38152747,-0.26739303
41,-3.9475393,-3.3781933,-3.0615403,-2.7189561,-2.2678675,-1.8381714,-1.4949618,-1.1367648,-0.8400488,-0.57072957,-0.38329895,-0.26863457
42,-3.9657835,-3.3938062,-3.0756897,-2.7315222,-2.2783488,-1.8466669,-1.5018711,-1.1420185,-0.84393122,-0.57336729,-0.38507043,-0.26987611
43,-3.9840277,-3.4094191,-3.0898391,-2.7440883,-2.2888301,-1.8551623,-1.5087803,-1.1472723,-0.84781365,-0.57600501,-0.3868419,-0.27111765
44,-4.0022719,-3.4250319,-3.1039885,-2.7566544,-2.2993114,-1.8636577,-1.5156895,-1.152526,-0.85169607,-0.57864273,-0.38861338,-0.27235919
45,-4.0205161,-3.4406448,-3.1181379,-2.7692205,-2.3097928,-1.8721531,-1.5225987,-1.1577797,-0.85557849,-0.58128045,-0.39038486,-0.27360073
46,-4.0387603,-3.4562577,-3.1322874,-2.7817867,-2.3202741,-1.8806485,-1.5295079,-1.1630335,-0.85946092,-0.58391817,-0.39215634,-0.27484227
47,-4.0570045,-3.4718706,-3.1464368,-2.7943528,-2.3307554,-1.8891439,-1.5364171,-1.1682872,-0.86334334,-0.5865559,-0.39392782,-0.2760838
48,-4.0752487,-3.4874834,-3.1605862,-2.8069189,-2.3412367,-1.8976393,-1.5433263,-1.173541,-0.86722577,-0.58919362,-0.3956993,-0.27732534
49,-4.0934929,-3.5030963,-3.1747356,-2.819485,-2.3517181,-1.9061347,-1.5502355,-1.1787947,-0.87110819,-0.59183134,-0.39747078,-0.27856688
50,-4.1117371,-3.5187092,-3.188885,-2.8320511,-2.3621994,-1.9146302,-1.5571448,-1.1840485,-0.87499061,-0.59446906,-0.39924226,-0.27980842
51,-4.1299813,-3.5343221,-3.2030344,-2.8446172,-2.3726807,-1.9231256,-1.564054,-1.1893022,-0.87887304,-0.59710678,-0.40101374,-0.28104996
52,-4.1482256,-3.549935,-3.2171838,-2.8571833,-2.383162,-1.931621,-1.5709632,-1.194556,-0.88275546,-0.5997445,-0.40278522,-0.2822915
53,-4.1664698,-3.5655478,-3.2313332,-2.8697494,-2.3936433,-1.9401164,-1.5778724,-1.1998097,-0.88663789,-0.60238222,-0.4045567,-0.28353304
54,-4.184714,-3.5811607,-3.2454827,-2.8823155,-2.4041247,-1.9486118,-1.5847816,-1.2050635,-0.89052031,-0.60501994,-0.40632818,-0.28477458
55,-4.2029582,-3.5967736,-3.2596321,-2.8948816,-2.414606,-1.9571072,-1.5916908,-1.2103172,-0.89440273,-0.60765766,-0.40809965,-0.28601612
56,-4.2212024,-3.6123865,-3.2737815,-2.9074477,-2.4250873,-1.9656026,-1.5986,-1.2155709,-0.89828516,-0.61029538,-0.40987113,-0.28725765
57,-4.2394466,-3.6279993,-3.2879309,-2.9200138,-2.4355686,-1.974098,-1.6055092,-1.2208247,-0.90216758,-0.6129331,-0.41164261,-0.28849919
58,-4.2576908,-3.6436122,-3.3020803,-2.9325799,-2.44605,-1.9825935,-1.6124185,-1.2260784,-0.90605,-0.61557082,-0.41341409,-0.28974073
59,-4.275935,-3.6592251,-3.3162297,-2.945146,-2.4565313,-1.9910889,-1.6193277,-1.2313322,-0.90993243,-0.61820854,-0.41518557,-0.29098227
60,-4.2941792,-3.674838,-3.3303791,-2.9577121,-2.4670126,-1.9995843,-1.6262369,-1.2365859,-0.91381485,-0.62084626,-0.41695705,-0.29222381
61,-4.3124234,-3.6904508,-3.3445285,-2.9702782,-2.4774939,-2.0080797,-1.6331461,-1.2418397,-0.91769728,-0.62348398,-0.41872853,-0.29346535
62,-4.3306676,-3.7060637,-3.358678,-2.9828443,-2.4879753,-2.0165751,-1.6400553,-1.2470934,-0.9215797,-0.62612171,-0.42050001,-0.29470689
63,-4.3489118,-3.7216766,-3.3728274,-2.9954104,-2.4984566,-2.0250705,-1.6469645,-1.2523472,-0.92546212,-0.62875943,-0.42227149,-0.29594843
64,-4.367156,-3.7372895,-3.3869768,-3.0079765,-2.5089379,-2.0335659,-1.6538737,-1.2576009,-0.92934455,-0.63139715,-0.42404297,-0.29718997
65,-4.3854002,-3.7529024,-3.4011262,-3.0205426,-2.5194192,-2.0420613,-1.6607829,-1.2628547,-0.93322697,-0.63403487,-0.42581445,-0.2984315
66,-4.4036444,-3.7685152,-3.4152756,-3.0331087,-2.5299005,-2.0505567,-1.6676922,-1.2681084,-0.9371094,-0.63667259,-0.42758593,-0.29967304
67,-4.4218886,-3.7841281,-3.429425,-3.0456748,-2.5403819,-2.0590522,-1.6746014,-1.2733621,-0.94099182,-0.63931031,-0.42935741,-0.30091458
68,-4.4401328,-3.799741,-3.4435744,-3.0582409,-2.5508632,-2.0675476,-1.6815106,-1.2786159,-0.94487424,-0.64194803,-0.43112888,-0.30215612
69,-4.458377,-3.8153539,-3.4577238,-3.070807,-2.5613445,-2.076043,-1.6884198,-1.2838696,-0.94875667,-0.64458575,-0.43290036,-0.30339766
70,-4.4766212,-3.8309667,-3.4718733,-3.0833731,-2.5718258,-2.0845384,-1.695329,-1.2891234,-0.95263909,-0.64722347,-0.43467184,-0.3046392
71,-4.4948654,-3.8465796,-3.4860227,-3.0959392,-2.5823072,-2.0930338,-1.7022382,-1.2943771,-0.95652151,-0.64986119,-0.43644332,-0.30588074
72,-4.5131096,-3.8621925,-3.5001721,-3.1085053,-2.5927885,-2.1015292,-1.7091474,-1.2996309,-0.96040394,-0.65249891,-0.4382148,-0.30712228
73,-4.5313538,-3.8778054,-3.5143215,-3.1210714,-2.6032698,-2.1100246,-1.7160566,-1.3048846,-0.96428636,-0.65513663,-0.43998628,-0.30836382
74,-4.549598,-3.8934182,-3.5284709,-3.1336375,-2.6137511,-2.11852,-1.7229659,-1.3101384,-0.96816879,-0.65777435,-0.44175776,-0.30960535
75,-4.5678422,-3.9090311,-3.5426203,-3.1462037,-2.6242324,-2.1270155,-1.7298751,-1.3153921,-0.97205121,-0.66041207,-0.44352924,-0.31084689
76,-4.5860864,-3.924644,-3.5567697,-3.1587698,-2.6347138,-2.1355109,-1.7367843,-1.3206459,-0.97593363,-0.66304979,-0.44530072,-0.31208843
77,-4.6043306,-3.9402569,-3.5709191,-3.1713359,-2.6451951,-2.1440063,-1.7436935,-1.3258996,-0.97981606,-0.66568752,-0.4470722,-0.31332997
78,-4.6225748,-3.9558697,-3.5850686,-3.183902,-2.6556764,-2.1525017,-1.7506027,-1.3311533,-0.98369848,-0.66832524,-0.44884368,-0.31457151
79,-4.640819,-3.9714826,-3.599218,-3.1964681,-2.6661577,-2.1609971,-1.7575119,-1.3364071,-0.9875809,-0.67096296,-0.45061516,-0.31581305
80,-4.6590632,-3.9870955,-3.6133674,-3.2090342,-2.6766391,-2.1694925,-1.7644211,-1.3416608,-0.99146333,-0.67360068,-0.45238663,-0.31705459
81,-4.6773074,-4.0027084,-3.6275168,-3.2216003,-2.6871204,-2.1779879,-1.7713303,-1.3469146,-0.99534575,-0.6762384,-0.45415811,-0.31829613
82,-4.6955516,-4.0183213,-3.6416662,-3.2341664,-2.6976017,-2.1864833,-1.7782396,-1.3521683,-0.99922818,-0.67887612,-0.45592959,-0.31953767
83,-4.7137958,-4.0339341,-3.6558156,-3.2467325,-2.708083,-2.1949788,-1.7851488,-1.3574221,-1.0031106,-0.68151384,-0.45770107,-0.32077921
84,-4.73204,-4.049547,-3.669965,-3.2592986,-2.7185644,-2.2034742,-1.792058,-1.3626758,-1.006993,-0.68415156,-0.45947255,-0.32202074
85,-4.7502842,-4.0651599,-3.6841144,-3.2718647,-2.7290457,-2.2119696,-1.7989672,-1.3679296,-1.0108754,-0.68678928,-0.46124403,-0.32326228
86,-4.7685284,-4.0807728,-3.6982639,-3.2844308,-2.739527,-2.220465,-1.8058764,-1.3731833,-1.0147579,-0.689427,-0.46301551,-0.32450382
87,-4.7867727,-4.0963856,-3.7124133,-3.2969969,-2.7500083,-2.2289604,-1.8127856,-1.3784371,-1.0186403,-0.69206472,-0.46478699,-0.32574536
88,-4.8050169,-4.1119985,-3.7265627,-3.309563,-2.7604896,-2.2374558,-1.8196948,-1.3836908,-1.0225227,-0.69470244,-0.46655847,-0.3269869
89,-4.8232611,-4.1276114,-3.7407121,-3.3221291,-2.770971,-2.2459512,-1.826604,-1.3889445,-1.0264051,-0.69734016,-0.46832995,-0.32822844
90,-4.8415053,-4.1432243,-3.7548615,-3.3346952,-2.7814523,-2.2544466,-1.8335133,-1.3941983,-1.0302876,-0.69997788,-0.47010143,-0.32946998
91,-4.8597495,-4.1588371,-3.7690109,-3.3472613,-2.7919336,-2.262942,-1.8404225,-1.399452,-1.03417,-0.7026156,-0.47187291,-0.33071152
92,-4.8779937,-4.17445,-3.7831603,-3.3598274,-2.8024149,-2.2714375,-1.8473317,-1.4047058,-1.0380524,-0.70525333,-0.47364438,-0.33195306
93,-4.8962379,-4.1900629,-3.7973097,-3.3723935,-2.8128963,-2.2799329,-1.8542409,-1.4099595,-1.0419348,-0.70789105,-0.47541586,-0.33319459
94,-4.9144821,-4.2056758,-3.8114592,-3.3849596,-2.8233776,-2.2884283,-1.8611501,-1.4152133,-1.0458173,-0.71052877,-0.47718734,-0.33443613
95,-4.9327263,-4.2212886,-3.8256086,-3.3975257,-2.8338589,-2.2969237,-1.8680593,-1.420467,-1.0496997,-0.71316649,-0.47895882,-0.33567767
96,-4.9509705,-4.2369015,-3.839758,-3.4100918,-2.8443402,-2.3054191,-1.8749685,-1.4257208,-1.0535821,-0.71580421,-0.4807303,-0.33691921
97,-4.9692147,-4.2525144,-3.8539074,-3.4226579,-2.8548216,-2.3139145,-1.8818777,-1.4309745,-1.0574645,-0.71844193,-0.48250178,-0.33816075
98,-4.9874589,-4.2681273,-3.8680568,-3.435224,-2.8653029,-2.3224099,-1.8887869,-1.4362283,-1.061347,-0.72107965,-0.48427326,-0.33940229
99,-5.0057031,-4.2837402,-3.8822062,-3.4477901,-2.8757842,-2.3309053,-1.8956962,-1.441482,-1.0652294,-0.72371737,-0.48604474,-0.34064383
100,-5.0239473,-4.299353,-3.8963556,-3.4603562,-2.8862655,-2.3394008,-1.9026054,-1.4467357,-1.0691118,-0.72635509,-0.48781622,-0.34188537
101,-5.0421915,-4.3149659,-3.910505,-3.4729223,-2.8967468,-2.3478962,-1.9095146,-1.4519895,-1.0729942,-0.72899281,-0.4895877,-0.34312691
102,-5.0604357,-4.3305788,-3.9246545,-3.4854884,-2.9072282,-2.3563916,-1.9164238,-1.4572432,-1.0768767,-0.73163053,-0.49135918,-0.34436844
103,-5.0786799,-4.3461917,-3.9388039,-3.4980545,-2.9177095,-2.364887,-1.923333,-1.462497,-1.0807591,-0.73426825,-0.49313066,-0.34560998
104,-5.0969241,-4.3618045,-3.9529533,-3.5106207,-2.9281908,-2.3733824,-1.9302422,-1.4677507,-1.0846415,-0.73690597,-0.49490214,-0.34685152
105,-5.1151683,-4.3774174,-3.9671027,-3.5231868,-2.9386721,-2.3818778,-1.9371514,-1.4730045,-1.0885239,-0.73954369,-0.49667361,-0.34809306
106,-5.1334125,-4.3930303,-3.9812521,-3.5357529,-2.9491535,-2.3903732,-1.9440606,-1.4782582,-1.0924063,-0.74218142,-0.49844509,-0.3493346
107,-5.1516567,-4.4086432,-3.9954015,-3.548319,-2.9596348,-2.3988686,-1.9509699,-1.483512,-1.0962888,-0.74481914,-0.50021657,-0.35057614
108,-5.1699009,-4.424256,-4.0095509,-3.5608851,-2.9701161,-2.4073641,-1.9578791,-1.4887657,-1.1001712,-0.74745686,-0.50198805,-0.35181768
109,-5.1881451,-4.4398689,-4.0237003,-3.5734512,-2.9805974,-2.4158595,-1.9647883,-1.4940195,-1.1040536,-0.75009458,-0.50375953,-0.35305922
110,-5.2063893,-4.4554818,-4.0378498,-3.5860173,-2.9910788,-2.4243549,-1.9716975,-1.4992732,-1.107936,-0.7527323,-0.50553101,-0.35430076
111,-5.2246335,-4.4710947,-4.0519992,-3.5985834,-3.0015601,-2.4328503,-1.9786067,-1.5045269,-1.1118185,-0.75537002,-0.50730249,-0.35554229
112,-5.2428777,-4.4867076,-4.0661486,-3.6111495,-3.0120414,-2.4413457,-1.9855159,-1.5097807,-1.1157009,-0.75800774,-0.50907397,-0.35678383
113,-5.2611219,-4.5023204,-4.080298,-3.6237156,-3.0225227,-2.4498411,-1.9924251,-1.5150344,-1.1195833,-0.76064546,-0.51084545,-0.35802537
114,-5.2793661,-4.5179333,-4.0944474,-3.6362817,-3.033004,-2.4583365,-1.9993343,-1.5202882,-1.1234657,-0.76328318,-0.51261693,-0.35926691
115,-5.2976103,-4.5335462,-4.1085968,-3.6488478,-3.0434854,-2.4668319,-2.0062436,-1.5255419,-1.1273482,-0.7659209,-0.51438841,-0.36050845
116,-5.3158545,-4.5491591,-4.1227462,-3.6614139,-3.0539667,-2.4753273,-2.0131528,-1.5307957,-1.1312306,-0.76855862,-0.51615989,-0.36174999
117,-5.3340987,-4.5647719,-4.1368956,-3.67398,-3.064448,-2.4838228,-2.020062,-1.5360494,-1.135113,-0.77119634,-0.51793136,-0.36299153
118,-5.3523429,-4.5803848,-4.1510451,-3.6865461,-3.0749293,-2.4923182,-2.0269712,-1.5413032,-1.1389954,-0.77383406,-0.51970284,-0.36423307
119,-5.3705871,-4.5959977,-4.1651945,-3.6991122,-3.0854107,-2.5008136,-2.0338804,-1.5465569,-1.1428779,-0.77647178,-0.52147432,-0.36547461
120,-5.3888313,-4.6116106,-4.1793439,-3.7116783,-3.095892,-2.509309,-2.0407896,-1.5518107,-1.1467603,-0.7791095,-0.5232458,-0.36671614
121,-5.4070756,-4.6272234,-4.1934933,-3.7242444,-3.1063733,-2.5178044,-2.0476988,-1.5570644,-1.1506427,-0.78174723,-0.52501728,-0.36795768
122,-5.4253198,-4.6428363,-4.2076427,-3.7368105,-3.1168546,-2.5262998,-2.054608,-1.5623181,-1.1545251,-0.78438495,-0.52678876,-0.36919922
123,-5.443564,-4.6584492,-4.2217921,-3.7493766,-3.1273359,-2.5347952,-2.0615173,-1.5675719,-1.1584076,-0.78702267,-0.52856024,-0.37044076
124,-5.4618082,-4.6740621,-4.2359415,-3.7619427,-3.1378173,-2.5432906,-2.0684265,-1.5728256,-1.16229,-0.78966039,-0.53033172,-0.3716823
125,-5.4800524,-4.6896749,-4.2500909,-3.7745088,-3.1482986,-2.5517861,-2.0753357,-1.5780794,-1.1661724,-0.79229811,-0.5321032,-0.37292384
126,-5.4982966,-4.7052878,-4.2642404,-3.7870749,-3.1587799,-2.5602815,-2.0822449,-1.5833331,-1.1700548,-0.79493583,-0.53387468,-0.37416538
127,-5.5165408,-4.7209007,-4.2783898,-3.799641,-3.1692612,-2.5687769,-2.0891541,-1.5885869,-1.1739372,-0.79757355,-0.53564616,-0.37540692
128,-5.534785,-4.7365136,-4.2925392,-3.8122071,-3.1797426,-2.5772723,-2.0960633,-1.5938406,-1.1778197,-0.80021127,-0.53741764,-0.37664846
129,-5.5530292,-4.7521265,-4.3066886,-3.8247732,-3.1902239,-2.5857677,-2.1029725,-1.5990944,-1.1817021,-0.80284899,-0.53918911,-0.37788999
130,-5.5712734,-4.7677393,-4.320838,-3.8373393,-3.2007052,-2.5942631,-2.1098817,-1.6043481,-1.1855845,-0.80548671,-0.54096059,-0.37913153
131,-5.5895176,-4.7833522,-4.3349874,-3.8499054,-3.2111865,-2.6027585,-2.116791,-1.6096019,-1.1894669,-0.80812443,-0.54273207,-0.38037307
132,-5.6077618,-4.7989651,-4.3491368,-3.8624715,-3.2216679,-2.6112539,-2.1237002,-1.6148556,-1.1933494,-0.81076215,-0.54450355,-0.38161461
133,-5.626006,-4.814578,-4.3632862,-3.8750376,-3.2321492,-2.6197494,-2.1306094,-1.6201093,-1.1972318,-0.81339987,-0.54627503,-0.38285615
134,-5.6442502,-4.8301908,-4.3774357,-3.8876038,-3.2426305,-2.6282448,-2.1375186,-1.6253631,-1.2011142,-0.81603759,-0.54804651,-0.38409769
135,-5.6624944,-4.8458037,-4.3915851,-3.9001699,-3.2531118,-2.6367402,-2.1444278,-1.6306168,-1.2049966,-0.81867531,-0.54981799,-0.38533923
136,-5.6807386,-4.8614166,-4.4057345,-3.912736,-3.2635931,-2.6452356,-2.151337,-1.6358706,-1.2088791,-0.82131304,-0.55158947,-0.38658077
137,-5.6989828,-4.8770295,-4.4198839,-3.9253021,-3.2740745,-2.653731,-2.1582462,-1.6411243,-1.2127615,-0.82395076,-0.55336095,-0.38782231
138,-5.717227,-4.8926423,-4.4340333,-3.9378682,-3.2845558,-2.6622264,-2.1651554,-1.6463781,-1.2166439,-0.82658848,-0.55513243,-0.38906384
139,-5.7354712,-4.9082552,-4.4481827,-3.9504343,-3.2950371,-2.6707218,-2.1720647,-1.6516318,-1.2205263,-0.8292262,-0.55690391,-0.39030538
140,-5.7537154,-4.9238681,-4.4623321,-3.9630004,-3.3055184,-2.6792172,-2.1789739,-1.6568856,-1.2244088,-0.83186392,-0.55867539,-0.39154692
141,-5.7719596,-4.939481,-4.4764815,-3.9755665,-3.3159998,-2.6877126,-2.1858831,-1.6621393,-1.2282912,-0.83450164,-0.56044687,-0.39278846
142,-5.7852196,-4.9508285,-4.4867654,-3.9846996,-3.3236176,-2.6938872,-2.1909047,-1.6659578,-1.231113,-0.83641875,-0.56173439,-0.39369082
143,-5.7984794,-4.9621759,-4.4970492,-3.9938326,-3.3312354,-2.7000616,-2.1959263,-1.6697762,-1.2339347,-0.83833584,-0.56302189,-0.39459317
144,-5.8117393,-4.9735233,-4.5073329,-4.0029656,-3.3388532,-2.706236,-2.2009479,-1.6735946,-1.2367564,-0.84025292,-0.5643094,-0.39549551
145,-5.8249991,-4.9848707,-4.5176167,-4.0120986,-3.346471,-2.7124105,-2.2059695,-1.677413,-1.2395782,-0.84217001,-0.5655969,-0.39639786
146,-5.8382589,-4.9962181,-4.5279004,-4.0212316,-3.3540888,-2.7185849,-2.2109911,-1.6812314,-1.2423999,-0.8440871,-0.56688441,-0.3973002
147,-5.8515187,-5.0075654,-4.5381842,-4.0303646,-3.3617066,-2.7247594,-2.2160127,-1.6850498,-1.2452216,-0.84600418,-0.56817191,-0.39820255
148,-5.8647786,-5.0189128,-4.5484679,-4.0394976,-3.3693244,-2.7309338,-2.2210343,-1.6888682,-1.2480433,-0.84792127,-0.56945942,-0.3991049
149,-5.8780384,-5.0302602,-4.5587517,-4.0486306,-3.3769422,-2.7371082,-2.2260559,-1.6926866,-1.2508651,-0.84983836,-0.57074692,-0.40000724
150,-5.8912982,-5.0416076,-4.5690354,-4.0577636,-3.38456,-2.7432827,-2.2310775,-1.696505,-1.2536868,-0.85175544,-0.57203443,-0.40090959
151,-5.9045581,-5.052955,-4.5793192,-4.0668966,-3.3921778,-2.7494571,-2.2360991,-1.7003234,-1.2565085,-0.85367253,-0.57332194,-0.40181194
152,-5.9178179,-5.0643024,-4.5896029,-4.0760296,-3.3997956,-2.7556315,-2.2411207,-1.7041418,-1.2593303,-0.85558962,-0.57460944,-0.40271428
153,-5.9310777,-5.0756498,-4.5998866,-4.0851626,-3.4074134,-2.761806,-2.2461423,-1.7079602,-1.262152,-0.85750671,-0.57589695,-0.40361663
154,-5.9443375,-5.0869972,-4.6101704,-4.0942956,-3.4150311,-2.7679804,-2.2511639,-1.7117786,-1.2649737,-0.85942379,-0.57718445,-0.40451898
155,-5.9575974,-5.0983446,-4.6204541,-4.1034286,-3.4226489,-2.7741549,-2.2561854,-1.715597,-1.2677955,-0.86134088,-0.57847196,-0.40542132
156,-5.9708572,-5.1096919,-4.6307379,-4.1125616,-3.4302667,-2.7803293,-2.261207,-1.7194154,-1.2706172,-0.86325797,-0.57975946,-0.40632367
157,-5.984117,-5.1210393,-4.6410216,-4.1216946,-3.4378845,-2.7865037,-2.2662286,-1.7232338,-1.2734389,-0.86517505,-0.58104697,-0.40722602
158,-5.9973769,-5.1323867,-4.6513054,-4.1308277,-3.4455023,-2.7926782,-2.2712502,-1.7270523,-1.2762607,-0.86709214,-0.58233447,-0.40812836
159,-6.0106367,-5.1437341,-4.6615891,-4.1399607,-3.4531201,-2.7988526,-2.2762718,-1.7308707,-1.2790824,-0.86900923,-0.58362198,-0.40903071
160,-6.0238965,-5.1550815,-4.6718729,-4.1490937,-3.4607379,-2.8050271,-2.2812934,-1.7346891,-1.2819041,-0.87092631,-0.58490948,-0.40993306
