Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
0,-2.214224,0,0,0,0,-0.4448375,-0.85623945,0,0,0,0,0
1,-2.264252,0,0,0,0,-0.45488813,-0.87558527,0,0,0,0,0
2,-2.3142801,0,0,0,0,-0.46493876,-0.89493109,0,0,0,0,0
3,-2.3643081,0,0,0,0,-0.47498939,-0.91427691,0,0,0,0,0
4,-2.4143361,0,0,0,0,-0.48504002,-0.93362272,0,0,0,0,0
5,-2.4643641,0,0,0,0,-0.49509065,-0.95296854,0,0,0,0,0
6,-2.5143922,0,0,0,0,-0.50514128,-0.97231436,0,0,0,0,0
7,-2.5644202,0,0,0,0,-0.51519191,-0.99166018,0,0,0,0,0
8,-2.6144482,0,0,0,0,-0.52524253,-1.011006,0,0,0,0,0
9,-2.6644763,0,0,0,0,-0.53529316,-1.0303518,0,0,0,0,0
10,-2.7145043,0,0,0,0,-0.54534379,-1.0496976,0,0,0,0,0
11,-2.7645323,0,0,0,0,-0.55539442,-1.0690434,0,0,0,0,0
12,-2.8145604,0,0,0,0,-0.56544505,-1.0883893,0,0,0,0,0
13,-2.8645884,0,0,0,0,-0.57549568,-1.1077351,0,0,0,0,0
14,-2.9146164,0,0,0,0,-0.58554631,-1.1270809,0,0,0,0,0
15,-2.9646444,0,0,0,0,-0.59559694,-1.1464267,0,0,0,0,0
16,-3.0146725,0,0,0,0,-0.60564757,-1.1657725,0,0,0,0,0
17,-3.0647005,0,0,0,0,-0.6156982,-1.1851184,0,0,0,0,0
18,-3.1147285,0,0,0,0,-0.62574882,-1.2044642,0,0,0,0,0
19,-3.1647566,0,0,0,0,-0.63579945,-1.22381,0,0,0,0,0
20,-3.2147846,0,0,0,0,-0.64585008,-1.2431558,0,0,0,0,0
21,-3.2648126,0,0,0,0,-0.65590071,-1.2625016,0,0,0,0,0
22,-3.3148407,0,0,0,0,-0.66595134,-1.2818474,0,0,0,0,0
23,-3.3648687,0,0,0,0,-0.67600197,-1.3011933,0,0,0,0,0
24,-3.4148967,0,0,0,0,-0.6860526,-1.3205391,0,0,0,0,0
25,-3.4649247,0,0,0,0,-0.69610323,-1.3398849,0,0,0,0,0
26,-3.5149528,0,0,0,0,-0.70615386,-1.3592307,0,0,0,0,0
27,-3.5649808,0,0,0,0,-0.71620449,-1.3785765,0,0,0,0,0
28,-3.6150088,0,0,0,0,-0.72625511,-1.3979223,0,0,0,0,0
29,-3.6650369,0,0,0,0,-0.73630574,-1.4172682,0,0,0,0,0
30,-3.7150649,0,0,0,0,-0.74635637,-1.436614,0,0,0,0,0
31,-3.7650929,0,0,0,0,-0.756407,-1.4559598,0,0,0,0,0
32,-3.7833415,0,0,0,0,-0.76007314,-1.4630165,0,0,0,0,0
33,-3.8015857,0,0,0,0,-0.7637384,-1.4700715,0,0,0,0,0
34,-3.8198299,0,0,0,0,-0.76740366,-1.4771266,0,0,0,0,0
35,-3.8380741,0,0,0,0,-0.77106892,-1.4841816,0,0,0,0,0
36,-3.8563183,0,0,0,0,-0.77473418,-1.4912366,0,0,0,0,0
37,-3.8745625,0,0,0,0,-0.77839944,-1.4982916,0,0,0,0,0
38,-3.8928067,0,0,0,0,-0.7820647,-1.5053467,0,0,0,0,0
39,-3.9110509,0,0,0,0,-0.78572995,-1.5124017,0,0,0,0,0
40,-3.9292951,0,0,0,0,-0.78939521,-1.5194567,0,0,0,0,0
41,-3.9475393,0,0,0,0,-0.79306047,-1.5265117,0,0,0,0,0
42,-3.9657835,0,0,0,0,-0.79672573,-1.5335668,0,0,0,0,0
43,-3.9840277,0,0,0,0,-0.80039099,-1.5406218,0,0,0,0,0
44,-4.0022719,0,0,0,0,-0.80405625,-1.5476768,0,0,0,0,0
45,-4.0205161,0,0,0,0,-0.80772151,-1.5547318,0,0,0,0,0
46,-4.0387603,0,0,0,0,-0.81138677,-1.5617869,0,0,0,0,0
47,-4.0570045,0,0,0,0,-0.81505203,-1.5688419,0,0,0,0,0
48,-4.0752487,0,0,0,0,-0.81871729,-1.5758969,0,0,0,0,0
49,-4.0934929,0,0,0,0,-0.82238255,-1.5829519,0,0,0,0,0
50,-4.1117371,0,0,0,0,-0.82604781,-1.590007,0,0,0,0,0
51,-4.1299813,0,0,0,0,-0.82971307,-1.597062,0,0,0,0,0
52,-4.1482256,0,0,0,0,-0.83337833,-1.604117,0,0,0,0,0
53,-4.1664698,0,0,0,0,-0.83704359,-1.611172,0,0,0,0,0
54,-4.184714,0,0,0,0,-0.84070885,-1.6182271,0,0,0,0,0
55,-4.2029582,0,0,0,0,-0.84437411,-1.6252821,0,0,0,0,0
56,-4.2212024,0,0,0,0,-0.84803937,-1.6323371,0,0,0,0,0
57,-4.2394466,0,0,0,0,-0.85170463,-1.6393921,0,0,0,0,0
58,-4.2576908,0,0,0,0,-0.85536989,-1.6464472,0,0,0,0,0
59,-4.275935,0,0,0,0,-0.85903515,-1.6535022,0,0,0,0,0
60,-4.2941792,0,0,0,0,-0.86270041,-1.6605572,0,0,0,0,0
61,-4.3124234,0,0,0,0,-0.86636567,-1.6676122,0,0,0,0,0
62,-4.3306676,0,0,0,0,-0.87003092,-1.6746673,0,0,0,0,0
63,-4.3489118,0,0,0,0,-0.87369618,-1.6817223,0,0,0,0,0
64,-4.367156,0,0,0,0,-0.87736144,-1.6887773,0,0,0,0,0
65,-4.3854002,0,0,0,0,-0.8810267,-1.6958323,0,0,0,0,0
66,-4.4036444,0,0,0,0,-0.88469196,-1.7028874,0,0,0,0,0
67,-4.4218886,0,0,0,0,-0.88835722,-1.7099424,0,0,0,0,0
68,-4.4401328,0,0,0,0,-0.89202248,-1.7169974,0,0,0,0,0
69,-4.458377,0,0,0,0,-0.89568774,-1.7240524,0,0,0,0,0
70,-4.4766212,0,0,0,0,-0.899353,-1.7311075,0,0,0,0,0
71,-4.4948654,0,0,0,0,-0.90301826,-1.7381625,0,0,0,0,0
72,-4.5131096,0,0,0,0,-0.90668352,-1.7452175,0,0,0,0,0
73,-4.5313538,0,0,0,0,-0.91034878,-1.7522725,0,0,0,0,0
74,-4.549598,0,0,0,0,-0.91401404,-1.7593276,0,0,0,0,0
75,-4.5678422,0,0,0,0,-0.9176793,-1.7663826,0,0,0,0,0
76,-4.5860864,0,0,0,0,-0.92134456,-1.7734376,0,0,0,0,0
77,-4.6043306,0,0,0,0,-0.92500982,-1.7804926,0,0,0,0,0
78,-4.6225748,0,0,0,0,-0.92867508,-1.7875477,0,0,0,0,0
79,-4.640819,0,0,0,0,-0.93234034,-1.7946027,0,0,0,0,0
80,-4.6590632,0,0,0,0,-0.9360056,-1.8016577,0,0,0,0,0
81,-4.6773074,0,0,0,0,-0.93967086,-1.8087127,0,0,0,0,0
82,-4.6955516,0,0,0,0,-0.94333612,-1.8157678,0,0,0,0,0
83,-4.7137958,0,0,0,0,-0.94700138,-1.8228228,0,0,0,0,0
84,-4.73204,0,0,0,0,-0.95066663,-1.8298778,0,0,0,0,0
85,-4.7502842,0,0,0,0,-0.95433189,-1.8369329,0,0,0,0,0
86,-4.7685284,0,0,0,0,-0.95799715,-1.8439879,0,0,0,0,0
87,-4.7867727,0,0,0,0,-0.96166241,-1.8510429,0,0,0,0,0
88,-4.8050169,0,0,0,0,-0.96532767,-1.8580979,0,0,0,0,0
89,-4.8232611,0,0,0,0,-0.96899293,-1.865153,0,0,0,0,0
90,-4.8415053,0,0,0,0,-0.97265819,-1.872208,0,0,0,0,0
91,-4.8597495,0,0,0,0,-0.97632345,-1.879263,0,0,0,0,0
92,-4.8779937,0,0,0,0,-0.97998871,-1.886318,0,0,0,0,0
93,-4.8962379,0,0,0,0,-0.98365397,-1.8933731,0,0,0,0,0
94,-4.9144821,0,0,0,0,-0.98731923,-1.9004281,0,0,0,0,0
95,-4.9327263,0,0,0,0,-0.99098449,-1.9074831,0,0,0,0,0
96,-4.9509705,0,0,0,0,-0.99464975,-1.9145381,0,0,0,0,0
97,-4.9692147,0,0,0,0,-0.99831501,-1.9215932,0,0,0,0,0
98,-4.9874589,0,0,0,0,-1.0019803,-1.9286482,0,0,0,0,0
99,-5.0057031,0,0,0,0,-1.0056455,-1.9357032,0,0,0,0,0
100,-5.0239473,0,0,0,0,-1.0093108,-1.9427582,0,0,0,0,0
101,-5.0421915,0,0,0,0,-1.012976,-1.9498133,0,0,0,0,0
102,-5.0604357,0,0,0,0,-1.0166413,-1.9568683,0,0,0,0,0
103,-5.0786799,0,0,0,0,-1.0203066,-1.9639233,0,0,0,0,0
104,-5.0969241,0,0,0,0,-1.0239718,-1.9709783,0,0,0,0,0
105,-5.1151683,0,0,0,0,-1.0276371,-1.9780334,0,0,0,0,0
106,-5.1334125,0,0,0,0,-1.0313023,-1.9850884,0,0,0,0,0
107,-5.1516567,0,0,0,0,-1.0349676,-1.9921434,0,0,0,0,0
108,-5.1699009,0,0,0,0,-1.0386329,-1.9991984,0,0,0,0,0
109,-5.1881451,0,0,0,0,-1.0422981,-2.0062535,0,0,0,0,0
110,-5.2063893,0,0,0,0,-1.0459634,-2.0133085,0,0,0,0,0
111,-5.2246335,0,0,0,0,-1.0496286,-2.0203635,0,0,0,0,0
112,-5.2428777,0,0,0,0,-1.0532939,-2.0274185,0,0,0,0,0
113,-5.2611219,0,0,0,0,-1.0569592,-2.0344736,0,0,0,0,0
114,-5.2793661,0,0,0,0,-1.0606244,-2.0415286,0,0,0,0,0
115,-5.2976103,0,0,0,0,-1.0642897,-2.0485836,0,0,0,0,0
116,-5.3158545,0,0,0,0,-1.0679549,-2.0556386,0,0,0,0,0
117,-5.3340987,0,0,0,0,-1.0716202,-2.0626937,0,0,0,0,0
118,-5.3523429,0,0,0,0,-1.0752855,-2.0697487,0,0,0,0,0
119,-5.3705871,0,0,0,0,-1.0789507,-2.0768037,0,0,0,0,0
120,-5.3888313,0,0,0,0,-1.082616,-2.0838587,0,0,0,0,0
121,-5.4070756,0,0,0,0,-1.0862812,-2.0909138,0,0,0,0,0
122,-5.4253198,0,0,0,0,-1.0899465,-2.0979688,0,0,0,0,0
123,-5.443564,0,0,0,0,-1.0936118,-2.1050238,0,0,0,0,0
124,-5.4618082,0,0,0,0,-1.097277,-2.1120788,0,0,0,0,0
125,-5.4800524,0,0,0,0,-1.1009423,-2.1191339,0,0,0,0,0
126,-5.4982966,0,0,0,0,-1.1046075,-2.1261889,0,0,0,0,0
127,-5.5165408,0,0,0,0,-1.1082728,-2.1332439,0,0,0,0,0
128,-5.534785,0,0,0,0,-1.1119381,-2.1402989,0,0,0,0,0
129,-5.5530292,0,0,0,0,-1.1156033,-2.147354,0,0,0,0,0
130,-5.5712734,0,0,0,0,-1.1192686,-2.154409,0,0,0,0,0
131,-5.5895176,0,0,0,0,-1.1229338,-2.161464,0,0,0,0,0
132,-5.6077618,0,0,0,0,-1.1265991,-2.168519,0,0,0,0,0
133,-5.626006,0,0,0,0,-1.1302644,-2.1755741,0,0,0,0,0
134,-5.6442502,0,0,0,0,-1.1339296,-2.1826291,0,0,0,0,0
135,-5.6624944,0,0,0,0,-1.1375949,-2.1896841,0,0,0,0,0
136,-5.6807386,0,0,0,0,-1.1412601,-2.1967391,0,0,0,0,0
137,-5.6989828,0,0,0,0,-1.1449254,-2.2037942,0,0,0,0,0
138,-5.717227,0,0,0,0,-1.1485907,-2.2108492,0,0,0,0,0
139,-5.7354712,0,0,0,0,-1.1522559,-2.2179042,0,0,0,0,0
140,-5.7537154,0,0,0,0,-1.1559212,-2.2249592,0,0,0,0,0
141,-5.7719596,0,0,0,0,-1.1595864,-2.2320143,0,0,0,0,0
142,-5.7852196,0,0,0,0,-1.1622504,-2.2371419,0,0,0,0,0
143,-5.7984794,0,0,0,0,-1.1649143,-2.2422695,0,0,0,0,0
144,-5.8117393,0,0,0,0,-1.1675782,-2.247397,0,0,0,0,0
145,-5.8249991,0,0,0,0,-1.1702421,-2.2525246,0,0,0,0,0
146,-5.8382589,0,0,0,0,-1.172906,-2.2576522,0,0,0,0,0
147,-5.8515187,0,0,0,0,-1.1755699,-2.2627798,0,0,0,0,0
148,-5.8647786,0,0,0,0,-1.1782338,-2.2679073,0,0,0,0,0
149,-5.8780384,0,0,0,0,-1.1808977,-2.2730349,0,0,0,0,0
150,-5.8912982,0,0,0,0,-1.1835616,-2.2781625,0,0,0,0,0
151,-5.9045581,0,0,0,0,-1.1862255,-2.28329,0,0,0,0,0
