Time (ms),Stress at 0.00 mm (kPa),Stress at 0.29 mm (kPa),Stress at 0.47 mm (kPa),Stress at 0.67 mm (kPa),Stress at 0.89 mm (kPa),Stress at 1.11 mm (kPa),Stress at 1.31 mm (kPa),Stress at 1.51 mm (kPa),Stress at 1.71 mm (kPa),Stress at 1.91 mm (kPa),Stress at 2.10 mm (kPa),Stress at 2.30 mm (kPa),Stress at 2.50 mm (kPa),Stress at 2.69 mm (kPa),Stress at 2.91 mm (kPa),Stress at 3.11 mm (kPa),Stress at 3.30 mm (kPa),Stress at 3.48 mm (kPa),Stress at 3.71 mm (kPa),Stress at 3.92 mm (kPa),Stress at 4.10 mm (kPa),Stress at 4.29 mm (kPa),Stress at 4.50 mm (kPa),Stress at 4.70 mm (kPa),Stress at 4.91 mm (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.056171057,-0.047485241,-0.046698539,-0.038570636,-0.033051768,-0.030799895,-0.02666499,-0.017683363,-0.014031507,-0.015408632,-0.0063685681,-0.0063709549,-0.004556665,-0.0027401218,-0.00018763833,0,0,0,0,0,0,0,0,0,0
2,-0.11234211,-0.094970481,-0.093397077,-0.077141272,-0.066103536,-0.06159979,-0.053329981,-0.035366727,-0.028063013,-0.030817264,-0.012737136,-0.01274191,-0.0091133299,-0.0054802436,-0.00037527666,0,0,0,0,0,0,0,0,0,0
3,-0.16851317,-0.14245572,-0.14009562,-0.11571191,-0.099155303,-0.092399685,-0.079994971,-0.05305009,-0.04209452,-0.046225896,-0.019105704,-0.019112865,-0.013669995,-0.0082203654,-0.00056291499,0,0,0,0,0,0,0,0,0,0
4,-0.22468423,-0.18994096,-0.18679415,-0.15428254,-0.13220707,-0.12319958,-0.10665996,-0.070733454,-0.056126027,-0.061634528,-0.025474272,-0.025483819,-0.01822666,-0.010960487,-0.00075055332,0,0,0,0,0,0,0,0,0,0
5,-0.28085529,-0.2374262,-0.23349269,-0.19285318,-0.16525884,-0.15399948,-0.13332495,-0.088416817,-0.070157534,-0.07704316,-0.03184284,-0.031854774,-0.022783325,-0.013700609,-0.00093819165,0,0,0,0,0,0,0,0,0,0
6,-0.33702634,-0.28491144,-0.28019123,-0.23142382,-0.19831061,-0.18479937,-0.15998994,-0.10610018,-0.08418904,-0.092451792,-0.038211409,-0.038225729,-0.02733999,-0.016440731,-0.00112583,0,0,0,0,0,0,0,0,0,0
7,-0.3931974,-0.33239668,-0.32688977,-0.26999445,-0.23136237,-0.21559927,-0.18665493,-0.12378354,-0.098220547,-0.10786042,-0.044579977,-0.044596684,-0.031896655,-0.019180853,-0.0013134683,0,0,0,0,0,0,0,0,0,0
8,-0.44936846,-0.37988193,-0.37358831,-0.30856509,-0.26441414,-0.24639916,-0.21331992,-0.14146691,-0.11225205,-0.12326906,-0.050948545,-0.050967639,-0.03645332,-0.021920974,-0.0015011066,0,0,0,0,0,0,0,0,0,0
9,-0.50553952,-0.42736717,-0.42028685,-0.34713573,-0.29746591,-0.27719906,-0.23998491,-0.15915027,-0.12628356,-0.13867769,-0.057317113,-0.057338594,-0.041009985,-0.024661096,-0.001688745,0,0,0,0,0,0,0,0,0,0
10,-0.56171057,-0.47485241,-0.46698539,-0.38570636,-0.33051768,-0.30799895,-0.2666499,-0.17683363,-0.14031507,-0.15408632,-0.063685681,-0.063709549,-0.04556665,-0.027401218,-0.0018763833,0,0,0,0,0,0,0,0,0,0
11,-0.61788163,-0.52233765,-0.51368392,-0.424277,-0.36356945,-0.33879885,-0.29331489,-0.194517,-0.15434657,-0.16949495,-0.070054249,-0.070080503,-0.050123315,-0.03014134,-0.0020640216,0,0,0,0,0,0,0,0,0,0
12,-0.67405269,-0.56982289,-0.56038246,-0.46284763,-0.39662121,-0.36959874,-0.31997988,-0.21220036,-0.16837808,-0.18490358,-0.076422817,-0.076451458,-0.05467998,-0.032881462,-0.00225166,0,0,0,0,0,0,0,0,0,0
13,-0.73022374,-0.61730813,-0.607081,-0.50141827,-0.42967298,-0.40039864,-0.34664488,-0.22988372,-0.18240959,-0.20031222,-0.082791385,-0.082822413,-0.059236645,-0.035621584,-0.0024392983,0,0,0,0,0,0,0,0,0,0
14,-0.7863948,-0.66479337,-0.65377954,-0.53998891,-0.46272475,-0.43119853,-0.37330987,-0.24756709,-0.19644109,-0.21572085,-0.089159953,-0.089193368,-0.06379331,-0.038361705,-0.0026269366,0,0,0,0,0,0,0,0,0,0
15,-0.84256586,-0.71227861,-0.70047808,-0.57855954,-0.49577652,-0.46199843,-0.39997486,-0.26525045,-0.2104726,-0.23112948,-0.095528521,-0.095564323,-0.068349975,-0.041101827,-0.002814575,0,0,0,0,0,0,0,0,0,0
16,-0.89873692,-0.75976385,-0.74717662,-0.61713018,-0.52882828,-0.49279832,-0.42663985,-0.28293381,-0.22450411,-0.24653811,-0.10189709,-0.10193528,-0.072906639,-0.043841949,-0.0030022133,0,0,0,0,0,0,0,0,0,0
17,-0.95490797,-0.80724909,-0.79387516,-0.65570081,-0.56188005,-0.52359822,-0.45330484,-0.30061718,-0.23853561,-0.26194674,-0.10826566,-0.10830623,-0.077463304,-0.046582071,-0.0031898516,0,0,0,0,0,0,0,0,0,0
18,-1.011079,-0.85473433,-0.8405737,-0.69427145,-0.59493182,-0.55439811,-0.47996983,-0.31830054,-0.25256712,-0.27735537,-0.11463423,-0.11467719,-0.082019969,-0.049322193,-0.0033774899,0,0,0,0,0,0,0,0,0,0
19,-1.0672501,-0.90221957,-0.88727223,-0.73284209,-0.62798359,-0.58519801,-0.50663482,-0.33598391,-0.26659863,-0.29276401,-0.12100279,-0.12104814,-0.086576634,-0.052062314,-0.0035651283,0,0,0,0,0,0,0,0,0,0
20,-1.1234211,-0.94970481,-0.93397077,-0.77141272,-0.66103536,-0.6159979,-0.53329981,-0.35366727,-0.28063013,-0.30817264,-0.12737136,-0.1274191,-0.091133299,-0.054802436,-0.0037527666,0,0,0,0,0,0,0,0,0,0
21,-1.1795922,-0.99719005,-0.98066931,-0.80998336,-0.69408712,-0.6467978,-0.5599648,-0.37135063,-0.29466164,-0.32358127,-0.13373993,-0.13379005,-0.095689964,-0.057542558,-0.0039404049,0,0,0,0,0,0,0,0,0,0
22,-1.2357633,-1.0446753,-1.0273678,-0.848554,-0.72713889,-0.67759769,-0.58662979,-0.389034,-0.30869315,-0.3389899,-0.1401085,-0.14016101,-0.10024663,-0.06028268,-0.0041280433,0,0,0,0,0,0,0,0,0,0
23,-1.2919343,-1.0921605,-1.0740664,-0.88712463,-0.76019066,-0.70839759,-0.61329478,-0.40671736,-0.32272465,-0.35439853,-0.14647707,-0.14653196,-0.10480329,-0.063022802,-0.0043156816,0,0,0,0,0,0,0,0,0,0
24,-1.3481054,-1.1396458,-1.1207649,-0.92569527,-0.79324243,-0.73919748,-0.63995977,-0.42440072,-0.33675616,-0.36980717,-0.15284563,-0.15290292,-0.10935996,-0.065762923,-0.0045033199,0,0,0,0,0,0,0,0,0,0
25,-1.4042764,-1.187131,-1.1674635,-0.9642659,-0.8262942,-0.76999738,-0.66662476,-0.44208409,-0.35078767,-0.3852158,-0.1592142,-0.15927387,-0.11391662,-0.068503045,-0.0046909583,0,0,0,0,0,0,0,0,0,0
26,-1.4604475,-1.2346163,-1.214162,-1.0028365,-0.85934596,-0.80079727,-0.69328975,-0.45976745,-0.36481917,-0.40062443,-0.16558277,-0.16564483,-0.11847329,-0.071243167,-0.0048785966,0,0,0,0,0,0,0,0,0,0
27,-1.5166185,-1.2821015,-1.2608605,-1.0414072,-0.89239773,-0.83159717,-0.71995474,-0.47745081,-0.37885068,-0.41603306,-0.17195134,-0.17201578,-0.12302995,-0.073983289,-0.0050662349,0,0,0,0,0,0,0,0,0,0
28,-1.5727896,-1.3295867,-1.3075591,-1.0799778,-0.9254495,-0.86239706,-0.74661973,-0.49513418,-0.39288219,-0.43144169,-0.17831991,-0.17838674,-0.12758662,-0.076723411,-0.0052538732,0,0,0,0,0,0,0,0,0,0
29,-1.6289607,-1.377072,-1.3542576,-1.1185484,-0.95850127,-0.89319696,-0.77328472,-0.51281754,-0.40691369,-0.44685033,-0.18468847,-0.18475769,-0.13214328,-0.079463532,-0.0054415116,0,0,0,0,0,0,0,0,0,0
30,-1.6851317,-1.4245572,-1.4009562,-1.1571191,-0.99155303,-0.92399685,-0.79994971,-0.5305009,-0.4209452,-0.46225896,-0.19105704,-0.19112865,-0.13669995,-0.082203654,-0.0056291499,0,0,0,0,0,0,0,0,0,0
31,-1.7413028,-1.4720425,-1.4476547,-1.1956897,-1.0246048,-0.95479675,-0.8266147,-0.54818427,-0.43497671,-0.47766759,-0.19742561,-0.1974996,-0.14125661,-0.084943776,-0.0058167882,0,0,0,0,0,0,0,0,0,0
32,-1.7974738,-1.5195277,-1.4943532,-1.2342604,-1.0576566,-0.98559664,-0.85327969,-0.56586763,-0.44900821,-0.49307622,-0.20379418,-0.20387056,-0.14581328,-0.087683898,-0.0060044266,0,0,0,0,0,0,0,0,0,0
33,-1.5621391,-1.3205831,-1.2987046,-1.0726645,-0.91918259,-0.85655713,-0.74156381,-0.49178125,-0.39022169,-0.42852008,-0.17711237,-0.17717875,-0.12672263,-0.076203859,-0.0052182953,0,0,0,0,0,0,0,0,0,0
34,-1.3267854,-1.1216225,-1.1030403,-0.91105561,-0.78069748,-0.72750724,-0.62983895,-0.41768892,-0.33143044,-0.36395875,-0.15042842,-0.15048479,-0.10763046,-0.064722898,-0.004432101,0,0,0,0,0,0,0,0,0,0
35,-1.0914317,-0.92266197,-0.90737596,-0.74944675,-0.64221238,-0.59845736,-0.5181141,-0.34359659,-0.27263919,-0.29939742,-0.12374446,-0.12379084,-0.088538279,-0.053241937,-0.0036459066,0,0,0,0,0,0,0,0,0,0
