Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa)
22,-13.155262,0,0,0,0,0,-2.5491732,-0.20844042,0,0,0,0,-22.533603,-3.994661,0,0,-0.49538662,-4.0544526,-6.4920762,-1.3418375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-13.166665,0,0,0,0,0,-2.5513828,-0.20862109,0,0,0,0,-22.553134,-3.9981235,0,0,-0.49581601,-4.0579669,-6.4977035,-1.3430006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-13.178067,0,0,0,0,0,-2.5535924,-0.20880176,0,0,0,0,-22.572666,-4.001586,0,0,-0.4962454,-4.0614813,-6.5033307,-1.3441637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-13.18947,0,0,0,0,0,-2.5558019,-0.20898244,0,0,0,0,-22.592198,-4.0050485,0,0,-0.4966748,-4.0649956,-6.5089579,-1.3453268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-13.200873,0,0,0,0,0,-2.5580115,-0.20916311,0,0,0,0,-22.61173,-4.008511,0,0,-0.49710419,-4.0685099,-6.5145851,-1.3464899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-13.212276,0,0,0,0,0,-2.5602211,-0.20934378,0,0,0,0,-22.631261,-4.0119735,0,0,-0.49753358,-4.0720243,-6.5202124,-1.3476529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-13.223679,0,0,0,0,0,-2.5624307,-0.20952445,0,0,0,0,-22.650793,-4.015436,0,0,-0.49796297,-4.0755386,-6.5258396,-1.348816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-13.235081,0,0,0,0,0,-2.5646403,-0.20970513,0,0,0,0,-22.670325,-4.0188985,0,0,-0.49839237,-4.0790529,-6.5314668,-1.3499791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-13.246484,0,0,0,0,0,-2.5668499,-0.2098858,0,0,0,0,-22.689857,-4.0223611,0,0,-0.49882176,-4.0825673,-6.537094,-1.3511422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-13.257887,0,0,0,0,0,-2.5690594,-0.21006647,0,0,0,0,-22.709388,-4.0258236,0,0,-0.49925115,-4.0860816,-6.5427212,-1.3523053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
