Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa)
675,260.84413,0,0,0,0,0,50.545316,4.132982,0,0,0,0,446.79901,79.206624,0,0,9.8225861,80.392179,128.72568,26.606118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,261.21856,0,0,0,0,0,50.617871,4.1389146,0,0,0,0,447.44037,79.320321,0,0,9.8366858,80.507577,128.91046,26.644309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,261.59299,0,0,0,0,0,50.690426,4.1448473,0,0,0,0,448.08172,79.434017,0,0,9.8507855,80.622976,129.09523,26.6825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,261.96741,0,0,0,0,0,50.762981,4.1507799,0,0,0,0,448.72307,79.547713,0,0,9.8648853,80.738374,129.28001,26.720692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,262.34184,0,0,0,0,0,50.835535,4.1567125,0,0,0,0,449.36442,79.661409,0,0,9.878985,80.853772,129.46479,26.758883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,262.71626,0,0,0,0,0,50.90809,4.1626452,0,0,0,0,450.00578,79.775106,0,0,9.8930847,80.96917,129.64957,26.797075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,263.09069,0,0,0,0,0,50.980645,4.1685778,0,0,0,0,450.64713,79.888802,0,0,9.9071844,81.084568,129.83434,26.835266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,263.46512,0,0,0,0,0,51.053199,4.1745105,0,0,0,0,451.28848,80.002498,0,0,9.9212841,81.199966,130.01912,26.873458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,263.83954,0,0,0,0,0,51.125754,4.1804431,0,0,0,0,451.92984,80.116195,0,0,9.9353839,81.315364,130.2039,26.911649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,264.21397,0,0,0,0,0,51.198309,4.1863758,0,0,0,0,452.57119,80.229891,0,0,9.9494836,81.430762,130.38868,26.949841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,264.58839,0,0,0,0,0,51.270864,4.1923084,0,0,0,0,453.21254,80.343587,0,0,9.9635833,81.54616,130.57346,26.988032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,264.96282,0,0,0,0,0,51.343418,4.198241,0,0,0,0,453.85389,80.457283,0,0,9.977683,81.661558,130.75823,27.026224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,265.33724,0,0,0,0,0,51.415973,4.2041737,0,0,0,0,454.49525,80.57098,0,0,9.9917828,81.776956,130.94301,27.064415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,265.71167,0,0,0,0,0,51.488528,4.2101063,0,0,0,0,455.1366,80.684676,0,0,10.005882,81.892354,131.12779,27.102607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,266.0861,0,0,0,0,0,51.561082,4.216039,0,0,0,0,455.77795,80.798372,0,0,10.019982,82.007752,131.31257,27.140798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,266.46052,0,0,0,0,0,51.633637,4.2219716,0,0,0,0,456.41931,80.912069,0,0,10.034082,82.123151,131.49735,27.178989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,266.83495,0,0,0,0,0,51.706192,4.2279043,0,0,0,0,457.06066,81.025765,0,0,10.048182,82.238549,131.68212,27.217181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,267.20937,0,0,0,0,0,51.778747,4.2338369,0,0,0,0,457.70201,81.139461,0,0,10.062281,82.353947,131.8669,27.255372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,267.5838,0,0,0,0,0,51.851301,4.2397696,0,0,0,0,458.34336,81.253157,0,0,10.076381,82.469345,132.05168,27.293564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,267.95823,0,0,0,0,0,51.923856,4.2457022,0,0,0,0,458.98472,81.366854,0,0,10.090481,82.584743,132.23646,27.331755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,268.33265,0,0,0,0,0,51.996411,4.2516348,0,0,0,0,459.62607,81.48055,0,0,10.104581,82.700141,132.42123,27.369947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,268.70708,0,0,0,0,0,52.068966,4.2575675,0,0,0,0,460.26742,81.594246,0,0,10.11868,82.815539,132.60601,27.408138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,269.0815,0,0,0,0,0,52.14152,4.2635001,0,0,0,0,460.90877,81.707943,0,0,10.13278,82.930937,132.79079,27.44633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,269.45593,0,0,0,0,0,52.214075,4.2694328,0,0,0,0,461.55013,81.821639,0,0,10.14688,83.046335,132.97557,27.484521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,269.83036,0,0,0,0,0,52.28663,4.2753654,0,0,0,0,462.19148,81.935335,0,0,10.160979,83.161733,133.16035,27.522713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,270.20478,0,0,0,0,0,52.359184,4.2812981,0,0,0,0,462.83283,82.049031,0,0,10.175079,83.277131,133.34512,27.560904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,270.57921,0,0,0,0,0,52.431739,4.2872307,0,0,0,0,463.47419,82.162728,0,0,10.189179,83.392529,133.5299,27.599096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,270.95363,0,0,0,0,0,52.504294,4.2931634,0,0,0,0,464.11554,82.276424,0,0,10.203279,83.507928,133.71468,27.637287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,271.32806,0,0,0,0,0,52.576849,4.299096,0,0,0,0,464.75689,82.39012,0,0,10.217378,83.623326,133.89946,27.675478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,271.70248,0,0,0,0,0,52.649403,4.3050286,0,0,0,0,465.39824,82.503817,0,0,10.231478,83.738724,134.08424,27.71367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,272.07691,0,0,0,0,0,52.721958,4.3109613,0,0,0,0,466.0396,82.617513,0,0,10.245578,83.854122,134.26901,27.751861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,272.45134,0,0,0,0,0,52.794513,4.3168939,0,0,0,0,466.68095,82.731209,0,0,10.259678,83.96952,134.45379,27.790053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,272.82576,0,0,0,0,0,52.867068,4.3228266,0,0,0,0,467.3223,82.844906,0,0,10.273777,84.084918,134.63857,27.828244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,273.20019,0,0,0,0,0,52.939622,4.3287592,0,0,0,0,467.96366,82.958602,0,0,10.287877,84.200316,134.82335,27.866436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,273.57461,0,0,0,0,0,53.012177,4.3346919,0,0,0,0,468.60501,83.072298,0,0,10.301977,84.315714,135.00812,27.904627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,273.94904,0,0,0,0,0,53.084732,4.3406245,0,0,0,0,469.24636,83.185994,0,0,10.316076,84.431112,135.1929,27.942819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,274.32347,0,0,0,0,0,53.157286,4.3465571,0,0,0,0,469.88771,83.299691,0,0,10.330176,84.54651,135.37768,27.98101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,274.69789,0,0,0,0,0,53.229841,4.3524898,0,0,0,0,470.52907,83.413387,0,0,10.344276,84.661908,135.56246,28.019202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,275.07232,0,0,0,0,0,53.302396,4.3584224,0,0,0,0,471.17042,83.527083,0,0,10.358376,84.777306,135.74724,28.057393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,275.44674,0,0,0,0,0,53.374951,4.3643551,0,0,0,0,471.81177,83.64078,0,0,10.372475,84.892704,135.93201,28.095585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,275.82117,0,0,0,0,0,53.447505,4.3702877,0,0,0,0,472.45312,83.754476,0,0,10.386575,85.008103,136.11679,28.133776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,276.19559,0,0,0,0,0,53.52006,4.3762204,0,0,0,0,473.09448,83.868172,0,0,10.400675,85.123501,136.30157,28.171967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,276.57002,0,0,0,0,0,53.592615,4.382153,0,0,0,0,473.73583,83.981868,0,0,10.414774,85.238899,136.48635,28.210159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,276.94445,0,0,0,0,0,53.665169,4.3880857,0,0,0,0,474.37718,84.095565,0,0,10.428874,85.354297,136.67113,28.24835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,277.31887,0,0,0,0,0,53.737724,4.3940183,0,0,0,0,475.01854,84.209261,0,0,10.442974,85.469695,136.8559,28.286542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,277.31891,0,0,0,0,0,53.737732,4.3940189,0,0,0,0,475.0186,84.209272,0,0,10.442975,85.469707,136.85592,28.286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
