Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
64,-4.367156,0,0,0,0,-1.6457052,-2.4377455,0,0,0,0,0
65,-4.3854002,0,0,0,0,-1.6525803,-2.4479294,0,0,0,0,0
66,-4.4036444,0,0,0,0,-1.6594554,-2.4581133,0,0,0,0,0
67,-4.4218886,0,0,0,0,-1.6663305,-2.4682972,0,0,0,0,0
68,-4.4401328,0,0,0,0,-1.6732056,-2.4784811,0,0,0,0,0
69,-4.458377,0,0,0,0,-1.6800807,-2.488665,0,0,0,0,0
70,-4.4766212,0,0,0,0,-1.6869558,-2.4988489,0,0,0,0,0
71,-4.4948654,0,0,0,0,-1.6938309,-2.5090328,0,0,0,0,0
72,-4.5131096,0,0,0,0,-1.7007059,-2.5192167,0,0,0,0,0
73,-4.5313538,0,0,0,0,-1.707581,-2.5294007,0,0,0,0,0
74,-4.549598,0,0,0,0,-1.7144561,-2.5395846,0,0,0,0,0
75,-4.5678422,0,0,0,0,-1.7213312,-2.5497685,0,0,0,0,0
76,-4.5860864,0,0,0,0,-1.7282063,-2.5599524,0,0,0,0,0
77,-4.6043306,0,0,0,0,-1.7350814,-2.5701363,0,0,0,0,0
78,-4.6225748,0,0,0,0,-1.7419565,-2.5803202,0,0,0,0,0
79,-4.640819,0,0,0,0,-1.7488316,-2.5905041,0,0,0,0,0
80,-4.6590632,0,0,0,0,-1.7557066,-2.600688,0,0,0,0,0
81,-4.6773074,0,0,0,0,-1.7625817,-2.6108719,0,0,0,0,0
82,-4.6955516,0,0,0,0,-1.7694568,-2.6210558,0,0,0,0,0
83,-4.7137958,0,0,0,0,-1.7763319,-2.6312398,0,0,0,0,0
84,-4.73204,0,0,0,0,-1.783207,-2.6414237,0,0,0,0,0
85,-4.7502842,0,0,0,0,-1.7900821,-2.6516076,0,0,0,0,0
86,-4.7685284,0,0,0,0,-1.7969572,-2.6617915,0,0,0,0,0
87,-4.7867727,0,0,0,0,-1.8038323,-2.6719754,0,0,0,0,0
88,-4.8050169,0,0,0,0,-1.8107073,-2.6821593,0,0,0,0,0
89,-4.8232611,0,0,0,0,-1.8175824,-2.6923432,0,0,0,0,0
90,-4.8415053,0,0,0,0,-1.8244575,-2.7025271,0,0,0,0,0
91,-4.8597495,0,0,0,0,-1.8313326,-2.712711,0,0,0,0,0
92,-4.8779937,0,0,0,0,-1.8382077,-2.7228949,0,0,0,0,0
93,-4.8962379,0,0,0,0,-1.8450828,-2.7330789,0,0,0,0,0
94,-4.9144821,0,0,0,0,-1.8519579,-2.7432628,0,0,0,0,0
95,-4.9327263,0,0,0,0,-1.858833,-2.7534467,0,0,0,0,0
96,-4.9509705,0,0,0,0,-1.865708,-2.7636306,0,0,0,0,0
