Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa)
0,-2.5273078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032982075,-0.0093152335,0,0,0,0,0,0,0,0,0,-0.44817019,-0.68577316,-1.2197598,-1.0927555,-0.46397741,0,0,0,0,0,0,-0.14883519,-0.67101763,-1.5080485,-2.3802345,-1.9271092,-0.86047696,0,0,0,0,0,0,0,-0.061288174,-0.49270399,-0.89073328,-1.3433577,-1.1130451,-0.44905369,0,0,0,0,0,0,0,0,0,-0.11031775,-0.18560449,-0.0091236904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.4847144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032426218,-0.0091582411,0,0,0,0,0,0,0,0,0,-0.44061705,-0.67421562,-1.1992028,-1.074339,-0.45615786,0,0,0,0,0,0,-0.14632683,-0.65970878,-1.4826329,-2.3401197,-1.894631,-0.84597509,0,0,0,0,0,0,0,-0.060255266,-0.4844003,-0.87572149,-1.3207177,-1.0942866,-0.44148566,0,0,0,0,0,0,0,0,0,-0.10845853,-0.18247644,-0.0089699261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.4421209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031870361,-0.0090012487,0,0,0,0,0,0,0,0,0,-0.43306391,-0.66265808,-1.1786458,-1.0559225,-0.44833831,0,0,0,0,0,0,-0.14381847,-0.64839992,-1.4572173,-2.3000049,-1.8621529,-0.83147322,0,0,0,0,0,0,0,-0.059222359,-0.47609662,-0.8607097,-1.2980777,-1.0755281,-0.43391762,0,0,0,0,0,0,0,0,0,-0.10659931,-0.17934839,-0.0088161619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.3995274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031314505,-0.0088442564,0,0,0,0,0,0,0,0,0,-0.42551076,-0.65110055,-1.1580889,-1.0375059,-0.44051876,0,0,0,0,0,0,-0.1413101,-0.63709106,-1.4318018,-2.2598901,-1.8296747,-0.81697135,0,0,0,0,0,0,0,-0.058189451,-0.46779293,-0.84569791,-1.2754377,-1.0567697,-0.42634959,0,0,0,0,0,0,0,0,0,-0.1047401,-0.17622035,-0.0086623977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.356934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030758648,-0.008687264,0,0,0,0,0,0,0,0,0,-0.41795762,-0.63954301,-1.1375319,-1.0190894,-0.43269922,0,0,0,0,0,0,-0.13880174,-0.6257822,-1.4063862,-2.2197754,-1.7971966,-0.80246948,0,0,0,0,0,0,0,-0.057156543,-0.45948925,-0.83068612,-1.2527977,-1.0380112,-0.41878155,0,0,0,0,0,0,0,0,0,-0.10288088,-0.1730923,-0.0085086334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.3143405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030202792,-0.0085302716,0,0,0,0,0,0,0,0,0,-0.41040447,-0.62798547,-1.1169749,-1.0006729,-0.42487967,0,0,0,0,0,0,-0.13629338,-0.61447335,-1.3809706,-2.1796606,-1.7647185,-0.78796761,0,0,0,0,0,0,0,-0.056123636,-0.45118556,-0.81567433,-1.2301577,-1.0192527,-0.41121352,0,0,0,0,0,0,0,0,0,-0.10102166,-0.16996425,-0.0083548692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.271747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029646935,-0.0083732792,0,0,0,0,0,0,0,0,0,-0.40285133,-0.61642794,-1.096418,-0.98225634,-0.41706012,0,0,0,0,0,0,-0.13378501,-0.60316449,-1.355555,-2.1395458,-1.7322403,-0.77346573,0,0,0,0,0,0,0,-0.055090728,-0.44288188,-0.80066254,-1.2075177,-1.0004942,-0.40364549,0,0,0,0,0,0,0,0,0,-0.099162443,-0.16683621,-0.008201105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.2291536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029091078,-0.0082162869,0,0,0,0,0,0,0,0,0,-0.39529819,-0.6048704,-1.075861,-0.96383981,-0.40924057,0,0,0,0,0,0,-0.13127665,-0.59185563,-1.3301394,-2.099431,-1.6997622,-0.75896386,0,0,0,0,0,0,0,-0.05405782,-0.43457819,-0.78565075,-1.1848777,-0.98173575,-0.39607745,0,0,0,0,0,0,0,0,0,-0.097303226,-0.16370816,-0.0080473407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.1865601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028535222,-0.0080592945,0,0,0,0,0,0,0,0,0,-0.38774504,-0.59331286,-1.055304,-0.94542328,-0.40142103,0,0,0,0,0,0,-0.12876829,-0.58054677,-1.3047238,-2.0593162,-1.6672841,-0.74446199,0,0,0,0,0,0,0,-0.053024913,-0.42627451,-0.77063896,-1.1622377,-0.96297727,-0.38850942,0,0,0,0,0,0,0,0,0,-0.095444008,-0.16058011,-0.0078935765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.1439667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027979365,-0.0079023021,0,0,0,0,0,0,0,0,0,-0.3801919,-0.58175533,-1.0347471,-0.92700675,-0.39360148,0,0,0,0,0,0,-0.12625992,-0.56923792,-1.2793082,-2.0192014,-1.6348059,-0.72996012,0,0,0,0,0,0,0,-0.051992005,-0.41797082,-0.75562717,-1.1395977,-0.9442188,-0.38094138,0,0,0,0,0,0,0,0,0,-0.093584791,-0.15745207,-0.0077398123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
