Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa)
10,-2.1013732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015200909,-0.00018481159,0,0,0,0,0,0,0,0,0,-0.11761911,-0.23898671,-0.62401755,-0.51953081,-0.12461424,0,0,0,0,0,0,-0.018731923,-0.23047802,-0.88872039,-1.9015418,-1.3373656,-0.34884971,0,0,0,0,0,0,0,-0.0042694057,-0.13773672,-0.36953231,-0.73292425,-0.53570728,-0.11800581,0,0,0,0,0,0,0,0,0,-0.011371435,-0.027063694,-0.0001785215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-2.0587797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014892797,-0.00018106558,0,0,0,0,0,0,0,0,0,-0.11523505,-0.23414261,-0.61136913,-0.50900026,-0.12208839,0,0,0,0,0,0,-0.018352239,-0.22580638,-0.87070661,-1.8629988,-1.3102581,-0.34177875,0,0,0,0,0,0,0,-0.0041828676,-0.13494489,-0.36204213,-0.71806835,-0.52484884,-0.11561391,0,0,0,0,0,0,0,0,0,-0.011140943,-0.026515131,-0.00017490298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.0161863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014584684,-0.00017731957,0,0,0,0,0,0,0,0,0,-0.11285099,-0.2292985,-0.5987207,-0.49846971,-0.11956254,0,0,0,0,0,0,-0.017972555,-0.22113474,-0.85269283,-1.8244558,-1.2831505,-0.3347078,0,0,0,0,0,0,0,-0.0040963295,-0.13215306,-0.35455195,-0.70321246,-0.51399041,-0.11322201,0,0,0,0,0,0,0,0,0,-0.010910452,-0.025966567,-0.00017128447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-1.9735928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014276572,-0.00017357356,0,0,0,0,0,0,0,0,0,-0.11046693,-0.2244544,-0.58607227,-0.48793916,-0.11703669,0,0,0,0,0,0,-0.017592871,-0.2164631,-0.83467904,-1.7859128,-1.256043,-0.32763684,0,0,0,0,0,0,0,-0.0040097915,-0.12936122,-0.34706178,-0.68835656,-0.50313197,-0.11083011,0,0,0,0,0,0,0,0,0,-0.01067996,-0.025418004,-0.00016766595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-1.9309993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013968459,-0.00016982755,0,0,0,0,0,0,0,0,0,-0.10808286,-0.2196103,-0.57342384,-0.47740861,-0.11451084,0,0,0,0,0,0,-0.017213187,-0.21179146,-0.81666526,-1.7473697,-1.2289355,-0.32056589,0,0,0,0,0,0,0,-0.0039232534,-0.12656939,-0.3395716,-0.67350067,-0.49227353,-0.10843821,0,0,0,0,0,0,0,0,0,-0.010449469,-0.024869441,-0.00016404744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-1.8884059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013660347,-0.00016608154,0,0,0,0,0,0,0,0,0,-0.1056988,-0.21476619,-0.56077541,-0.46687806,-0.111985,0,0,0,0,0,0,-0.016833503,-0.20711982,-0.79865148,-1.7088267,-1.201828,-0.31349493,0,0,0,0,0,0,0,-0.0038367154,-0.12377756,-0.33208142,-0.65864477,-0.4814151,-0.10604631,0,0,0,0,0,0,0,0,0,-0.010218977,-0.024320877,-0.00016042893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-1.8458124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013352234,-0.00016233553,0,0,0,0,0,0,0,0,0,-0.10331474,-0.20992209,-0.54812699,-0.45634751,-0.10945915,0,0,0,0,0,0,-0.01645382,-0.20244818,-0.7806377,-1.6702837,-1.1747204,-0.30642398,0,0,0,0,0,0,0,-0.0037501773,-0.12098572,-0.32459124,-0.64378888,-0.47055666,-0.10365441,0,0,0,0,0,0,0,0,0,-0.0099884855,-0.023772314,-0.00015681041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-1.803219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013044122,-0.00015858952,0,0,0,0,0,0,0,0,0,-0.10093068,-0.20507798,-0.53547856,-0.44581696,-0.1069333,0,0,0,0,0,0,-0.016074136,-0.19777655,-0.76262392,-1.6317407,-1.1476129,-0.29935302,0,0,0,0,0,0,0,-0.0036636392,-0.11819389,-0.31710106,-0.62893298,-0.45969822,-0.10126251,0,0,0,0,0,0,0,0,0,-0.0097579939,-0.02322375,-0.0001531919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-1.7606255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012736009,-0.00015484351,0,0,0,0,0,0,0,0,0,-0.098546614,-0.20023388,-0.52283013,-0.43528641,-0.10440745,0,0,0,0,0,0,-0.015694452,-0.19310491,-0.74461014,-1.5931977,-1.1205054,-0.29228207,0,0,0,0,0,0,0,-0.0035771012,-0.11540206,-0.30961088,-0.61407708,-0.44883979,-0.098870608,0,0,0,0,0,0,0,0,0,-0.0095275024,-0.022675187,-0.00014957338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-1.718032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012427897,-0.0001510975,0,0,0,0,0,0,0,0,0,-0.096162551,-0.19538977,-0.5101817,-0.42475586,-0.1018816,0,0,0,0,0,0,-0.015314768,-0.18843327,-0.72659635,-1.5546547,-1.0933979,-0.28521111,0,0,0,0,0,0,0,-0.0034905631,-0.11261022,-0.3021207,-0.59922119,-0.43798135,-0.096478707,0,0,0,0,0,0,0,0,0,-0.0092970108,-0.022126624,-0.00014595487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
