Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa)
0,-32.801621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3163101,-2.5525213,-3.0594289,0,0,0,0,0,0,-0.4362326,-14.637175,-27.453472,-1.950253,0,0,0,0,0,0,-0.061027573,-0.53891701,0,0,0,0,0,0,0,0
1,-32.730458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31562386,-2.5469836,-3.0527914,0,0,0,0,0,0,-0.43528619,-14.605419,-27.393911,-1.9460219,0,0,0,0,0,0,-0.060895172,-0.53774782,0,0,0,0,0,0,0,0
2,-32.659294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31493762,-2.5414458,-3.0461539,0,0,0,0,0,0,-0.43433977,-14.573664,-27.33435,-1.9417908,0,0,0,0,0,0,-0.060762772,-0.53657863,0,0,0,0,0,0,0,0
3,-32.58813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31425138,-2.5359081,-3.0395164,0,0,0,0,0,0,-0.43339336,-14.541908,-27.27479,-1.9375597,0,0,0,0,0,0,-0.060630372,-0.53540945,0,0,0,0,0,0,0,0
4,-32.516967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31356514,-2.5303704,-3.032879,0,0,0,0,0,0,-0.43244695,-14.510153,-27.215229,-1.9333286,0,0,0,0,0,0,-0.060497972,-0.53424026,0,0,0,0,0,0,0,0
5,-32.445803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3128789,-2.5248326,-3.0262415,0,0,0,0,0,0,-0.43150054,-14.478397,-27.155668,-1.9290975,0,0,0,0,0,0,-0.060365572,-0.53307107,0,0,0,0,0,0,0,0
6,-32.37464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31219266,-2.5192949,-3.019604,0,0,0,0,0,0,-0.43055412,-14.446642,-27.096107,-1.9248664,0,0,0,0,0,0,-0.060233171,-0.53190188,0,0,0,0,0,0,0,0
7,-32.303476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31150642,-2.5137572,-3.0129665,0,0,0,0,0,0,-0.42960771,-14.414886,-27.036547,-1.9206353,0,0,0,0,0,0,-0.060100771,-0.53073269,0,0,0,0,0,0,0,0
8,-32.232312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31082018,-2.5082194,-3.0063291,0,0,0,0,0,0,-0.4286613,-14.383131,-26.976986,-1.9164042,0,0,0,0,0,0,-0.059968371,-0.5295635,0,0,0,0,0,0,0,0
9,-32.161149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31013394,-2.5026817,-2.9996916,0,0,0,0,0,0,-0.42771488,-14.351375,-26.917425,-1.9121731,0,0,0,0,0,0,-0.059835971,-0.52839432,0,0,0,0,0,0,0,0
